,Date,High,Low,Open,Close,Volume,Adj Close
0,13/12/2023,9570,9570,9570,9570,1000,9600
1,14/12/2023,9600,9030,9570,9600,2000,9600
2,15/12/2023,9700,9200,9200,9700,1300,9700
3,18/12/2023,9750,9230,9700,9750,900,9800
4,19/12/2023,9790,9490,9790,9640,800,9600
5,20/12/2023,9650,9640,9640,9650,1000,9700
6,21/12/2023,9650,9140,9200,9550,3400,9600
7,22/12/2023,9590,9130,9590,9200,1200,9200
8,25/12/2023,9390,9210,9210,9390,2000,9400
9,26/12/2023,9390,9300,9390,9370,2700,9400
10,27/12/2023,9370,9100,9370,9100,2200,9100
11,28/12/2023,9360,9100,9120,9360,3400,9400
12,29/12/2023,9400,8900,9400,9330,3200,9300
13,02/01/2024,9400,9330,9330,9330,1300,9300
14,03/01/2024,9400,8830,8830,9390,400,9400
15,04/01/2024,9390,9050,9390,9350,2100,9400
16,05/01/2024,9350,9350,9350,9350,200,9400
17,08/01/2024,9350,9290,9340,9290,1600,9300
18,09/01/2024,9660,9000,9000,9300,7600,9300
19,10/01/2024,9300,9300,9300,9300,3300,9300
20,11/01/2024,9590,9300,9300,9570,2900,9600
21,12/01/2024,9560,9490,9490,9560,1500,9600
22,15/01/2024,9540,9540,9540,9540,100,9500
23,16/01/2024,9540,8930,9540,9200,1300,9200
24,17/01/2024,9200,9200,9200,9200,2000,9200
25,18/01/2024,9200,9000,9100,9000,5400,9000
26,19/01/2024,9010,9000,9000,9000,6400,9000
27,22/01/2024,9500,9000,9000,9500,1800,9500
28,23/01/2024,9500,9500,9500,9500,-,9500
29,24/01/2024,9050,9000,9000,9050,5600,9100
30,25/01/2024,9400,9050,9050,9050,700,9100
31,26/01/2024,9080,9060,9080,9060,1700,9100
32,29/01/2024,9430,9070,9070,9100,4900,9100
33,30/01/2024,9300,9100,9100,9300,2500,9300
34,31/01/2024,9300,8900,9300,8900,400,8900
35,01/02/2024,8910,8910,8910,8910,300,8900
36,02/02/2024,8920,8910,8910,8910,800,8900
37,05/02/2024,9180,8910,8910,9180,900,9200
38,06/02/2024,9200,8700,8700,8730,2000,8700
39,07/02/2024,9200,9000,9200,9000,3000,9000
40,15/02/2024,9190,9000,9000,9000,6500,9000
41,16/02/2024,9030,9010,9020,9010,700,9000
42,19/02/2024,9200,9020,9020,9030,2100,9000
43,20/02/2024,9190,9040,9040,9150,3800,9200
44,21/02/2024,9160,9160,9160,9160,100,9200
45,22/02/2024,9800,8900,8900,9200,8100,9200
46,23/02/2024,9600,9280,9600,9280,6100,9300
47,26/02/2024,9920,9280,9300,9800,17100,9800
48,27/02/2024,9800,9350,9800,9690,7200,9700
49,28/02/2024,9680,9020,9670,9570,8600,9600
50,29/02/2024,9680,9300,9570,9330,4000,9300
51,01/03/2024,9580,9330,9580,9530,1200,9500
52,04/03/2024,9630,9450,9630,9490,8300,9500
53,05/03/2024,9490,9400,9490,9400,2100,9400
54,06/03/2024,9400,9050,9050,9200,4100,9200
55,07/03/2024,9200,9150,9200,9200,2700,9200
56,08/03/2024,9460,9190,9460,9440,14200,9400
57,11/03/2024,9440,9350,9440,9400,12200,9400
58,12/03/2024,9400,9200,9400,9200,1900,9200
59,13/03/2024,9200,9190,9200,9200,3700,9200
60,14/03/2024,9210,9150,9200,9150,2200,9200
61,15/03/2024,9200,9150,9150,9170,1100,9200
62,18/03/2024,9150,9010,9150,9030,8400,9000
63,19/03/2024,9130,9050,9130,9130,1700,9100
64,20/03/2024,9400,9200,9200,9350,6000,9400
65,21/03/2024,9500,9300,9500,9300,2600,9300
66,22/03/2024,9500,9290,9290,9400,4700,9400
67,25/03/2024,9350,9150,9350,9150,2000,9200
68,26/03/2024,9500,9150,9150,9500,1300,9500
69,27/03/2024,9480,9120,9120,9480,3700,9500
70,28/03/2024,9470,9000,9460,9460,3400,9500
71,29/03/2024,9450,9300,9450,9300,5500,9300
72,01/04/2024,9400,9200,9400,9300,1500,9300
73,02/04/2024,9290,9020,9020,9060,600,9100
74,03/04/2024,9350,9060,9200,9350,1700,9400
75,04/04/2024,9340,9140,9340,9300,2000,9300
76,05/04/2024,9280,9270,9280,9270,600,9300
77,08/04/2024,9100,9070,9100,9100,1600,9100
78,09/04/2024,9200,9000,9100,9200,1900,9200
79,10/04/2024,9200,9050,9200,9050,1100,9100
80,11/04/2024,9150,9010,9050,9150,6500,9200
81,12/04/2024,9200,9150,9200,9150,1000,9200
82,15/04/2024,9120,8880,9120,9120,3000,9100
83,16/04/2024,9120,9000,9120,9000,3100,9000
84,17/04/2024,9000,9000,9000,9000,3500,9000
85,19/04/2024,9000,8800,9000,8800,2400,8800
86,22/04/2024,8850,8800,8800,8850,700,8900
87,23/04/2024,9000,8850,8900,9000,1000,9000
88,24/04/2024,9090,8800,9000,8800,4600,8800
89,25/04/2024,9000,9000,9000,9000,300,9000
90,26/04/2024,9000,8800,9000,8900,700,8900
91,02/05/2024,8900,8900,8900,8900,1300,8900
92,03/05/2024,8900,8900,8900,8900,800,8900
93,06/05/2024,8900,8700,8900,8900,3000,8900
94,07/05/2024,9000,8900,8900,9000,400,9000
95,08/05/2024,9000,8900,9000,8900,1600,8900
96,09/05/2024,8900,8420,8900,8900,3000,8900
97,10/05/2024,8900,8540,8540,8900,500,8900
98,13/05/2024,9000,8900,8900,9000,1600,9000
99,14/05/2024,9000,9000,9000,9000,-,9000
100,15/05/2024,9000,8600,9000,8600,800,8600
101,16/05/2024,8600,8500,8600,8600,7700,8600
102,17/05/2024,8900,8610,8610,8900,2500,8900
103,20/05/2024,8900,8810,8900,8820,2300,8800
104,21/05/2024,8790,8680,8790,8680,2600,8700
105,22/05/2024,8830,8690,8690,8800,3900,8800
106,23/05/2024,8990,8800,8800,8800,1500,8800
107,24/05/2024,8890,8700,8800,8870,6500,8900
