,Date,High,Low,Open,Close,Volume,Adj Close
0,13/03/2023,5180,5090,5100,5090,303100,4600
1,14/03/2023,5100,4980,5100,5050,440400,4500
2,15/03/2023,5200,5010,5140,5200,480100,4700
3,16/03/2023,5160,5020,5160,5140,274700,4600
4,17/03/2023,5170,5000,5170,5130,396900,4600
5,20/03/2023,5170,5010,5130,5010,274900,4500
6,21/03/2023,5100,4980,5100,4980,440600,4500
7,22/03/2023,5060,4990,4990,5030,143100,4500
8,23/03/2023,5030,4960,4990,5030,109100,4500
9,24/03/2023,5080,5000,5000,5000,128200,4500
10,27/03/2023,5070,5010,5010,5060,161200,4600
11,28/03/2023,5100,4990,5090,5010,625800,4500
12,29/03/2023,5060,4990,5030,4990,325100,4500
13,30/03/2023,5050,4970,5000,5000,505600,4500
14,31/03/2023,5020,4970,5000,4980,289100,4500
15,03/04/2023,5060,4980,5040,5000,307200,4500
16,04/04/2023,5010,4980,5000,5000,756400,4500
17,05/04/2023,5200,4990,5000,5120,1047100,4600
18,06/04/2023,5350,5100,5200,5140,1167100,4600
19,07/04/2023,5160,5040,5100,5070,678700,4600
20,10/04/2023,5140,5050,5080,5070,626900,4600
21,11/04/2023,5120,5050,5070,5110,367800,4600
22,12/04/2023,5200,5110,5120,5170,525600,4700
23,13/04/2023,5210,5100,5210,5100,479900,4600
24,14/04/2023,5150,5060,5100,5060,454200,4600
25,17/04/2023,5060,5000,5060,5010,301100,4500
26,18/04/2023,5070,5010,5020,5060,308600,4600
27,19/04/2023,5100,5000,5080,5010,220700,4500
28,20/04/2023,5050,5010,5010,5040,181100,4500
29,21/04/2023,5070,5010,5040,5040,281100,4500
30,24/04/2023,5050,4990,5040,5020,331200,4500
31,25/04/2023,5050,4990,5050,5020,234200,4500
32,26/04/2023,5030,4950,5020,5020,213800,4500
33,27/04/2023,5070,5000,5040,5020,175300,4500
34,28/04/2023,5060,5010,5020,5010,308200,4500
35,04/05/2023,5040,4980,5030,5010,336900,4500
36,05/05/2023,5020,4980,5000,5000,252500,4500
37,08/05/2023,5200,4980,5000,5150,1046300,4600
38,09/05/2023,5230,5110,5230,5110,393700,4600
39,10/05/2023,5390,5100,5150,5390,1918200,4900
40,11/05/2023,5530,5300,5410,5300,1128700,4800
41,12/05/2023,5400,5260,5340,5380,1007900,4800
42,15/05/2023,5640,5360,5490,5380,1825900,4800
43,16/05/2023,5440,5320,5400,5360,883300,4800
44,17/05/2023,5410,5300,5400,5320,923100,4800
45,18/05/2023,5360,5220,5320,5320,992400,4800
46,19/05/2023,5340,5050,5340,5160,1174400,4600
47,22/05/2023,5190,5120,5150,5160,762100,4600
48,23/05/2023,5210,5130,5150,5150,723700,4600
49,24/05/2023,5230,5150,5160,5220,862000,4700
50,25/05/2023,5230,5160,5220,5170,568900,4700
51,26/05/2023,5320,5170,5170,5320,1341800,4800
52,29/05/2023,5690,5350,5440,5690,2322200,5100
53,30/05/2023,6000,5700,5950,5820,2621200,5200
54,31/05/2023,6220,5760,5820,6220,2709400,5600
55,01/06/2023,6650,6310,6500,6420,3059600,5800
56,02/06/2023,6510,6050,6500,6110,2933300,5500
57,05/06/2023,6440,6090,6160,6210,1409000,5600
58,06/06/2023,6400,6300,6380,6390,1060900,5800
59,07/06/2023,6600,6380,6470,6430,1558600,5800
60,08/06/2023,6570,6240,6550,6260,2155700,5600
61,09/06/2023,6400,6160,6300,6400,1028200,5800
62,12/06/2023,6840,6410,6500,6840,1361600,6200
63,13/06/2023,7310,7020,7310,7310,3668300,6600
64,14/06/2023,7590,7000,7400,7020,2811400,6300
65,15/06/2023,7130,6870,7100,7000,1497600,6300
66,16/06/2023,7300,6950,7100,6950,984500,6300
67,19/06/2023,6950,6700,6950,6740,1183400,6100
68,20/06/2023,7090,6670,6700,6960,932600,6300
69,21/06/2023,7160,7000,7160,7000,758300,6300
70,22/06/2023,7150,6970,7010,6970,838700,6300
71,23/06/2023,7060,6930,6930,6990,863000,6300
72,26/06/2023,7010,6760,7000,6850,1043000,6200
73,27/06/2023,6960,6740,6850,6850,1299600,6200
74,28/06/2023,6880,6600,6880,6740,1420100,6100
75,29/06/2023,6780,6340,6780,6340,2002100,5700
76,30/06/2023,6480,6290,6300,6330,514000,5700
77,03/07/2023,6400,6300,6400,6340,792400,5700
78,04/07/2023,6000,5750,5760,5940,589700,5900
79,05/07/2023,5990,5850,5940,5850,398200,5900
80,06/07/2023,5900,5720,5850,5750,375800,5800
81,07/07/2023,5760,5600,5750,5650,693300,5700
82,10/07/2023,5800,5630,5700,5630,647800,5600
83,11/07/2023,5900,5680,5750,5890,1037600,5900
84,12/07/2023,6090,5890,6090,5930,822800,5900
85,13/07/2023,6000,5840,5980,5930,464500,5900
86,14/07/2023,6040,5850,6040,5890,602700,5900
87,17/07/2023,6100,5880,5890,6060,1109200,6100
88,18/07/2023,6150,6000,6150,6050,676300,6100
89,19/07/2023,6050,5950,6030,5970,728200,6000
90,20/07/2023,5980,5850,5970,5980,562000,6000
91,21/07/2023,6090,5990,6000,6040,548600,6000
92,24/07/2023,6370,6010,6050,6290,1297700,6300
93,25/07/2023,6310,6160,6300,6180,850100,6200
94,26/07/2023,6240,6050,6180,6240,826500,6200
95,27/07/2023,6250,6050,6180,6140,851600,6100
96,28/07/2023,6400,6110,6110,6400,1805300,6400
97,31/07/2023,6520,6300,6520,6350,1023100,6400
98,01/08/2023,6350,6110,6350,6110,1156500,6100
99,02/08/2023,6250,6100,6110,6250,488700,6300
100,03/08/2023,6240,6100,6240,6110,676900,6100
101,04/08/2023,6190,6100,6130,6160,687700,6200
102,07/08/2023,6270,6120,6200,6160,891300,6200
103,08/08/2023,6450,6160,6200,6400,2363800,6400
104,09/08/2023,6590,6360,6410,6450,1339700,6500
105,10/08/2023,6550,6250,6490,6250,1324500,6300
106,11/08/2023,6300,6120,6300,6220,778800,6200
107,14/08/2023,6290,6200,6250,6220,946300,6200
108,15/08/2023,6400,6230,6250,6330,769100,6300
109,16/08/2023,6330,6180,6330,6220,882300,6200
110,17/08/2023,6220,6010,6200,6030,1310200,6000
111,18/08/2023,6000,5610,6000,5610,1547600,5600
112,21/08/2023,5600,5230,5500,5380,714500,5400
113,22/08/2023,5480,5100,5480,5380,538300,5400
114,23/08/2023,5450,5370,5450,5390,248200,5400
115,24/08/2023,5450,5390,5390,5440,341300,5400
116,25/08/2023,5480,5390,5430,5400,369900,5400
117,28/08/2023,5600,5400,5400,5600,409200,5600
118,29/08/2023,5660,5520,5600,5600,369900,5600
119,30/08/2023,5680,5570,5610,5600,353100,5600
