,Date,High,Low,Open,Close,Volume,Adj Close
0,28/06/2022,13000,12500,12500,13000,200,13000
1,29/06/2022,13900,12100,12100,12450,11800,12500
2,30/06/2022,13200,13200,13200,13200,700,13200
3,01/07/2022,13200,13200,13200,13200,-,13200
4,04/07/2022,13200,13200,13200,13200,-,13200
5,05/07/2022,13200,12300,12300,12300,300,12300
6,06/07/2022,11650,11650,11650,11650,100,11700
7,07/07/2022,11900,11900,11900,11900,200,11900
8,08/07/2022,11400,11250,11250,11400,600,11400
9,11/07/2022,11400,11400,11400,11400,-,11400
10,12/07/2022,10750,10700,10750,10700,1800,10700
11,13/07/2022,11400,10450,10450,11300,3200,11300
12,14/07/2022,12050,10700,10700,12050,2100,12100
13,15/07/2022,12850,12450,12450,12500,900,12500
14,18/07/2022,12500,12500,12500,12500,100,12500
15,19/07/2022,11650,11650,11650,11650,1400,11700
16,20/07/2022,11100,11100,11100,11100,100,11100
17,21/07/2022,11850,11150,11150,11850,400,11900
18,22/07/2022,11850,11850,11850,11850,300,11900
19,25/07/2022,11850,11850,11850,11850,200,11900
20,26/07/2022,11350,11350,11350,11350,100,11400
21,27/07/2022,11350,11350,11350,11350,400,11400
22,28/07/2022,11400,11400,11400,11400,100,11400
23,29/07/2022,11400,11400,11400,11400,-,11400
24,01/08/2022,11400,11150,11150,11400,300,11400
25,02/08/2022,11400,11400,11400,11400,-,11400
26,03/08/2022,12000,10900,11000,12000,1400,12000
27,04/08/2022,12800,11500,12150,12800,3200,12800
28,05/08/2022,13500,12800,12800,13500,2100,13500
29,08/08/2022,13550,13500,13500,13500,3400,13500
30,09/08/2022,13600,13450,13450,13600,800,13600
31,10/08/2022,13550,13000,13000,13550,400,13600
32,11/08/2022,13450,12650,12700,13450,400,13500
33,12/08/2022,13000,12900,13000,12900,1100,12900
34,15/08/2022,12500,12500,12500,12500,400,12500
35,16/08/2022,12500,12500,12500,12500,-,12500
36,17/08/2022,11700,11700,11700,11700,200,11700
37,18/08/2022,11700,11700,11700,11700,-,11700
38,19/08/2022,11700,11700,11700,11700,-,11700
39,22/08/2022,11800,11800,11800,11800,400,11800
40,23/08/2022,12400,12000,12000,12400,200,12400
41,24/08/2022,12000,12000,12000,12000,100,12000
42,25/08/2022,12750,12000,12000,12750,2100,12800
43,26/08/2022,12750,12750,12750,12750,-,12800
44,29/08/2022,12750,12750,12750,12750,-,12800
45,30/08/2022,12200,12200,12200,12200,400,12200
46,31/08/2022,12200,12200,12200,12200,-,12200
47,05/09/2022,12200,12200,12200,12200,-,12200
48,06/09/2022,12200,12200,12200,12200,400,12200
49,07/09/2022,12200,12200,12200,12200,-,12200
50,08/09/2022,12200,12200,12200,12200,-,12200
51,09/09/2022,12000,12000,12000,12000,100,12000
52,12/09/2022,12000,12000,12000,12000,-,12000
53,13/09/2022,12000,12000,12000,12000,-,12000
54,14/09/2022,11950,11300,11950,11450,400,11500
55,15/09/2022,11950,11950,11950,11950,100,12000
56,16/09/2022,11800,11800,11800,11800,100,11800
57,19/09/2022,11800,11800,11800,11800,-,11800
58,20/09/2022,11900,11050,11050,11900,800,11900
59,21/09/2022,12000,12000,12000,12000,400,12000
60,22/09/2022,12550,12000,12000,12550,700,12600
61,23/09/2022,11750,11750,11750,11750,100,11800
62,26/09/2022,11700,11700,11700,11700,100,11700
63,27/09/2022,11700,11700,11700,11700,-,11700
64,28/09/2022,11700,11700,11700,11700,-,11700
65,29/09/2022,11700,11700,11700,11700,-,11700
66,30/09/2022,11050,10950,11050,10950,300,11000
67,03/10/2022,10200,10200,10200,10200,3000,10200
68,04/10/2022,10200,9600,9600,10200,2100,10200
69,05/10/2022,10200,10200,10200,10200,100,10200
70,06/10/2022,10200,10200,10200,10200,-,10200
71,07/10/2022,10100,9490,9490,10100,200,10100
72,10/10/2022,10100,10100,10100,10100,-,10100
73,11/10/2022,10200,10200,10200,10200,100,10200
74,12/10/2022,10200,10200,10200,10200,-,10200
75,13/10/2022,10000,9490,9490,10000,1100,10000
76,14/10/2022,10000,9310,9310,10000,2100,10000
77,17/10/2022,10000,10000,10000,10000,-,10000
78,18/10/2022,10000,10000,10000,10000,-,10000
79,19/10/2022,10000,10000,10000,10000,-,10000
80,20/10/2022,10000,10000,10000,10000,-,10000
81,21/10/2022,10650,9300,10650,9300,2100,9300
82,24/10/2022,9300,9300,9300,9300,-,9300
83,25/10/2022,9300,9300,9300,9300,-,9300
84,26/10/2022,8670,8660,8670,8660,51000,8700
85,27/10/2022,9250,8080,8080,9250,200,9300
86,28/10/2022,9250,9250,9250,9250,-,9300
87,31/10/2022,9250,9250,9250,9250,-,9300
88,01/11/2022,9890,9890,9890,9890,600,9900
89,02/11/2022,10450,10450,10450,10450,100,10500
90,03/11/2022,10400,9720,10400,9720,700,9700
91,04/11/2022,9720,9720,9720,9720,-,9700
92,07/11/2022,9720,9720,9720,9720,-,9700
93,08/11/2022,9720,9720,9720,9720,-,9700
94,09/11/2022,9720,9720,9720,9720,-,9700
95,10/11/2022,9720,9720,9720,9720,-,9700
96,11/11/2022,9720,9720,9720,9720,-,9700
97,14/11/2022,9720,9720,9720,9720,-,9700
98,15/11/2022,9720,9720,9720,9720,-,9700
99,16/11/2022,9720,9720,9720,9720,-,9700
100,17/11/2022,9720,9720,9720,9720,-,9700
101,18/11/2022,9720,9720,9720,9720,-,9700
102,21/11/2022,9720,9720,9720,9720,-,9700
103,22/11/2022,9720,9720,9720,9720,-,9700
104,23/11/2022,9720,9720,9720,9720,-,9700
105,24/11/2022,9720,9720,9720,9720,-,9700
106,25/11/2022,9720,9720,9720,9720,-,9700
107,28/11/2022,9720,9720,9720,9720,-,9700
108,29/11/2022,9720,9720,9720,9720,-,9700
109,30/11/2022,9720,9720,9720,9720,-,9700
110,01/12/2022,10150,10000,10150,10000,200,10000
111,02/12/2022,10650,9410,10650,9410,200,9400
112,05/12/2022,10050,10050,10050,10050,1400,10100
113,06/12/2022,10050,10050,10050,10050,-,10100
114,07/12/2022,10050,10050,10050,10050,-,10100
115,08/12/2022,9360,9360,9360,9360,200,9400
116,09/12/2022,9360,9360,9360,9360,-,9400
117,12/12/2022,9360,9360,9360,9360,100,9400
118,13/12/2022,9360,9360,9360,9360,-,9400
119,14/12/2022,9360,9360,9360,9360,-,9400
120,15/12/2022,8720,8720,8720,8720,100,8700
121,16/12/2022,8720,8720,8720,8720,-,8700
122,19/12/2022,8720,8720,8720,8720,-,8700
123,20/12/2022,9330,8700,8700,9330,1100,9300
124,21/12/2022,9330,9330,9330,9330,-,9300
125,22/12/2022,9330,9330,9330,9330,-,9300
126,23/12/2022,9330,9330,9330,9330,-,9300
127,26/12/2022,9330,9330,9330,9330,-,9300
128,27/12/2022,8710,8680,8680,8710,900,8700
129,28/12/2022,8710,8710,8710,8710,-,8700
130,29/12/2022,8710,8710,8710,8710,-,8700
131,30/12/2022,8710,8710,8710,8710,-,8700
132,03/01/2023,8710,8710,8710,8710,-,8700
133,04/01/2023,9310,9300,9300,9310,700,9300
134,05/01/2023,8750,8750,8750,8750,100,8800
135,06/01/2023,8750,8750,8750,8750,-,8800
136,09/01/2023,8750,8750,8750,8750,-,8800
137,10/01/2023,8400,8200,8400,8200,800,8200
138,11/01/2023,8200,8200,8200,8200,-,8200
139,12/01/2023,8200,8200,8200,8200,-,8200
140,13/01/2023,8200,8200,8200,8200,-,8200
141,16/01/2023,7720,7720,7720,7720,100,7700
142,17/01/2023,8260,8260,8260,8260,100,8300
143,18/01/2023,8260,8260,8260,8260,-,8300
144,19/01/2023,8260,8260,8260,8260,-,8300
145,27/01/2023,8830,8830,8830,8830,200,8800
146,30/01/2023,8830,8830,8830,8830,-,8800
147,31/01/2023,9440,9440,9440,9440,300,9400
148,01/02/2023,10000,9440,9440,10000,1000,10000
149,02/02/2023,10700,10700,10700,10700,1000,10700
150,03/02/2023,10700,10700,10700,10700,-,10700
151,06/02/2023,11400,11000,11000,11400,1100,11400
152,07/02/2023,12150,12000,12100,12150,1000,12200
153,08/02/2023,13000,13000,13000,13000,4300,13000
154,09/02/2023,13400,13000,13400,13400,800,13400
155,10/02/2023,14000,13400,13400,14000,1800,14000
156,13/02/2023,13900,13050,13900,13100,16000,13100
157,14/02/2023,13100,13100,13100,13100,-,13100
158,15/02/2023,12500,12500,12500,12500,200,12500
159,16/02/2023,12000,11700,12000,11700,1200,11700
160,17/02/2023,11100,11100,11100,11100,4300,11100
161,20/02/2023,11100,11100,11100,11100,-,11100
162,21/02/2023,11800,11300,11800,11300,2300,11300
163,22/02/2023,11200,11200,11200,11200,500,11200
164,23/02/2023,11950,10450,11950,10450,500,10500
165,24/02/2023,10450,10450,10450,10450,-,10500
166,27/02/2023,11150,9730,11150,10400,600,10400
167,28/02/2023,10400,10400,10400,10400,-,10400
168,01/03/2023,9750,9700,9700,9700,3400,9700
169,02/03/2023,9300,9200,9200,9300,200,9300
170,03/03/2023,9000,8710,9000,8710,5000,8700
171,06/03/2023,9310,9300,9300,9310,600,9300
172,07/03/2023,9310,9280,9310,9280,500,9300
173,08/03/2023,9280,9270,9270,9280,200,9300
174,09/03/2023,9410,9200,9200,9410,400,9400
175,10/03/2023,10000,8760,9410,10000,1900,10000
176,13/03/2023,10700,9400,10000,9400,1900,9400
177,14/03/2023,9390,9010,9390,9010,1300,9000
178,15/03/2023,9600,9190,9190,9600,2700,9600
179,16/03/2023,9600,9000,9600,9000,400,9000
180,17/03/2023,9050,8710,9050,8710,800,8700
181,20/03/2023,8710,8710,8710,8710,100,8700
182,21/03/2023,8990,8460,8710,8990,500,9000
183,22/03/2023,8970,8960,8960,8970,300,9000
184,23/03/2023,8850,8850,8850,8850,100,8900
185,24/03/2023,8850,8850,8850,8850,600,8900
186,27/03/2023,8900,8900,8900,8900,400,8900
187,28/03/2023,8900,8900,8900,8900,600,8900
188,29/03/2023,8800,8800,8800,8800,200,8800
189,30/03/2023,9410,9000,9000,9400,900,9400
190,31/03/2023,9000,9000,9000,9000,1200,9000
191,03/04/2023,8950,8810,8810,8900,102100,8900
192,04/04/2023,9380,8900,8900,9380,2100,9400
193,05/04/2023,9360,9360,9360,9360,500,9400
194,06/04/2023,8890,8730,8730,8890,600,8900
195,07/04/2023,8890,8890,8890,8890,-,8900
196,10/04/2023,9370,8900,9370,8900,700,8900
197,11/04/2023,9320,9200,9320,9300,1000,9300
198,12/04/2023,9300,9300,9300,9300,-,9300
199,13/04/2023,8960,8850,8960,8850,2500,8900
200,14/04/2023,9460,9460,9460,9460,300,9500
201,17/04/2023,10100,9900,10000,9900,16100,9900
202,18/04/2023,9890,9240,9890,9240,200,9200
203,19/04/2023,9020,9000,9020,9000,14000,9000
204,20/04/2023,8950,8910,8910,8950,200,9000
205,21/04/2023,9560,9560,9560,9560,200,9600
206,24/04/2023,10200,9010,9600,10200,12900,10200
207,25/04/2023,10900,10350,10350,10900,7100,10900
208,26/04/2023,11650,10900,11000,10950,17600,11000
209,27/04/2023,11700,10900,10900,11700,5000,11700
210,28/04/2023,12500,12400,12500,12500,5800,12500
