,Date,High,Low,Open,Close,Volume,Adj Close
0,19/04/2022,19950,18300,19950,18300,954900,17300
1,20/04/2022,17750,17050,17350,17050,830100,16100
2,21/04/2022,16500,15900,15900,15900,1204100,15100
3,22/04/2022,16500,14800,15900,15950,938600,15100
4,25/04/2022,16300,14850,16100,14850,702000,14100
5,26/04/2022,14600,13850,14400,14600,748100,13800
6,27/04/2022,15300,14300,14700,15300,534200,14500
7,28/04/2022,16300,15450,15500,15850,585600,15000
8,29/04/2022,16300,15600,15850,16300,422200,15400
9,04/05/2022,16550,15700,16550,15800,390500,15000
10,05/05/2022,16300,15250,15800,15450,362500,14600
11,06/05/2022,15200,14450,14950,14450,524200,13700
12,09/05/2022,14400,13450,14400,13450,525700,12700
13,10/05/2022,13450,12550,12650,13000,366200,12300
14,11/05/2022,13600,13100,13100,13500,299400,12800
15,12/05/2022,13600,12600,13500,12600,395400,11900
16,13/05/2022,12600,11750,12600,11750,615200,11100
17,16/05/2022,12300,11400,11850,11400,397600,10800
18,17/05/2022,12150,11050,11050,12150,453200,11500
19,18/05/2022,12800,12350,12550,12400,432700,11700
20,19/05/2022,12500,11700,11700,12400,448800,11700
21,20/05/2022,12850,12350,12400,12500,419100,11800
22,23/05/2022,12700,11950,12600,12100,224200,11500
23,24/05/2022,12300,11600,12100,12100,270100,11500
24,25/05/2022,12600,12050,12300,12550,458800,11900
25,26/05/2022,13100,12700,12800,13000,486200,12300
26,27/05/2022,13900,12950,12950,13900,1167600,13200
27,30/05/2022,14850,14200,14500,14850,1136000,14100
28,31/05/2022,14900,14300,14600,14300,817700,13500
29,01/06/2022,14350,13700,14000,14350,734500,13600
30,02/06/2022,14900,13850,14300,14300,648400,13500
31,03/06/2022,14400,13800,14400,13900,417100,13200
32,06/06/2022,14350,13600,14300,13600,390000,12900
33,07/06/2022,14550,13300,13300,14400,1073100,13600
34,08/06/2022,15200,14300,14300,14950,830800,14200
35,09/06/2022,15150,14600,14900,14800,1136900,14000
36,10/06/2022,14800,13900,14500,13900,755800,13200
37,13/06/2022,13500,12950,13000,12950,712600,12300
38,14/06/2022,12950,12100,12100,12350,2239300,11700
39,15/06/2022,12550,11500,12300,11800,445900,11200
40,16/06/2022,12400,11900,12200,11900,354800,11300
41,17/06/2022,11750,11100,11200,11100,2358500,10500
42,20/06/2022,11450,10350,11100,10350,591800,9800
43,21/06/2022,10450,9700,9950,9700,512900,9200
44,22/06/2022,10350,9800,10150,10350,2087500,9800
45,23/06/2022,11050,10600,11050,11050,556700,10500
46,24/06/2022,11350,10850,11050,10950,197500,10400
47,27/06/2022,11700,10700,10950,11700,2194000,11100
48,28/06/2022,12300,11650,12200,12100,466300,11500
49,29/06/2022,11950,11500,11850,11650,224800,11000
50,30/06/2022,11900,10850,11650,10850,301100,10300
51,01/07/2022,11600,10500,10800,11600,1356700,11000
52,04/07/2022,12200,11650,11800,11800,174900,11200
53,05/07/2022,11900,11250,11800,11300,205500,10700
54,06/07/2022,11300,10800,10850,10850,203900,10300
55,07/07/2022,11050,10650,10650,11000,123900,10400
56,08/07/2022,11350,11000,11000,11300,170000,10700
57,11/07/2022,11700,11000,11250,11100,223000,10500
58,12/07/2022,11600,11100,11100,11600,282400,11000
59,13/07/2022,11850,11500,11800,11500,221500,10900
60,14/07/2022,11800,11350,11350,11750,223900,11100
61,15/07/2022,12050,11700,11800,11700,447800,11100
62,18/07/2022,11950,11700,11750,11850,310900,11200
63,19/07/2022,11800,11550,11600,11750,206900,11100
64,20/07/2022,12200,11950,12000,12100,1957900,11500
65,21/07/2022,12050,11750,12000,11800,2280427,11200
66,22/07/2022,11900,11800,11800,11850,249900,11200
67,25/07/2022,11800,11400,11700,11500,259100,10900
68,26/07/2022,11700,11450,11650,11450,194700,10800
69,27/07/2022,11750,11250,11450,11600,133900,11000
70,28/07/2022,12400,11700,11850,12400,2424300,11700
71,29/07/2022,12950,12400,12650,12400,983400,11700
72,01/08/2022,12900,12300,12400,12750,464100,12100
73,02/08/2022,12900,12500,12750,12800,553800,12100
74,03/08/2022,12750,12450,12700,12750,512600,12100
75,04/08/2022,13150,12600,12900,12800,1007500,12100
76,05/08/2022,13650,12600,12750,13650,4485827,12900
77,08/08/2022,14300,13600,13800,13700,671000,13000
78,09/08/2022,13800,13450,13800,13600,484500,12900
79,10/08/2022,13800,13500,13600,13650,539100,12900
80,11/08/2022,13950,12900,13950,12950,1128500,12300
81,12/08/2022,13400,12600,12950,13350,419300,12600
82,15/08/2022,13500,13100,13500,13300,350100,12600
83,16/08/2022,13350,13100,13300,13150,364300,12500
84,17/08/2022,13250,12900,13150,12950,456500,12300
85,18/08/2022,13050,12600,13000,12750,421000,12100
86,19/08/2022,12950,12500,12750,12600,374700,11900
87,22/08/2022,12800,12100,12600,12100,433000,11500
88,23/08/2022,12600,12000,12100,12400,2199900,11700
