,Date,High,Low,Open,Close,Volume,Adj Close
0,11/05/2022,40950,38300,38350,40950,1300,37800
1,12/05/2022,41950,38100,38100,40950,1000,37800
2,13/05/2022,43800,38200,38200,43700,7900,40300
3,16/05/2022,43700,40650,41000,42900,2600,39600
4,17/05/2022,42900,40000,40000,40000,3500,36900
5,18/05/2022,41800,38100,41800,40550,1500,37400
6,19/05/2022,41500,38700,39000,41400,4100,38200
7,20/05/2022,42500,39050,39050,40500,3500,37400
8,23/05/2022,42700,39300,39500,42400,2200,39100
9,24/05/2022,41550,39700,39800,41450,2900,38200
10,25/05/2022,41400,39800,39800,40100,2500,37000
11,26/05/2022,42900,39250,41650,42000,7000,38700
12,27/05/2022,43000,40000,40100,42000,2700,38700
13,30/05/2022,42000,39850,42000,40200,3800,37100
14,31/05/2022,41750,39350,41750,41000,5000,37800
15,01/06/2022,42000,39500,39500,42000,4100,38700
16,02/06/2022,42000,39800,39850,40800,15800,37600
17,03/06/2022,41950,40000,41950,40200,2300,37100
18,06/06/2022,42000,39550,40050,42000,7400,38700
19,07/06/2022,41950,40050,40500,41950,4400,38700
20,08/06/2022,41950,40150,40500,41950,2600,38700
21,09/06/2022,41900,40100,40450,41000,3700,37800
22,10/06/2022,41250,40150,41250,41250,3200,38000
23,13/06/2022,41750,39600,41000,41350,6400,38100
24,14/06/2022,41400,39000,39650,41300,3300,38100
25,15/06/2022,41300,39050,39550,39450,2900,36400
26,16/06/2022,40900,36700,40000,40350,4200,37200
27,17/06/2022,41600,37700,38100,40950,5700,37800
28,20/06/2022,40800,38550,39050,40350,1800,37200
29,21/06/2022,40350,38400,38650,38600,2500,35600
30,22/06/2022,40250,37650,39750,39950,6000,36800
31,23/06/2022,39950,38150,38150,39900,2000,36800
32,24/06/2022,39800,38600,38600,39800,600,36700
33,27/06/2022,39650,39550,39650,39550,1700,36500
34,28/06/2022,39000,38500,39000,38950,800,35900
35,29/06/2022,39000,39000,39000,39000,300,36000
36,30/06/2022,39000,39000,39000,39000,1400,36000
37,01/07/2022,38950,36300,38200,38850,4200,35800
38,04/07/2022,39900,36650,38750,39900,13100,36800
39,05/07/2022,39800,37300,37350,37350,900,34400
40,06/07/2022,37300,35100,35100,36700,2600,33900
41,07/07/2022,36900,36400,36600,36400,900,33600
42,08/07/2022,36400,35150,36300,36350,1000,33500
43,11/07/2022,36350,35650,36350,35650,600,32900
44,12/07/2022,36300,34200,36300,35500,500,32700
45,13/07/2022,37150,35600,37150,35600,300,32800
46,14/07/2022,36700,35750,36700,35750,400,33000
47,15/07/2022,36000,34300,34300,36000,700,33200
48,18/07/2022,36000,36000,36000,36000,-,33200
49,19/07/2022,35950,35850,35850,35950,700,33200
50,20/07/2022,38350,35700,35700,38350,6800,35400
51,21/07/2022,37050,37050,37050,37050,100,34200
52,22/07/2022,37000,37000,37000,37000,300,34100
53,25/07/2022,37050,36050,37050,36050,200,33300
54,26/07/2022,38550,38000,38550,38000,1000,35000
55,27/07/2022,38000,38000,38000,38000,-,35000
56,28/07/2022,40050,38000,38000,40000,400,36900
