,Date,High,Low,Open,Close,Volume,Adj Close
0,04/12/2023,22450,22000,22050,22300,9061002,18700
1,05/12/2023,22450,22050,22300,22150,3557500,18600
2,06/12/2023,22300,22000,22150,22300,2791901,18700
3,07/12/2023,22500,22200,22300,22400,7237600,18800
4,08/12/2023,22550,22300,22400,22400,3812500,18800
5,11/12/2023,22500,22250,22450,22400,2274400,18800
6,12/12/2023,22500,22300,22450,22500,3228202,18900
7,13/12/2023,22550,22300,22500,22300,4099900,18700
8,14/12/2023,22750,22300,22400,22500,6945700,18900
9,15/12/2023,22850,22550,22600,22750,6189100,19100
10,18/12/2023,22800,22650,22700,22800,7600000,19200
11,19/12/2023,23100,22800,22800,23050,11758400,19400
12,20/12/2023,23250,23050,23050,23200,9021600,19500
13,21/12/2023,23250,23050,23200,23250,7260790,19500
14,22/12/2023,23300,23200,23200,23200,4510000,19500
15,25/12/2023,23450,23200,23250,23350,7582400,19600
16,26/12/2023,23400,23250,23400,23250,5823800,19500
17,27/12/2023,23400,23200,23200,23300,4866000,19600
18,28/12/2023,23950,23300,23300,23750,11166000,20000
19,29/12/2023,24100,23800,23900,23900,10268240,20100
20,02/01/2024,24750,23950,23950,24450,13883500,20500
21,03/01/2024,25000,24250,24500,25000,9918001,21000
22,04/01/2024,25650,25100,25200,25300,23587800,21300
23,05/01/2024,25450,25050,25300,25450,9372101,21400
24,08/01/2024,25750,25200,25700,25350,12483900,21300
25,09/01/2024,25350,24950,25250,25000,15499501,21000
26,10/01/2024,25500,25000,25200,25250,17752300,21200
27,11/01/2024,25750,25150,25400,25250,9933500,21200
28,12/01/2024,26200,25050,25150,25800,25754500,21700
29,15/01/2024,26000,25300,26000,25300,14792400,21300
30,16/01/2024,25550,25050,25400,25400,12980200,21300
31,17/01/2024,25800,25350,25450,25400,10214300,21300
32,18/01/2024,25750,25350,25450,25600,10740300,21500
33,19/01/2024,25950,25650,25800,25950,12771300,21800
34,22/01/2024,26300,25800,26200,26300,12031201,22100
35,23/01/2024,26450,26050,26250,26050,11851500,21900
36,24/01/2024,26100,25700,26050,25800,11904001,21700
37,25/01/2024,25900,25600,25850,25800,5316301,21700
38,26/01/2024,26400,25850,25850,26300,6931000,22100
39,29/01/2024,26500,25950,26500,25950,11962500,21800
40,30/01/2024,26200,25900,26050,25950,15322650,21800
41,31/01/2024,26100,25550,26100,25750,12758100,21600
42,01/02/2024,26100,25700,25700,26000,6351100,21800
43,02/02/2024,26300,25850,25950,26250,15519200,22100
44,05/02/2024,28000,26150,26250,27800,29468600,23400
45,06/02/2024,27900,27650,27850,27850,16581900,23400
46,07/02/2024,28200,27850,27850,28000,12727500,23500
47,15/02/2024,28400,27200,28050,27200,15244300,22900
48,16/02/2024,27600,27300,27500,27600,9595400,23200
49,19/02/2024,27700,27200,27700,27700,12966900,23300
50,20/02/2024,27750,27350,27500,27550,9376400,23100
51,21/02/2024,27900,27400,27500,27700,10460900,23300
52,22/02/2024,27750,27500,27700,27650,10801800,23200
53,23/02/2024,28400,27300,27700,27300,25975601,22900
54,26/02/2024,27700,27100,27300,27500,10222667,23100
55,27/02/2024,27700,27350,27700,27600,12054801,23200
56,28/02/2024,28000,27550,27650,28000,10510800,23500
57,29/02/2024,28250,27700,28100,28000,9951400,23500
58,01/03/2024,28000,27550,28000,27800,11193801,23400
59,04/03/2024,28200,27400,27800,27800,13916502,23400
60,05/03/2024,28000,27550,27800,27950,6482600,23500
61,06/03/2024,28150,27550,28000,27600,10891602,23200
62,07/03/2024,27700,27400,27600,27500,10165801,23100
63,08/03/2024,27650,27000,27500,27050,25017000,22700
64,11/03/2024,27100,26650,27050,26750,12965800,22500
65,12/03/2024,26850,26600,26650,26750,8312600,22500
66,13/03/2024,27650,26750,26750,27650,9035301,23200
67,14/03/2024,27600,27050,27600,27250,8224301,22900
68,15/03/2024,27400,27000,27250,27350,9002800,23000
69,18/03/2024,27350,26700,27200,26900,14269301,22600
70,19/03/2024,27050,26750,26800,26850,7270501,22600
71,20/03/2024,27700,26800,26850,27500,14342200,23100
72,21/03/2024,28000,27550,27700,28000,13236000,23500
73,22/03/2024,28950,27900,28250,28150,168026000,23600
74,25/03/2024,28050,27500,28050,27500,12775700,23100
75,26/03/2024,27950,27350,27600,27950,6363401,23500
76,27/03/2024,28050,27600,27950,28000,6324800,23500
77,28/03/2024,28600,28200,28300,28350,61330586,23800
78,29/03/2024,28650,28150,28400,28500,16419701,23900
79,01/04/2024,28500,28100,28200,28450,7494900,23900
80,02/04/2024,28400,27900,28300,28400,14139700,23900
81,03/04/2024,28400,27900,28200,28000,12199403,23500
82,04/04/2024,28050,27550,28050,27550,11379500,23100
83,05/04/2024,27400,27100,27300,27150,12439500,22800
84,08/04/2024,27250,26950,27150,27150,6869300,22800
85,09/04/2024,27300,27050,27150,27300,5391500,22900
86,10/04/2024,27600,27100,27450,27100,5122000,22800
