,Date,High,Low,Open,Close,Volume,Adj Close
0,06/11/2023,11000,10950,11000,11000,15600,11000
1,07/11/2023,11000,10800,11000,11000,11300,11000
2,08/11/2023,11200,10650,10650,11150,6500,11200
3,09/11/2023,11250,10950,11150,11200,8800,11200
4,10/11/2023,11300,11000,11150,11300,17400,11300
5,13/11/2023,11350,11150,11300,11300,14500,11300
6,14/11/2023,11300,11200,11300,11300,43700,11300
7,15/11/2023,11400,11200,11400,11350,31600,11400
8,16/11/2023,11350,11100,11350,11350,10200,11400
9,17/11/2023,11350,11150,11300,11350,45800,11400
10,20/11/2023,11300,11150,11200,11300,28300,11300
11,21/11/2023,11300,11100,11300,11300,2400,11300
12,22/11/2023,11300,11150,11200,11300,5600,11300
13,23/11/2023,11350,11000,11350,11250,18100,11300
14,24/11/2023,11250,10900,11000,11200,20200,11200
15,27/11/2023,11200,10950,11000,11200,50500,11200
16,28/11/2023,11200,11000,11200,11100,10600,11100
17,29/11/2023,11000,10900,10900,11000,11500,11000
18,30/11/2023,11100,10900,11000,11100,13800,11100
19,01/12/2023,11400,10550,11200,11350,71800,11400
20,04/12/2023,11900,11300,11300,11900,137000,11900
21,05/12/2023,12150,11950,11950,12150,115800,12200
22,06/12/2023,12600,12200,12200,12550,114700,12600
23,07/12/2023,12600,12200,12600,12500,71500,12500
24,08/12/2023,12550,12450,12550,12500,20800,12500
25,11/12/2023,12550,12300,12550,12450,39100,12500
26,12/12/2023,12550,12350,12450,12450,10000,12500
27,13/12/2023,12450,12200,12400,12450,22600,12500
28,14/12/2023,12400,12150,12400,12350,39600,12400
29,15/12/2023,12350,12250,12250,12350,13000,12400
30,18/12/2023,12350,11950,12000,12300,36400,12300
31,19/12/2023,12300,12000,12300,12250,10300,12300
32,20/12/2023,12350,12200,12350,12250,67500,12300
33,21/12/2023,12450,12200,12250,12300,35700,12300
34,22/12/2023,12350,12250,12250,12350,27200,12400
35,25/12/2023,12400,12300,12400,12400,7800,12400
36,26/12/2023,12400,12200,12250,12400,5400,12400
37,27/12/2023,12400,12300,12400,12300,9000,12300
38,28/12/2023,12400,12200,12250,12400,6800,12400
39,29/12/2023,12400,12300,12300,12350,19600,12400
40,02/01/2024,12350,12100,12100,12350,14800,12400
41,03/01/2024,12350,12200,12350,12300,7200,12300
42,04/01/2024,12350,12250,12300,12350,12100,12400
43,05/01/2024,12350,12250,12250,12350,6700,12400
44,08/01/2024,12350,12150,12350,12300,20700,12300
45,09/01/2024,12300,12200,12300,12300,14700,12300
46,10/01/2024,12300,12150,12150,12250,12600,12300
47,11/01/2024,12250,12150,12250,12250,25600,12300
48,12/01/2024,12250,12050,12250,12200,25800,12200
49,15/01/2024,12200,12000,12000,12150,7100,12200
50,16/01/2024,12150,11900,12150,12150,15600,12200
51,17/01/2024,12150,12000,12150,12150,12300,12200
52,18/01/2024,12150,11300,11500,12100,111200,12100
53,19/01/2024,12100,11900,12100,12000,24000,12000
54,22/01/2024,12050,11700,12050,11850,34400,11900
55,23/01/2024,11850,11600,11850,11800,6200,11800
56,24/01/2024,11750,11600,11750,11700,17700,11700
57,25/01/2024,11800,11600,11600,11700,3700,11700
58,26/01/2024,11700,11550,11550,11700,2800,11700
59,29/01/2024,11700,11100,11700,11700,16700,11700
60,30/01/2024,11700,11450,11600,11700,8200,11700
61,31/01/2024,11700,11500,11650,11700,10900,11700
62,01/02/2024,11900,11650,11650,11800,29100,11800
63,02/02/2024,11850,11650,11650,11800,6600,11800
64,05/02/2024,11800,11600,11600,11800,8700,11800
65,06/02/2024,11800,11600,11600,11750,7800,11800
66,07/02/2024,12300,11750,11750,11950,39200,12000
67,15/02/2024,12200,11950,11950,11950,37000,12000
68,16/02/2024,12150,11950,12000,12100,16800,12100
69,19/02/2024,12150,11900,12050,12150,25500,12200
70,20/02/2024,12300,12100,12200,12100,15800,12100
71,21/02/2024,12300,12050,12150,12050,13000,12100
72,22/02/2024,12200,12050,12050,12100,3900,12100
73,23/02/2024,12150,12000,12050,12150,26100,12200
74,26/02/2024,12150,11850,12100,12150,2300,12200
75,27/02/2024,12150,12050,12100,12150,13700,12200
76,28/02/2024,12200,12150,12150,12150,22400,12200
77,29/02/2024,12150,11900,12150,12100,6300,12100
78,01/03/2024,12300,12150,12150,12200,10300,12200
79,04/03/2024,12300,12200,12250,12250,38200,12300
80,05/03/2024,12450,12200,12250,12300,17500,12300
81,06/03/2024,12400,12300,12350,12350,11200,12400
82,07/03/2024,12350,12250,12350,12350,17300,12400
83,08/03/2024,12400,12000,12350,12400,12800,12400
84,11/03/2024,12450,12350,12450,12400,54200,12400
85,12/03/2024,12500,12400,12400,12450,36500,12500
86,13/03/2024,12500,12400,12450,12500,41700,12500
87,14/03/2024,12650,12500,12500,12600,14700,12600
88,15/03/2024,12700,12600,12700,12700,19400,12700
89,18/03/2024,12800,12500,12700,12700,82600,12700
90,19/03/2024,12900,12700,12900,12850,77430,12900
91,20/03/2024,13000,12850,12900,13000,66000,13000
92,21/03/2024,13300,13000,13100,13300,85300,13300
93,22/03/2024,13600,13350,13400,13550,123700,13600
94,25/03/2024,13650,13500,13600,13600,96100,13600
95,26/03/2024,13800,13000,13700,13700,190300,13700
96,27/03/2024,14000,13800,13800,14000,108800,14000
97,28/03/2024,14350,14150,14350,14300,159600,14300
98,29/03/2024,14450,14300,14400,14350,64900,14400
99,01/04/2024,14400,14000,14000,14400,115300,14400
100,02/04/2024,14500,14400,14500,14500,59500,14500
101,03/04/2024,14600,14400,14500,14500,71900,14500
102,04/04/2024,14550,14450,14500,14500,73500,14500
103,05/04/2024,14500,14300,14500,14500,48000,14500
104,08/04/2024,14900,14450,14450,14900,170100,14900
105,09/04/2024,15050,14850,15000,14950,66000,15000
106,10/04/2024,15000,14950,15000,15000,63100,15000
107,11/04/2024,15150,15000,15000,15000,41300,15000
108,12/04/2024,15000,14950,15000,14950,23800,15000
109,15/04/2024,15000,14800,14900,14800,57600,14800
110,16/04/2024,14700,14300,14700,14550,117100,14600
