,Date,High,Low,Open,Close,Volume,Adj Close
0,27/03/2024,40300,40000,40100,40300,10500,38900
1,28/03/2024,40500,40300,40500,40400,15500,39000
2,29/03/2024,40400,40200,40400,40200,8500,38800
3,01/04/2024,40500,39950,40200,39950,18600,38600
4,02/04/2024,40000,39350,39950,40000,4200,38600
5,03/04/2024,40500,39700,40500,40400,23700,39000
6,04/04/2024,40900,39650,40400,40000,12700,38600
7,05/04/2024,40300,39350,40300,39900,42000,38500
8,08/04/2024,39800,39300,39800,39750,14800,38400
9,09/04/2024,39750,39450,39700,39750,4100,38400
10,10/04/2024,40250,39500,39800,40100,6500,38700
11,11/04/2024,40000,39650,40000,40000,9100,38600
12,12/04/2024,40100,39800,40000,40100,14800,38700
13,15/04/2024,40050,38700,39600,40050,13400,38600
14,16/04/2024,39100,38500,39000,38650,14700,37300
15,17/04/2024,39500,38500,38700,39200,36700,37800
16,19/04/2024,38500,37700,38500,38400,14900,37100
17,22/04/2024,38200,37600,37850,38200,14500,36900
18,23/04/2024,37700,36500,37650,36650,43100,35400
19,24/04/2024,38450,37500,37500,38400,14900,37100
20,25/04/2024,38450,37600,38400,38300,11200,37000
21,26/04/2024,39000,38500,38600,38800,21700,37400
22,02/05/2024,39000,38000,39000,38500,12300,37200
23,03/05/2024,38900,38050,38500,38900,23100,37500
24,06/05/2024,38900,38000,38900,38900,12600,37500
25,07/05/2024,39000,38200,38900,38900,104003,37500
26,08/05/2024,39450,38500,38900,39400,24200,38000
27,09/05/2024,40750,39400,39500,40500,21800,39100
28,10/05/2024,40500,39800,40500,40100,14100,38700
29,13/05/2024,40500,39850,40000,40100,7000,38700
30,14/05/2024,40100,39650,40100,39900,81603,38500
31,15/05/2024,40900,39900,39900,40350,12000,38900
32,16/05/2024,40900,40300,40400,40300,8500,38900
33,17/05/2024,40500,40200,40400,40200,38700,38800
34,20/05/2024,40400,40050,40200,40200,39800,38800
35,21/05/2024,42300,40200,40200,41150,48600,39700
36,22/05/2024,41500,40600,41150,41000,7900,39600
37,23/05/2024,41900,41000,41000,41500,37900,40000
38,24/05/2024,42500,41400,41450,41400,35500,40000
39,27/05/2024,42800,40900,41450,42800,43000,41300
40,28/05/2024,43500,42500,42500,43500,63000,42000
41,29/05/2024,44100,43500,44000,43500,24400,42000
42,30/05/2024,43800,42950,43550,42950,16400,41400
