,Date,High,Low,Open,Close,Volume,Adj Close
0,10/08/2021,11900,11550,11600,11800,67700,11400
1,11/08/2021,12500,11850,11850,12400,122200,12000
2,12/08/2021,12400,11900,12400,12150,81500,11800
3,13/08/2021,12250,11900,12100,12100,94600,11700
4,16/08/2021,12800,12300,12350,12650,252600,12300
5,17/08/2021,12950,12600,12700,12800,132500,12400
6,18/08/2021,12900,12600,12800,12600,59200,12200
7,19/08/2021,12900,12400,12400,12750,122700,12400
8,20/08/2021,12900,12300,12400,12400,153500,12000
9,23/08/2021,12450,11900,12450,12000,72700,11600
10,24/08/2021,12000,11800,12000,11900,89900,11500
11,25/08/2021,11900,11700,11800,11850,55600,11500
12,26/08/2021,12200,11700,11850,11900,55800,11500
13,27/08/2021,12100,11800,11800,12050,44800,11700
14,30/08/2021,12850,12100,12150,12850,190600,12500
15,31/08/2021,13100,12900,13000,12950,239400,12600
16,01/09/2021,12950,12600,12950,12800,69400,12400
17,06/09/2021,13650,13100,13100,13650,426000,13200
18,07/09/2021,13950,13100,13950,13250,204400,12800
19,08/09/2021,13250,12850,12900,13100,103400,12700
20,09/09/2021,13200,12750,13000,13200,118700,12800
21,10/09/2021,13650,13100,13500,13100,86200,12700
22,13/09/2021,13300,12800,13100,12950,135500,12600
23,14/09/2021,13200,12750,13000,12800,106100,12400
24,15/09/2021,13000,12500,12650,12900,109800,12500
25,16/09/2021,13200,12850,13100,12850,82900,12500
26,17/09/2021,13100,12850,12850,12900,70500,12500
27,20/09/2021,13000,12850,13000,12950,78200,12600
28,21/09/2021,12950,12600,12950,12800,79900,12400
29,22/09/2021,13500,12650,12800,13500,229700,13100
30,23/09/2021,13950,13500,13950,13500,269200,13100
31,24/09/2021,13450,13000,13450,13100,77800,12700
32,27/09/2021,13100,12750,13050,12750,73900,12400
33,28/09/2021,12900,12600,12900,12850,57100,12500
34,29/09/2021,12850,12650,12850,12650,69800,12300
35,30/09/2021,13000,12650,12700,12650,76200,12300
36,01/10/2021,12900,12700,12700,12800,187039,12400
37,04/10/2021,13300,12750,12800,13100,116600,12700
38,05/10/2021,13350,13150,13200,13200,67800,12800
39,06/10/2021,13250,12950,13200,13050,53500,12600
40,07/10/2021,13200,12900,12900,13150,67300,12700
41,08/10/2021,13500,13250,13250,13350,174000,12900
42,11/10/2021,13600,13400,13500,13450,152600,13000
43,12/10/2021,13500,13200,13450,13300,75200,12900
44,13/10/2021,13500,13050,13500,13300,73400,12900
45,14/10/2021,13300,13100,13300,13150,46400,12700
46,15/10/2021,13250,13000,13000,13100,72200,12700
47,18/10/2021,13300,13050,13200,13050,42200,12600
48,19/10/2021,13050,12950,13050,13000,34100,12600
49,20/10/2021,13100,12900,12950,13000,77900,12600
50,21/10/2021,13500,12900,12900,13450,131100,13000
51,22/10/2021,13600,13100,13100,13400,82700,13000
52,25/10/2021,14000,13400,13400,13700,156100,13300
53,26/10/2021,13850,13400,13650,13550,110700,13100
54,27/10/2021,14450,13550,13550,14450,578400,14000
55,28/10/2021,15350,14600,14600,15050,485000,14600
56,29/10/2021,15300,14800,15100,15200,225200,14700
57,01/11/2021,15500,14450,14900,15200,492600,14700
58,02/11/2021,16000,15000,15250,16000,379200,15500
59,03/11/2021,16200,14900,16000,15100,198000,14600
60,04/11/2021,16150,14800,14900,16150,371500,15700
61,05/11/2021,17250,16150,16800,17100,479400,16600
62,08/11/2021,17600,16700,17200,17150,353200,16600
63,09/11/2021,17150,16000,17150,16900,231900,16400
64,10/11/2021,17200,16600,16600,16900,245400,16400
65,11/11/2021,17300,16700,17100,17200,316000,16700
66,12/11/2021,18400,16900,17200,18150,312800,17600
67,15/11/2021,18500,17450,18500,17800,224900,17300
68,16/11/2021,17800,17200,17800,17350,249300,16800
69,17/11/2021,17700,16800,17150,17500,256400,17000
70,18/11/2021,18000,17100,17500,17150,145300,16600
71,19/11/2021,17100,16100,17100,16400,363900,15900
72,22/11/2021,16700,15300,15850,15300,271100,14800
73,23/11/2021,16200,15100,15100,16100,124000,15600
74,24/11/2021,17200,16400,16400,17000,401800,16500
75,25/11/2021,17500,16800,17200,16800,200600,16300
76,26/11/2021,17150,16800,17100,17000,224100,16500
77,29/11/2021,17000,16200,16200,16950,276600,16400
78,30/11/2021,18000,16450,16450,17400,610500,16900
79,01/12/2021,18200,17100,17400,17400,121200,16900
