,Date,High,Low,Open,Close,Volume,Adj Close
0,04/04/2024,18300,18250,18300,18250,1000,18300
1,05/04/2024,19050,18250,18250,19000,700,19000
2,08/04/2024,18900,18850,18900,18900,800,18900
3,09/04/2024,18650,17700,18250,17700,3700,17700
4,10/04/2024,17700,17700,17700,17700,-,17700
5,11/04/2024,17650,16750,17100,17650,3300,17700
6,12/04/2024,18500,17100,17650,18400,9300,18400
7,15/04/2024,18550,18500,18500,18550,10300,18600
8,16/04/2024,18550,18550,18550,18550,300,18600
9,17/04/2024,18000,18000,18000,18000,100,18000
10,19/04/2024,18000,18000,18000,18000,300,18000
11,22/04/2024,17900,17900,17900,17900,100,17900
12,23/04/2024,17900,16650,17100,17750,4200,17800
13,24/04/2024,17800,16550,17800,16550,19600,16600
14,25/04/2024,16550,16550,16550,16550,300,16600
15,26/04/2024,16550,16000,16500,16550,3200,16600
16,02/05/2024,16900,16050,16900,16050,2900,16100
17,03/05/2024,16050,16050,16050,16050,300,16100
18,06/05/2024,16600,16100,16600,16100,1000,16100
19,07/05/2024,16400,15100,16000,16400,2800,16400
20,08/05/2024,16350,16300,16350,16300,1700,16300
21,09/05/2024,16200,16200,16200,16200,1000,16200
22,10/05/2024,17300,15600,16950,15800,6300,15800
23,13/05/2024,16400,15800,15800,16400,3100,16400
24,14/05/2024,16550,16500,16500,16550,1800,16600
25,15/05/2024,16650,16550,16650,16550,1400,16600
26,16/05/2024,16950,16850,16900,16850,800,16900
27,17/05/2024,17950,15800,15800,17300,2100,17300
28,20/05/2024,17500,16800,16800,17400,7500,17400
29,21/05/2024,18550,17050,18550,17100,8800,17100
30,22/05/2024,18200,17050,17300,18200,1800,18200
31,23/05/2024,18200,18100,18200,18150,2300,18200
32,24/05/2024,17850,17050,17600,17850,6900,17900
33,27/05/2024,16700,16650,16700,16650,10700,16700
34,28/05/2024,17600,15650,15650,17300,12300,17300
35,29/05/2024,17300,16300,17300,17050,700,17100
36,30/05/2024,17050,16000,17050,16900,7300,16900
37,31/05/2024,17000,16700,16700,16700,4000,16700
38,03/06/2024,17400,15900,16700,16050,4500,16100
39,04/06/2024,17000,16100,17000,16900,4100,16900
40,05/06/2024,17000,16700,17000,16900,2500,16900
41,06/06/2024,16900,16700,16900,16700,3100,16700
42,07/06/2024,17400,16050,16050,16500,14700,16500
43,10/06/2024,17250,17000,17250,17000,900,17000
44,11/06/2024,17000,16500,17000,16900,2300,16900
45,12/06/2024,17300,16100,16100,16850,3200,16900
46,13/06/2024,17650,16900,17400,16900,10400,16900
47,14/06/2024,17500,16800,17500,17000,2900,17000
48,17/06/2024,17000,16850,17000,16850,6700,16900
49,18/06/2024,17500,16850,17500,16850,300,16900
50,19/06/2024,17400,16300,16350,16800,3500,16800
51,20/06/2024,17000,16150,16150,16950,4600,17000
52,21/06/2024,17250,16000,16950,17100,15000,17100
53,24/06/2024,17100,17000,17000,17000,7800,17000
54,25/06/2024,16950,16500,16950,16800,3100,16800
55,26/06/2024,16800,16500,16800,16750,1200,16800
56,27/06/2024,16750,16750,16750,16750,100,16800
57,28/06/2024,16750,16200,16750,16500,1000,16500
58,01/07/2024,16500,16000,16500,16400,14200,16400
59,02/07/2024,16650,16000,16150,16000,5200,16000
60,03/07/2024,16050,16000,16000,16050,2100,16100
61,04/07/2024,16600,15800,16050,16550,2100,16600
62,05/07/2024,16100,15500,16050,16100,8500,16100
63,08/07/2024,15900,15200,15350,15500,7100,15500
64,09/07/2024,15700,15200,15500,15300,10600,15300
65,10/07/2024,15350,15100,15350,15350,2000,15400
66,11/07/2024,15400,14500,15300,14900,41400,14900
67,12/07/2024,14900,14100,14900,14500,10600,14500
68,15/07/2024,14800,14500,14500,14800,600,14800
69,16/07/2024,14500,14050,14500,14350,16300,14400
70,17/07/2024,14500,14000,14000,14400,7200,14400
71,18/07/2024,14400,14400,14400,14400,-,14400
72,19/07/2024,14350,13700,14350,13700,1300,13700
73,22/07/2024,13650,13200,13200,13650,2000,13700
74,23/07/2024,14200,13500,13600,13500,4600,13500
75,24/07/2024,13550,13000,13400,13550,1700,13600
76,25/07/2024,13800,13800,13800,13800,100,13800
77,26/07/2024,13800,13800,13800,13800,100,13800
78,29/07/2024,13800,13800,13800,13800,100,13800
79,30/07/2024,13950,13200,13800,13850,400,13900
80,31/07/2024,14350,13850,13850,14000,4500,14000
81,01/08/2024,14300,13600,14200,13600,5700,13600
82,02/08/2024,14100,13100,13650,13150,3500,13200
83,05/08/2024,13600,13600,13600,13600,400,13600
84,06/08/2024,13600,12750,13600,13000,23900,13000
85,07/08/2024,13000,13000,13000,13000,-,13000
86,08/08/2024,12800,12700,12700,12800,14500,12800
87,09/08/2024,13300,12800,12800,13300,1200,13300
88,12/08/2024,13800,12800,13800,13500,1500,13500
89,13/08/2024,13350,13000,13000,13350,200,13400
90,14/08/2024,13750,13350,13750,13450,300,13500
91,15/08/2024,13200,13000,13000,13200,800,13200
92,16/08/2024,13500,13000,13000,13400,2300,13400
93,19/08/2024,13800,12500,13300,12700,7500,12700
94,20/08/2024,13400,12900,13350,13300,3500,13300
95,21/08/2024,13200,12650,12800,13150,800,13200
96,22/08/2024,13400,13100,13400,13150,3800,13200
97,23/08/2024,13150,13000,13150,13000,2000,13000
98,26/08/2024,13000,12800,12850,12900,6300,12900
99,27/08/2024,12750,12500,12650,12750,5600,12800
100,28/08/2024,12800,12750,12750,12800,5900,12800
101,29/08/2024,13000,12700,12700,13000,2800,13000
102,30/08/2024,13100,12800,13100,12800,3300,12800
103,04/09/2024,12800,12400,12450,12800,7500,12800
