,Date,High,Low,Open,Close,Volume,Adj Close
0,27/03/2023,20900,16000,19700,16000,13600,14200
1,28/03/2023,17000,17000,17000,17000,-,15100
2,29/03/2023,19500,17000,17000,19500,6300,17300
3,30/03/2023,18800,18800,18800,18800,200,16700
4,31/03/2023,18800,18800,18800,18800,-,16700
5,03/04/2023,17700,17500,17700,17500,1000,15500
6,04/04/2023,17600,17600,17600,17600,-,15600
7,05/04/2023,20000,17600,19900,17600,5600,15600
8,06/04/2023,19800,19800,19800,17600,2,17600
9,07/04/2023,20800,20700,20700,20800,900,18500
10,10/04/2023,20700,20700,20700,20700,-,18400
11,11/04/2023,19000,17700,19000,17700,2500,15700
12,12/04/2023,18100,18100,18100,18100,-,16100
13,13/04/2023,19000,18000,19000,18000,500,16000
14,14/04/2023,19500,19000,19000,19500,1300,17300
15,17/04/2023,19200,19200,19200,19200,605,17000
16,18/04/2023,19100,19100,19100,19100,200,17000
17,19/04/2023,19200,19200,19200,19200,300,17000
18,20/04/2023,19300,19300,19300,19300,103,17100
19,21/04/2023,19300,19300,19300,19300,500,17100
20,24/04/2023,19700,19700,19700,19700,500,17500
21,25/04/2023,19900,19700,19700,19900,1200,17700
22,26/04/2023,19800,19800,19800,19800,105,17600
23,27/04/2023,19800,19800,19800,19800,-,17600
24,28/04/2023,19800,19800,19800,19800,-,17600
25,04/05/2023,19800,19800,19800,19800,1,17600
26,05/05/2023,21000,20900,21000,20900,205,18600
27,08/05/2023,20900,20900,20900,20900,310,18600
28,09/05/2023,20900,20900,20900,20900,10,18600
29,10/05/2023,20900,20900,20900,20900,69,18600
30,11/05/2023,20900,20900,20900,20900,1382400,18600
31,12/05/2023,20000,19400,20000,19400,2412,17200
32,15/05/2023,19700,19700,19700,19700,300,17500
33,16/05/2023,19700,19700,19700,19700,-,17500
34,17/05/2023,18900,18900,18900,19700,1,17500
35,18/05/2023,18900,18900,18900,18900,-,17500
36,19/05/2023,18900,18900,18900,18900,-,17500
37,22/05/2023,18900,18900,18900,18900,-,17500
38,23/05/2023,18900,18900,18900,18900,-,17500
39,24/05/2023,18900,18900,18900,19700,1,17500
40,25/05/2023,18900,18900,18900,18900,-,17500
41,26/05/2023,18900,18900,18900,18900,-,17500
42,29/05/2023,18900,18900,18900,19700,32,17500
43,30/05/2023,21000,19000,21000,19000,604,17600
44,31/05/2023,20000,20000,20000,20000,100,18500
45,01/06/2023,21000,21000,21000,21000,100,19400
46,02/06/2023,20500,20500,20500,20500,500,19000
47,05/06/2023,20700,20700,20700,20700,900,19200
48,06/06/2023,20700,20700,20700,20700,100,19200
49,07/06/2023,20700,20700,20700,20700,10,19200
50,08/06/2023,20700,20700,20700,20700,100,19200
51,09/06/2023,21000,21000,21000,21000,310,19400
52,12/06/2023,21200,20000,21200,20000,600,18500
53,13/06/2023,20200,20200,20200,20000,20,18700
54,14/06/2023,21200,21200,21200,21200,600,19600
55,15/06/2023,21200,21200,21200,21200,-,19600
56,16/06/2023,21200,21200,21200,21200,-,19600
57,19/06/2023,19600,18100,19600,18100,15500,16700
58,20/06/2023,18300,18300,18300,18100,3,16900
59,21/06/2023,19200,18300,19200,18300,9000,16900
60,22/06/2023,18500,18300,18500,18300,6900,16900
61,23/06/2023,19400,18400,18600,19000,6500,17600
62,26/06/2023,18400,18300,18400,18300,3507,16900
63,27/06/2023,18500,18500,18500,18500,600,17100
64,28/06/2023,18900,18900,18900,18900,224,17500
65,29/06/2023,18900,18800,18800,18900,1600,17500
66,30/06/2023,19000,18900,18900,19000,1600,17600
67,03/07/2023,20100,20000,20100,20000,2800,18500
68,04/07/2023,20200,18500,20200,18500,15037,17100
69,05/07/2023,18500,18400,18500,18400,3000,17000
70,06/07/2023,20100,18400,18500,19900,2550,18400
71,07/07/2023,18700,18700,18700,18700,-,17300
72,10/07/2023,18600,18500,18600,18500,2300,17100
73,11/07/2023,19800,18600,19800,19800,18115,18300
74,12/07/2023,20000,20000,20000,20000,131,18500
75,13/07/2023,20500,19900,20000,20500,7009,19000
76,27/07/2023,23000,19700,23000,20700,20200,19200
77,28/07/2023,20000,19300,20000,19450,5500,18000
78,31/07/2023,20000,19150,19400,19400,5000,18000
79,01/08/2023,19450,18400,19250,19450,20300,18000
80,02/08/2023,19400,18700,19400,18800,3700,17400
81,03/08/2023,18700,18500,18700,18500,5500,17100
82,04/08/2023,19350,18700,19300,19300,400,17900
83,07/08/2023,20300,19100,20300,19200,6200,17800
84,08/08/2023,19500,19200,19300,19500,4000,18000
85,09/08/2023,19400,19200,19300,19400,3700,18000
86,10/08/2023,19400,18550,18550,19200,700,17800
87,11/08/2023,19200,19000,19000,19200,1200,17800
88,14/08/2023,19100,18900,19100,18900,600,17500
89,15/08/2023,19200,19000,19200,19200,600,17800
90,16/08/2023,19300,19000,19200,19200,2000,17800
91,17/08/2023,19200,19000,19200,19200,2400,17800
92,18/08/2023,19100,19000,19000,19100,5200,17700
93,21/08/2023,19100,19100,19100,19100,-,17700
94,22/08/2023,19200,19200,19200,19200,200,17800
95,23/08/2023,19200,19200,19200,19200,-,17800
96,24/08/2023,19500,19500,19500,19500,300,18000
97,25/08/2023,19500,19000,19500,19000,2300,17600
98,28/08/2023,19700,19700,19700,19700,2800,18200
99,29/08/2023,20500,19700,19700,20500,6600,19000
100,30/08/2023,21000,20000,20600,20800,5900,19200
101,31/08/2023,21200,21200,21200,21200,200,19600
102,05/09/2023,21200,21200,21200,21200,-,19600
103,06/09/2023,21100,21100,21100,21100,100,19500
104,07/09/2023,21100,21000,21100,21000,400,19400
105,08/09/2023,21000,21000,21000,21000,-,19400
106,11/09/2023,20000,20000,20000,20000,200,18500
107,12/09/2023,20000,20000,20000,20000,-,18500
108,13/09/2023,20500,20500,20500,20500,400,19000
109,14/09/2023,20500,20500,20500,20500,-,19000
110,15/09/2023,20500,20500,20500,20500,-,19000
111,18/09/2023,20000,20000,20000,20000,100,18500
112,19/09/2023,20000,20000,20000,20000,-,18500
113,20/09/2023,20000,20000,20000,20000,-,18500
114,21/09/2023,19500,19200,19500,19200,700,17800
115,22/09/2023,19200,19200,19200,19200,300,17800
116,25/09/2023,18500,18500,18500,18500,500,17100
117,26/09/2023,19000,18500,18500,19000,600,17600
118,27/09/2023,18000,18000,18000,18000,600,16700
119,28/09/2023,18000,18000,18000,18000,-,16700
120,29/09/2023,18000,18000,18000,18000,-,16700
121,02/10/2023,18050,18050,18050,18050,100,16700
122,03/10/2023,18050,18050,18050,18050,-,16700
123,04/10/2023,19300,19300,19300,19300,100,17900
124,05/10/2023,19300,19300,19300,19300,-,17900
125,06/10/2023,20000,19600,20000,19600,1400,18100
126,09/10/2023,20000,20000,20000,20000,1100,18500
127,10/10/2023,19950,18600,19950,18600,7500,17200
128,11/10/2023,19900,18000,18000,19900,5800,18400
129,12/10/2023,19000,18550,18550,18800,800,17400
130,13/10/2023,20000,18800,18800,20000,2200,18500
131,16/10/2023,20000,18900,20000,18900,500,17500
132,17/10/2023,18900,18900,18900,18900,-,17500
133,18/10/2023,18300,18000,18300,18000,2200,16700
134,19/10/2023,18000,18000,18000,18000,-,16700
135,20/10/2023,18000,18000,18000,18000,-,16700
136,23/10/2023,18950,18900,18900,18950,1100,17500
137,24/10/2023,18950,18950,18950,18950,-,17500
138,25/10/2023,19850,18550,18550,19850,200,18400
139,26/10/2023,18550,18500,18550,18500,1900,17100
140,27/10/2023,18500,18500,18500,18500,-,17100
141,30/10/2023,19650,18500,19650,18500,200,17100
142,31/10/2023,18500,18500,18500,18500,-,17100
143,01/11/2023,19500,18350,19500,18500,400,17100
144,02/11/2023,18500,18500,18500,18500,-,17100
145,03/11/2023,18500,18500,18500,18500,-,17100
146,06/11/2023,19000,19000,19000,19000,100,17600
147,07/11/2023,19000,19000,19000,19000,-,17600
148,08/11/2023,19000,19000,19000,19000,300,17600
149,09/11/2023,19000,19000,19000,19000,1100,17600
150,10/11/2023,19000,19000,19000,19000,-,17600
151,13/11/2023,19000,19000,19000,19000,-,17600
152,14/11/2023,18400,18400,19000,18400,-,17600
153,15/11/2023,18400,18400,19000,18400,-,17600
154,16/11/2023,18400,18400,19000,18400,-,17600
155,17/11/2023,18400,18400,19000,18400,-,17600
156,20/11/2023,18400,18400,19000,18400,-,17600
157,21/11/2023,18400,18400,19000,18400,-,17600
158,22/11/2023,18400,18400,18400,18400,-,17600
159,23/11/2023,18400,18400,18400,18400,-,17600
160,24/11/2023,18400,18400,19000,18400,-,17600
161,27/11/2023,18500,18500,18500,18500,1200,17700
162,28/11/2023,18500,18500,18500,18500,100,17700
163,29/11/2023,19000,18500,18500,19000,300,18200
164,30/11/2023,19000,19000,19000,19000,-,18200
165,01/12/2023,19100,19100,19100,19100,200,18200
166,04/12/2023,19100,19000,19100,19000,200,18200
167,05/12/2023,18050,18050,18050,18050,100,17200
168,06/12/2023,18250,18000,18250,18250,26000,17400
169,07/12/2023,18250,18250,18250,18250,-,17400
170,08/12/2023,18250,18250,18250,18250,-,17400
171,11/12/2023,18250,18250,18250,18250,-,17400
172,12/12/2023,19500,19000,19000,19300,3300,18400
173,13/12/2023,20000,18150,20000,18150,9100,17300
174,14/12/2023,19100,18800,18800,19100,500,18200
175,15/12/2023,19000,18950,19000,18950,700,18100
176,18/12/2023,18950,18950,18950,18950,-,18100
177,19/12/2023,19000,19000,19000,19000,500,18200
178,20/12/2023,18900,18500,18900,18700,3100,17900
179,21/12/2023,19000,18800,18800,19000,1300,18200
180,22/12/2023,19000,19000,19000,19000,-,18200
181,25/12/2023,19500,19200,19500,19200,2300,18300
182,26/12/2023,19200,19200,19200,19200,-,18300
183,27/12/2023,19300,18700,19300,18700,2700,17900
184,28/12/2023,18700,18700,18700,18700,300,17900
185,29/12/2023,19000,19000,19000,19000,500,18200
186,02/01/2024,20000,18700,19900,18700,2900,17900
187,03/01/2024,18700,18700,18700,18700,-,17900
188,04/01/2024,18700,18700,18700,18700,-,17900
189,05/01/2024,19900,19300,19900,19500,1200,18600
190,08/01/2024,20000,19050,20000,19050,500,18200
191,09/01/2024,19050,19050,19050,19050,100,18200
192,10/01/2024,19050,19050,19050,19050,300,18200
193,11/01/2024,19200,19200,19200,19200,1700,18300
194,12/01/2024,20100,19500,19500,20100,68600,19200
195,15/01/2024,21500,21100,21500,21100,1700,20200
196,16/01/2024,21200,21200,21200,21200,2100,20300
197,17/01/2024,21550,21250,21300,21550,2100,20600
198,18/01/2024,21950,20050,21950,20050,5500,19200
199,19/01/2024,21100,20950,20950,21100,400,20200
200,22/01/2024,21850,21850,21850,21850,200,20900
201,23/01/2024,21850,21800,21800,21850,500,20900
202,24/01/2024,21850,21850,21850,21850,500,20900
203,25/01/2024,22000,21850,21850,22000,2000,21000
204,26/01/2024,22100,22100,22100,22100,100,21100
205,29/01/2024,22000,22000,22000,22000,400,21000
206,30/01/2024,22000,22000,22000,22000,-,21000
207,31/01/2024,22000,20600,22000,20600,2200,19700
208,01/02/2024,22000,21950,21950,22000,600,21000
209,02/02/2024,22000,22000,22000,22000,-,21000
210,05/02/2024,22100,22000,22100,22100,8800,21100
211,06/02/2024,22600,20750,22600,20750,2000,19800
212,07/02/2024,22200,22200,22200,22200,4000,21200
213,15/02/2024,22500,22200,22200,22500,4400,21500
214,16/02/2024,22500,22500,22500,22500,-,21500
215,19/02/2024,22500,22500,22500,22500,-,21500
216,20/02/2024,23900,22500,22500,23900,1100,22800
217,21/02/2024,22700,22700,22700,22700,500,21700
218,22/02/2024,22800,22800,22800,22800,300,21800
219,23/02/2024,22800,22800,22800,22800,-,21800
220,26/02/2024,22800,22700,22800,22700,200,21700
