,Date,High,Low,Open,Close,Volume,Adj Close
0,05/07/2022,18550,17900,18500,17900,654500,15600
1,06/07/2022,17000,16650,16650,16650,522300,14500
2,07/07/2022,17150,15500,15700,17150,451700,14900
3,08/07/2022,17800,17000,17400,17350,278500,15100
4,11/07/2022,17200,16600,17200,16950,243800,14700
5,12/07/2022,17200,16000,16600,16950,723500,14700
6,13/07/2022,18100,17200,17400,18100,523400,15700
7,14/07/2022,18600,17400,17400,18500,381200,16100
8,15/07/2022,18450,17800,18450,18150,237800,15800
9,18/07/2022,18500,17800,18200,18150,337700,15800
10,19/07/2022,18250,17500,18200,18100,228800,15700
11,20/07/2022,19200,17800,18300,18800,904300,16400
12,21/07/2022,19450,18400,19000,18950,590400,16500
13,22/07/2022,19200,18650,19200,18950,210400,16500
14,25/07/2022,19000,18400,18950,18750,283900,16300
15,26/07/2022,18900,18250,18600,18500,319700,16100
16,27/07/2022,18700,17600,18300,18400,668200,16000
17,28/07/2022,19300,18000,18450,19150,1046900,16700
18,29/07/2022,19200,18800,19200,19200,436900,16700
19,01/08/2022,19550,18900,19400,19400,1187900,16900
20,02/08/2022,20250,19100,19300,20250,1432100,17600
21,03/08/2022,20400,19550,19800,20150,652800,17500
22,04/08/2022,20450,19550,20150,20450,953000,17800
23,05/08/2022,20600,19850,20400,20500,573800,17800
24,08/08/2022,20700,20100,20700,20450,870600,17800
25,09/08/2022,21050,20200,20200,20950,843800,18200
26,10/08/2022,21450,20700,20900,20850,553700,18100
27,11/08/2022,21200,20550,21000,20850,818900,18100
28,12/08/2022,21100,20200,20200,20850,1018400,18100
29,15/08/2022,21000,20300,20950,20300,748600,17700
30,16/08/2022,20400,19900,20400,20400,576100,17700
31,17/08/2022,20350,19700,20300,20000,702000,17400
32,18/08/2022,20000,18700,19800,18700,664700,16300
33,19/08/2022,19200,18000,18500,18000,604700,15700
34,22/08/2022,18000,17350,17600,18000,421100,15700
35,23/08/2022,18950,17450,17450,18900,673800,16400
36,24/08/2022,19350,18400,18950,19150,917200,16700
37,25/08/2022,19400,18550,19200,19100,868200,16600
38,26/08/2022,19400,18700,19100,19200,602700,16700
39,29/08/2022,18700,18100,18700,18500,546900,16100
40,30/08/2022,18650,18000,18500,18400,1072000,16000
41,31/08/2022,18850,18000,18400,18850,1151900,16400
42,05/09/2022,17000,16050,17000,16700,822100,16700
43,06/09/2022,16850,16100,16700,16400,742000,16400
44,07/09/2022,16650,15900,16400,16100,704900,16100
45,08/09/2022,16000,15300,16000,16000,1509400,16000
46,09/09/2022,16000,15300,15900,15850,777300,15900
47,12/09/2022,16200,15250,16050,15650,863300,15700
48,13/09/2022,15750,14950,15350,15550,560300,15600
49,14/09/2022,15350,14950,15200,15300,753900,15300
50,15/09/2022,15300,14800,15300,15100,1236000,15100
51,16/09/2022,15200,14850,15100,15050,435400,15100
