,Date,High,Low,Open,Close,Volume,Adj Close
0,07/09/2022,36400,36000,36350,36300,267000,33000
1,08/09/2022,36350,35550,36100,36300,290500,33000
2,09/09/2022,36450,35700,35700,36300,252600,33000
3,12/09/2022,36200,35850,35850,36200,120600,32900
4,13/09/2022,36250,35700,36100,36250,1359200,33000
5,14/09/2022,36200,35550,35750,36200,712800,32900
6,15/09/2022,36200,35800,36200,36200,815000,32900
7,16/09/2022,36150,35750,36000,36100,1085700,32800
8,19/09/2022,36200,35550,36000,36200,1110200,32900
9,20/09/2022,36200,35600,35600,36200,311700,32900
10,21/09/2022,36200,35800,36150,36200,208200,32900
11,22/09/2022,36200,35800,36000,36200,248300,32900
12,23/09/2022,36200,35900,36000,36200,335000,32900
13,26/09/2022,36000,35500,35800,36000,463900,32700
14,27/09/2022,36150,35650,35750,36150,517400,32900
15,28/09/2022,36150,35700,35750,36150,427000,32900
16,29/09/2022,36150,35850,36150,36000,454432,32700
17,30/09/2022,36000,35000,35800,36000,311400,32700
18,03/10/2022,36000,33500,36000,33500,193100,30500
19,04/10/2022,35500,31200,33600,35500,226400,32300
20,05/10/2022,36000,35150,35500,35950,61700,32700
21,06/10/2022,36150,35600,36000,36150,253200,32900
22,07/10/2022,36000,34500,35550,36000,232200,32700
23,10/10/2022,36000,35100,35300,36000,492300,32700
24,11/10/2022,35950,35200,35200,35950,626800,32700
25,12/10/2022,36000,35400,35900,36000,1018000,32700
26,13/10/2022,35950,35300,35800,35950,849000,32700
27,14/10/2022,35900,35000,35450,35000,1077300,31800
28,17/10/2022,35750,34000,35000,34000,327200,30900
29,18/10/2022,34500,34000,34250,34450,87300,31300
30,19/10/2022,34600,34450,34500,34450,27500,31300
31,20/10/2022,34800,34200,34450,34600,58400,31500
32,21/10/2022,34900,33950,34900,34550,178400,31400
33,24/10/2022,36000,33700,34100,36000,327700,32700
34,25/10/2022,36000,34500,36000,35000,575100,31800
35,26/10/2022,34900,34000,34600,34000,69900,30900
36,27/10/2022,34500,34300,34500,34500,54400,31400
37,28/10/2022,34850,34300,34850,34550,93500,31400
38,31/10/2022,36000,33500,34350,36000,233500,32700
39,01/11/2022,35000,34400,34500,34700,142300,31600
40,02/11/2022,34600,34000,34500,34100,606900,31000
41,03/11/2022,34100,33600,34000,34050,84600,31000
42,04/11/2022,33950,31700,33950,33900,167800,30800
43,07/11/2022,33900,32100,33900,33000,104500,30000
44,08/11/2022,33000,32000,32000,32950,86800,30000
45,09/11/2022,32850,32050,32850,32750,696400,29800
46,10/11/2022,32750,31200,32000,32200,130100,29300
47,11/11/2022,32000,30900,31500,32000,157700,29100
48,14/11/2022,31500,29800,30200,31500,292500,28700
49,15/11/2022,32000,29300,30800,32000,265200,29100
50,16/11/2022,33000,29900,30050,32300,87100,29400
51,17/11/2022,33500,32050,33300,33500,655500,30500
52,18/11/2022,33850,32800,33850,33800,52900,30700
53,21/11/2022,34000,33100,33800,33500,656700,30500
54,22/11/2022,34000,33100,34000,33500,36000,30500
55,23/11/2022,33500,32900,32900,33500,197300,30500
56,24/11/2022,33950,32900,33500,33450,28700,30400
57,25/11/2022,33900,32500,32500,33500,30800,30500
58,28/11/2022,34000,31200,34000,33500,45300,30500
59,29/11/2022,34000,33500,33750,34000,1817600,30900
60,30/11/2022,35500,33700,34000,35500,97900,32300
61,01/12/2022,36000,34050,36000,35000,657300,31800
62,02/12/2022,34900,34200,34650,34900,42200,31700
63,05/12/2022,35000,34300,34500,34850,33200,31700
64,06/12/2022,34850,34150,34500,34850,2435500,31700
65,07/12/2022,33000,30000,33000,31600,26300,31600
66,08/12/2022,31600,29800,29800,31550,52700,31600
67,09/12/2022,31800,30500,31800,31400,49600,31400
68,12/12/2022,31400,30350,31400,31400,51100,31400
69,13/12/2022,31400,30500,30500,31000,10400,31000
70,14/12/2022,31000,30400,31000,31000,18300,31000
71,15/12/2022,30850,30500,30600,30850,1060000,30900
72,16/12/2022,30850,30450,30850,30850,26600,30900
73,19/12/2022,30500,30000,30050,30500,548000,30500
74,20/12/2022,30450,30050,30100,30400,289300,30400
75,21/12/2022,30450,29100,29100,30350,84700,30400
76,22/12/2022,30350,29900,30000,29900,103700,29900
77,23/12/2022,30100,29500,30000,30100,214900,30100
78,26/12/2022,30100,29750,29850,30000,209300,30000
79,27/12/2022,29600,29200,29200,29300,238700,29300
80,28/12/2022,30000,29150,30000,29300,67700,29300
81,29/12/2022,29300,28800,29300,29300,71400,29300
82,30/12/2022,30400,28900,29400,30400,72000,30400
83,03/01/2023,29950,28950,28950,29750,62500,29800
84,04/01/2023,30000,29350,30000,29750,70900,29800
85,05/01/2023,29750,29300,29600,29750,536300,29800
86,06/01/2023,29750,29300,29750,29750,355600,29800
87,09/01/2023,29750,28350,28400,29750,148200,29800
88,10/01/2023,29750,29250,29500,29750,522200,29800
89,11/01/2023,29850,29350,29700,29850,474700,29900
90,12/01/2023,29800,29150,29150,29800,55400,29800
91,13/01/2023,29900,29250,29250,29800,63600,29800
92,16/01/2023,29900,29400,29800,29750,121387,29800
93,17/01/2023,29750,29350,29400,29750,59300,29800
94,18/01/2023,29850,29600,29850,29850,297000,29900
95,19/01/2023,29850,29300,29850,29850,8700,29900
96,27/01/2023,30000,29450,30000,29850,56200,29900
97,30/01/2023,30000,29450,29500,29750,58600,29800
98,31/01/2023,29800,29300,29800,29700,97400,29700
99,01/02/2023,29600,29350,29550,29600,68900,29600
100,02/02/2023,29600,29400,29600,29550,24500,29600
101,03/02/2023,29600,29350,29500,29600,88300,29600
102,06/02/2023,29700,29450,29600,29550,95200,29600
103,07/02/2023,29550,29100,29400,29550,64600,29600
104,08/02/2023,29500,29150,29350,29150,77800,29200
105,09/02/2023,29350,29000,29300,29000,74600,29000
106,10/02/2023,29300,28400,29300,28400,76300,28400
107,13/02/2023,28400,27900,28100,28400,83000,28400
108,14/02/2023,28600,28000,28400,28400,732300,28400
109,15/02/2023,28500,28000,28400,28500,2573700,28500
110,16/02/2023,28600,28300,28500,28600,1499100,28600
111,17/02/2023,28800,28400,28550,28800,549600,28800
112,20/02/2023,30000,28600,28800,30000,232500,30000
113,21/02/2023,30050,29050,30000,29900,797000,29900
114,22/02/2023,29900,29350,29900,29500,148900,29500
115,23/02/2023,29400,29000,29000,29300,137800,29300
116,24/02/2023,29300,28800,28900,29300,164800,29300
117,27/02/2023,29350,28900,29300,29300,4488300,29300
118,28/02/2023,29300,28800,29300,29300,107200,29300
119,01/03/2023,29300,28800,28800,29300,99400,29300
120,02/03/2023,29300,28900,29000,29300,93900,29300
121,03/03/2023,29250,28950,28950,29200,96900,29200
122,06/03/2023,29200,28300,29200,29200,104900,29200
123,07/03/2023,29600,28600,29600,29200,103900,29200
124,08/03/2023,29300,28650,29300,29150,86200,29200
125,09/03/2023,29150,29000,29150,29150,462100,29200
126,10/03/2023,29150,28550,28900,29150,96500,29200
127,13/03/2023,29150,28400,28400,29150,90800,29200
128,14/03/2023,28950,27300,27300,28950,76200,29000
129,15/03/2023,29000,28350,29000,28900,1067600,28900
130,16/03/2023,29000,28450,29000,28550,83500,28600
131,17/03/2023,28600,28150,28600,28550,78700,28600
132,20/03/2023,28500,27800,28100,28500,1031000,28500
133,21/03/2023,28450,27800,27850,28450,105100,28500
134,22/03/2023,28450,27850,28000,28450,82000,28500
135,23/03/2023,28250,27800,27900,28250,84100,28300
136,24/03/2023,28250,27700,27900,28250,104600,28300
137,27/03/2023,28250,27800,28250,28250,374800,28300
138,28/03/2023,28250,27900,28250,28200,85600,28200
139,29/03/2023,28250,27900,27900,28100,94600,28100
140,30/03/2023,28250,27850,27850,28250,89000,28300
141,31/03/2023,28250,27850,27900,28250,1575600,28300
142,03/04/2023,28100,27750,27900,28100,73500,28100
143,04/04/2023,28200,27850,28100,28100,90600,28100
144,05/04/2023,28100,27850,27850,28100,664500,28100
145,06/04/2023,28700,28200,28200,28450,1215100,28500
146,07/04/2023,28450,28100,28450,28400,80300,28400
147,10/04/2023,28400,28050,28400,28300,671300,28300
148,11/04/2023,28300,28000,28150,28300,2148200,28300
149,12/04/2023,28300,28000,28050,28300,92800,28300
150,13/04/2023,28200,28000,28200,28200,86800,28200
151,14/04/2023,28200,27000,28050,28150,95200,28200
152,17/04/2023,28100,27500,27900,28100,90900,28100
153,18/04/2023,28100,27600,27600,28100,74200,28100
154,19/04/2023,28150,27800,28100,28150,90300,28200
155,20/04/2023,28200,27850,28150,28200,84500,28200
156,21/04/2023,28200,27800,27900,28200,100400,28200
157,24/04/2023,28300,27800,27850,28300,87500,28300
158,25/04/2023,28250,27850,28250,28150,559600,28200
159,26/04/2023,28150,27800,27850,28150,83500,28200
160,27/04/2023,28150,27850,27950,28050,90000,28100
161,28/04/2023,28500,28100,28150,28500,117700,28500
162,04/05/2023,28900,28400,28800,28700,90100,28700
163,05/05/2023,28750,28500,28700,28750,90500,28800
164,08/05/2023,28700,28300,28400,28600,87400,28600
165,09/05/2023,28400,28150,28200,28200,85600,28200
166,10/05/2023,28200,27900,28100,28200,394700,28200
167,11/05/2023,28300,27900,28200,28200,119700,28200
168,12/05/2023,28300,27850,27900,28150,193800,28200
169,15/05/2023,28350,27800,28150,28050,584900,28100
170,16/05/2023,28050,27800,28050,27800,384200,27800
171,17/05/2023,27900,27800,27900,27850,108800,27900
172,18/05/2023,28000,27800,27800,27900,1474100,27900
173,19/05/2023,28000,27850,27850,27900,85800,27900
174,22/05/2023,28000,27700,27800,27800,1852200,27800
175,23/05/2023,27800,27600,27700,27800,83800,27800
176,24/05/2023,27800,27600,27700,27800,92300,27800
177,25/05/2023,27800,27600,27800,27700,89500,27700
178,26/05/2023,27800,27500,27600,27800,103600,27800
179,29/05/2023,27900,27550,27850,27900,102700,27900
180,30/05/2023,28000,27750,27750,28000,393500,28000
181,31/05/2023,28150,27850,27950,28050,100100,28100
182,01/06/2023,28100,27800,27950,28050,100400,28100
183,02/06/2023,28100,27800,28100,27800,132600,27800
184,05/06/2023,27950,27800,27800,27950,1052400,28000
185,06/06/2023,27950,27600,27900,27850,2586906,27900
186,07/06/2023,27800,27600,27800,27700,105300,27700
187,08/06/2023,27700,27500,27500,27600,121500,27600
188,09/06/2023,27550,27450,27550,27500,87100,27500
189,12/06/2023,28000,27500,28000,27700,82900,27700
190,13/06/2023,27650,27500,27500,27600,573000,27600
191,14/06/2023,27700,27400,27650,27500,580800,27500
192,15/06/2023,27500,27350,27500,27500,99200,27500
193,16/06/2023,28500,27400,27500,28300,1227605,28300
194,19/06/2023,28300,27900,28100,28300,332800,28300
195,20/06/2023,28300,27800,28300,28200,2676095,28200
196,21/06/2023,28300,27850,28200,28200,2148955,28200
197,22/06/2023,28400,27900,28150,28300,448700,28300
198,23/06/2023,29850,28250,28300,29850,1320600,29900
199,26/06/2023,30000,28950,30000,29400,1974600,29400
200,27/06/2023,29500,28650,29400,29000,907600,29000
201,28/06/2023,29200,28550,29000,28600,4146400,28600
202,29/06/2023,29000,28050,28500,28200,486800,28200
203,30/06/2023,28900,27950,28200,28700,977900,28700
204,03/07/2023,28600,27850,28300,28500,1528400,28500
205,04/07/2023,29500,27950,28150,29500,2016800,29500
206,05/07/2023,31200,28950,29400,30900,1051900,30900
207,06/07/2023,31250,29600,31000,30400,638000,30400
208,07/07/2023,30900,30100,30500,30900,359000,30900
209,10/07/2023,31600,30800,31600,31000,355000,31000
210,11/07/2023,31000,30000,31000,30550,1158700,30600
211,12/07/2023,30800,30000,30800,30350,632300,30400
212,13/07/2023,31000,30000,30550,30950,431400,31000
213,14/07/2023,31000,30050,30950,30700,800700,30700
214,17/07/2023,31000,30300,31000,30650,1386400,30700
215,18/07/2023,30650,30300,30650,30600,1022800,30600
216,19/07/2023,30800,30300,30600,30350,794000,30400
217,20/07/2023,30500,30250,30350,30450,661600,30500
218,21/07/2023,32000,30400,30400,31500,1062100,31500
219,24/07/2023,32300,31350,31600,31800,884300,31800
220,25/07/2023,31800,31100,31800,31350,580800,31400
221,26/07/2023,31450,30800,31450,31250,821400,31300
222,27/07/2023,32150,30900,31250,31650,705800,31700
223,28/07/2023,32050,31300,32050,31300,1938600,31300
224,31/07/2023,31300,30850,31300,31000,568200,31000
225,01/08/2023,31350,30600,30650,30700,596800,30700
226,02/08/2023,31000,30400,30700,30400,482400,30400
227,03/08/2023,30650,30200,30350,30250,354700,30300
228,04/08/2023,31900,30200,31900,31000,442100,31000
229,07/08/2023,31050,30650,31050,30750,511900,30800
230,08/08/2023,31800,30400,30800,31200,988400,31200
231,09/08/2023,31600,30950,31050,31050,564800,31100
232,10/08/2023,31200,30650,31200,30800,598200,30800
233,11/08/2023,32300,30800,31100,32300,956500,32300
234,14/08/2023,33200,32500,33200,32950,1459100,33000
235,15/08/2023,32900,32100,32900,32500,1188970,32500
236,16/08/2023,33000,32150,32300,32550,757300,32600
237,17/08/2023,32600,32100,32500,32250,1054300,32300
238,18/08/2023,32300,30900,32000,31000,1521600,31000
239,21/08/2023,31450,30500,30900,31400,451600,31400
240,22/08/2023,31300,30600,30850,31200,723500,31200
241,23/08/2023,31650,30900,31650,31000,241400,31000
242,24/08/2023,32100,30800,30800,31850,1065900,31900
243,25/08/2023,32450,31350,31800,32050,891000,32100
244,28/08/2023,32150,31350,32050,32150,1946060,32200
245,29/08/2023,32700,31500,32200,32100,442100,32100
246,30/08/2023,32200,31400,32100,31850,2614200,31900
247,31/08/2023,32200,31500,32000,32000,807500,32000
248,05/09/2023,32250,31700,32000,32000,500200,32000
249,06/09/2023,32700,31550,32000,32250,444200,32300
250,07/09/2023,33200,32000,32000,33200,1247300,33200
