,Date,High,Low,Open,Close,Volume,Adj Close
0,02/02/2023,6800,6300,6770,6470,619400,6500
1,03/02/2023,6540,6400,6470,6430,124200,6400
2,06/02/2023,6420,6050,6420,6050,197100,6100
3,07/02/2023,6000,5700,5990,5720,373300,5700
4,08/02/2023,5700,5500,5650,5560,100000,5600
5,09/02/2023,5740,5450,5450,5490,168500,5500
6,10/02/2023,5870,5480,5480,5870,244900,5900
7,13/02/2023,6280,6250,6280,6280,334500,6300
8,14/02/2023,6710,6390,6710,6550,264500,6600
9,15/02/2023,6550,6100,6290,6200,181400,6200
10,16/02/2023,6290,6020,6210,6080,122200,6100
11,17/02/2023,6250,6040,6080,6050,124500,6100
12,20/02/2023,6190,6030,6030,6190,147500,6200
13,21/02/2023,6340,6210,6340,6250,110700,6300
14,22/02/2023,6250,5850,6250,6060,94400,6100
15,23/02/2023,6100,5740,6060,5900,136400,5900
16,24/02/2023,6040,5800,6040,5900,33800,5900
17,27/02/2023,5900,5690,5900,5710,35100,5700
18,28/02/2023,5850,5700,5700,5730,57000,5700
19,01/03/2023,5750,5600,5750,5690,46500,5700
20,02/03/2023,5840,5620,5840,5670,19400,5700
21,03/03/2023,5800,5600,5800,5620,41500,5600
22,06/03/2023,5720,5620,5700,5630,41000,5600
23,07/03/2023,5750,5580,5700,5620,64200,5600
24,08/03/2023,5690,5500,5680,5600,130300,5600
25,09/03/2023,5670,5570,5620,5620,33900,5600
26,10/03/2023,5650,5590,5610,5600,57800,5600
27,13/03/2023,5590,5540,5580,5560,73300,5600
28,14/03/2023,5580,5350,5500,5410,98800,5400
29,15/03/2023,5590,5410,5410,5520,247200,5500
30,16/03/2023,5600,5430,5500,5490,96200,5500
31,17/03/2023,5640,5450,5490,5460,85700,5500
32,20/03/2023,5550,5310,5420,5310,74600,5300
33,21/03/2023,5380,5230,5320,5320,46200,5300
34,22/03/2023,5400,5250,5260,5270,29000,5300
35,23/03/2023,5330,5240,5270,5300,53900,5300
36,24/03/2023,5400,5300,5300,5300,108100,5300
37,27/03/2023,5410,5320,5320,5410,171100,5400
38,28/03/2023,5700,5500,5540,5670,159100,5700
39,29/03/2023,5680,5510,5680,5520,42200,5500
40,30/03/2023,5640,5520,5520,5560,126300,5600
41,31/03/2023,5590,5350,5510,5350,102100,5400
42,03/04/2023,5500,5350,5450,5460,64300,5500
43,04/04/2023,5490,5400,5460,5420,69900,5400
44,05/04/2023,5660,5420,5420,5650,204800,5700
45,06/04/2023,5940,5700,5700,5790,196400,5800
46,07/04/2023,5800,5480,5790,5510,263000,5500
47,10/04/2023,5680,5420,5510,5540,201600,5500
48,11/04/2023,5690,5470,5690,5580,126900,5600
49,12/04/2023,5730,5550,5580,5690,170500,5700
50,13/04/2023,5730,5620,5710,5640,180700,5600
51,14/04/2023,5880,5650,5650,5670,235700,5700
52,17/04/2023,5790,5650,5680,5650,307000,5700
53,18/04/2023,5780,5610,5650,5730,352200,5700
54,19/04/2023,5730,5560,5670,5600,536500,5600
55,20/04/2023,5700,5500,5690,5550,107300,5600
56,21/04/2023,5650,5500,5600,5580,283700,5600
57,24/04/2023,5580,5400,5560,5400,127700,5400
58,25/04/2023,5500,5200,5400,5370,72400,5400
59,26/04/2023,5420,5360,5420,5380,93900,5400
60,27/04/2023,5640,5400,5400,5500,80500,5500
61,28/04/2023,5690,5490,5690,5550,77400,5600
62,04/05/2023,5550,5210,5540,5490,68300,5500
63,05/05/2023,5500,5400,5490,5480,66100,5500
64,08/05/2023,5400,5300,5300,5390,247100,5400
65,09/05/2023,5380,5150,5200,5380,266100,5400
66,10/05/2023,5510,5370,5380,5500,254200,5500
67,11/05/2023,5590,5460,5500,5480,163000,5500
68,12/05/2023,5530,5420,5530,5460,172800,5500
69,15/05/2023,5510,5430,5460,5480,163000,5500
70,16/05/2023,5860,5450,5500,5860,994500,5900
71,17/05/2023,6270,6270,6270,6270,293100,6300
