,Date,High,Low,Open,Close,Volume,Adj Close
0,19/07/2021,3990,3830,3900,3830,3028300,3800
1,20/07/2021,4060,3750,3750,4060,2083200,4100
2,21/07/2021,4090,3950,4060,3950,1040300,4000
3,22/07/2021,4070,3910,3950,3990,1491400,4000
4,23/07/2021,4000,3900,4000,3930,1359100,3900
5,26/07/2021,4000,3840,3890,3940,929500,3900
6,27/07/2021,4140,3940,3940,3970,2221200,4000
7,28/07/2021,4000,3950,3970,3970,547200,4000
8,29/07/2021,4080,4000,4050,4000,1594200,4000
9,30/07/2021,4100,3990,4010,4010,2316600,4000
10,02/08/2021,4250,4030,4050,4100,2632300,4100
11,03/08/2021,4380,4120,4200,4380,7260700,4400
12,04/08/2021,4680,4560,4660,4680,3928000,4700
13,05/08/2021,4940,4680,4750,4800,5386900,4800
14,06/08/2021,4760,4510,4650,4510,5954100,4500
15,09/08/2021,4600,4420,4460,4550,3191900,4600
16,10/08/2021,4670,4430,4550,4470,3635200,4500
17,11/08/2021,4580,4450,4450,4500,2843800,4500
18,12/08/2021,4750,4450,4540,4680,4669500,4700
19,13/08/2021,4810,4600,4700,4670,4193300,4700
20,16/08/2021,4800,4630,4700,4630,2827200,4600
21,17/08/2021,4640,4550,4630,4560,3196400,4600
22,18/08/2021,4570,4450,4550,4500,2921300,4500
23,19/08/2021,4520,4430,4490,4430,2506300,4400
24,20/08/2021,4580,4130,4450,4160,4474400,4200
25,23/08/2021,4300,4150,4180,4200,2972900,4200
26,24/08/2021,4310,4110,4200,4110,1801300,4100
27,25/08/2021,4240,4050,4150,4110,1710200,4100
28,26/08/2021,4240,4110,4110,4160,1392000,4200
29,27/08/2021,4200,4130,4160,4170,1703800,4200
30,30/08/2021,4300,4190,4210,4300,2004300,4300
31,31/08/2021,4450,4280,4400,4400,2027900,4400
32,01/09/2021,4470,4330,4350,4350,2662000,4400
33,06/09/2021,4650,4400,4400,4650,4916700,4700
34,07/09/2021,4800,4400,4800,4400,4474200,4400
35,08/09/2021,4510,4340,4410,4400,2456200,4400
36,09/09/2021,4480,4350,4390,4420,1862400,4400
37,10/09/2021,4600,4420,4420,4510,3678400,4500
38,13/09/2021,4810,4600,4600,4750,8373600,4800
39,14/09/2021,5080,4840,4900,5080,12779100,5100
40,15/09/2021,5350,5000,5180,5000,7546600,5000
41,16/09/2021,5320,4910,4920,5260,7009900,5300
42,17/09/2021,5290,5060,5160,5070,5508700,5100
43,20/09/2021,5320,5010,5090,5120,5661800,5100
44,21/09/2021,5240,5010,5010,5120,5194400,5100
45,22/09/2021,5470,5260,5260,5470,6741100,5500
46,23/09/2021,5850,5270,5850,5270,14994600,5300
47,24/09/2021,5360,5220,5270,5240,3723100,5200
48,27/09/2021,5240,4900,5240,4910,7392500,4900
49,28/09/2021,4950,4610,4660,4890,4344000,4900
50,29/09/2021,4890,4680,4890,4770,3013600,4800
51,30/09/2021,4950,4760,4760,4800,1534200,4800
52,01/10/2021,4850,4700,4790,4710,2155400,4700
53,04/10/2021,4980,4700,4710,4980,3391700,5000
54,05/10/2021,5020,4840,5000,4840,2713800,4800
55,06/10/2021,4950,4840,4850,4880,1791000,4900
56,07/10/2021,4990,4880,4880,4910,2613800,4900
57,08/10/2021,5130,4960,4990,4970,3201000,5000
58,11/10/2021,5190,4930,4970,5060,4371300,5100
59,12/10/2021,5160,4980,5060,4980,2814300,5000
60,13/10/2021,5020,4920,4990,4920,2049500,4900
61,14/10/2021,5040,4950,5000,4990,2193900,5000
62,15/10/2021,5050,4930,5050,4960,3180800,5000
63,18/10/2021,5020,4940,5020,4950,1755600,5000
64,19/10/2021,5000,4880,4950,4940,1584700,4900
65,20/10/2021,5180,4920,4940,5060,3200600,5100
66,21/10/2021,5370,5080,5080,5300,7616600,5300
67,22/10/2021,5340,5150,5300,5180,3491100,5200
68,25/10/2021,5280,5150,5180,5150,3055400,5200
69,26/10/2021,5300,5080,5160,5280,4541500,5300
