,Date,High,Low,Open,Close,Volume,Adj Close
0,04/03/2024,34850,33850,34750,34250,2558500,16900
1,05/03/2024,35400,34050,34250,34800,1892500,17100
2,06/03/2024,35100,34050,35000,34600,1863600,17000
3,07/03/2024,35200,34400,34550,35200,2175000,17300
4,08/03/2024,35550,34300,35400,34500,2901500,17000
5,11/03/2024,36350,34500,34500,34950,2647500,17200
6,12/03/2024,35600,34250,34900,35100,2102300,17300
7,13/03/2024,36700,35150,35500,35800,2664400,17600
8,14/03/2024,36100,34750,36100,35250,3340500,17400
9,15/03/2024,35600,34400,35000,35100,2604700,17300
10,18/03/2024,35850,32650,35300,33900,4107000,16700
11,19/03/2024,34400,33600,33900,33600,1341200,16600
12,20/03/2024,34200,33550,33900,34000,1385900,16700
13,21/03/2024,35250,34000,34500,34750,2001100,17100
14,22/03/2024,35250,34500,35100,35050,2296200,17300
15,25/03/2024,35500,33800,34850,34100,2332300,16800
16,26/03/2024,34850,33950,33950,34600,1445100,17000
17,27/03/2024,35100,34550,34900,34850,1771500,17200
18,28/03/2024,35600,35000,35100,35300,3418800,17400
19,29/03/2024,35300,34700,35300,34750,1261100,17100
20,01/04/2024,34900,34000,34800,34450,1940600,17000
21,02/04/2024,34450,33800,34400,34450,1693400,17000
22,03/04/2024,35300,34500,34650,34750,4142800,17100
23,04/04/2024,34750,34200,34650,34450,1183000,17000
24,05/04/2024,34800,33800,34000,34000,1839000,16700
25,08/04/2024,34100,32350,34000,32350,2231200,15900
26,09/04/2024,32950,32100,32400,32400,1502500,16000
27,10/04/2024,32900,32200,32600,32200,918900,15900
28,11/04/2024,32100,31500,31800,31750,1482400,15600
29,12/04/2024,32500,32050,32250,32300,819800,15900
30,15/04/2024,32850,30050,32450,30050,2293100,14800
31,16/04/2024,30150,29000,30050,30050,2120600,14800
32,17/04/2024,30450,29550,30450,29550,877400,14600
33,19/04/2024,29700,28800,29000,28800,1468800,14200
34,22/04/2024,29500,28800,29000,29000,1011100,14300
35,23/04/2024,29100,28150,29100,28300,1005800,13900
36,24/04/2024,29400,28500,28500,29300,911300,14400
37,25/04/2024,29200,28700,29200,28900,854900,14200
38,26/04/2024,29150,28500,28500,28700,837600,14100
39,02/05/2024,29200,28600,28750,29200,653700,14400
40,03/05/2024,29550,29150,29400,29150,910000,14400
41,06/05/2024,30500,29350,29400,30300,1039700,14900
42,07/05/2024,30400,29850,30100,30200,1069800,14900
43,08/05/2024,31300,29900,30250,30700,1606100,15100
44,09/05/2024,32600,31000,31100,31100,3005100,15300
45,10/05/2024,31300,30350,31100,30600,881500,15100
46,13/05/2024,30850,30100,30700,30350,819600,14900
47,14/05/2024,30900,30100,30500,30800,875200,15200
48,15/05/2024,31450,30500,31000,30700,1158200,15100
49,16/05/2024,31300,30750,31300,30800,1058700,15200
50,17/05/2024,32000,30800,30800,31250,1226600,15400
51,20/05/2024,32200,31150,31200,31900,2286500,15700
52,21/05/2024,32400,31700,31750,32200,2081600,15900
53,22/05/2024,32400,31750,32300,31750,2411600,15600
54,23/05/2024,32300,31350,31400,32300,1261800,15900
