,Date,High,Low,Open,Close,Volume,Adj Close
0,02/02/2023,13900,13500,13500,13900,1100,13900
1,03/02/2023,13700,12950,13000,13600,6400,13600
2,06/02/2023,13500,13500,13500,13500,3100,13500
3,07/02/2023,13800,13300,13500,13450,13600,13500
4,08/02/2023,13650,13250,13400,13450,5900,13500
5,09/02/2023,13500,13450,13500,13450,5500,13500
6,10/02/2023,13450,13450,13450,13450,500,13500
7,13/02/2023,13500,13000,13000,13100,12000,13100
8,14/02/2023,13000,12450,12450,13000,400,13000
9,15/02/2023,13500,12450,13400,13400,6700,13400
10,16/02/2023,13450,12900,13400,12900,900,12900
11,17/02/2023,13400,12900,12900,13400,1500,13400
12,20/02/2023,13750,13400,13400,13500,4100,13500
13,21/02/2023,13550,13450,13450,13550,600,13600
14,22/02/2023,13650,13200,13550,13200,6100,13200
15,23/02/2023,12950,12300,12950,12300,2800,12300
16,24/02/2023,13150,12800,13100,13150,1600,13200
17,27/02/2023,13450,13450,13450,13450,300,13500
18,28/02/2023,13450,12800,13400,13450,500,13500
19,01/03/2023,13450,12600,12900,13450,1900,13500
20,02/03/2023,13100,12900,13100,13100,10700,13100
21,03/03/2023,13000,12900,13000,12900,8700,12900
22,06/03/2023,13250,12200,12200,13250,500,13300
23,07/03/2023,13250,13250,13250,13250,-,13300
24,08/03/2023,13350,13250,13250,13350,600,13400
25,09/03/2023,13250,12950,13000,12950,3100,13000
26,10/03/2023,13000,13000,13000,13000,1100,13000
27,13/03/2023,13100,13000,13000,13000,2100,13000
28,14/03/2023,13000,12600,12600,13000,2400,13000
29,15/03/2023,13000,13000,13000,13000,1300,13000
30,16/03/2023,12800,12550,12550,12800,700,12800
31,17/03/2023,13300,12800,12800,13300,500,13300
32,20/03/2023,13100,12750,13100,12800,4000,12800
33,21/03/2023,12900,12700,12800,12700,1600,12700
34,22/03/2023,13000,12950,12950,13000,200,13000
35,23/03/2023,12900,12500,12500,12700,1400,12700
36,24/03/2023,12550,12400,12400,12400,4000,12400
37,27/03/2023,13000,12600,12600,13000,3300,13000
38,28/03/2023,13000,13000,13000,13000,-,13000
