,Date,High,Low,Open,Close,Volume,Adj Close
0,19/06/2023,8900,8680,8850,8700,1524300,8700
1,20/06/2023,8790,8660,8700,8760,636700,8800
2,21/06/2023,8920,8760,8760,8890,874500,8900
3,22/06/2023,9090,8900,8910,9010,1098300,9000
4,23/06/2023,9080,8900,9080,8970,888800,9000
5,26/06/2023,8990,8720,8950,8880,983300,8900
6,27/06/2023,8900,8800,8900,8820,1008800,8800
7,28/06/2023,9000,8820,8870,8870,1051000,8900
8,29/06/2023,8870,8700,8870,8700,1076600,8700
9,30/06/2023,8770,8660,8660,8700,558400,8700
10,03/07/2023,8900,8690,8900,8710,405900,8700
11,04/07/2023,8770,8650,8710,8770,510900,8800
12,05/07/2023,8990,8840,8860,8930,1572700,8900
13,06/07/2023,9060,8650,8900,8850,1785300,8900
14,07/07/2023,8880,8700,8820,8760,565600,8800
15,10/07/2023,8880,8760,8800,8800,1185900,8800
16,11/07/2023,8990,8820,8820,8940,2120600,8900
17,12/07/2023,9100,8900,8960,8910,1933000,8900
18,13/07/2023,9200,8900,8950,9110,1701000,9100
19,14/07/2023,9230,8990,9170,9130,1910800,9100
20,17/07/2023,9310,9130,9220,9210,2104400,9200
21,18/07/2023,9220,9060,9200,9060,1277300,9100
22,19/07/2023,9150,8910,9080,8910,1448400,8900
23,20/07/2023,8980,8850,8900,8950,529200,9000
24,21/07/2023,9080,8940,8950,9080,961500,9100
25,24/07/2023,9600,9100,9120,9490,3424900,9500
26,25/07/2023,9940,9410,9500,9790,3825000,9800
27,26/07/2023,9850,9600,9850,9710,2147500,9700
28,27/07/2023,9850,9510,9750,9620,2308500,9600
29,28/07/2023,9790,9620,9620,9680,1499400,9700
30,31/07/2023,9660,9260,9640,9350,4033700,9400
31,01/08/2023,9650,9310,9340,9350,2228900,9400
32,02/08/2023,9430,9300,9420,9380,1402800,9400
33,03/08/2023,9470,9280,9380,9330,1584400,9300
34,04/08/2023,9600,9290,9330,9550,2701800,9600
35,07/08/2023,9690,9500,9590,9560,2250600,9600
36,08/08/2023,9800,9580,9580,9650,2794700,9700
37,09/08/2023,10300,9600,9660,10300,3099000,10300
38,10/08/2023,10850,10100,10850,10300,6962900,10300
39,11/08/2023,10450,9910,10400,10200,4238700,10200
40,14/08/2023,10350,10100,10250,10300,2752800,10300
41,15/08/2023,10600,10200,10300,10300,2944700,10300
42,16/08/2023,10350,10000,10350,10150,3272300,10200
43,17/08/2023,10150,9810,10150,9810,3032500,9800
44,18/08/2023,9800,9130,9760,9130,4369700,9100
45,21/08/2023,9130,8650,9050,8810,1717900,8800
46,22/08/2023,9000,8590,8900,9000,1559600,9000
47,23/08/2023,9150,8850,9050,8850,847600,8900
48,24/08/2023,8990,8840,8860,8980,894400,9000
49,25/08/2023,9180,8940,8970,8950,1062800,9000
50,28/08/2023,9050,8940,9020,9050,850400,9100
51,29/08/2023,9250,9070,9100,9090,1058400,9100
52,30/08/2023,9200,9010,9140,9100,1022400,9100
53,31/08/2023,9190,9050,9150,9140,1121500,9100
54,05/09/2023,9350,9200,9250,9260,1451800,9300
55,06/09/2023,9400,9170,9310,9340,1303500,9300
56,07/09/2023,9530,9310,9440,9390,1538900,9400
57,08/09/2023,9400,9310,9400,9320,1121800,9300
58,11/09/2023,9460,9000,9400,9000,1597400,9000
59,12/09/2023,9090,8950,9090,9050,1177900,9100
60,13/09/2023,9120,8810,9090,8900,1995100,8900
61,14/09/2023,8950,8690,8900,8730,1542000,8700
62,15/09/2023,8830,8720,8750,8800,820600,8800
63,18/09/2023,9090,8700,8800,8980,1067900,9000
64,19/09/2023,9070,8870,9070,9000,801600,9000
65,20/09/2023,9100,9000,9080,9100,934700,9100
66,21/09/2023,9370,9100,9160,9250,1839600,9300
67,22/09/2023,9150,8800,9020,8950,1232500,9000
68,25/09/2023,9030,8330,8930,8330,1330900,8300
69,26/09/2023,8340,7990,8320,8000,1681700,8000
70,27/09/2023,8250,7730,8000,8100,1097800,8100
71,28/09/2023,8110,7860,8100,7910,543700,7900
72,29/09/2023,8050,7900,7990,8000,470500,8000
73,02/10/2023,8140,7990,8000,8020,431500,8000
74,03/10/2023,8020,7680,8010,7680,1023200,7700
75,04/10/2023,8010,7400,7400,7750,454900,7800
76,05/10/2023,7850,7600,7760,7790,521100,7800
77,06/10/2023,7820,7600,7740,7760,708300,7800
78,09/10/2023,7960,7770,7870,7780,446900,7800
79,10/10/2023,7920,7800,7890,7880,363300,7900
80,11/10/2023,7950,7820,7820,7950,487900,8000
81,12/10/2023,8100,7950,7950,8000,688700,8000
82,13/10/2023,8010,7820,8010,7890,408500,7900
83,16/10/2023,7980,7750,7890,7780,535200,7800
84,17/10/2023,7910,7770,7900,7770,288800,7800
85,18/10/2023,7800,7350,7770,7350,506200,7400
86,19/10/2023,7500,7300,7500,7350,352200,7400
