,Date,High,Low,Open,Close,Volume,Adj Close
0,30/10/2023,8700,8310,8660,8310,886500,7600
1,31/10/2023,8440,8000,8440,8000,1249200,7300
2,01/11/2023,8180,7910,8000,8180,1058000,7400
3,02/11/2023,8700,8260,8340,8700,1434600,7900
4,03/11/2023,8900,8600,8900,8660,1142700,7900
5,06/11/2023,8750,8640,8750,8660,1041900,7900
6,07/11/2023,8730,8530,8660,8580,1594400,7800
7,08/11/2023,9100,8580,8650,9100,1980900,8300
8,09/11/2023,9270,9050,9110,9130,2076200,8300
9,10/11/2023,9500,9010,9030,9200,2533300,8400
10,13/11/2023,9300,9010,9180,9150,1232300,8300
11,14/11/2023,9290,9130,9200,9200,913400,8400
12,15/11/2023,9400,9220,9360,9270,1895500,8400
13,16/11/2023,9380,9250,9270,9330,1336400,8500
14,17/11/2023,9490,9160,9390,9240,2552700,8400
15,20/11/2023,9240,9060,9130,9190,1355700,8400
16,21/11/2023,9290,9170,9250,9260,820100,8400
17,22/11/2023,9350,9230,9240,9290,1277600,8400
18,23/11/2023,9430,9250,9340,9250,2510800,8400
19,24/11/2023,9260,9000,9250,9160,2316000,8300
20,27/11/2023,9170,9000,9170,9040,855400,8200
21,28/11/2023,9070,8700,9060,8980,1400400,8200
22,29/11/2023,9140,9020,9020,9110,1067400,8300
23,30/11/2023,9150,9040,9120,9050,822600,8200
24,01/12/2023,9120,8990,9070,9030,706700,8200
25,04/12/2023,9380,9090,9100,9300,2381300,8500
26,05/12/2023,9390,9240,9350,9250,1576200,8400
27,06/12/2023,9890,9300,9300,9890,6906700,9000
28,07/12/2023,10350,10000,10100,10250,8698100,9300
29,08/12/2023,10350,9990,10300,10000,4100500,9100
30,11/12/2023,10250,10000,10150,10200,2696200,9300
31,12/12/2023,10600,10300,10300,10350,5352900,9400
32,13/12/2023,10500,9960,10300,10050,3836300,9100
33,14/12/2023,10250,9960,10200,9960,2458800,9100
34,15/12/2023,10150,9500,9600,9990,2422200,9100
35,18/12/2023,10050,9880,10000,9920,1777200,9000
36,19/12/2023,10050,9700,10000,9870,2444000,9000
37,20/12/2023,9990,9800,9870,9970,1163000,9100
38,21/12/2023,10250,9900,9950,10050,2359400,9100
39,22/12/2023,10200,9970,10100,9980,2026400,9100
40,25/12/2023,10250,9990,10000,10150,3473000,9200
41,26/12/2023,10400,10150,10150,10250,4698900,9300
42,27/12/2023,10400,10200,10250,10200,2036300,9300
43,28/12/2023,10500,10050,10200,10400,7274800,9500
44,29/12/2023,10550,10300,10500,10400,1757300,9500
45,02/01/2024,10500,10200,10500,10250,4469600,9300
46,03/01/2024,10500,10150,10250,10500,3109000,9500
47,04/01/2024,10650,10500,10600,10550,4515200,9600
48,05/01/2024,11100,10550,10550,11000,11132300,10000
49,08/01/2024,11100,10950,11100,11100,3451800,10100
50,09/01/2024,11150,10800,11100,10800,8761000,9800
51,10/01/2024,10900,10600,10800,10650,2745800,9700
52,11/01/2024,10750,10500,10700,10650,6305400,9700
53,12/01/2024,11150,10500,10550,10650,2751500,9700
54,15/01/2024,10800,10500,10700,10500,1200000,9500
55,16/01/2024,10650,10350,10650,10550,1373500,9600
56,17/01/2024,10650,10450,10550,10500,1442100,9500
57,18/01/2024,10750,10500,10500,10600,1382500,9600
58,19/01/2024,10750,10550,10700,10550,1651700,9600
59,22/01/2024,10600,10250,10550,10300,3194800,9400
60,23/01/2024,10400,10250,10350,10400,1130800,9500
61,24/01/2024,10450,10250,10400,10300,1456200,9400
62,25/01/2024,10400,10300,10300,10350,955600,9400
63,26/01/2024,10600,10400,10400,10550,1732300,9600
64,29/01/2024,10750,10600,10600,10700,1768000,9700
65,30/01/2024,10750,10550,10700,10650,773200,9700
66,31/01/2024,10600,10350,10550,10350,5011500,9400
67,01/02/2024,10500,10350,10350,10500,668800,9500
68,02/02/2024,10550,10350,10500,10350,1599400,9400
69,05/02/2024,10400,10200,10350,10200,1592700,9300
70,06/02/2024,10300,10150,10250,10200,918300,9300
71,07/02/2024,10350,10200,10250,10250,751200,9300
72,15/02/2024,10500,10300,10300,10450,1482500,9500
73,16/02/2024,10800,10450,10450,10800,3931600,9800
74,19/02/2024,10900,10750,10900,10900,2379900,9900
75,20/02/2024,10950,10800,10900,10900,1952400,9900
76,21/02/2024,10900,10700,10900,10800,1230200,9800
77,22/02/2024,11100,10750,10750,11000,7653200,10000
78,23/02/2024,11200,10600,11000,10650,2715800,9700
79,26/02/2024,11350,10650,10650,11350,7441600,10300
80,27/02/2024,11750,11200,11650,11450,4232100,10400
81,28/02/2024,11550,11100,11550,11300,2527900,10300
