,Date,High,Low,Open,Close,Volume,Adj Close
0,28/06/2022,7000,6680,6790,6800,78400,6200
1,29/06/2022,6900,6710,6800,6820,54200,6300
2,30/06/2022,6810,6570,6800,6700,67800,6100
3,01/07/2022,6600,6320,6320,6550,75400,6000
4,04/07/2022,6700,6560,6560,6600,32300,6100
5,05/07/2022,6760,6610,6700,6610,77000,6100
6,06/07/2022,6620,6400,6620,6450,32800,5900
7,07/07/2022,6600,6380,6380,6400,41000,5900
8,08/07/2022,6600,6500,6600,6550,63900,6000
9,11/07/2022,6650,6410,6650,6410,28700,5900
10,12/07/2022,6590,6400,6550,6590,39700,6000
11,13/07/2022,6610,6320,6400,6610,88800,6100
12,14/07/2022,6920,6350,6660,6910,153700,6300
13,15/07/2022,7000,6800,6800,6880,45700,6300
14,18/07/2022,6980,6810,6890,6840,74600,6300
15,19/07/2022,7000,6730,6750,6970,116200,6400
16,20/07/2022,7240,6970,6970,7190,93700,6600
17,21/07/2022,7180,7030,7090,7040,56900,6500
18,22/07/2022,7100,6950,7000,6990,76600,6400
19,25/07/2022,7150,6950,7100,6950,51500,6400
20,26/07/2022,7100,6850,7000,6940,45600,6400
21,27/07/2022,6900,6760,6900,6880,56400,6300
22,28/07/2022,7230,6940,7230,6990,70500,6400
23,29/07/2022,7000,6920,7000,6970,38700,6400
24,01/08/2022,7030,6950,6990,6980,54700,6400
25,02/08/2022,7130,6800,7000,7020,117300,6400
26,03/08/2022,7270,7020,7020,7190,159500,6600
27,04/08/2022,7420,7250,7420,7280,139600,6700
28,05/08/2022,7350,7110,7200,7270,157400,6700
29,08/08/2022,7600,7270,7270,7530,217900,6900
30,09/08/2022,7600,7510,7530,7540,95500,6900
31,10/08/2022,7540,7450,7540,7460,97900,6800
32,11/08/2022,7600,7300,7510,7360,235700,6800
33,12/08/2022,7450,7250,7360,7370,85800,6800
34,15/08/2022,7520,7370,7370,7400,87800,6800
35,16/08/2022,7440,7380,7400,7400,51000,6800
36,17/08/2022,7480,7350,7400,7400,133100,6800
37,18/08/2022,7500,7300,7500,7300,49000,6700
38,19/08/2022,7350,7220,7220,7300,43800,6700
39,22/08/2022,7500,7300,7300,7350,135200,6700
40,23/08/2022,7860,7440,7440,7860,308300,7200
41,24/08/2022,8410,8130,8410,8410,432600,7700
42,25/08/2022,8900,8500,8890,8600,222000,7900
43,26/08/2022,8500,8100,8500,8100,253900,7400
44,29/08/2022,8660,7800,8100,8660,467200,7900
45,30/08/2022,8890,8500,8800,8700,279700,8000
46,31/08/2022,8680,8360,8680,8400,118900,7700
47,05/09/2022,8650,8310,8400,8420,104400,7700
48,06/09/2022,8800,8300,8800,8440,87500,7700
49,07/09/2022,8350,7850,8260,7850,283300,7200
50,08/09/2022,7850,7310,7850,7380,191100,6800
51,09/09/2022,7750,7290,7390,7450,147400,6800
52,12/09/2022,7680,7500,7500,7530,67300,6900
53,13/09/2022,7600,7400,7540,7430,53600,6800
54,14/09/2022,7430,7300,7300,7390,48000,6800
55,15/09/2022,7650,7500,7500,7630,137300,7000
56,16/09/2022,7700,7350,7380,7500,33700,6900
57,19/09/2022,7400,6980,7400,6980,111900,6400
58,20/09/2022,7040,6800,7000,7000,119000,6400
59,21/09/2022,7090,7000,7090,7040,50300,6500
60,22/09/2022,7150,7030,7040,7100,54500,6500
61,23/09/2022,7230,7120,7230,7140,39700,6600
62,26/09/2022,7100,6650,6920,6890,104800,6300
63,27/09/2022,7000,6820,6880,6880,38700,6300
64,28/09/2022,6990,6730,6860,6940,48700,6400
65,29/09/2022,7000,6810,7000,6810,34100,6300
66,30/09/2022,6850,6640,6750,6850,117500,6300
67,03/10/2022,6840,6600,6830,6690,32400,6100
68,04/10/2022,6700,6500,6690,6560,109400,6000
69,05/10/2022,6720,6580,6580,6640,21600,6100
70,06/10/2022,7000,6550,6710,6550,36700,6000
71,07/10/2022,6540,6150,6500,6150,75400,5600
72,10/10/2022,6490,6190,6200,6250,21300,5700
73,11/10/2022,6350,6150,6200,6150,50600,5600
74,12/10/2022,6430,6100,6140,6220,14300,5700
75,13/10/2022,6350,6210,6220,6300,19600,5800
76,14/10/2022,6420,6350,6350,6350,20100,5800
77,17/10/2022,6350,6180,6350,6310,22700,5800
78,18/10/2022,6690,6430,6450,6500,13700,6000
79,19/10/2022,6550,6300,6550,6400,25800,5900
80,20/10/2022,6410,6310,6410,6350,5600,5800
81,21/10/2022,6350,5910,6300,5910,61700,5400
82,24/10/2022,6270,5520,5910,5520,53700,5100
83,25/10/2022,5780,5510,5550,5630,86800,5200
