,Date,High,Low,Open,Close,Volume,Adj Close
0,21/06/2022,57700,56000,57700,56000,24900,56000
1,22/06/2022,58500,56000,58500,56000,29900,56000
2,23/06/2022,57000,56000,56100,56700,15400,56700
3,24/06/2022,57500,56100,56600,56100,16300,56100
4,27/06/2022,58800,56500,56500,58500,34300,58500
5,28/06/2022,58700,58000,58500,58700,6900,58700
6,29/06/2022,58500,57500,58500,58300,29600,58300
7,30/06/2022,58500,57600,57600,57900,15200,57900
8,01/07/2022,58000,56700,56900,57900,9800,57900
9,04/07/2022,59400,57100,58000,57100,27300,57100
10,05/07/2022,57300,56700,56900,57100,20800,57100
11,06/07/2022,58500,57100,57500,57100,15100,57100
12,07/07/2022,57400,56000,57100,57400,10400,57400
13,08/07/2022,58200,56000,57400,57300,21100,57300
14,11/07/2022,57000,56300,56400,56700,17100,56700
15,12/07/2022,57100,56300,57100,56700,5800,56700
16,13/07/2022,57000,56000,56700,57000,15200,57000
17,14/07/2022,57900,56400,57000,56700,15000,56700
18,15/07/2022,57800,56200,57000,56700,12200,56700
19,18/07/2022,57900,56800,57500,56800,6800,56800
20,19/07/2022,57400,56700,56800,57400,10600,57400
21,20/07/2022,58500,57400,57400,57800,32000,57800
22,21/07/2022,57800,56700,57800,57100,117500,57100
23,22/07/2022,57800,57000,57000,57000,7500,57000
24,25/07/2022,58000,56800,56800,57300,23400,57300
25,26/07/2022,57800,56500,57800,57300,23200,57300
26,27/07/2022,57200,56600,56600,57100,6700,57100
27,28/07/2022,58800,56900,57200,58100,76500,58100
28,29/07/2022,61500,58500,58500,60800,65600,60800
29,01/08/2022,62500,60500,60800,61500,41500,61500
30,02/08/2022,61200,60100,61200,60300,22800,60300
31,03/08/2022,60300,59500,60300,60000,30000,60000
32,04/08/2022,60000,59100,60000,59500,11400,59500
33,05/08/2022,60000,59000,60000,59100,20500,59100
34,08/08/2022,59800,59000,59000,59800,20000,59800
35,09/08/2022,60200,59500,60000,59500,19600,59500
36,10/08/2022,60000,59200,59300,59500,15200,59500
37,11/08/2022,60200,59500,59800,59700,34800,59700
38,12/08/2022,59800,59000,59600,59600,17700,59600
39,15/08/2022,59900,59100,59600,59200,23600,59200
40,16/08/2022,59800,59200,59200,59500,13900,59500
41,17/08/2022,59700,59200,59300,59700,30300,59700
42,18/08/2022,59700,59000,59700,59700,48900,59700
