,Date,High,Low,Open,Close,Volume,Adj Close
0,25/05/2022,10900,10450,10450,10850,230700,10900
1,26/05/2022,11300,10950,11000,11150,159000,11200
2,27/05/2022,11250,10950,10950,11150,118800,11200
3,30/05/2022,11200,11000,11000,11150,141900,11200
4,31/05/2022,11250,11000,11250,11150,101200,11200
5,01/06/2022,11150,10900,11150,11050,151500,11100
6,02/06/2022,11150,10900,11000,11100,215600,11100
7,03/06/2022,11100,10800,11100,11000,58300,11000
8,06/06/2022,11100,10800,11000,10850,90500,10900
9,07/06/2022,10750,10250,10250,10400,159200,10400
10,08/06/2022,10950,10400,10400,10750,123000,10800
11,09/06/2022,11000,10750,11000,10850,29700,10900
12,10/06/2022,10850,10500,10800,10600,114600,10600
13,13/06/2022,10450,9860,10300,9860,381200,9900
14,14/06/2022,10000,9500,9700,9830,79400,9800
15,15/06/2022,10200,9350,9860,9390,120600,9400
16,16/06/2022,9500,9380,9420,9380,119600,9400
17,17/06/2022,9200,8800,9200,8860,130500,8900
18,20/06/2022,9280,8240,9280,8240,150100,8200
19,21/06/2022,8320,7800,8170,8010,81300,8000
20,22/06/2022,8280,8020,8020,8240,52400,8200
21,23/06/2022,8600,8240,8240,8600,57800,8600
22,24/06/2022,9000,8520,9000,8520,67100,8500
23,27/06/2022,8930,8530,8930,8850,51100,8900
24,28/06/2022,9000,8810,8950,8950,76200,9000
25,29/06/2022,9000,8850,8950,8900,91000,8900
26,30/06/2022,8920,8730,8900,8880,66800,8900
27,01/07/2022,8890,8480,8480,8890,61700,8900
28,04/07/2022,9000,8780,8880,8800,80300,8800
29,05/07/2022,8900,8600,8900,8600,38000,8600
30,06/07/2022,8670,8460,8550,8510,59500,8500
31,07/07/2022,8730,8450,8500,8560,41400,8600
32,08/07/2022,8890,8590,8610,8660,36400,8700
33,11/07/2022,8700,8570,8690,8570,46500,8600
34,12/07/2022,8690,8490,8490,8620,59600,8600
35,13/07/2022,9000,8600,8600,9000,160900,9000
36,14/07/2022,9000,8900,9000,8960,56000,9000
37,15/07/2022,9210,8930,8960,9070,128200,9100
38,18/07/2022,9480,9120,9200,9200,96100,9200
39,19/07/2022,9210,9060,9210,9170,64700,9200
40,20/07/2022,9430,9140,9140,9200,87000,9200
41,21/07/2022,9240,9100,9180,9150,96900,9200
42,22/07/2022,9180,9100,9150,9100,37300,9100
43,25/07/2022,9100,8800,9000,8900,63400,8900
44,26/07/2022,9100,8850,8860,8910,80800,8900
45,27/07/2022,9090,8890,9090,9000,22000,9000
46,28/07/2022,9200,8990,9000,9150,107700,9200
47,29/07/2022,9400,9200,9400,9200,138100,9200
48,01/08/2022,9400,9200,9210,9240,90100,9200
49,02/08/2022,9260,9150,9240,9180,315900,9200
50,03/08/2022,9700,9180,9190,9520,169200,9500
51,04/08/2022,9980,9600,9600,9650,156700,9700
52,05/08/2022,9690,9540,9600,9650,88300,9700
53,08/08/2022,9850,9600,9650,9650,116700,9700
54,09/08/2022,9950,9570,9740,9860,193600,9900
55,10/08/2022,10300,9880,9880,10300,380500,10300
56,11/08/2022,10500,9980,10400,10000,236300,10000
57,12/08/2022,10000,9700,9970,10000,135000,10000
58,15/08/2022,10100,9930,9940,9990,243000,10000
59,16/08/2022,10000,9950,10000,9990,82300,10000
60,17/08/2022,10300,9980,10000,9990,275200,10000
61,18/08/2022,10000,9740,10000,9770,81900,9800
62,19/08/2022,9890,9700,9890,9710,69000,9700
63,22/08/2022,9690,9550,9690,9680,162900,9700
64,23/08/2022,9690,9500,9500,9690,87300,9700
65,24/08/2022,9840,9680,9710,9800,184700,9800
66,25/08/2022,10000,9850,9850,9900,109900,9900
67,26/08/2022,10000,9810,9980,9810,104900,9800
68,29/08/2022,9780,9460,9600,9560,152900,9600
69,30/08/2022,9890,9540,9890,9560,70200,9600
70,31/08/2022,9560,9300,9560,9410,58900,9400
71,05/09/2022,9500,9300,9410,9300,107500,9300
72,06/09/2022,9350,9180,9180,9210,75300,9200
73,07/09/2022,9200,8930,9200,8930,185500,8900
74,08/09/2022,8990,8710,8930,8930,140100,8900
