,Date,High,Low,Open,Close,Volume,Adj Close
0,27/02/2023,6400,6200,6200,6200,4043300,6200
1,28/02/2023,6400,6200,6300,6210,1537100,6200
2,01/03/2023,6410,6150,6200,6410,1717250,6400
3,02/03/2023,6600,6450,6500,6510,1673370,6500
4,03/03/2023,6600,6330,6590,6330,1374200,6300
5,06/03/2023,6560,6300,6400,6360,1515700,6400
6,07/03/2023,6400,6260,6400,6300,3428300,6300
7,08/03/2023,6460,6210,6210,6430,1522400,6400
8,09/03/2023,6530,6430,6430,6440,2391900,6400
9,10/03/2023,6600,6410,6430,6470,2565700,6500
10,13/03/2023,6440,6240,6240,6340,1895300,6300
11,14/03/2023,6410,6150,6310,6180,2415000,6200
12,15/03/2023,6460,6290,6380,6400,1603400,6400
13,16/03/2023,6350,6260,6350,6270,1293600,6300
14,17/03/2023,6400,6250,6400,6280,1014300,6300
15,20/03/2023,6300,6160,6280,6160,1445400,6200
16,21/03/2023,6270,6150,6180,6220,898300,6200
17,22/03/2023,6280,6220,6270,6230,815000,6200
18,23/03/2023,6250,6170,6220,6240,717800,6200
19,24/03/2023,6360,6230,6250,6300,1594200,6300
20,27/03/2023,6470,6310,6350,6450,2446500,6500
21,28/03/2023,6580,6420,6540,6420,1551500,6400
22,29/03/2023,6450,6300,6420,6400,1009300,6400
23,30/03/2023,6460,6380,6420,6390,1271300,6400
24,31/03/2023,6420,6280,6380,6310,1917800,6300
25,03/04/2023,6750,6350,6420,6750,8558000,6800
26,04/04/2023,6940,6770,6930,6810,5489400,6800
27,05/04/2023,7280,6800,6800,7280,11432900,7300
28,06/04/2023,7780,7300,7600,7600,15336200,7600
29,07/04/2023,7950,7450,7600,7920,10996300,7900
30,10/04/2023,8300,7680,8150,7710,9766200,7700
31,11/04/2023,8100,7600,7750,8050,9937400,8100
32,12/04/2023,8500,8110,8200,8300,8679600,8300
33,13/04/2023,8360,7900,8300,7900,8151000,7900
34,14/04/2023,8200,7850,7940,7850,8879400,7900
35,17/04/2023,7980,7600,7850,7690,4378900,7700
36,18/04/2023,7990,7510,7730,7990,4634400,8000
37,19/04/2023,8100,7670,8010,7690,5540600,7700
38,20/04/2023,7920,7610,7610,7820,2986800,7800
39,21/04/2023,7930,7530,7830,7680,3833200,7700
40,24/04/2023,8210,7600,7690,8210,12175800,8200
41,25/04/2023,8610,8200,8490,8260,9346100,8300
42,26/04/2023,8800,8300,8300,8720,10262100,8700
43,27/04/2023,8900,8500,8770,8570,6411200,8600
44,28/04/2023,8700,8170,8650,8370,14563500,8400
45,04/05/2023,8800,8310,8310,8720,8158600,8700
46,05/05/2023,9090,8710,8820,8760,8617200,8800
47,08/05/2023,8960,8550,8950,8640,8205000,8600
48,09/05/2023,8900,8520,8680,8660,7040500,8700
49,10/05/2023,8950,8680,8700,8950,8542400,9000
50,11/05/2023,8870,8710,8870,8710,11763800,8700
51,12/05/2023,9180,8600,8700,8970,10774700,9000
52,15/05/2023,9070,8700,9070,8700,9223100,8700
53,16/05/2023,9060,8710,9030,8750,10726100,8800
54,17/05/2023,8890,8520,8770,8520,8074800,8500
55,18/05/2023,8650,8420,8600,8420,6437000,8400
56,19/05/2023,8690,8400,8490,8530,5916300,8500
57,22/05/2023,8750,8650,8700,8710,5461100,8700
58,23/05/2023,8820,8620,8780,8650,5388100,8700
59,24/05/2023,9050,8640,8700,8900,14062100,8900
60,25/05/2023,9300,8780,8880,9170,11405700,9200
61,26/05/2023,9250,9010,9200,9130,8826800,9100
62,29/05/2023,9300,9140,9300,9200,10623400,9200
63,30/05/2023,9370,9060,9250,9180,8331700,9200
64,31/05/2023,9820,9130,9180,9750,19589600,9800
65,01/06/2023,9890,9610,9850,9790,7954100,9800
66,02/06/2023,9860,9500,9850,9570,13647700,9600
67,05/06/2023,9950,9550,9700,9780,15841300,9800
68,06/06/2023,10150,9800,9900,9950,15943500,10000
69,07/06/2023,10250,9980,10000,10100,15150000,10100
70,08/06/2023,10800,10100,10300,10400,32495000,10400
71,09/06/2023,10650,10100,10600,10500,18401200,10500
