,Date,High,Low,Open,Close,Volume,Adj Close
0,10/03/2022,74500,72000,72200,73400,444100,72800
1,11/03/2022,73800,72400,73600,72400,136300,71800
2,14/03/2022,72200,68100,71600,70700,411900,70100
3,15/03/2022,72500,69000,71600,72500,210400,71900
4,16/03/2022,74400,72500,72600,74000,207200,73400
5,17/03/2022,75300,73900,75000,74000,153800,73400
6,18/03/2022,76700,74000,74900,76000,307500,75400
7,21/03/2022,77600,76400,77000,76900,249300,76300
8,22/03/2022,76800,75400,76800,75800,158800,75200
9,23/03/2022,76900,75100,76700,75700,145300,75100
10,24/03/2022,75700,74200,75700,74600,149800,74000
11,25/03/2022,75200,73800,74600,73900,168800,73300
12,28/03/2022,73300,72400,72500,72500,136100,71900
13,29/03/2022,74900,72000,74900,72000,270800,71400
14,30/03/2022,73500,71500,72000,72000,154500,71400
15,31/03/2022,74900,72000,72000,73400,187900,72800
16,01/04/2022,74000,72300,73500,72500,195600,71900
17,04/04/2022,75000,72600,72600,73800,212600,73200
18,05/04/2022,76000,74300,74900,74300,436900,73700
19,06/04/2022,74800,72900,73800,74500,188000,73900
20,07/04/2022,74900,72600,74900,72600,195100,72000
21,08/04/2022,75400,72500,72500,74000,322100,73400
22,12/04/2022,75000,72500,74000,74000,264000,73400
23,13/04/2022,75800,73100,73100,75800,257800,75200
24,14/04/2022,76800,75400,76300,76800,380100,76200
25,15/04/2022,81000,76800,76800,79000,789800,78400
26,18/04/2022,81300,78100,79100,79800,558400,79200
27,19/04/2022,81200,77200,79500,79900,533700,79300
28,20/04/2022,78100,76100,76600,76500,424900,75900
29,21/04/2022,75200,72700,75000,73000,315400,72400
30,22/04/2022,77900,68000,73000,75500,717900,74900
31,25/04/2022,79800,71600,75500,76500,648900,75900
32,26/04/2022,79000,74200,76400,78300,2489200,77700
33,27/04/2022,78500,76500,78000,78200,652900,77600
34,28/04/2022,83600,78700,79000,83000,1353600,82300
35,29/04/2022,88000,83000,83200,85900,692300,85200
36,04/05/2022,87500,83900,87500,84000,391600,83300
37,05/05/2022,87800,78200,84000,86000,1493700,85300
38,06/05/2022,84000,80300,83100,80500,493100,79900
39,09/05/2022,80000,74900,78300,74900,532500,74300
40,10/05/2022,80100,69700,69700,80100,918500,79500
41,11/05/2022,84700,76000,80400,84700,511600,84000
42,12/05/2022,84500,78800,84500,78800,426300,78200
43,13/05/2022,78000,73300,78000,73300,318800,72700
44,16/05/2022,76200,68200,73600,68200,310100,67700
45,17/05/2022,71000,65000,65000,70000,390300,69400
46,18/05/2022,74900,69000,71000,74900,274400,74300
47,19/05/2022,78100,70100,70100,75800,363000,75200
48,20/05/2022,78000,73400,75600,76000,453800,75400
49,23/05/2022,75900,71000,75900,71100,226800,70500
50,24/05/2022,74000,70000,71200,74000,208500,73400
51,25/05/2022,75000,72300,74900,74600,288900,74000
52,26/05/2022,74400,71400,74400,74400,359400,73800
53,27/05/2022,74000,72000,73500,73500,327100,72900
54,30/05/2022,73700,72000,73700,73000,122400,72400
55,31/05/2022,75700,72000,72700,73100,462000,72500
56,01/06/2022,75100,70000,73100,73300,463200,72700
57,02/06/2022,75000,72100,75000,72100,234200,71500
58,03/06/2022,73400,70900,72100,71500,311000,70900
59,06/06/2022,71800,69000,71500,69300,438700,68800
60,07/06/2022,71500,66600,69000,71400,372600,70800
61,08/06/2022,72400,70800,71900,72000,239200,71400
62,09/06/2022,72200,70600,72100,72000,92000,71400
63,10/06/2022,73900,70600,70600,71000,308600,70400
64,13/06/2022,71000,67600,69500,68000,283400,67500
65,14/06/2022,70100,66200,67500,68000,225900,67500
66,15/06/2022,69000,65400,68000,67100,218800,66600
67,16/06/2022,69000,67500,68700,69000,138900,68500
68,17/06/2022,69400,67000,67300,67700,116900,67200
69,20/06/2022,68400,65100,67900,65100,123600,64600
70,21/06/2022,66500,63000,66500,63600,146500,63100
71,22/06/2022,65000,61800,65000,62000,142600,61500
72,23/06/2022,64500,60300,61900,63300,114100,62800
73,24/06/2022,64500,62200,64500,62300,36900,61800
74,27/06/2022,64000,60500,62300,62100,161400,61600
75,28/06/2022,63800,61500,62100,63000,101400,62500
76,29/06/2022,65600,62800,63000,64500,112500,64000
77,30/06/2022,67000,62500,64500,67000,238400,66500
78,01/07/2022,66600,63000,65800,63200,94100,62700
79,04/07/2022,64500,63000,63500,63000,26100,62500
80,05/07/2022,64000,61000,63000,62000,100200,61500
81,06/07/2022,62600,59300,60500,59300,384500,58800
82,07/07/2022,60400,59000,59400,59600,63800,59100
83,08/07/2022,61200,58500,60000,58900,126600,58400
84,11/07/2022,59900,58200,58200,59100,65800,58600
85,12/07/2022,61700,59200,59600,61400,125100,60900
