,Date,High,Low,Open,Close,Volume,Adj Close
0,14/06/2023,18900,18600,18800,18650,298600,16000
1,15/06/2023,17250,16900,17250,17000,180800,15800
2,16/06/2023,17200,16600,17200,16600,296500,15400
3,19/06/2023,16500,15950,16300,16050,605100,14900
4,20/06/2023,16450,16000,16400,16250,148200,15100
5,21/06/2023,16500,16100,16500,16300,236800,15200
6,22/06/2023,16900,16350,16550,16800,303800,15600
7,23/06/2023,16850,16600,16700,16700,129700,15500
8,26/06/2023,16850,16550,16750,16700,360400,15500
9,27/06/2023,17200,16650,16800,17200,1073800,16000
10,28/06/2023,18400,17200,17200,18400,1641900,17100
11,29/06/2023,18800,17850,18800,18500,621900,17200
12,30/06/2023,18400,17700,18400,17950,542700,16700
13,03/07/2023,19050,18400,19000,18550,971600,17200
14,04/07/2023,18600,18000,18550,18000,330900,16700
15,05/07/2023,19000,18000,18000,18950,933400,17600
16,06/07/2023,19050,18400,19000,18450,617800,17200
17,07/07/2023,19100,18500,18900,18650,603600,17300
18,10/07/2023,19400,18700,18900,19300,822200,17900
19,11/07/2023,19550,18950,19500,19050,644400,17700
20,12/07/2023,19550,19050,19200,19200,396000,17900
21,13/07/2023,19800,19200,19350,19550,680700,18200
22,14/07/2023,19850,19300,19850,19550,496000,18200
23,17/07/2023,19450,19050,19450,19400,443100,18000
24,18/07/2023,19750,19100,19400,19100,366900,17800
25,19/07/2023,19300,19050,19300,19050,292100,17700
26,20/07/2023,19350,19000,19050,19200,256900,17900
27,21/07/2023,19350,19150,19200,19250,343400,17900
28,24/07/2023,19400,18900,19250,19400,464600,18000
29,25/07/2023,19900,19300,19600,19550,565900,18200
30,26/07/2023,19700,19150,19550,19200,242800,17900
31,27/07/2023,19400,18950,19200,19400,459900,18000
32,28/07/2023,19950,19400,19450,19650,539300,18300
33,31/07/2023,20450,19750,20300,20300,763300,18900
34,01/08/2023,20650,19400,20500,19500,493700,18100
35,02/08/2023,19850,19250,19850,19400,280200,18000
36,03/08/2023,19600,19100,19450,19200,307000,17900
37,04/08/2023,19600,19000,19200,19600,455100,18200
38,07/08/2023,20200,19750,19950,20100,682600,18700
39,08/08/2023,20350,19900,20200,20150,585200,18700
40,09/08/2023,20150,19500,20150,19750,479900,18400
41,10/08/2023,20000,19600,19700,19650,188400,18300
42,11/08/2023,19600,19100,19600,19500,356000,18100
43,14/08/2023,20000,19350,20000,19700,300100,18300
44,15/08/2023,20050,19700,19700,19700,229700,18300
45,16/08/2023,19700,19450,19700,19500,175300,18100
46,17/08/2023,19650,19400,19400,19450,304800,18100
47,18/08/2023,19400,18100,19350,18300,681400,17000
48,21/08/2023,18700,17750,18300,18500,220400,17200
49,22/08/2023,18600,17550,18500,18500,200100,17200
50,23/08/2023,18650,18250,18500,18350,90700,17100
51,24/08/2023,18600,18250,18400,18600,88400,17300
52,25/08/2023,18750,18500,18600,18600,112400,17300
53,28/08/2023,19350,18600,18700,19050,204300,17700
54,29/08/2023,19300,18850,19000,18850,240900,17500
55,30/08/2023,19100,18750,19100,18800,138700,17500
56,31/08/2023,19300,18700,18850,19300,203900,17900
57,05/09/2023,19600,19200,19550,19400,290100,18000
58,06/09/2023,19700,19400,19500,19600,336000,18200
59,07/09/2023,19650,19400,19650,19450,211300,18100
