,Date,High,Low,Open,Close,Volume,Adj Close
0,20/02/2024,39200,38800,38800,39000,7000,37500
1,21/02/2024,39000,38950,39000,39000,1700,37500
2,22/02/2024,40000,39100,40000,39100,2200,37600
3,23/02/2024,39100,39000,39000,39100,800,37600
4,26/02/2024,39150,39000,39150,39000,1800,37500
5,27/02/2024,39200,39000,39200,39000,800,37500
6,28/02/2024,39000,39000,39000,39000,-,37500
7,29/02/2024,39900,39000,39000,39000,800,37500
8,01/03/2024,39000,38800,39000,38800,1500,37300
9,04/03/2024,39100,38800,38850,38850,1500,37400
10,05/03/2024,38900,38200,38900,38700,500,37200
11,06/03/2024,39500,39000,39000,39400,3100,37900
12,07/03/2024,39400,39400,39400,39400,100,37900
13,08/03/2024,39500,39400,39500,39400,4000,37900
14,11/03/2024,39000,38700,38700,39000,2700,37500
15,12/03/2024,39400,39000,39400,39000,200,37500
16,13/03/2024,39000,39000,39000,39000,200,37500
17,14/03/2024,39000,39000,39000,39000,100,37500
18,15/03/2024,39000,38950,39000,38950,400,37500
19,18/03/2024,39000,38000,39000,38400,8300,36900
20,19/03/2024,38900,38900,38900,38900,1100,37400
21,20/03/2024,38900,38900,38900,38900,-,37400
22,21/03/2024,39000,38400,38900,38400,5100,36900
23,22/03/2024,38600,38500,38500,38600,700,37100
24,25/03/2024,39000,39000,39000,39000,800,37500
25,26/03/2024,38900,38600,38600,38600,1000,37100
26,27/03/2024,39000,38700,38700,39000,1300,37500
27,28/03/2024,39000,38750,39000,38900,1300,37400
28,29/03/2024,38850,38700,38800,38700,900,37200
29,01/04/2024,38700,38700,38700,38700,700,37200
30,02/04/2024,38650,38500,38500,38650,600,37200
31,03/04/2024,38500,38500,38500,38500,300,37000
32,04/04/2024,38700,38500,38500,38700,2400,37200
33,05/04/2024,38800,38500,38800,38500,700,37000
34,08/04/2024,39500,38600,39000,38600,3200,37100
35,09/04/2024,38800,38050,38050,38800,400,37300
36,10/04/2024,41000,38800,41000,38800,2900,37300
37,11/04/2024,39900,39000,39800,39000,1000,37500
38,12/04/2024,39050,39050,39050,39050,1000,37600
39,15/04/2024,39500,39050,39100,39500,1700,38000
40,16/04/2024,39500,39000,39500,39000,1300,37500
41,17/04/2024,39000,38300,39000,38300,1300,36800
42,19/04/2024,39400,38500,39400,38650,5100,37200
43,22/04/2024,39400,38800,39300,38800,1900,37300
44,23/04/2024,38400,38400,38400,38400,2300,36900
45,24/04/2024,38200,38000,38200,38100,3200,36700
46,25/04/2024,38100,38100,38100,38100,-,36700
47,26/04/2024,38100,38000,38100,38100,1900,36700
48,02/05/2024,39000,38000,38000,38900,3700,37400
49,03/05/2024,40000,38500,40000,38500,3800,37000
50,06/05/2024,38500,37200,38500,37200,1800,35800
51,07/05/2024,38100,37250,38100,37250,4200,35800
52,08/05/2024,37250,37250,37250,37250,-,35800
53,09/05/2024,39500,37650,39500,37800,2200,36400
54,10/05/2024,37900,37800,37800,37900,1000,36500
55,13/05/2024,38000,37900,38000,38000,1400,36600
56,14/05/2024,39000,37700,39000,37700,1400,36300
57,15/05/2024,38000,37700,37800,38000,2000,36600
58,16/05/2024,38100,38000,38100,38000,2100,36600
59,17/05/2024,39000,38050,39000,38050,3400,36600
60,20/05/2024,38200,37700,38200,37800,2200,36400
61,21/05/2024,39000,37650,37700,38500,1400,37000
62,22/05/2024,38500,37000,38000,37250,5700,35800
63,23/05/2024,38000,37300,37400,37850,3200,36400
64,24/05/2024,38000,37250,37800,37500,4700,36100
65,27/05/2024,37750,36900,37500,36900,3900,35500
66,28/05/2024,37200,37050,37050,37150,400,35700
67,29/05/2024,38600,37600,37700,38000,2600,36600
68,30/05/2024,38500,37800,38000,38200,4000,36700
69,31/05/2024,38200,38200,38200,38200,200,36700
70,03/06/2024,38400,38000,38100,38300,2300,36800
71,04/06/2024,38300,38000,38300,38300,1600,36800
72,05/06/2024,40950,38300,38300,40950,37900,39400
73,06/06/2024,41800,41000,41300,41050,12400,39500
74,07/06/2024,41050,39100,41050,40150,7200,38600
75,10/06/2024,40250,39850,40250,39900,5400,38400
76,11/06/2024,39900,39150,39900,39150,7200,37700
77,12/06/2024,40500,39800,40500,39800,6000,38300
78,13/06/2024,39900,39800,39800,39800,6600,38300
79,14/06/2024,39800,38700,38800,39800,5500,38300
80,17/06/2024,39800,39100,39800,39100,1000,37600
81,18/06/2024,38600,38400,38400,38400,2400,36900
82,19/06/2024,38900,38600,38600,38900,1700,37400
83,20/06/2024,39450,38200,38900,39450,1100,38000
84,21/06/2024,39400,39000,39000,39000,4700,37500
85,24/06/2024,39800,39000,39800,39000,1500,37500
86,25/06/2024,39000,39000,39000,39000,3200,37500
87,26/06/2024,40500,39000,40500,39000,4700,37500
88,27/06/2024,40400,39000,39000,40400,300,38900
89,28/06/2024,40400,38600,40400,38600,1300,37100
90,01/07/2024,38600,38500,38600,38500,800,37000
91,02/07/2024,39000,38600,39000,38600,1200,37100
92,03/07/2024,38600,38600,38600,38600,300,37100
93,04/07/2024,40000,38200,38600,38200,2300,36700
94,05/07/2024,39350,39250,39350,39250,300,37800
95,08/07/2024,39500,39000,39300,39000,2400,37500
96,09/07/2024,39350,39000,39000,39000,2100,37500
97,10/07/2024,39000,38500,39000,38500,1600,37000
98,11/07/2024,38500,38500,38500,38500,1500,37000
99,12/07/2024,38550,38300,38550,38400,1400,36900
100,15/07/2024,38450,38400,38400,38450,300,37000
101,16/07/2024,38450,38450,38450,38450,500,37000
102,17/07/2024,38400,38400,38400,38400,300,36900
103,18/07/2024,38400,38400,38400,38400,600,36900
104,19/07/2024,38300,38300,38300,38300,1100,36800
105,22/07/2024,38500,38500,38500,38500,1200,37000
106,23/07/2024,38100,38000,38100,38000,2700,36600
107,24/07/2024,38800,37750,38800,38000,3700,36600
108,25/07/2024,38000,38000,38000,38000,-,36600
109,26/07/2024,38500,38000,38000,38500,1100,37000
110,29/07/2024,38500,38500,38500,38500,-,37000
111,30/07/2024,38500,38500,38500,38500,1100,37000
112,31/07/2024,38500,38500,38500,38500,200,37000
113,01/08/2024,38500,38500,38500,38500,2500,37000
114,02/08/2024,39100,38500,38500,39100,1100,37600
