,Date,High,Low,Open,Close,Volume,Adj Close
0,18/09/2023,27000,26500,26550,26900,62400,25700
1,19/09/2023,27000,26500,26500,26900,123500,25700
2,20/09/2023,27150,26350,26800,26950,67700,25700
3,21/09/2023,26850,26450,26850,26500,69500,25300
4,22/09/2023,26800,25400,26300,26200,234000,25000
5,25/09/2023,26200,25200,25500,25300,189300,24100
6,26/09/2023,25600,25100,25250,25450,44600,24300
7,27/09/2023,25450,24400,24400,25000,114700,23800
8,28/09/2023,25400,24850,25000,25200,326900,24000
9,29/09/2023,25300,24950,25200,25000,35600,23800
10,02/10/2023,25250,24800,24800,25000,15000,23800
11,03/10/2023,25150,24200,25150,25050,88900,23900
12,04/10/2023,25350,24500,24500,25350,75600,24200
13,05/10/2023,26800,25050,25050,26500,101900,25300
14,06/10/2023,26800,25850,26100,26700,206200,25500
15,09/10/2023,26650,24850,26100,25400,902200,24200
16,10/10/2023,25800,24900,25400,25000,25100,23800
17,11/10/2023,25650,24700,25100,24950,293200,23800
18,12/10/2023,25300,24950,25050,25200,50600,24000
19,13/10/2023,25400,24800,25400,25200,62400,24000
20,16/10/2023,25300,24800,25250,24800,26000,23700
21,17/10/2023,25250,24150,25000,24150,110300,23000
22,18/10/2023,24850,23800,24300,23800,90800,22700
23,19/10/2023,24150,23550,24150,23600,47200,22500
24,20/10/2023,24100,23400,24100,23550,21900,22500
25,23/10/2023,24300,23700,23950,24150,8200,23000
26,24/10/2023,24600,24100,24400,24300,11100,23200
27,25/10/2023,24650,23800,24500,24400,43300,23300
28,26/10/2023,24400,22700,24400,23850,39200,22700
29,27/10/2023,24000,23500,23850,23800,11000,22700
30,30/10/2023,24900,23800,23800,24400,127500,23300
31,31/10/2023,24900,24400,24900,24450,73400,23300
32,01/11/2023,24700,24300,24700,24600,23500,23500
33,02/11/2023,25000,24500,24900,24800,40200,23700
34,03/11/2023,25100,24700,24800,24700,67200,23600
35,06/11/2023,24750,24500,24750,24650,36800,23500
36,07/11/2023,25700,24500,24500,25600,165100,24400
37,08/11/2023,25750,25100,25700,25750,85900,24600
38,09/11/2023,26100,25600,25700,25650,82200,24500
39,10/11/2023,25900,25550,25600,25750,86100,24600
40,13/11/2023,27550,25750,25750,26700,366400,25500
41,14/11/2023,27100,26400,26700,27100,40200,25800
42,15/11/2023,27100,26100,27100,26250,101700,25000
43,16/11/2023,26500,26000,26250,26450,79400,25200
44,17/11/2023,26450,25850,26450,25850,44900,24700
45,20/11/2023,26000,25500,25700,25950,44200,24800
46,21/11/2023,26300,25500,25900,25800,70500,24600
47,22/11/2023,26050,25700,26050,25800,69600,24600
48,23/11/2023,26050,25400,25400,25850,19400,24700
49,24/11/2023,25800,25100,25100,25450,36400,24300
50,27/11/2023,25750,25200,25750,25200,16500,24000
51,28/11/2023,25500,25150,25500,25350,8200,24200
52,29/11/2023,26500,25000,25300,26000,81400,24800
53,30/11/2023,26000,25650,25950,25850,21100,24700
54,01/12/2023,25950,25550,25950,25900,15800,24700
55,04/12/2023,25900,24100,25700,25850,101000,24700
56,05/12/2023,25850,25000,25250,25800,23200,24600
57,06/12/2023,25800,25200,25800,25650,123000,24500
58,07/12/2023,25650,25200,25650,25600,35900,24400
59,08/12/2023,25800,25200,25300,25350,45300,24200
60,11/12/2023,25650,25350,25650,25500,34800,24300
61,12/12/2023,25900,25350,25900,25400,11900,24200
62,13/12/2023,25600,25350,25400,25400,11400,24200
63,14/12/2023,25600,25350,25600,25550,10600,24400
64,15/12/2023,25500,25200,25450,25200,6800,24000
65,18/12/2023,25600,25200,25600,25200,44000,24000
66,19/12/2023,25350,25050,25200,25200,31100,24000
67,20/12/2023,25550,24900,25200,25200,39400,24000
68,21/12/2023,25200,25000,25200,25150,10400,24000
69,22/12/2023,25400,25150,25250,25200,18100,24000
70,25/12/2023,25600,25200,25200,25350,27100,24200
71,26/12/2023,25500,25300,25450,25450,12200,24300
72,27/12/2023,25500,25250,25500,25450,17200,24300
73,28/12/2023,25450,25300,25450,25350,40300,24200
74,29/12/2023,25550,25200,25350,25250,36600,24100
75,02/01/2024,25800,25300,25400,25800,43600,24600
76,03/01/2024,26000,25550,26000,25800,43600,24600
77,04/01/2024,25850,25550,25850,25650,18500,24500
78,05/01/2024,25800,25450,25600,25800,32300,24600
79,08/01/2024,25900,25650,25900,25750,73900,24600
80,09/01/2024,26000,25750,25850,25850,41300,24700
81,10/01/2024,26000,25750,25950,25950,49300,24800
82,11/01/2024,27400,26250,26250,26900,282700,25700
83,12/01/2024,27000,26450,26900,26700,146700,25500
84,15/01/2024,27200,26600,26900,26600,151100,25400
85,16/01/2024,27000,26650,26950,26700,24500,25500
86,17/01/2024,26950,26600,26950,26750,220100,25500
87,18/01/2024,27150,26650,27000,26900,102100,25700
88,19/01/2024,27100,26500,26650,27100,143900,25800
89,22/01/2024,27250,26850,27250,27050,77500,25800
90,23/01/2024,27200,26750,27050,26800,61900,25600
91,24/01/2024,27100,26550,27000,26800,30000,25600
92,25/01/2024,27000,26600,26600,26650,31600,25400
93,26/01/2024,26750,26650,26650,26700,20700,25500
94,29/01/2024,27000,26600,27000,26600,64100,25400
95,30/01/2024,26750,26600,26600,26650,65400,25400
96,31/01/2024,27500,26700,26700,27500,294000,26200
97,01/02/2024,27800,27400,27500,27700,70000,26400
98,02/02/2024,28500,27800,27950,28050,143700,26800
99,05/02/2024,28200,27900,28050,28000,69000,26700
100,06/02/2024,28800,28000,28000,28800,253300,27500
101,07/02/2024,29400,28750,28850,29200,181900,27900
102,15/02/2024,29850,29100,29300,29200,173300,27900
103,16/02/2024,29200,28900,29200,29000,61900,27700
104,19/02/2024,29200,28000,29000,28800,223100,27500
105,20/02/2024,29000,28600,28850,28600,63600,27300
106,21/02/2024,29000,28400,28700,28500,110200,27200
107,22/02/2024,28850,28350,28750,28850,56400,27500
108,23/02/2024,28900,28100,28900,28400,67000,27100
109,26/02/2024,28400,28000,28400,28050,59100,26800
110,27/02/2024,28450,27800,28100,28400,79900,27100
111,28/02/2024,28700,28300,28400,28550,54300,27200
112,29/02/2024,28950,27900,28300,28200,83200,26900
113,01/03/2024,28400,28000,28000,28300,36900,27000
114,04/03/2024,28600,28300,28300,28450,78300,27100
115,05/03/2024,28550,28100,28550,28500,66800,27200
116,06/03/2024,28750,28200,28500,28300,74200,27000
117,07/03/2024,28700,28050,28700,28400,53100,27100
118,08/03/2024,28400,28050,28200,28350,23600,27000
119,11/03/2024,28500,28000,28500,28200,55800,26900
120,12/03/2024,28350,28000,28200,28300,38300,27000
121,13/03/2024,28350,28150,28300,28350,36800,27000
122,14/03/2024,28400,27900,28250,28050,64400,26800
123,15/03/2024,28550,28050,28200,28400,86400,27100
124,18/03/2024,28400,27850,28400,28350,54100,27000
125,19/03/2024,29600,28500,29500,28750,105000,27400
126,20/03/2024,28950,28300,28450,28950,25900,27600
127,21/03/2024,29000,28600,29000,28600,54800,27300
128,22/03/2024,28700,28250,28600,28350,85300,27000
129,25/03/2024,28350,28150,28350,28200,43600,26900
130,26/03/2024,28350,28050,28050,28200,33000,26900
131,27/03/2024,28600,28150,28200,28550,98800,27200
132,28/03/2024,29450,28300,28300,29300,126900,27900
133,29/03/2024,29800,29150,29350,29350,148900,28000
134,01/04/2024,29900,28900,29350,29000,158000,27700
135,02/04/2024,29800,28650,29800,29000,49100,27700
136,03/04/2024,29400,28650,29400,28900,49500,27600
137,04/04/2024,30900,28650,29000,30200,224400,28800
138,05/04/2024,30150,29350,30100,29500,267700,28100
139,08/04/2024,30400,27450,29750,29000,217500,27700
140,09/04/2024,29250,28350,28350,29000,76700,27700
141,10/04/2024,30350,28600,29000,28950,75500,27600
142,11/04/2024,29100,28800,28800,29000,29000,27700
143,12/04/2024,29700,28900,29000,29300,104200,27900
144,15/04/2024,29400,28500,29400,28500,83700,27200
145,16/04/2024,28900,27800,27800,27900,172400,26600
146,17/04/2024,28600,28000,28250,28400,35200,27100
147,19/04/2024,28700,27100,27100,28000,75500,26700
148,22/04/2024,28450,28000,28450,28250,12900,26900
149,23/04/2024,28400,27800,28400,27800,42900,26500
150,24/04/2024,28250,27950,27950,28250,22300,26900
151,25/04/2024,28450,28200,28400,28450,16700,27100
152,26/04/2024,29450,28450,28450,28750,117200,27400
153,02/05/2024,30400,29000,29200,30000,549700,28600
154,03/05/2024,31500,30000,30800,30450,278200,29000
155,06/05/2024,32000,30450,30500,31200,240400,29800
156,07/05/2024,31700,30500,31700,30700,158800,29300
157,08/05/2024,31200,30350,30700,30850,112600,29400
158,09/05/2024,31000,30100,30850,30400,72300,29000
159,10/05/2024,30800,29500,30550,29800,181400,28400
160,13/05/2024,30800,29500,30200,30100,86000,28700
161,14/05/2024,30500,29900,30150,30000,45500,28600
162,15/05/2024,30500,29900,29900,30000,64300,28600
163,16/05/2024,30700,30000,30000,30700,173900,29300
164,17/05/2024,31000,30400,31000,30600,50900,29200
165,20/05/2024,32700,30250,30950,32700,433500,31200
166,21/05/2024,34050,32700,33800,33150,176700,31600
167,22/05/2024,33150,31700,33150,32000,323300,30500
168,23/05/2024,33900,31750,32050,33550,208800,32000
169,24/05/2024,34750,32500,33550,32900,340500,31400
170,27/05/2024,34000,32600,32600,33400,156000,31900
171,28/05/2024,35200,33600,33700,35150,265700,33500
172,29/05/2024,35150,34250,35150,34400,120500,32800
173,30/05/2024,34000,32850,33850,33200,160200,31700
174,31/05/2024,33950,33000,33950,33450,61600,31900
175,03/06/2024,34500,33450,33450,33900,28400,32300
176,04/06/2024,34000,33600,33700,33700,87000,32100
177,05/06/2024,35000,33250,34000,33700,157000,32100
178,06/06/2024,34500,33550,34500,33750,17500,32200
179,07/06/2024,33750,33250,33750,33400,74300,31900
180,10/06/2024,33700,33150,33450,33600,54700,32000
181,11/06/2024,33900,33150,33850,33600,60800,32000
182,12/06/2024,33650,33150,33600,33600,97300,32000
183,13/06/2024,33750,33400,33500,33600,51700,32000
184,14/06/2024,34450,33700,33750,33750,119700,32200
185,17/06/2024,35500,33850,33850,35500,179100,33900
186,18/06/2024,35850,34800,35550,35100,148500,33500
187,19/06/2024,35000,34250,35000,34700,80300,33100
188,20/06/2024,35000,34350,34450,34800,97000,33200
189,21/06/2024,35000,34500,34800,34750,33400,33100
190,24/06/2024,36500,34800,34800,34900,239600,33300
191,25/06/2024,35700,34500,35700,34750,26200,33100
192,26/06/2024,37100,34900,35000,37100,221700,35400
193,27/06/2024,39000,36500,37100,37500,216100,35800
194,28/06/2024,37700,35500,37500,35500,178900,33900
195,01/07/2024,36400,34800,35900,35700,64200,34100
196,02/07/2024,36500,35200,35500,35200,47500,33600
197,03/07/2024,35750,34200,35250,35000,121700,33400
198,04/07/2024,35200,34300,35000,35000,57500,33400
199,05/07/2024,35800,35100,35100,35500,23500,33900
200,08/07/2024,35950,35200,35600,35700,55800,34100
201,09/07/2024,37400,35800,36050,37200,168500,35500
202,10/07/2024,37500,36300,37400,36450,56400,34800
203,11/07/2024,36750,36100,36350,36200,46500,34500
204,12/07/2024,36950,35700,36200,36500,45100,34800
205,15/07/2024,37000,35800,37000,36800,48400,35100
206,16/07/2024,37200,36800,36800,37000,71100,35300
207,17/07/2024,37700,36150,37650,36500,109300,34800
208,18/07/2024,37900,36600,36800,37900,76700,36200
209,19/07/2024,39500,37800,37800,38650,127500,36900
210,22/07/2024,37750,36100,37550,36100,101400,34400
211,23/07/2024,37000,35500,36400,35500,99900,33900
212,24/07/2024,37450,34650,35050,37300,135600,35600
213,25/07/2024,37500,36300,36900,37500,28000,35800
214,26/07/2024,37500,36500,37500,37450,14500,35700
215,29/07/2024,37450,36700,37300,37450,54900,35700
216,30/07/2024,38000,37100,37500,37800,24400,36100
217,31/07/2024,38000,37100,37800,37700,33500,36000
218,01/08/2024,38200,36750,38000,37700,55300,36000
219,02/08/2024,37700,36100,37700,37500,54600,35800
220,05/08/2024,37300,34900,37300,34900,97200,33300
221,06/08/2024,36500,34900,34900,36500,85400,34800
