,Date,High,Low,Open,Close,Volume,Adj Close
0,28/11/2023,21300,20750,21300,21250,51900,18900
1,29/11/2023,21350,21050,21250,21300,45900,19000
2,30/11/2023,21550,20700,21400,21250,237000,18900
3,01/12/2023,21300,20600,21250,21200,114100,18900
4,04/12/2023,21500,21050,21200,21450,201400,19100
5,05/12/2023,21550,21250,21250,21350,62600,19000
6,06/12/2023,21400,21200,21350,21300,102000,19000
7,07/12/2023,21400,20700,21350,21000,393200,18700
8,08/12/2023,21200,20800,20800,21200,64400,18900
9,11/12/2023,21250,21000,21100,21150,88700,18800
10,12/12/2023,21200,20950,21200,21200,62400,18900
11,13/12/2023,21250,21000,21200,21100,63000,18800
12,14/12/2023,21150,20900,21150,20900,86700,18600
13,15/12/2023,21050,20800,20850,20800,69100,18500
14,18/12/2023,20900,20700,20850,20800,61200,18500
15,19/12/2023,20900,20350,20800,20900,126200,18600
16,20/12/2023,21000,20750,20900,21000,35300,18700
17,21/12/2023,21250,20400,20800,21150,239400,18800
18,22/12/2023,21150,20650,21150,21100,53200,18800
19,25/12/2023,21400,21050,21400,21150,110600,18800
20,26/12/2023,21300,21050,21150,21300,104900,19000
21,27/12/2023,21350,21000,21300,21300,95000,19000
22,28/12/2023,21350,21100,21300,21300,92200,19000
23,29/12/2023,21350,21150,21250,21350,153000,19000
24,02/01/2024,21500,20850,21300,21250,126500,18900
25,03/01/2024,21400,20900,21150,21400,113000,19100
26,04/01/2024,21600,21200,21250,21350,203600,19000
27,05/01/2024,21950,21400,21400,21700,336700,19300
28,08/01/2024,21850,21550,21800,21650,207100,19300
29,09/01/2024,21700,21450,21650,21650,153600,19300
30,10/01/2024,22450,21600,21650,22300,365000,19900
31,11/01/2024,22600,22100,22300,22100,296600,19700
32,12/01/2024,22150,21750,22150,21800,206800,19400
33,15/01/2024,22100,21700,21950,21850,89800,19500
34,16/01/2024,21950,21700,21850,21750,392800,19400
35,17/01/2024,21950,21750,21750,21750,289400,19400
36,18/01/2024,21900,21700,21750,21800,100400,19400
37,19/01/2024,22250,21800,21800,22000,529700,19600
38,22/01/2024,22200,21950,22050,22050,163300,19600
39,23/01/2024,22100,21800,21950,21900,256000,19500
40,24/01/2024,21900,21650,21850,21650,127800,19300
41,25/01/2024,21650,21550,21550,21550,55900,19200
42,26/01/2024,21800,21600,21600,21750,63300,19400
43,29/01/2024,21800,21400,21750,21800,202300,19400
44,30/01/2024,21950,21700,21800,21800,97000,19400
45,31/01/2024,22000,21500,21800,21700,242100,19300
46,01/02/2024,21950,21550,21750,21950,155200,19600
