,Date,High,Low,Open,Close,Volume,Adj Close
0,06/11/2023,11800,11800,11800,11800,-,10900
1,07/11/2023,11800,11800,11800,11800,-,10900
2,08/11/2023,11800,11800,11800,11800,-,10900
3,09/11/2023,11750,11400,11700,11750,600,10800
4,10/11/2023,12000,11450,11750,11450,800,10600
5,13/11/2023,11600,11450,11600,11450,300,10600
6,14/11/2023,11900,11900,11900,11900,100,11000
7,15/11/2023,11900,11900,11900,11900,400,11000
8,16/11/2023,11900,11900,11900,11900,-,11000
9,17/11/2023,11900,11800,11900,11800,400,10900
10,20/11/2023,11800,11800,11800,11800,100,10900
11,21/11/2023,11800,11700,11800,11700,300,10800
12,22/11/2023,11700,11700,11700,11700,-,10800
13,23/11/2023,11700,11700,11700,11700,-,10800
14,24/11/2023,11700,11700,11700,11700,200,10800
15,27/11/2023,11700,11200,11700,11200,500,10300
16,28/11/2023,11500,11500,11500,11500,3800,10600
17,29/11/2023,11550,11550,11550,11550,100,10600
18,30/11/2023,11550,11550,11550,11550,1200,10600
19,01/12/2023,11800,11300,11700,11300,1600,10400
20,04/12/2023,11750,11750,11750,11750,300,10800
21,05/12/2023,11800,11750,11750,11800,600,10900
22,06/12/2023,11900,11000,11000,11900,200,11000
23,07/12/2023,12500,11800,11800,11900,1300,11000
24,08/12/2023,12300,12200,12200,12300,1700,11300
25,11/12/2023,12300,12250,12300,12250,200,11300
26,12/12/2023,12100,12100,12100,12100,900,11100
27,13/12/2023,12150,11300,11500,12150,1700,11200
28,14/12/2023,12000,11500,12000,11500,1100,10600
29,15/12/2023,12000,11500,11500,12000,600,11100
30,18/12/2023,12000,11500,12000,12000,5900,11100
31,19/12/2023,11500,11300,11500,11500,12800,10600
32,20/12/2023,11500,11500,11500,11500,-,10600
33,21/12/2023,11500,11500,11500,11500,-,10600
34,22/12/2023,12100,11300,11500,12100,10400,11100
35,25/12/2023,12300,11500,12100,11500,500,10600
36,26/12/2023,12000,12000,12000,12000,100,11100
37,27/12/2023,12400,12000,12400,12100,4400,11100
38,28/12/2023,12100,12050,12050,12100,1000,11100
39,29/12/2023,12100,12100,12100,12100,2000,11100
40,02/01/2024,12100,11700,12100,12100,300,11100
41,03/01/2024,12100,12000,12000,12100,400,11100
42,04/01/2024,12200,12000,12000,12200,1200,11200
43,05/01/2024,12500,12000,12000,12200,6100,11200
44,08/01/2024,12500,11850,12200,12500,10600,11500
45,09/01/2024,12500,11950,12500,12200,3400,11200
46,10/01/2024,12200,12200,12200,12200,-,11200
47,11/01/2024,11750,11750,11750,11750,200,10800
48,12/01/2024,12500,11500,12500,12400,2000,11400
49,15/01/2024,12750,12400,12500,12700,7000,11700
50,16/01/2024,12800,12500,12600,12800,14300,11800
51,17/01/2024,12850,12500,12500,12600,9200,11600
52,18/01/2024,12900,12600,12650,12800,11500,11800
53,19/01/2024,12950,12700,12700,12950,11000,11900
54,22/01/2024,13000,12650,12800,12700,7600,11700
55,23/01/2024,12750,12750,12750,12750,2800,11700
56,24/01/2024,12750,12500,12700,12750,4300,11700
57,25/01/2024,12850,12400,12850,12800,4600,11800
58,26/01/2024,12900,12700,12750,12900,22300,11900
59,29/01/2024,13050,12900,13050,13000,10700,12000
60,30/01/2024,13350,13050,13100,13300,6800,12300
61,31/01/2024,13350,13300,13300,13300,1900,12300
62,01/02/2024,13400,13300,13300,13300,5300,12300
63,02/02/2024,13500,13300,13350,13400,2300,12300
64,05/02/2024,13500,13000,13400,13450,15700,12400
65,06/02/2024,13450,13200,13450,13200,500,12200
66,07/02/2024,13400,13200,13350,13350,16900,12300
67,15/02/2024,13350,13000,13350,13200,900,12200
68,16/02/2024,14100,13250,14100,13400,18900,12300
69,19/02/2024,13600,13250,13400,13600,26700,12500
70,20/02/2024,13850,13250,13500,13850,6400,12800
71,21/02/2024,13850,13350,13700,13800,10600,12700
