,Date,High,Low,Open,Close,Volume,Adj Close
0,07/07/2022,23450,21700,22500,23000,242300,20400
1,08/07/2022,24200,23100,23600,24150,362800,21400
2,11/07/2022,24450,22500,23500,22900,401200,20300
3,12/07/2022,24200,22900,23600,24200,401800,21500
4,13/07/2022,24400,23000,23000,23400,572400,20800
5,14/07/2022,24800,22800,22800,24600,465000,21800
6,15/07/2022,24950,24000,24950,24100,525200,21400
7,18/07/2022,24700,24000,24000,24200,568000,21500
8,19/07/2022,24500,23350,24500,23800,435200,21100
9,20/07/2022,25450,24050,24050,25450,972600,22600
10,21/07/2022,26300,25400,25500,25450,799600,22600
11,22/07/2022,26200,25100,25450,25600,909800,22700
12,25/07/2022,26200,24800,25550,25600,1193700,22700
13,26/07/2022,26100,25400,25600,25650,567200,22800
14,27/07/2022,27400,25450,25450,27400,1844700,24300
15,28/07/2022,28100,27500,28100,27600,937600,24500
16,29/07/2022,28700,27100,27650,28500,1047000,25300
17,01/08/2022,30350,28350,28900,29250,1243200,25900
18,02/08/2022,29300,28450,29250,29200,849600,25900
19,03/08/2022,30900,28800,29100,30000,1177000,26600
20,04/08/2022,30700,29050,30500,29500,927600,26200
21,05/08/2022,30300,29000,29500,29850,917900,26500
22,08/08/2022,30600,29100,30600,29500,848600,26200
23,09/08/2022,30300,29200,29500,29700,725600,26300
24,10/08/2022,30100,29500,29700,29700,747800,26300
25,11/08/2022,30300,28500,30300,28750,1425900,25500
26,12/08/2022,29800,28100,29300,29300,891300,26000
27,15/08/2022,29800,29250,29550,29500,452300,26200
28,16/08/2022,29600,28900,29400,29250,821500,25900
29,17/08/2022,29800,29000,29300,29500,1147700,26200
30,18/08/2022,31550,29100,29300,31500,2895800,27900
31,19/08/2022,31500,30600,31350,31050,924100,27500
32,22/08/2022,31400,29900,30900,30450,1112100,27000
33,23/08/2022,31400,29550,29900,31400,1516600,27900
34,24/08/2022,31900,31300,31700,31300,952000,27800
35,25/08/2022,31900,31100,31350,31300,893300,27800
36,26/08/2022,31300,29700,31300,30300,1355500,26900
37,29/08/2022,29500,28200,29100,28700,1871100,25500
38,30/08/2022,29600,28400,29300,28400,641300,25200
39,31/08/2022,29400,28050,28100,29200,727000,25900
40,05/09/2022,29850,29000,29200,29400,528400,26100
41,06/09/2022,29650,29000,29500,29300,726300,26000
42,07/09/2022,29400,27350,29000,27350,787700,24300
43,08/09/2022,28200,26900,28200,27000,713800,24000
44,09/09/2022,27850,26300,27100,27850,466900,24700
45,12/09/2022,28500,27450,28500,27700,253600,24600
46,13/09/2022,27900,27200,27900,27500,326200,24400
47,14/09/2022,28900,26000,26000,28000,860400,24800
48,15/09/2022,28300,27900,28200,28000,358800,24800
49,16/09/2022,28200,26800,27650,27000,406600,24000
50,19/09/2022,26600,25150,26600,25150,676200,22300
51,20/09/2022,26000,24500,25300,26000,546000,23100
52,21/09/2022,26000,25500,25900,25700,461500,22800
53,22/09/2022,27450,24800,25600,27450,761700,24400
54,23/09/2022,29300,27550,27950,29200,1641600,25900
55,26/09/2022,29150,27500,29150,28500,889100,25300
56,27/09/2022,29500,28500,28600,29000,888400,25700
57,28/09/2022,29550,28100,28700,29100,787700,25800
58,29/09/2022,29600,27500,29550,29600,1367700,26300
59,30/09/2022,30000,27850,29100,30000,1310000,26600
60,03/10/2022,29700,27900,29700,27900,733900,24800
61,04/10/2022,28500,25950,28500,25950,795900,23000
62,05/10/2022,27000,26000,26900,26900,605200,23900
63,06/10/2022,26800,25050,26750,25050,435900,22200
64,07/10/2022,23550,22650,23400,22650,638900,20700
65,10/10/2022,23900,21400,21400,23150,429200,21100
66,11/10/2022,23050,21550,23050,21550,460200,19700
67,12/10/2022,22850,21200,21600,21550,336900,19700
68,13/10/2022,22000,21400,21500,21800,159200,19900
69,14/10/2022,22900,22250,22500,22600,372300,20600
70,17/10/2022,22700,21800,22550,22700,223600,20700
71,18/10/2022,23500,22600,23200,22750,447700,20800
72,19/10/2022,22800,22450,22750,22800,159100,20800
73,20/10/2022,22800,21700,22700,21700,276300,19800
74,21/10/2022,21700,20200,21700,20200,441700,18400
75,24/10/2022,20400,18800,19500,18800,320000,17200
76,25/10/2022,19400,17500,18000,18000,382400,16400
77,26/10/2022,18300,16750,17500,16750,489100,15300
78,27/10/2022,17900,16850,17600,17900,355100,16300
79,28/10/2022,18750,18000,18000,18200,301600,16600
80,31/10/2022,18600,17400,17800,18000,303700,16400
81,01/11/2022,19000,18300,18500,18800,555600,17200
82,02/11/2022,19000,18400,18800,18800,371000,17200
83,03/11/2022,19300,18300,18300,18800,280000,17200
84,04/11/2022,18650,17500,18300,17500,497500,16000
85,07/11/2022,17700,16300,17650,16300,317600,14900
86,08/11/2022,16300,15200,15500,16000,333000,14600
87,09/11/2022,16900,16000,16900,16000,246200,14600
88,10/11/2022,15750,14900,15450,14900,266000,13600
89,11/11/2022,15750,13900,15000,13900,465200,12700
90,14/11/2022,13450,12950,13450,12950,440000,11800
91,15/11/2022,12850,12050,12100,12050,431000,11000
92,16/11/2022,12850,11250,11250,12850,1013600,11700
93,17/11/2022,13700,13200,13400,13450,491400,12300
94,18/11/2022,14250,12850,13550,14250,593300,13000
95,21/11/2022,14850,14300,14650,14800,426600,13500
96,22/11/2022,15750,14300,14650,15000,720500,13700
97,23/11/2022,15650,14500,15000,15000,481800,13700
98,24/11/2022,15250,14450,14900,15200,460300,13900
99,25/11/2022,16250,15250,15400,16250,508300,14800
100,28/11/2022,17350,16500,16850,17350,499200,15800
101,29/11/2022,18550,17000,17600,18500,842200,16900
102,30/11/2022,18950,17900,18500,18350,463500,16700
103,01/12/2022,19450,17600,18700,18000,1099400,16400
104,02/12/2022,19250,17550,17600,19250,928500,17600
105,05/12/2022,20200,19550,19950,19900,728400,18200
106,06/12/2022,19900,18550,19750,18550,1880000,16900
107,07/12/2022,18800,17400,18500,17600,628900,16100
108,08/12/2022,18800,17600,18250,18650,796000,17000
109,09/12/2022,19000,18100,18900,18350,384900,16700
110,12/12/2022,19200,17150,18450,17150,564800,15700
111,13/12/2022,18350,17100,18000,18350,581600,16700
112,14/12/2022,19550,18500,18950,19150,1056500,17500
113,15/12/2022,19600,18900,18950,19350,566600,17700
114,16/12/2022,19850,18850,18850,19550,724300,17800
115,19/12/2022,20900,19300,19550,20050,1478900,18300
116,20/12/2022,20900,19050,19950,20100,1313400,18300
117,21/12/2022,20950,18700,20950,19350,901400,17700
118,22/12/2022,19700,18300,19700,19300,301700,17600
119,23/12/2022,19200,18400,19000,18600,320600,17000
120,26/12/2022,18500,17300,18500,17300,552700,15800
121,27/12/2022,18350,17100,17600,18350,374500,16700
122,28/12/2022,18550,17800,18350,18100,322700,16500
123,29/12/2022,18000,17450,17650,17450,165500,15900
124,30/12/2022,17900,17350,17500,17400,175000,15900
125,03/01/2023,18600,17600,17650,18600,427500,17000
126,04/01/2023,19500,18500,19500,18650,374200,17000
127,05/01/2023,18950,18200,18600,18700,216300,17100
128,06/01/2023,19300,18250,18700,18500,388800,16900
129,09/01/2023,18900,18100,18650,18100,170700,16500
130,10/01/2023,18400,17650,18100,17850,262400,16300
131,11/01/2023,18750,17900,17900,18350,244300,16700
132,12/01/2023,18650,17800,18650,18100,177000,16500
133,13/01/2023,18900,18200,18500,18500,445500,16900
134,16/01/2023,18800,17950,18600,18500,237600,16900
135,17/01/2023,19700,18550,18600,19700,405300,18000
136,18/01/2023,19800,19300,19650,19550,432500,17800
137,19/01/2023,20200,19400,19500,20150,413600,18400
138,27/01/2023,20900,19600,20900,19650,499100,17900
139,30/01/2023,20550,19200,19650,19950,1438100,18200
140,31/01/2023,20900,19650,19700,20900,485400,19100
141,01/02/2023,21250,19450,21200,19450,1073900,17800
142,02/02/2023,19500,18700,19450,18850,669900,17200
143,03/02/2023,19050,18450,19000,18650,352600,17000
144,06/02/2023,19000,18300,18650,18650,150600,17000
145,07/02/2023,19050,18200,18700,18200,348000,16600
146,08/02/2023,18800,17500,18350,18300,263300,16700
147,09/02/2023,18400,18100,18300,18250,140900,16700
148,10/02/2023,18300,17650,18200,17750,303500,16200
149,13/02/2023,17750,16600,17750,16850,607500,15400
150,14/02/2023,17400,16800,16850,17050,162000,15600
151,15/02/2023,17600,17100,17300,17450,285200,15900
152,16/02/2023,17950,17450,17450,17900,237000,16300
153,17/02/2023,18100,17700,17900,17700,133400,16200
154,20/02/2023,18900,17700,17950,18900,476100,17200
155,21/02/2023,19300,18550,19300,18550,235500,16900
156,22/02/2023,18400,17700,18400,17700,404500,16200
157,23/02/2023,18200,17100,17700,18200,330700,16600
158,24/02/2023,18150,17500,17800,17500,143500,16000
159,27/02/2023,17400,16800,17000,16900,226500,15400
160,28/02/2023,17250,16900,17000,17100,111000,15600
161,01/03/2023,17800,16800,17000,17700,108800,16200
162,02/03/2023,17850,17400,17850,17400,90100,15900
163,03/03/2023,17600,17100,17600,17100,125900,15600
164,06/03/2023,17600,17150,17500,17250,115500,15700
165,07/03/2023,17600,17200,17400,17400,180000,15900
166,08/03/2023,17800,17150,17400,17800,183900,16200
167,09/03/2023,18200,17800,17800,18050,327500,16500
168,10/03/2023,18000,17500,18000,17850,142900,16300
169,13/03/2023,17900,17250,17600,17750,267400,16200
170,14/03/2023,17700,17000,17450,17050,243400,15600
171,15/03/2023,18200,17500,18100,18200,517100,16600
172,16/03/2023,18200,17700,17700,18000,395800,16400
173,17/03/2023,18350,17800,18350,17900,216900,16300
174,20/03/2023,18250,17350,17600,17400,379000,15900
175,21/03/2023,17900,17300,17750,17900,159300,16300
176,22/03/2023,18400,17800,17900,17950,319700,16400
177,23/03/2023,18500,17600,17900,18400,369900,16800
178,24/03/2023,18800,18200,18600,18200,429000,16600
179,27/03/2023,19450,18450,18500,19450,875700,17800
180,28/03/2023,20300,19550,19800,19550,1003800,17800
181,29/03/2023,20900,19500,19500,20900,2112800,19100
182,30/03/2023,22100,21550,22000,21650,1631100,19800
183,31/03/2023,23150,21300,21800,23150,2205600,21100
184,03/04/2023,24450,23400,24450,24000,1013000,21900
185,04/04/2023,25650,23600,24200,25650,1591800,23400
186,05/04/2023,27200,25600,26350,26000,2462400,23700
187,06/04/2023,26250,24900,25900,25000,2119700,22800
188,07/04/2023,26750,25100,25350,26750,1135600,24400
189,10/04/2023,27950,26200,27900,26600,1832800,24300
190,11/04/2023,28000,25550,26600,27950,1818300,25500
191,12/04/2023,27950,26250,27950,26900,1261600,24600
192,13/04/2023,27400,26200,26800,26200,1246600,23900
193,14/04/2023,27300,26100,27000,26300,1810900,24000
194,17/04/2023,27200,26100,26600,27000,1122900,24600
