,Date,High,Low,Open,Close,Volume,Adj Close
0,13/06/2023,16450,16300,16450,16450,28800,12800
1,14/06/2023,16200,16000,16200,16200,3500,12600
2,15/06/2023,16400,15800,15800,16200,5500,12600
3,16/06/2023,16350,15900,16350,15900,1600,12400
4,19/06/2023,15900,15400,15900,15650,6200,12200
5,20/06/2023,16200,15300,15400,16200,10600,12600
6,21/06/2023,16200,16200,16200,16200,1700,12600
7,22/06/2023,15900,15800,15800,15800,7000,12300
8,23/06/2023,15900,15300,15800,15500,19900,12100
9,26/06/2023,15800,15300,15500,15800,4700,12300
10,27/06/2023,15800,15800,15800,15800,11500,12300
11,28/06/2023,15700,15700,15700,15700,100,12200
12,29/06/2023,15700,15700,15700,15700,1100,12200
13,30/06/2023,15650,15300,15300,15650,400,12200
14,03/07/2023,15800,15500,15650,15800,12900,12300
15,04/07/2023,15800,15450,15500,15800,4800,12300
16,05/07/2023,15800,15450,15450,15800,1900,12300
17,06/07/2023,15800,15800,15800,15800,-,12300
18,07/07/2023,15800,15400,15400,15800,2500,12300
19,10/07/2023,15800,15400,15400,15800,3400,12300
20,11/07/2023,15500,15500,15500,15500,2400,12100
21,12/07/2023,15500,15500,15500,15500,1000,12100
22,13/07/2023,16000,15500,15500,16000,13300,12500
23,14/07/2023,16000,15500,16000,16000,8300,12500
24,17/07/2023,16300,15850,15900,16000,95800,12500
25,18/07/2023,16000,15800,16000,15950,44400,12400
26,19/07/2023,15950,15650,15950,15800,44300,12300
27,20/07/2023,16050,15750,16050,16000,49900,12500
28,21/07/2023,16200,15800,16050,16000,62600,12500
29,24/07/2023,16150,15900,16000,16150,17800,12600
30,25/07/2023,16150,15900,16150,15900,15400,12400
31,26/07/2023,15950,15500,15950,15950,18500,12400
32,27/07/2023,15700,15500,15700,15500,24800,12100
33,28/07/2023,15850,15350,15550,15850,3600,12300
34,31/07/2023,15850,15600,15800,15850,11500,12300
35,01/08/2023,15850,15550,15850,15600,15300,12200
36,02/08/2023,15850,15450,15450,15850,4800,12300
37,03/08/2023,15650,15500,15600,15500,4600,12100
38,04/08/2023,15700,15450,15550,15700,12100,12200
39,07/08/2023,15800,15700,15700,15700,6100,12200
40,08/08/2023,15800,15500,15700,15650,26500,12200
41,09/08/2023,15650,15500,15500,15550,12900,12100
42,10/08/2023,15800,15500,15550,15500,9900,12100
43,11/08/2023,15700,15500,15500,15700,1600,12200
44,14/08/2023,15700,14950,15600,15600,15300,12200
45,15/08/2023,15600,15600,15600,15600,1800,12200
46,16/08/2023,15800,15650,15650,15800,1200,12300
47,17/08/2023,15800,15500,15800,15500,14700,12100
48,18/08/2023,15500,15250,15500,15250,17100,11900
49,21/08/2023,15600,15100,15600,15100,4700,11800
50,22/08/2023,15600,14700,15600,15000,21900,11700
51,23/08/2023,14900,14800,14800,14900,12200,11600
52,24/08/2023,15500,15400,15400,15500,1900,12100
53,25/08/2023,15700,15600,15700,15600,8300,12200
54,28/08/2023,15900,15600,15900,15600,5400,12200
55,29/08/2023,15800,15600,15600,15800,10200,12300
56,30/08/2023,16250,15950,16250,16200,26300,12600
57,31/08/2023,16300,16150,16250,16200,16800,12600
58,05/09/2023,16700,16200,16200,16700,41000,13000
59,06/09/2023,16850,16100,16850,16700,110200,13000
60,07/09/2023,16700,16400,16500,16500,6000,12900
61,08/09/2023,16750,16500,16500,16750,24000,13100
62,11/09/2023,17000,16500,16900,16700,60500,13000
63,12/09/2023,16700,16600,16700,16650,32500,13000
64,13/09/2023,16650,16000,16650,16200,49900,12600
65,14/09/2023,15450,14700,14800,14700,10300,12400
66,15/09/2023,14850,14700,14700,14750,24900,12400
67,18/09/2023,14850,14600,14850,14650,7300,12300
68,19/09/2023,14500,14300,14400,14450,7200,12200
69,20/09/2023,15000,14500,15000,14750,4800,12400
70,21/09/2023,15300,15000,15300,15000,2700,12600
71,22/09/2023,14900,14300,14500,14300,23800,12000
72,25/09/2023,14300,14000,14300,14250,35800,12000
73,26/09/2023,14250,13800,14000,14250,8200,12000
74,27/09/2023,14250,13600,13900,14000,2400,11800
75,28/09/2023,14200,13850,14200,13850,2200,11700
76,29/09/2023,13900,13500,13900,13850,9000,11700
77,02/10/2023,14000,13850,13850,13850,400,11700
78,03/10/2023,14200,13500,14200,13500,4700,11400
79,04/10/2023,13500,13300,13300,13350,5600,11200
80,05/10/2023,13700,13400,13400,13700,300,11500
81,06/10/2023,14200,13500,13700,14200,5400,11900
82,09/10/2023,14200,14200,14200,14200,-,11900
83,10/10/2023,14200,13500,13500,14200,800,11900
84,11/10/2023,14200,13600,13600,14200,4600,11900
85,12/10/2023,14200,13600,14200,14150,1600,11900
86,13/10/2023,14150,13700,14150,14100,8300,11900
87,16/10/2023,14200,13700,13700,14200,4000,11900
88,17/10/2023,14200,13850,13850,14200,200,11900
89,18/10/2023,13800,13600,13800,13800,3900,11600
90,19/10/2023,13800,13500,13800,13800,11400,11600
91,20/10/2023,13800,13800,13800,13800,1100,11600
92,23/10/2023,13950,13500,13500,13550,1000,11400
93,24/10/2023,13850,13500,13550,13850,7200,11700
94,25/10/2023,13550,13500,13500,13500,4100,11400
95,26/10/2023,13500,12650,13300,13500,6100,11400
96,27/10/2023,13500,13500,13500,13500,-,11400
97,30/10/2023,13400,13000,13400,13400,700,11300
98,31/10/2023,13400,13000,13400,13400,3600,11300
99,01/11/2023,13400,13000,13350,13400,5000,11300
100,02/11/2023,13400,13400,13400,13400,400,11300
101,03/11/2023,13300,13100,13100,13200,3200,11100
102,06/11/2023,13450,13100,13400,13200,13600,11100
103,07/11/2023,13200,13100,13100,13200,2000,11100
104,08/11/2023,13200,13100,13100,13200,1300,11100
105,09/11/2023,13200,13000,13200,13200,15800,11100
106,10/11/2023,13200,12950,12950,13100,3300,11000
107,13/11/2023,13100,13100,13100,13100,600,11000
108,14/11/2023,13100,13000,13100,13050,9100,11000
109,15/11/2023,13200,13000,13050,13200,7200,11100
110,16/11/2023,13200,13000,13000,13200,700,11100
111,17/11/2023,13350,12950,13150,13350,15300,11200
112,20/11/2023,13200,13000,13000,13100,1000,11000
113,21/11/2023,13100,13000,13100,13100,4900,11000
114,22/11/2023,13100,13000,13100,13000,9900,10900
115,23/11/2023,13200,13000,13000,13200,8000,11100
116,24/11/2023,13200,12800,13150,13200,14000,11100
117,27/11/2023,13400,13200,13400,13400,87200,11300
118,28/11/2023,13400,13300,13400,13400,37400,11300
119,29/11/2023,13600,13400,13600,13400,147000,11300
120,30/11/2023,14300,13400,13400,14300,105100,12000
121,01/12/2023,15300,15000,15000,15300,213000,12900
122,04/12/2023,16350,16050,16200,16350,161200,13800
123,05/12/2023,17450,16600,17450,17450,232200,14700
124,06/12/2023,18000,16950,16950,17900,236200,15100
125,07/12/2023,17800,16650,17800,16650,1017700,14000
126,08/12/2023,16800,15500,16650,15500,389000,13000
127,11/12/2023,16500,15600,15600,16200,290000,13600
128,12/12/2023,16200,15700,16000,15850,144900,13300
129,13/12/2023,16000,15700,15950,15850,430980,13300
130,14/12/2023,15950,15750,15800,15850,193400,13300
131,15/12/2023,16150,15900,15900,15950,152300,13400
132,18/12/2023,16500,15950,16000,16450,234200,13800
133,19/12/2023,16500,16100,16450,16250,172700,14100
134,20/12/2023,16300,15800,16300,16150,80400,14000
135,21/12/2023,16200,16000,16200,16000,13600,13900
136,22/12/2023,16000,15700,16000,15800,60900,13700
137,25/12/2023,16000,15600,16000,15800,142000,13700
138,26/12/2023,16000,15700,16000,15700,51300,13600
139,27/12/2023,15800,15650,15700,15700,45800,13600
140,28/12/2023,15950,15750,15950,15900,18100,13800
141,29/12/2023,16150,15850,16150,15900,31100,13800
142,02/01/2024,16450,16000,16300,16200,175400,14100
143,03/01/2024,16250,16000,16000,16250,43400,14100
144,04/01/2024,16250,16100,16250,16100,37500,14000
145,05/01/2024,16150,15800,16150,15950,57700,13800
146,08/01/2024,16050,15800,15900,15950,50100,13800
147,09/01/2024,16000,15850,15900,16000,52800,13900
148,10/01/2024,16100,16000,16000,16100,94900,14000
149,11/01/2024,16150,16000,16150,16050,64800,13900
150,12/01/2024,16150,15850,16150,16050,66400,13900
151,15/01/2024,16000,15900,15950,16000,32100,13900
152,16/01/2024,16100,15900,16000,16100,66300,14000
153,17/01/2024,16100,16000,16000,16100,35500,14000
154,18/01/2024,16350,16100,16100,16350,44200,14200
155,19/01/2024,16300,16250,16300,16250,57500,14100
156,22/01/2024,16200,16000,16150,16050,60000,13900
157,23/01/2024,16150,16000,16100,16150,59800,14000
158,24/01/2024,16200,15900,16100,16200,128300,14100
159,25/01/2024,16000,15950,16000,15950,43800,13800
160,26/01/2024,16150,15950,16000,16000,66100,13900
161,29/01/2024,16300,16000,16100,16100,49300,14000
162,30/01/2024,16100,16050,16050,16100,7500,14000
163,31/01/2024,16250,16050,16050,16250,42400,14100
164,01/02/2024,16400,16200,16250,16350,29900,14200
165,02/02/2024,16500,16350,16350,16450,34300,14300
166,05/02/2024,16800,16500,16500,16750,87300,14500
167,06/02/2024,16900,16650,16800,16900,42700,14700
168,07/02/2024,17000,16800,16850,16850,46900,14600
169,15/02/2024,17400,16850,16850,17200,56200,14900
170,16/02/2024,17400,17250,17350,17250,20100,15000
171,19/02/2024,17450,17250,17300,17300,77400,15000
172,20/02/2024,17500,17250,17300,17350,103100,15100
173,21/02/2024,17400,17250,17400,17400,40500,15100
174,22/02/2024,17450,17250,17350,17300,33900,15000
175,23/02/2024,17400,17200,17200,17350,89600,15100
176,26/02/2024,17350,17200,17350,17250,86400,15000
177,27/02/2024,18250,17700,17700,18000,339800,15600
178,28/02/2024,18600,18100,18200,18250,483300,15800
179,29/02/2024,18450,17750,18450,18000,243100,15600
180,01/03/2024,18350,18050,18200,18350,302600,15900
181,04/03/2024,19600,18800,19000,19600,700000,17000
182,05/03/2024,20300,19800,20100,20200,355000,17500
183,06/03/2024,20150,19500,20100,19900,229700,17300
184,07/03/2024,19900,19650,19900,19750,156000,17100
185,08/03/2024,20000,19450,19750,19800,217000,17200
186,11/03/2024,20600,20250,20300,20400,699900,17700
187,12/03/2024,20650,20250,20600,20300,316600,17600
188,13/03/2024,20450,19600,20450,20050,365300,17400
189,14/03/2024,17400,16400,17400,16650,427100,16700
190,15/03/2024,16850,16450,16650,16650,162600,16700
191,18/03/2024,16500,15500,16300,15500,331600,15500
192,19/03/2024,15550,15300,15550,15350,191800,15400
193,20/03/2024,15650,15250,15250,15350,56600,15400
194,21/03/2024,15550,15400,15450,15400,71400,15400
195,22/03/2024,15500,14800,15450,15150,95500,15200
196,25/03/2024,15150,14800,15150,14850,91200,14900
197,26/03/2024,15400,14800,15000,15050,82000,15100
198,27/03/2024,15250,14900,15250,15100,42000,15100
199,28/03/2024,15200,14800,15100,14800,63800,14800
200,29/03/2024,15100,14800,14800,14850,61400,14900
201,01/04/2024,15000,14750,14850,14800,33300,14800
202,02/04/2024,14900,14500,14800,14700,98300,14700
203,03/04/2024,14800,14700,14700,14700,32700,14700
204,04/04/2024,14700,14550,14700,14600,36000,14600
205,05/04/2024,14550,14350,14500,14450,52800,14500
206,08/04/2024,14450,14000,14450,14100,66100,14100
207,09/04/2024,14500,14100,14100,14400,36200,14400
208,10/04/2024,14500,14400,14500,14500,26300,14500
209,11/04/2024,14600,14200,14500,14500,19400,14500
210,12/04/2024,14650,14350,14500,14650,23400,14700
211,15/04/2024,14950,14000,14950,14000,52800,14000
212,16/04/2024,14300,13750,14000,14100,65400,14100
213,17/04/2024,14400,14100,14100,14100,43900,14100
214,19/04/2024,14000,13850,13900,13850,18300,13900
215,22/04/2024,14250,13850,13850,14200,29200,14200
216,23/04/2024,14200,13900,14200,14000,9800,14000
217,24/04/2024,14200,14000,14200,14100,9600,14100
218,25/04/2024,14200,13900,14200,14000,19700,14000
219,26/04/2024,14050,13800,14000,13950,36100,14000
220,02/05/2024,14900,13950,14000,14900,126100,14900
221,03/05/2024,15600,14800,15600,14900,34800,14900
222,06/05/2024,14900,14300,14900,14700,62500,14700
