,Date,High,Low,Open,Close,Volume,Adj Close
0,30/08/2021,42200,40550,41100,41500,659900,40400
1,31/08/2021,41300,40500,41300,40650,527100,39600
2,01/09/2021,41500,40200,40600,40900,556300,39800
3,06/09/2021,42100,40600,40900,41750,685500,40600
4,07/09/2021,41900,40700,41800,40700,405700,39600
5,08/09/2021,41100,40300,40300,40650,254800,39600
6,09/09/2021,41900,40400,40650,41500,390800,40400
7,10/09/2021,41900,41100,41500,41150,181700,40000
8,13/09/2021,41700,40200,41300,40200,446000,39100
9,14/09/2021,40300,39400,39850,39400,444000,38300
10,15/09/2021,39900,38700,39400,39900,387500,38800
11,16/09/2021,41000,39900,40300,40400,262500,39300
12,17/09/2021,40900,40150,40900,40150,281200,39100
13,20/09/2021,41000,39800,40400,40000,316700,38900
14,21/09/2021,39850,39100,39250,39850,406200,38800
15,22/09/2021,40600,39550,39850,40600,212100,39500
16,23/09/2021,42150,40300,40700,41100,579800,40000
17,24/09/2021,41600,40300,41600,40400,165300,39300
18,27/09/2021,40700,39200,40500,39200,233000,38100
19,28/09/2021,40200,38600,38600,40200,256400,39100
20,29/09/2021,40200,39650,40200,39700,118000,38600
21,30/09/2021,40900,39750,40150,40700,288000,39600
22,01/10/2021,41000,40000,41000,40200,224900,39100
23,04/10/2021,41300,40100,40100,40500,779800,39400
24,05/10/2021,41000,40400,40500,40550,175100,39500
25,06/10/2021,43350,40550,40600,43350,841100,42200
26,07/10/2021,44000,43000,44000,43100,353700,41900
27,08/10/2021,43100,42350,43100,42700,536900,41600
28,11/10/2021,44000,42500,42700,43150,422100,42000
29,12/10/2021,43800,43100,43300,43350,285200,42200
30,13/10/2021,43450,42900,43400,43000,241800,41800
31,14/10/2021,44250,42800,43000,43200,248900,42000
32,15/10/2021,43800,42300,43800,42300,541000,41200
33,18/10/2021,43500,41750,42500,41800,719200,40700
34,19/10/2021,43300,41500,41800,43200,862000,42000
35,20/10/2021,43300,42600,43200,42700,441600,41600
36,21/10/2021,43900,42500,42700,43900,513900,42700
37,22/10/2021,44100,43100,43900,43900,382200,42700
38,25/10/2021,43900,43450,43900,43500,253900,42300
39,26/10/2021,43500,42550,43050,42900,275700,41700
40,27/10/2021,43600,42850,42900,43100,334300,41900
41,28/10/2021,44150,43100,43750,44100,425200,42900
42,29/10/2021,45500,44300,44400,44400,372300,43200
43,01/11/2021,46300,44500,44900,44700,374800,43500
44,02/11/2021,46000,44000,44700,45000,680800,43800
45,03/11/2021,45000,43600,45000,44000,384600,42800
46,04/11/2021,44450,43700,44000,44100,150600,42900
47,05/11/2021,44700,43550,44500,44700,319900,43500
48,08/11/2021,46000,44500,44500,45600,389400,44400
49,09/11/2021,46000,45000,45550,45100,247100,43900
50,10/11/2021,45400,44700,45100,45250,231200,44000
51,11/11/2021,46000,44500,45300,45200,322400,44000
52,12/11/2021,45800,45200,45300,45300,131000,44100
53,15/11/2021,45550,44450,45400,44500,373800,43300
54,16/11/2021,44600,44200,44500,44500,251200,43300
55,17/11/2021,46000,45000,46000,45800,304500,44600
56,18/11/2021,45750,45000,45700,45350,348900,44100
57,19/11/2021,46000,45450,45550,45600,617300,44400
58,22/11/2021,45850,45300,45800,45550,499300,44300
59,23/11/2021,48000,45500,45550,47000,336600,45700
60,24/11/2021,49000,47300,47300,48800,354400,47500
61,25/11/2021,49000,48300,48600,48500,250200,47200
62,26/11/2021,48750,46950,48500,47700,182200,46400
63,29/11/2021,48000,45900,45900,47500,140200,46200
64,30/11/2021,47500,46500,47400,47000,189400,45700
65,01/12/2021,47300,46000,46950,47000,251400,45700
66,02/12/2021,47450,46600,47000,47000,183400,45700
67,03/12/2021,46950,45500,46700,45500,240000,44300
68,06/12/2021,45500,44400,45500,45200,151200,44000
69,07/12/2021,45500,44600,45150,45200,594800,44000
70,08/12/2021,45250,45000,45250,45200,325200,44000
71,09/12/2021,45550,45050,45200,45300,394100,44100
72,10/12/2021,45900,45200,45450,45900,1650700,44700
73,13/12/2021,47300,46100,46500,47250,1309600,46000
74,14/12/2021,47950,47100,47250,47500,579800,46200
75,15/12/2021,47500,46100,46900,47250,745100,46000
76,16/12/2021,47100,46100,47100,46200,341300,45000
77,17/12/2021,46250,45300,46000,45500,622800,44300
78,20/12/2021,45600,44100,45300,44600,674600,43400
79,21/12/2021,45900,44100,44600,45600,454100,44400
80,22/12/2021,46900,45600,45600,45800,408900,44600
81,23/12/2021,46000,44000,45800,44950,695000,43700
82,24/12/2021,45500,44400,45000,44600,132700,43400
83,27/12/2021,45000,44050,44700,44200,140300,43000
84,28/12/2021,45550,44250,44250,45400,291300,44200
85,29/12/2021,45400,44650,45400,44700,79900,43500
86,30/12/2021,44900,44500,44800,44600,157800,43400
87,31/12/2021,44000,42900,44000,42900,216100,42900
88,04/01/2022,44100,41000,42900,43400,189200,43400
89,05/01/2022,44250,42900,44250,43000,193900,43000
90,06/01/2022,43000,42050,43000,42500,315500,42500
91,07/01/2022,44100,42050,42050,44100,425200,44100
92,10/01/2022,45000,43000,44100,44200,310300,44200
93,11/01/2022,44000,43300,44000,43800,160100,43800
94,12/01/2022,44800,43700,43750,44700,337900,44700
95,13/01/2022,45450,44350,44900,45450,241700,45500
96,14/01/2022,45500,44150,45000,45450,303900,45500
97,17/01/2022,45450,44400,45450,44700,223100,44700
98,18/01/2022,45000,44150,44700,44250,185100,44300
99,19/01/2022,45500,44200,44200,44800,130900,44800
100,20/01/2022,45100,44500,44800,44900,273600,44900
101,21/01/2022,45050,44550,44900,44800,388500,44800
102,24/01/2022,44850,44300,44800,44300,213300,44300
103,25/01/2022,44600,43750,44000,44600,234600,44600
104,26/01/2022,45000,44150,45000,44350,195700,44400
105,27/01/2022,44350,43100,44350,44300,161200,44300
106,28/01/2022,44350,43650,44250,44200,98200,44200
107,07/02/2022,44600,42850,44600,44000,500800,44000
108,08/02/2022,44900,43250,43250,44600,321000,44600
109,09/02/2022,46500,44550,44650,46500,1013800,46500
110,10/02/2022,47500,46200,46300,47500,758800,47500
111,11/02/2022,47500,46800,47000,46900,190200,46900
112,14/02/2022,48300,46000,46450,47850,595200,47900
113,15/02/2022,48000,47400,47850,47900,279500,47900
114,16/02/2022,48200,47700,47900,47800,303500,47800
115,17/02/2022,47900,46900,47800,47800,211000,47800
116,18/02/2022,47850,47000,47600,47600,231500,47600
117,21/02/2022,50900,47700,47700,50900,1565800,50900
118,22/02/2022,52200,50000,50900,51500,836700,51500
119,23/02/2022,51800,50500,51800,51500,250600,51500
120,24/02/2022,51300,48000,51000,49500,792700,49500
121,25/02/2022,50900,49400,49500,49800,320100,49800
122,28/02/2022,50000,48600,49500,48750,392400,48800
123,01/03/2022,50300,48200,48750,49500,422200,49500
124,02/03/2022,50200,48700,48900,48850,311300,48900
125,03/03/2022,49700,48300,49200,49400,236300,49400
126,04/03/2022,49600,48700,49600,49400,298200,49400
127,07/03/2022,51300,49000,49400,50000,468200,50000
128,08/03/2022,50500,48850,50000,49250,388600,49300
129,09/03/2022,49300,45850,49300,48100,466500,48100
130,10/03/2022,49600,48100,48250,49000,322900,49000
131,11/03/2022,48900,47050,48800,47550,341500,47600
132,14/03/2022,47600,46500,47550,46500,360400,46500
133,15/03/2022,48300,45000,46500,47900,389000,47900
134,16/03/2022,49050,47400,47950,49050,287000,49100
135,17/03/2022,49650,48500,48950,49100,145000,49100
136,18/03/2022,49150,48500,48500,49150,111600,49200
137,21/03/2022,49600,49000,49400,49500,232500,49500
138,22/03/2022,49700,49200,49500,49250,210700,49300
139,23/03/2022,49300,48600,49300,49000,144800,49000
140,24/03/2022,50700,48500,48500,50500,356400,50500
141,25/03/2022,51500,50400,50500,51000,317300,51000
142,28/03/2022,52500,50400,50400,51700,337400,51700
143,29/03/2022,54000,51100,51600,53200,484500,53200
144,30/03/2022,53200,51800,53200,52500,254800,52500
145,31/03/2022,53500,51800,52800,51900,206800,51900
146,01/04/2022,54000,51300,51900,52400,385700,52400
147,04/04/2022,53100,51200,52400,52900,301400,52900
148,05/04/2022,53200,52000,53000,53000,174100,53000
149,06/04/2022,54100,53000,53000,53900,250900,53900
150,07/04/2022,54000,53000,54000,53000,336700,53000
151,08/04/2022,53400,52200,52200,53000,406300,53000
152,12/04/2022,54000,52800,53000,53200,344700,53200
153,13/04/2022,54000,52400,52400,54000,208600,54000
154,14/04/2022,57700,53700,54500,57700,803600,57700
155,15/04/2022,60000,57700,58000,59000,289600,59000
156,18/04/2022,61000,57900,59000,60400,522600,60400
157,19/04/2022,62000,59500,60000,61500,387500,61500
158,20/04/2022,61300,59000,61300,59000,440200,59000
159,21/04/2022,60200,55500,58000,55500,831300,55500
160,22/04/2022,57100,52700,56000,56000,1082400,56000
161,25/04/2022,55500,52100,55100,53500,747500,53500
162,26/04/2022,54300,50000,50600,54300,543100,54300
163,27/04/2022,54400,52000,54300,52900,384700,52900
164,28/04/2022,53700,52000,52200,52000,266700,52000
165,29/04/2022,53500,52200,52200,53300,196900,53300
166,04/05/2022,55000,53000,53000,53700,185100,53700
167,05/05/2022,54500,52500,54000,53800,222000,53800
168,06/05/2022,53200,50500,52800,50600,534600,50600
169,09/05/2022,52100,47100,50500,47100,586700,47100
170,10/05/2022,50300,45100,45100,49550,299800,49600
171,11/05/2022,52000,49900,49900,51900,152000,51900
172,12/05/2022,51700,48550,48550,48800,239000,48800
173,13/05/2022,50000,47250,48800,48000,277400,48000
174,16/05/2022,50900,47600,49050,47600,79900,47600
175,17/05/2022,50000,47000,47000,50000,194400,50000
176,18/05/2022,51000,49600,51000,49600,408400,49600
177,19/05/2022,49550,48800,49000,48800,144300,48800
178,20/05/2022,49300,48000,49000,48550,187000,48600
179,23/05/2022,49500,47100,49450,48600,396100,48600
180,24/05/2022,48900,48050,48500,48500,107700,48500
181,25/05/2022,51000,48400,49000,51000,445500,51000
182,26/05/2022,51200,49900,51200,49900,168800,49900
183,27/05/2022,50300,49600,49600,50200,133400,50200
184,30/05/2022,52000,50500,51000,51000,222600,51000
185,31/05/2022,52000,50200,51000,51600,242200,51600
186,01/06/2022,51600,50600,50600,51500,183600,51500
187,02/06/2022,55100,50900,51200,54900,1334900,54900
188,03/06/2022,55300,53900,54000,55300,452000,55300
189,06/06/2022,57000,54700,55900,55100,632900,55100
190,07/06/2022,56500,53600,53900,56300,807900,56300
191,08/06/2022,57500,55900,56600,57500,628900,57500
192,09/06/2022,57600,56000,57200,56300,407000,56300
193,10/06/2022,56500,53000,55900,53000,517500,53000
194,13/06/2022,52000,49500,49500,49600,461900,49600
195,14/06/2022,51400,49600,49600,50600,202400,50600
196,15/06/2022,51500,48000,50400,50100,278600,50100
197,16/06/2022,52800,50200,51400,51200,516700,51200
198,17/06/2022,54300,50800,50800,53900,490900,53900
199,20/06/2022,56000,52300,53900,53100,414000,53100
200,21/06/2022,54400,49600,52100,50900,372500,50900
201,22/06/2022,51100,49400,51000,49500,386000,49500
202,23/06/2022,51800,48100,49000,51800,359600,51800
203,24/06/2022,52800,51200,52800,51200,137100,51200
204,27/06/2022,51500,49650,51200,51000,254500,51000
205,28/06/2022,52300,50100,51000,51200,194000,51200
206,29/06/2022,52500,51200,52000,51900,172000,51900
207,30/06/2022,53500,51000,51600,51000,370900,51000
208,01/07/2022,51900,49800,51000,51100,181600,51100
209,04/07/2022,52100,49600,51200,51200,125000,51200
210,05/07/2022,51200,49500,51200,49500,525500,49500
211,06/07/2022,50200,48100,49500,48600,368600,48600
212,07/07/2022,49500,48500,48700,49300,187500,49300
213,08/07/2022,50200,49000,49350,49400,101400,49400
214,11/07/2022,49700,47500,49400,47600,312000,47600
215,12/07/2022,48500,47500,47500,48500,261100,48500
216,13/07/2022,49500,48300,48500,49500,100200,49500
217,14/07/2022,49500,48700,49450,48900,53900,48900
218,15/07/2022,49200,48450,48900,48800,185600,48800
219,18/07/2022,49050,47700,49000,47900,313700,47900
220,19/07/2022,48600,47700,47900,48200,153800,48200
221,20/07/2022,48950,47900,48200,48700,143100,48700
222,21/07/2022,49300,47300,48800,48200,166300,48200
223,22/07/2022,48700,47850,48650,48000,174000,48000
224,25/07/2022,48100,47400,48000,47500,162300,47500
225,26/07/2022,47900,47000,47500,47200,139900,47200
226,27/07/2022,48150,46900,47000,47700,200100,47700
227,28/07/2022,48400,48000,48000,48300,143200,48300
228,29/07/2022,48450,47700,48150,47700,130100,47700
229,01/08/2022,48300,47250,47500,47650,289000,47700
230,02/08/2022,48650,47600,47650,48300,200900,48300
231,03/08/2022,49200,48350,48500,48950,282800,49000
232,04/08/2022,49200,48000,49200,48800,224400,48800
233,05/08/2022,49800,48400,48800,49400,309700,49400
234,08/08/2022,49950,48500,49400,48950,151000,49000
235,09/08/2022,49600,48500,48950,49050,233500,49100
236,10/08/2022,49700,49000,49500,49450,203100,49500
237,11/08/2022,49800,49000,49650,49000,292400,49000
238,12/08/2022,49100,48650,49000,48800,111500,48800
239,15/08/2022,49150,48700,48800,48800,169600,48800
240,16/08/2022,49100,48500,48800,48750,129100,48800
241,17/08/2022,48850,48350,48750,48350,166400,48400
242,18/08/2022,48300,47850,48200,48000,191900,48000
243,19/08/2022,48200,47550,47650,47950,135000,48000
244,22/08/2022,48350,47300,47950,47850,162300,47900
245,23/08/2022,48500,47500,47800,48200,110600,48200
246,24/08/2022,48650,47800,48650,48000,258300,48000
247,25/08/2022,51000,48200,48250,51000,1017100,51000
248,26/08/2022,51000,50100,50500,50500,179200,50500
249,29/08/2022,50100,48600,49500,49000,341800,49000
250,30/08/2022,51300,49000,49400,50100,457000,50100
