,Date,High,Low,Open,Close,Volume,Adj Close
0,16/09/2021,12600,12050,12600,12250,364900,12300
1,17/09/2021,12400,12050,12300,12300,332300,12300
2,20/09/2021,12450,12150,12300,12400,570900,12400
3,21/09/2021,13250,12250,12400,13250,543700,13300
4,22/09/2021,13600,13300,13500,13400,239800,13400
5,23/09/2021,13450,12900,13450,13000,814100,13000
6,24/09/2021,13000,12200,12800,12350,289000,12400
7,27/09/2021,12650,12300,12300,12400,402100,12400
8,28/09/2021,12700,12100,12300,12550,240800,12600
9,29/09/2021,13400,12500,12550,13400,944000,13400
10,30/09/2021,13600,13000,13500,13150,442200,13200
11,01/10/2021,13200,12800,12900,12900,339300,12900
12,04/10/2021,13400,12600,12800,13000,685300,13000
13,05/10/2021,13600,13000,13000,13200,546100,13200
14,06/10/2021,13400,13100,13300,13200,197400,13200
15,07/10/2021,13400,12950,13400,13000,333900,13000
16,08/10/2021,13100,12800,13000,13100,350200,13100
17,11/10/2021,13400,13000,13100,13150,168600,13200
18,12/10/2021,13150,12800,13150,12900,294400,12900
19,13/10/2021,12900,12600,12800,12800,208700,12800
20,14/10/2021,13000,12800,12800,12850,170600,12900
21,15/10/2021,13400,12950,13100,13100,431600,13100
22,18/10/2021,13300,12750,13300,12850,338400,12900
23,19/10/2021,12950,12400,12950,12650,256000,12700
24,20/10/2021,12900,12400,12400,12500,265600,12500
25,21/10/2021,12700,12500,12500,12650,318800,12700
26,22/10/2021,13250,12600,12650,13000,589500,13000
27,25/10/2021,13600,13100,13300,13550,791900,13600
28,26/10/2021,13750,13300,13600,13750,536400,13800
29,27/10/2021,14700,13500,13850,14350,865000,14400
30,28/10/2021,14400,13950,14350,14350,574900,14400
31,29/10/2021,14800,14000,14350,14300,419400,14300
32,01/11/2021,15200,14200,14300,14950,998400,15000
33,02/11/2021,15950,15000,15150,15950,650400,16000
34,03/11/2021,17050,15000,16800,15700,1149700,15700
35,04/11/2021,16700,15250,15250,16450,537300,16500
36,05/11/2021,17500,16400,16850,17200,513100,17200
37,08/11/2021,17350,16500,17350,16700,797100,16700
38,09/11/2021,17200,16500,16550,16900,434900,16900
39,10/11/2021,18050,17000,17000,18050,826500,18100
40,11/11/2021,18900,18100,18900,18600,423900,18600
41,12/11/2021,19000,18200,18300,19000,330800,19000
42,15/11/2021,19700,18400,19700,18650,542100,18700
43,16/11/2021,18650,18000,18000,18650,898000,18700
44,17/11/2021,18650,18000,18650,18650,324700,18700
45,18/11/2021,19500,18200,18650,19000,800400,19000
46,19/11/2021,19300,18350,19000,18600,665700,18600
47,22/11/2021,18800,17700,18800,17700,715400,17700
