,Date,High,Low,Open,Close,Volume,Adj Close
0,21/04/2022,62900,62000,62000,62500,1500,54300
1,22/04/2022,62900,62500,62500,62600,1100,54400
2,25/04/2022,63000,61500,63000,62500,5300,54300
3,26/04/2022,62500,62000,62500,62500,7900,54300
4,27/04/2022,61700,58500,61700,59000,1900,54800
5,28/04/2022,58700,57000,57000,58700,2200,54500
6,29/04/2022,58500,56500,56500,58300,5900,54100
7,04/05/2022,57200,57000,57100,57000,1300,52900
8,05/05/2022,57200,57000,57000,57100,1500,53000
9,06/05/2022,56200,56000,56000,56100,600,52100
10,09/05/2022,57600,57400,57600,57400,200,53300
11,10/05/2022,56600,55400,56500,55400,800,51400
12,11/05/2022,57200,57200,57200,57200,500,53100
13,12/05/2022,57200,56000,57200,57000,500,52900
14,13/05/2022,56000,56000,56000,56000,700,52000
15,16/05/2022,55000,54000,55000,54000,1300,50100
16,17/05/2022,54000,54000,54000,54000,100,50100
17,18/05/2022,56000,55900,55900,56000,300,52000
18,19/05/2022,56500,55400,55400,56500,200,52400
19,20/05/2022,56500,56500,56500,56500,-,52400
20,23/05/2022,56000,56000,56000,56000,100,52000
21,24/05/2022,56000,56000,56000,56000,500,52000
22,25/05/2022,56000,56000,56000,56000,2400,52000
23,26/05/2022,56000,56000,56000,56000,-,52000
24,27/05/2022,56500,56000,56500,56000,3400,52000
25,30/05/2022,58400,56500,58400,57000,500,52900
26,31/05/2022,57500,56500,57500,56500,200,52400
27,01/06/2022,56500,56500,56500,56500,-,52400
28,02/06/2022,56500,56500,56500,56500,-,52400
29,03/06/2022,56500,56500,56500,56500,100,52400
30,06/06/2022,58000,56000,56000,58000,800,53800
31,07/06/2022,56000,56000,56000,56000,1700,52000
32,08/06/2022,58500,58500,58500,58500,100,54300
33,09/06/2022,58500,57800,57800,58000,5900,53800
34,10/06/2022,57800,57500,57500,57500,5100,53400
35,13/06/2022,57000,57000,57000,57000,100,52900
36,14/06/2022,56900,54600,54800,56900,400,52800
37,15/06/2022,56600,56000,56600,56000,300,52000
38,16/06/2022,56000,56000,56000,56000,-,52000
39,17/06/2022,56500,54400,54400,56000,700,52000
40,20/06/2022,57500,54300,54300,57500,300,53400
41,21/06/2022,57500,57500,57500,57500,-,53400
42,22/06/2022,60500,53900,54300,60500,800,56200
43,23/06/2022,59900,56500,56500,58700,600,54500
44,24/06/2022,58700,58700,58700,58700,-,54500
45,27/06/2022,58700,58700,58700,58700,-,54500
46,28/06/2022,57700,54900,55000,57700,600,53600
47,29/06/2022,56000,56000,56000,56000,600,52000
48,30/06/2022,56000,56000,56000,56000,-,52000
49,01/07/2022,56500,52100,53300,56500,900,52400
50,04/07/2022,56500,56500,56500,56500,-,52400
51,05/07/2022,56500,56500,56500,56500,-,52400
52,06/07/2022,55000,54500,55000,54500,300,50600
53,07/07/2022,54500,54500,54500,54500,1500,50600
54,08/07/2022,54500,54500,54500,54500,100,50600
55,11/07/2022,54500,54500,54500,54500,-,50600
56,12/07/2022,56000,54200,54200,56000,1700,52000
57,13/07/2022,56000,56000,56000,56000,-,52000
58,14/07/2022,56000,56000,56000,56000,-,52000
59,15/07/2022,56000,56000,56000,56000,-,52000
60,18/07/2022,56000,56000,56000,56000,-,52000
61,19/07/2022,56200,55500,55500,56200,400,52200
62,20/07/2022,56100,56100,56100,56100,100,52100
63,21/07/2022,55000,55000,55000,55000,100,51100
64,22/07/2022,55000,54900,54900,55000,300,51100
65,25/07/2022,55000,55000,55000,55000,100,51100
66,26/07/2022,55000,55000,55000,55000,100,51100
67,27/07/2022,55000,55000,55000,55000,100,51100
68,28/07/2022,55000,55000,55000,55000,1400,51100
69,29/07/2022,55100,55100,55100,55100,1000,51100
70,01/08/2022,55100,55100,55100,55100,-,51100
71,02/08/2022,55100,55100,55100,55100,-,51100
72,03/08/2022,55100,52600,54000,54000,1800,50100
73,04/08/2022,55000,54900,55000,54900,200,51000
74,05/08/2022,55000,54900,55000,54900,300,51000
75,08/08/2022,55200,54500,54500,54600,1200,50700
76,09/08/2022,55000,54900,54900,55000,1100,51100
77,10/08/2022,55500,55000,55500,55000,400,51100
78,11/08/2022,55000,55000,55000,55000,400,51100
79,12/08/2022,54000,54000,54000,54000,200,50100
80,15/08/2022,55000,54000,54200,55000,1300,51100
81,16/08/2022,55100,54000,54000,55000,2100,51100
82,17/08/2022,55000,55000,55000,55000,-,51100
83,18/08/2022,54000,54000,54000,54000,200,50100
84,19/08/2022,54500,54500,54500,54500,500,50600
85,22/08/2022,54500,54500,54500,54500,200,50600
86,23/08/2022,54500,54500,54500,54500,-,50600
87,24/08/2022,54900,54900,54900,54900,300,51000
88,25/08/2022,54900,54900,54900,54900,-,51000
89,26/08/2022,55000,55000,55000,55000,100,51100
90,29/08/2022,55000,55000,55000,55000,-,51100
91,30/08/2022,55000,55000,55000,55000,-,51100
92,31/08/2022,54300,54000,54300,54000,1000,50100
93,05/09/2022,55000,54100,55000,54100,400,50200
94,06/09/2022,54100,54100,54100,54100,-,50200
95,07/09/2022,54100,54100,54100,54100,-,50200
96,08/09/2022,54100,54100,54100,54100,500,50200
97,09/09/2022,54000,54000,54000,54000,100,50100
98,12/09/2022,56000,55100,55100,55500,3200,51500
99,13/09/2022,55500,55500,55500,55500,-,51500
100,14/09/2022,55500,55500,55500,55500,-,51500
101,15/09/2022,55000,55000,55000,55000,200,51100
102,16/09/2022,55000,55000,55000,55000,-,51100
103,19/09/2022,55000,55000,55000,55000,-,51100
104,20/09/2022,55000,55000,55000,55000,-,51100
105,21/09/2022,55000,54400,54500,54500,2300,50600
106,22/09/2022,57500,54900,54900,57500,800,53400
107,23/09/2022,57500,57500,57500,57500,-,53400
108,26/09/2022,57500,57500,57500,57500,-,53400
109,27/09/2022,55000,54900,54900,55000,400,51100
110,28/09/2022,54500,54500,54500,54500,200,50600
111,29/09/2022,54500,54500,54500,54500,-,50600
112,30/09/2022,54500,54500,54500,54500,-,50600
113,03/10/2022,54900,54900,54900,54900,100,51000
114,04/10/2022,51100,51100,51100,51100,100,47400
115,05/10/2022,54600,54100,54100,54500,1300,50600
116,06/10/2022,53900,53800,53900,53800,300,49900
117,07/10/2022,50800,50700,50800,50700,300,47100
118,10/10/2022,50000,50000,50000,50000,500,46400
119,11/10/2022,50000,50000,50000,50000,600,46400
120,12/10/2022,53500,47800,48500,53400,900,49600
121,13/10/2022,53400,53400,53400,53400,-,49600
122,14/10/2022,52300,52000,52000,52300,1800,48500
123,17/10/2022,52300,52300,52300,52300,-,48500
124,18/10/2022,55000,52400,52400,55000,10100,51100
125,19/10/2022,55000,55000,55000,55000,-,51100
126,20/10/2022,55000,55000,55000,55000,-,51100
127,21/10/2022,55000,55000,55000,55000,-,51100
128,24/10/2022,55000,55000,55000,55000,-,51100
129,25/10/2022,52000,52000,52000,52000,100,48300
130,26/10/2022,52000,52000,52000,52000,-,48300
131,27/10/2022,52000,52000,52000,52000,-,48300
132,28/10/2022,52000,52000,52000,52000,-,48300
133,31/10/2022,50100,50000,50100,50000,2100,48300
134,01/11/2022,50500,50500,50500,50500,400,48700
135,02/11/2022,50500,50500,50500,50500,-,48700
136,03/11/2022,50500,50500,50500,50500,200,48700
137,04/11/2022,50500,50500,50500,50500,600,48700
138,07/11/2022,50000,47250,47300,50000,300,48300
139,08/11/2022,47700,47700,47700,47700,100,46000
140,09/11/2022,48100,48000,48000,48100,600,46400
141,10/11/2022,47750,47750,47750,47750,300,46100
142,11/11/2022,47750,47000,47700,47000,1500,45400
143,14/11/2022,47500,47500,47500,47500,100,45900
144,15/11/2022,47500,45000,47500,45000,200,43400
145,16/11/2022,45000,45000,45000,45000,100,43400
146,17/11/2022,46600,46600,46600,46600,1700,45000
147,18/11/2022,47000,47000,47000,47000,500,45400
148,21/11/2022,47000,47000,47000,47000,-,45400
149,22/11/2022,47000,46700,47000,46700,1100,45100
150,23/11/2022,46700,46700,46700,46700,300,45100
151,24/11/2022,47000,46200,46950,47000,1200,45400
152,25/11/2022,47000,47000,47000,47000,-,45400
153,28/11/2022,48000,48000,48000,48000,300,46300
154,29/11/2022,48500,48000,48000,48500,2600,46800
155,30/11/2022,48500,48500,48500,48500,-,46800
156,01/12/2022,50200,48500,50200,48500,400,46800
157,02/12/2022,51800,50200,50200,51800,35000,50000
158,05/12/2022,53900,53900,53900,53900,100,52000
159,06/12/2022,54300,54300,54300,54300,100,52400
160,07/12/2022,54300,54300,54300,54300,-,52400
