,Date,High,Low,Open,Close,Volume,Adj Close
0,30/10/2023,21650,19350,20250,19350,400,18400
1,31/10/2023,20450,20450,20450,20450,100,19400
2,01/11/2023,21850,20400,20400,21850,700,20700
3,02/11/2023,23300,20400,20400,23300,2100,22100
4,03/11/2023,23300,23300,23300,23300,100,22100
5,06/11/2023,21750,21750,21750,21750,800,20700
6,07/11/2023,20400,20300,20400,20400,600,19400
7,08/11/2023,20400,19300,19300,20400,300,19400
8,09/11/2023,20400,19700,20400,20400,400,19400
9,10/11/2023,19650,19600,19650,19600,1500,18600
10,13/11/2023,20100,20100,20100,20100,100,19100
11,14/11/2023,20100,19850,19850,20100,300,19100
12,15/11/2023,20100,20100,20100,20100,-,19100
13,16/11/2023,20950,19700,20950,19700,300,18700
14,17/11/2023,19700,19700,19700,19700,100,18700
15,20/11/2023,19600,19600,19600,19600,100,18600
16,21/11/2023,20500,20050,20500,20050,700,19000
17,22/11/2023,21350,21000,21000,21300,800,20200
18,23/11/2023,22000,22000,22000,22000,100,20900
19,24/11/2023,22000,22000,22000,22000,-,20900
20,27/11/2023,23000,22000,23000,22000,3100,20900
21,28/11/2023,22550,22500,22550,22500,300,21400
22,29/11/2023,22800,22800,22800,22800,300,21700
23,30/11/2023,22800,21500,21500,21800,1200,20700
24,01/12/2023,23000,21000,23000,22500,1300,21400
25,04/12/2023,22500,22500,22500,22500,100,21400
26,05/12/2023,22500,22500,22500,22500,-,21400
27,06/12/2023,22500,22500,22500,22500,-,21400
28,07/12/2023,23700,21100,23700,22900,1500,21700
29,08/12/2023,22900,22900,22900,22900,100,21700
30,11/12/2023,22900,22900,22900,22900,-,21700
31,12/12/2023,23000,22900,23000,22900,500,21700
32,13/12/2023,22850,21500,22850,21500,600,20400
33,14/12/2023,22900,20250,22900,20250,1100,19200
34,15/12/2023,21650,21000,21000,21350,400,20300
35,18/12/2023,22700,22700,22700,22700,100,21600
36,19/12/2023,23000,22500,22500,22800,2100,21700
37,20/12/2023,22900,22800,22900,22800,900,21700
38,21/12/2023,22000,22000,22000,22000,400,20900
39,22/12/2023,22800,20600,22800,22800,4800,21700
40,25/12/2023,23900,23000,23000,23500,1900,22300
41,26/12/2023,23900,22000,23900,23750,4900,22600
42,27/12/2023,23800,23700,23800,23800,1200,22600
43,28/12/2023,25000,23700,23700,25000,5200,23700
44,29/12/2023,26500,26100,26100,26500,6800,25200
45,02/01/2024,25000,25000,25000,25000,100,23700
46,03/01/2024,25100,23300,23300,25100,9900,23800
47,04/01/2024,25100,25100,25100,25100,100,23800
48,05/01/2024,25100,25100,25100,25100,-,23800
49,08/01/2024,25100,25100,25100,25100,-,23800
50,09/01/2024,23450,23450,23450,23450,6000,22300
51,10/01/2024,24000,23550,24000,23550,1100,22400
52,11/01/2024,23550,23550,23550,23550,-,22400
53,12/01/2024,22000,22000,22000,22000,5200,20900
54,15/01/2024,22000,22000,22000,22000,-,20900
55,16/01/2024,20850,20850,20850,20850,3000,19800
56,17/01/2024,20850,20850,20850,20850,-,19800
57,18/01/2024,20850,20850,20850,20850,-,19800
58,19/01/2024,20850,20850,20850,20850,-,19800
59,22/01/2024,20850,20850,20850,20850,900,19800
60,23/01/2024,22300,22300,22300,22300,400,21200
61,24/01/2024,22300,22300,22300,22300,-,21200
62,25/01/2024,22300,22300,22300,22300,-,21200
63,26/01/2024,22300,22300,22300,22300,-,21200
64,29/01/2024,22300,22300,22300,22300,-,21200
65,30/01/2024,23850,23850,23850,23850,100,22600
66,31/01/2024,23950,23950,23950,23950,200,22700
67,01/02/2024,23950,23950,23950,23950,300,22700
68,02/02/2024,25000,22350,22350,25000,3200,23700
69,05/02/2024,26500,25000,26500,26000,2200,24700
70,06/02/2024,25500,25450,25450,25450,700,24200
71,07/02/2024,25450,25450,25450,25450,-,24200
72,15/02/2024,25450,25450,25450,25450,-,24200
73,16/02/2024,25450,25450,25450,25450,100,24200
74,19/02/2024,26000,25800,26000,25800,300,24500
75,20/02/2024,25800,24050,25800,25800,13600,24500
76,21/02/2024,24500,24500,25800,24500,-,24500
77,22/02/2024,24400,22800,22800,24400,1100,24400
78,23/02/2024,24400,24400,24400,24400,2000,24400
79,26/02/2024,24900,22750,22750,22800,1200,22800
80,27/02/2024,24350,21750,24350,21750,500,21800
81,28/02/2024,23200,23200,23200,23200,100,23200
82,29/02/2024,23500,22100,22100,22550,300,22600
83,01/03/2024,23400,23400,23400,23400,100,23400
84,04/03/2024,23400,23400,23400,23400,-,23400
85,05/03/2024,23900,23800,23900,23800,200,23800
86,06/03/2024,24800,22250,24800,23500,300,23500
87,07/03/2024,23250,23250,23250,23250,100,23300
88,08/03/2024,22800,22500,22500,22800,300,22800
89,11/03/2024,22000,21900,21900,22000,200,22000
90,12/03/2024,22000,22000,22000,22000,100,22000
91,13/03/2024,22000,22000,22000,22000,-,22000
92,14/03/2024,22050,22050,22050,22050,300,22100
93,15/03/2024,22400,22200,22200,22400,200,22400
