,Date,High,Low,Open,Close,Volume,Adj Close
0,25/08/2022,10050,9900,10000,10000,126100,10000
1,26/08/2022,10050,9700,10000,9700,140600,9700
2,29/08/2022,9660,9300,9610,9500,127700,9500
3,30/08/2022,9690,9480,9500,9480,87500,9500
4,31/08/2022,9600,9350,9600,9540,81400,9500
5,05/09/2022,9550,9400,9550,9400,61900,9400
6,06/09/2022,9580,9300,9400,9380,163200,9400
7,07/09/2022,9430,9200,9300,9200,63500,9200
8,08/09/2022,9300,9060,9130,9190,62300,9200
9,09/09/2022,9210,8940,9060,9050,79100,9100
10,12/09/2022,9200,9050,9060,9070,70200,9100
11,13/09/2022,9100,9000,9070,9000,47400,9000
12,14/09/2022,8940,8820,8900,8850,80100,8900
13,15/09/2022,9440,8850,8850,9100,61100,9100
14,16/09/2022,9110,8900,9110,8900,34700,8900
15,19/09/2022,9000,8300,9000,8500,110000,8500
16,20/09/2022,8650,8400,8520,8500,32400,8500
17,21/09/2022,8500,8400,8500,8470,21900,8500
18,22/09/2022,8600,8360,8360,8480,20300,8500
19,23/09/2022,8600,8470,8480,8490,44400,8500
20,26/09/2022,8550,8080,8490,8170,111800,8200
21,27/09/2022,8470,8150,8470,8200,53400,8200
22,28/09/2022,8310,8000,8310,8170,57400,8200
23,29/09/2022,8290,7600,8160,8160,83500,8200
24,30/09/2022,8150,7590,8150,7830,133300,7800
25,03/10/2022,7800,7290,7800,7290,102100,7300
26,04/10/2022,7500,6800,7270,7050,176700,7100
27,05/10/2022,7260,7050,7120,7240,119200,7200
28,06/10/2022,7280,6900,7280,7100,72300,7100
29,07/10/2022,7080,6620,7080,6650,92400,6700
30,10/10/2022,6950,6190,6220,6870,229200,6900
31,11/10/2022,6880,6390,6880,6390,34400,6400
32,12/10/2022,6490,6030,6380,6200,123200,6200
33,13/10/2022,6350,6140,6140,6290,54600,6300
34,14/10/2022,6700,6290,6390,6350,226000,6400
35,17/10/2022,6480,6350,6360,6380,44000,6400
36,18/10/2022,6820,6400,6400,6820,103000,6800
37,19/10/2022,6890,6690,6890,6830,48500,6800
38,20/10/2022,6810,6600,6810,6600,29600,6600
39,21/10/2022,6710,6220,6710,6220,54900,6200
40,24/10/2022,6350,5790,6300,5790,189700,5800
41,25/10/2022,6000,5390,5460,5450,155500,5500
42,26/10/2022,5820,5420,5540,5450,47100,5500
43,27/10/2022,5800,5450,5450,5680,48900,5700
44,28/10/2022,6050,5800,5820,5890,60400,5900
45,31/10/2022,6050,5760,5900,5840,39500,5800
46,01/11/2022,6000,5720,5780,5720,49900,5700
47,02/11/2022,5900,5650,5900,5650,42700,5700
48,03/11/2022,5860,5400,5700,5470,86100,5500
49,04/11/2022,5550,5250,5470,5310,85100,5300
50,07/11/2022,5350,4940,5210,4940,107000,4900
51,08/11/2022,4950,4600,4950,4780,186400,4800
52,09/11/2022,5110,4670,4670,5100,177200,5100
53,10/11/2022,5450,4900,5450,4900,163800,4900
54,11/11/2022,5000,4800,5000,4850,39100,4900
55,14/11/2022,4700,4530,4550,4530,77100,4500
56,15/11/2022,4700,4220,4230,4220,85200,4200
57,16/11/2022,4510,3930,3930,4510,182700,4500
58,17/11/2022,4820,4550,4550,4820,103500,4800
59,18/11/2022,5100,4610,4610,5100,146600,5100
60,21/11/2022,5450,5000,5000,5400,93300,5400
61,22/11/2022,5700,5450,5490,5500,127900,5500
62,23/11/2022,5500,5250,5360,5320,68100,5300
63,24/11/2022,5300,5180,5300,5290,41900,5300
64,25/11/2022,5460,5300,5450,5460,31000,5500
65,28/11/2022,5750,5550,5550,5740,113700,5700
66,29/11/2022,6000,5740,5970,5860,90500,5900
67,30/11/2022,5870,5640,5800,5850,144700,5900
68,01/12/2022,6200,5860,5860,5980,286800,6000
69,02/12/2022,6190,5860,5900,6190,133200,6200
70,05/12/2022,6390,6010,6010,6290,404700,6300
71,06/12/2022,6300,6020,6220,6020,128600,6000
72,07/12/2022,5990,5610,5620,5610,188300,5600
73,08/12/2022,5900,5620,5620,5650,93700,5700
74,09/12/2022,5810,5420,5800,5660,64000,5700
75,12/12/2022,5850,5660,5660,5790,101700,5800
76,13/12/2022,5850,5610,5790,5850,82600,5900
77,14/12/2022,5950,5770,5950,5830,44900,5800
78,15/12/2022,5850,5690,5850,5770,82900,5800
79,16/12/2022,5810,5630,5750,5770,107500,5800
80,19/12/2022,6040,5770,5830,5950,270600,6000
81,20/12/2022,5950,5620,5950,5780,113800,5800
82,21/12/2022,5780,5380,5780,5510,82900,5500
83,22/12/2022,5740,5500,5520,5580,46200,5600
84,23/12/2022,5600,5400,5580,5500,35200,5500
85,26/12/2022,5570,5120,5570,5120,49500,5100
86,27/12/2022,5370,5120,5120,5220,28500,5200
87,28/12/2022,5320,5210,5320,5230,60900,5200
88,29/12/2022,5300,5170,5230,5170,24800,5200
89,30/12/2022,5200,5150,5200,5200,44000,5200
90,03/01/2023,5380,5200,5380,5320,139200,5300
91,04/01/2023,5380,5290,5340,5300,65700,5300
92,05/01/2023,5480,5220,5450,5220,82700,5200
93,06/01/2023,5290,5200,5290,5200,54800,5200
94,09/01/2023,5250,5150,5200,5200,52100,5200
95,10/01/2023,5250,5140,5200,5150,20700,5200
96,11/01/2023,5200,5130,5150,5130,58200,5100
97,12/01/2023,5200,5010,5180,5120,49900,5100
98,13/01/2023,5180,5050,5180,5120,41000,5100
99,16/01/2023,5160,5030,5070,5050,43900,5100
100,17/01/2023,5180,4940,5060,5100,82000,5100
101,18/01/2023,5250,5110,5180,5200,102500,5200
102,19/01/2023,5340,5220,5220,5310,82400,5300
103,27/01/2023,5600,5350,5600,5460,110100,5500
104,30/01/2023,5750,5450,5460,5700,150200,5700
105,31/01/2023,5700,5570,5700,5660,109700,5700
106,01/02/2023,5750,5510,5650,5510,155200,5500
107,02/02/2023,5540,5450,5540,5480,54400,5500
108,03/02/2023,5570,5460,5460,5500,39000,5500
109,06/02/2023,5620,5410,5450,5590,98000,5600
110,07/02/2023,5630,5450,5630,5460,50800,5500
111,08/02/2023,5540,5400,5500,5460,45100,5500
112,09/02/2023,5490,5400,5490,5450,55800,5500
113,10/02/2023,5450,5350,5450,5400,38500,5400
114,13/02/2023,5320,5110,5300,5210,35900,5200
115,14/02/2023,5440,5130,5130,5230,28700,5200
116,15/02/2023,5390,5120,5120,5300,37400,5300
117,16/02/2023,5380,5230,5330,5350,24800,5400
118,17/02/2023,5420,5300,5300,5380,65800,5400
119,20/02/2023,5700,5440,5440,5680,215800,5700
120,21/02/2023,5750,5580,5710,5610,145600,5600
121,22/02/2023,5680,5450,5500,5480,182800,5500
122,23/02/2023,5470,5200,5430,5360,104600,5400
123,24/02/2023,5420,5290,5390,5360,28300,5400
124,27/02/2023,5440,5230,5260,5230,25700,5200
125,28/02/2023,5300,5030,5230,5160,31100,5200
126,01/03/2023,5240,5130,5130,5130,52600,5100
127,02/03/2023,5300,5140,5140,5180,24300,5200
128,03/03/2023,5210,5140,5210,5200,47300,5200
129,06/03/2023,5360,5220,5220,5260,58600,5300
130,07/03/2023,5250,5100,5220,5200,50500,5200
131,08/03/2023,5200,5150,5200,5190,226000,5200
132,09/03/2023,5270,5170,5190,5270,56000,5300
133,10/03/2023,5280,5200,5270,5230,233800,5200
134,13/03/2023,5250,5190,5210,5240,71300,5200
135,14/03/2023,5210,5090,5180,5160,72900,5200
136,15/03/2023,5300,5170,5220,5300,105300,5300
137,16/03/2023,5270,5160,5270,5200,38100,5200
138,17/03/2023,5260,5170,5200,5210,45800,5200
139,20/03/2023,5240,5170,5210,5200,87400,5200
140,21/03/2023,5200,5130,5200,5200,34700,5200
141,22/03/2023,5240,5160,5200,5190,29300,5200
142,23/03/2023,5180,5000,5170,5170,66400,5200
143,24/03/2023,5240,5150,5150,5200,43700,5200
144,27/03/2023,5220,5160,5160,5190,57200,5200
145,28/03/2023,5240,5180,5200,5200,133900,5200
146,29/03/2023,5200,5170,5200,5180,21800,5200
147,30/03/2023,5240,5180,5220,5190,82900,5200
148,31/03/2023,5200,5160,5190,5170,59000,5200
149,03/04/2023,5310,5190,5190,5310,97500,5300
150,04/04/2023,5400,5310,5330,5400,95500,5400
151,05/04/2023,5540,5320,5320,5510,215300,5500
152,06/04/2023,5720,5510,5530,5510,387000,5500
153,07/04/2023,5510,5380,5510,5510,227500,5500
154,10/04/2023,5600,5260,5600,5410,218200,5400
155,11/04/2023,5400,5310,5400,5380,82400,5400
156,12/04/2023,5480,5380,5410,5420,152800,5400
157,13/04/2023,5700,5440,5450,5510,279900,5500
158,14/04/2023,5590,5400,5500,5410,131300,5400
159,17/04/2023,5390,5260,5360,5270,106400,5300
160,18/04/2023,5370,5250,5270,5300,82600,5300
161,19/04/2023,5320,5230,5300,5240,154500,5200
162,20/04/2023,5310,5240,5240,5280,50900,5300
163,21/04/2023,5500,5330,5330,5400,233500,5400
164,24/04/2023,5770,5400,5490,5770,594700,5800
165,25/04/2023,6170,5850,6170,6100,648100,6100
166,26/04/2023,6150,5810,6150,6110,412300,6100
167,27/04/2023,6140,5960,6110,6090,204500,6100
168,28/04/2023,6250,6030,6030,6150,209600,6200
169,04/05/2023,6500,6120,6130,6500,407600,6500
170,05/05/2023,6500,6240,6500,6260,433100,6300
171,08/05/2023,6690,6320,6450,6580,465300,6600
172,09/05/2023,6700,6400,6700,6430,278900,6400
173,10/05/2023,6690,6390,6390,6540,279500,6500
174,11/05/2023,6650,6540,6580,6600,399600,6600
175,12/05/2023,6620,6530,6600,6550,211100,6600
176,15/05/2023,6800,6550,6600,6680,341600,6700
177,16/05/2023,6670,6530,6670,6570,222100,6600
178,17/05/2023,6640,6400,6550,6560,279800,6600
179,18/05/2023,6560,6480,6550,6520,133200,6500
180,19/05/2023,6620,6370,6470,6410,201400,6400
181,22/05/2023,6560,6410,6410,6500,308300,6500
182,23/05/2023,6940,6480,6500,6930,578900,6900
183,24/05/2023,7240,6960,7240,7050,492100,7100
184,25/05/2023,7140,6850,7050,7060,248500,7100
185,26/05/2023,7280,7060,7060,7200,211800,7200
186,29/05/2023,7450,7130,7250,7130,474600,7100
187,30/05/2023,7250,7050,7200,7250,327400,7300
188,31/05/2023,7700,7250,7300,7390,382300,7400
189,01/06/2023,7490,7250,7490,7390,351600,7400
190,02/06/2023,7460,7170,7460,7220,489900,7200
191,05/06/2023,7270,7160,7230,7170,235700,7200
192,06/06/2023,7200,7160,7200,7200,156200,7200
193,07/06/2023,7400,7200,7200,7380,369300,7400
194,08/06/2023,7400,7200,7400,7210,203200,7200
195,09/06/2023,7280,7100,7200,7230,212800,7200
196,12/06/2023,7340,7190,7220,7280,244600,7300
197,13/06/2023,7600,7350,7350,7600,521200,7600
198,14/06/2023,7670,7380,7600,7380,273200,7400
199,15/06/2023,7650,7250,7650,7360,192700,7400
200,16/06/2023,7500,7270,7400,7270,324900,7300
201,19/06/2023,7310,7110,7270,7110,299700,7100
202,20/06/2023,7290,7150,7150,7220,133500,7200
203,21/06/2023,7360,7200,7260,7280,173000,7300
204,22/06/2023,7400,7290,7300,7360,264100,7400
205,23/06/2023,7480,7250,7480,7340,219900,7300
206,26/06/2023,7290,7150,7230,7250,142200,7300
207,27/06/2023,7290,7170,7290,7240,103000,7200
208,28/06/2023,7280,7200,7200,7240,151200,7200
209,29/06/2023,7240,7160,7240,7170,112600,7200
210,30/06/2023,7190,7120,7120,7120,107700,7100
211,03/07/2023,7250,7100,7120,7120,82200,7100
212,04/07/2023,7200,7120,7130,7200,153100,7200
213,05/07/2023,7270,7190,7240,7210,214700,7200
214,06/07/2023,7230,7100,7160,7200,171500,7200
215,07/07/2023,7200,7050,7120,7200,124300,7200
216,10/07/2023,7450,7150,7200,7400,417800,7400
217,11/07/2023,7910,7680,7790,7910,1443600,7900
218,12/07/2023,8170,7800,8170,7950,486300,8000
219,13/07/2023,8120,7640,7960,7840,916900,7800
220,14/07/2023,7910,7640,7910,7750,386400,7800
221,17/07/2023,7880,7430,7830,7650,578400,7700
222,18/07/2023,7770,7420,7770,7560,320400,7600
223,19/07/2023,7610,7480,7560,7610,324900,7600
224,20/07/2023,7720,7500,7640,7600,160200,7600
225,21/07/2023,7690,7550,7600,7600,454800,7600
226,24/07/2023,7790,7600,7790,7670,398300,7700
227,25/07/2023,7730,7580,7650,7590,309700,7600
228,26/07/2023,7650,7490,7590,7560,305600,7600
229,27/07/2023,7850,7400,7590,7770,1091900,7800
230,28/07/2023,7920,7770,7810,7830,897700,7800
231,31/07/2023,7900,7700,7850,7750,420900,7800
232,01/08/2023,7790,7700,7760,7710,513900,7700
233,02/08/2023,7720,7630,7720,7700,237400,7700
234,03/08/2023,7900,7640,7690,7810,644200,7800
235,04/08/2023,8070,7820,7880,8050,695900,8100
236,07/08/2023,8180,7910,8070,8050,501200,8100
237,08/08/2023,8140,7900,8140,8080,586600,8100
238,09/08/2023,8140,7920,8000,8140,291900,8100
239,10/08/2023,8450,8140,8140,8220,468600,8200
240,11/08/2023,8350,8050,8220,8230,409900,8200
241,14/08/2023,8400,8250,8250,8390,427700,8400
242,15/08/2023,8420,8000,8410,8330,297100,8300
243,16/08/2023,8370,8200,8300,8340,167800,8300
244,17/08/2023,8350,8200,8340,8230,217600,8200
245,18/08/2023,8330,7660,8200,7660,629800,7700
246,21/08/2023,7700,7400,7640,7700,228200,7700
247,22/08/2023,7700,7330,7700,7650,440300,7700
248,23/08/2023,8180,7640,7660,8110,550700,8100
249,24/08/2023,8150,7920,8060,8100,321500,8100
250,25/08/2023,8180,8000,8100,8090,349400,8100
