,Date,High,Low,Open,Close,Volume,Adj Close
0,09/03/2022,15900,15600,15900,15800,11800,15800
1,10/03/2022,16400,15900,16000,16200,28000,16200
2,11/03/2022,16300,15800,16300,16000,30200,16000
3,14/03/2022,16200,15900,16150,16100,17700,16100
4,15/03/2022,16250,15950,16200,16250,16800,16300
5,16/03/2022,16400,16100,16250,16400,14800,16400
6,17/03/2022,16700,16500,16500,16700,22900,16700
7,18/03/2022,16700,16000,16700,16600,10300,16600
8,21/03/2022,16600,16300,16500,16600,1014300,16600
9,22/03/2022,16650,16450,16600,16500,1225400,16500
10,23/03/2022,16550,16300,16500,16500,16600,16500
11,24/03/2022,16600,16300,16550,16550,437500,16600
12,25/03/2022,16550,16350,16350,16550,15900,16600
13,28/03/2022,16600,16000,16550,16500,54200,16500
14,29/03/2022,17500,16450,16600,17400,375300,17400
15,30/03/2022,18600,17400,17400,18600,280200,18600
16,31/03/2022,19900,18600,19900,18600,47400,18600
17,01/04/2022,18600,17550,17550,17650,22200,17700
18,04/04/2022,17900,17100,17650,17250,71800,17300
19,05/04/2022,17200,16650,16900,16800,36900,16800
20,06/04/2022,16950,16450,16900,16450,18300,16500
21,07/04/2022,17000,16500,16500,16800,174700,16800
22,08/04/2022,16900,16500,16900,16700,627800,16700
23,12/04/2022,16850,16450,16700,16600,38700,16600
24,13/04/2022,16600,16200,16600,16550,50500,16600
25,14/04/2022,17000,16550,16600,16700,41500,16700
26,15/04/2022,17000,16450,16600,16800,47000,16800
27,18/04/2022,16900,16100,16850,16450,36200,16500
28,19/04/2022,16800,16400,16500,16600,39400,16600
29,20/04/2022,16900,16500,16600,16900,416300,16900
30,21/04/2022,16900,16600,16750,16900,45100,16900
31,22/04/2022,17600,16900,16900,17600,137200,17600
32,25/04/2022,18000,17050,17700,17300,92900,17300
33,26/04/2022,17350,16950,17300,17350,52700,17400
34,27/04/2022,17350,17100,17350,17200,33700,17200
35,28/04/2022,17300,17000,17200,17200,51800,17200
36,29/04/2022,17350,17050,17250,17100,42300,17100
37,04/05/2022,17100,16600,17100,16950,43200,17000
38,05/05/2022,16950,16250,16950,16700,45600,16700
39,06/05/2022,16650,16000,16650,16400,39000,16400
40,09/05/2022,16400,16000,16350,16350,230900,16400
41,10/05/2022,16600,16250,16300,16600,31700,16600
42,11/05/2022,17000,16650,16650,16850,37400,16900
43,12/05/2022,16900,16650,16850,16850,30400,16900
44,13/05/2022,16900,16450,16850,16500,223100,16500
45,16/05/2022,17150,16500,16500,17000,51500,17000
46,17/05/2022,17550,16950,17050,17500,53800,17500
47,18/05/2022,17850,17400,17850,17650,51300,17700
48,19/05/2022,17750,17250,17550,17750,55200,17800
49,20/05/2022,17900,17650,17800,17800,64300,17800
50,23/05/2022,17850,17500,17800,17700,80600,17700
51,24/05/2022,17800,17500,17650,17750,73300,17800
52,25/05/2022,17800,17500,17700,17800,64600,17800
53,26/05/2022,17900,17600,17750,17800,117200,17800
54,27/05/2022,17900,17600,17800,17600,147700,17600
55,30/05/2022,17750,17350,17600,17700,116200,17700
56,31/05/2022,17800,17550,17750,17550,105600,17600
57,01/06/2022,17700,17450,17500,17600,85900,17600
58,02/06/2022,17650,17350,17450,17500,107600,17500
59,03/06/2022,17500,16650,17500,16650,74800,16700
60,06/06/2022,16950,16600,16700,16650,112200,16700
61,07/06/2022,16600,16250,16600,16300,517000,16300
62,08/06/2022,16950,16450,16450,16850,93600,16900
63,09/06/2022,17150,16850,16850,17000,86000,17000
64,10/06/2022,17300,16850,17000,17300,96100,17300
65,13/06/2022,17300,17000,17200,17200,74200,17200
66,14/06/2022,17300,17050,17100,17200,886400,17200
67,15/06/2022,17300,17000,17200,17200,294100,17200
68,16/06/2022,17450,17100,17100,17350,74900,17400
69,17/06/2022,17300,17050,17250,17200,89200,17200
70,20/06/2022,17400,17100,17200,17250,93100,17300
71,21/06/2022,17300,16800,17250,16800,164500,16800
72,22/06/2022,17000,16800,16800,17000,146200,17000
73,23/06/2022,17250,16950,17000,17100,194500,17100
74,24/06/2022,17450,17100,17200,17250,122400,17300
75,27/06/2022,17450,17100,17250,17200,101300,17200
76,28/06/2022,17300,17050,17200,17250,117300,17300
77,29/06/2022,17250,17000,17200,17250,101500,17300
78,30/06/2022,17250,17050,17150,17200,87300,17200
79,01/07/2022,17250,16950,17200,17100,85000,17100
80,04/07/2022,17350,17000,17100,17200,95900,17200
81,05/07/2022,17400,17000,17200,17250,106400,17300
82,06/07/2022,17300,17050,17250,17200,102500,17200
83,07/07/2022,17300,17000,17200,17200,256000,17200
84,08/07/2022,17750,17200,17200,17550,252500,17600
85,11/07/2022,17700,17150,17550,17500,109200,17500
86,12/07/2022,17750,17400,17450,17700,132900,17700
87,13/07/2022,17900,17600,17700,17850,134600,17900
88,14/07/2022,17850,17600,17750,17850,113800,17900
89,15/07/2022,18400,17800,17800,18250,164400,18300
90,18/07/2022,18400,18250,18250,18300,95100,18300
91,19/07/2022,18450,18200,18250,18400,95500,18400
92,20/07/2022,18600,18200,18400,18400,849100,18400
93,21/07/2022,18600,18350,18350,18550,114400,18600
94,22/07/2022,18700,18450,18550,18600,109200,18600
95,25/07/2022,18700,18350,18600,18500,100300,18500
96,26/07/2022,18750,18450,18500,18600,98000,18600
97,27/07/2022,18650,18350,18550,18600,306800,18600
98,28/07/2022,18900,18600,18650,18850,180900,18900
99,29/07/2022,18950,18650,18850,18800,90300,18800
100,01/08/2022,19100,18800,18800,18900,840700,18900
101,02/08/2022,19000,18700,18850,18850,1173000,18900
102,03/08/2022,18950,18650,18850,18750,102000,18800
103,04/08/2022,18900,18600,18750,18700,92300,18700
104,05/08/2022,18700,18500,18700,18550,1169200,18600
105,08/08/2022,18700,18500,18500,18600,108600,18600
106,09/08/2022,18800,18500,18600,18650,94400,18700
107,10/08/2022,18900,18550,18600,18850,102100,18900
108,11/08/2022,19100,18750,18900,18800,111700,18800
109,12/08/2022,18950,18650,18750,18700,95100,18700
110,15/08/2022,18900,18650,18650,18800,112500,18800
111,16/08/2022,18900,18600,18700,18800,98400,18800
112,17/08/2022,18950,18750,18800,18900,104200,18900
113,18/08/2022,18950,18650,18800,18800,112800,18800
114,19/08/2022,18950,18600,18800,18600,116600,18600
115,22/08/2022,18650,18200,18550,18500,166700,18500
116,23/08/2022,18600,18350,18450,18600,1037000,18600
117,24/08/2022,18800,18550,18600,18650,226100,18700
118,25/08/2022,18900,18650,18650,18850,574800,18900
119,26/08/2022,19100,18800,18800,18850,131400,18900
