,Date,High,Low,Open,Close,Volume,Adj Close
0,31/05/2022,25300,24300,24600,25200,78600,23900
1,01/06/2022,25000,24750,25000,24800,10400,23500
2,02/06/2022,25400,24500,24600,24800,37200,23500
3,03/06/2022,24900,23800,24600,23900,50800,22700
4,06/06/2022,24600,23300,23900,24200,35000,23000
5,07/06/2022,25200,23950,24100,25200,96400,23900
6,08/06/2022,26000,25000,25150,25300,105200,24000
7,09/06/2022,25800,23550,25300,25200,60200,23900
8,10/06/2022,25100,24100,25000,24450,74500,23200
9,13/06/2022,24450,23600,24000,24300,65600,23100
10,14/06/2022,24300,23100,23600,24300,31000,23100
11,15/06/2022,24200,23500,23750,24200,85000,23000
12,16/06/2022,25200,24050,24050,24900,45900,23600
13,17/06/2022,25000,23700,24800,24900,46600,23600
14,20/06/2022,25450,24000,25000,25000,53400,23700
15,21/06/2022,25000,24050,24050,24700,107900,23400
16,22/06/2022,24900,23600,23750,23600,24900,22400
17,23/06/2022,23700,23200,23600,23600,28500,22400
18,24/06/2022,24000,23700,23700,24000,3500,22800
19,27/06/2022,24250,23500,23500,24250,22000,23000
20,28/06/2022,24250,23700,24200,24000,26200,22800
21,29/06/2022,24200,23500,23700,24200,26100,23000
22,30/06/2022,24200,23050,24100,23500,26400,22300
23,01/07/2022,24200,23500,23500,23550,6000,22400
24,04/07/2022,23600,23550,23600,23550,3200,22400
25,05/07/2022,23700,23500,23700,23550,22200,22400
26,06/07/2022,23550,23100,23100,23550,10200,22400
27,07/07/2022,23500,22500,23500,22950,71500,21800
28,08/07/2022,22950,22550,22950,22550,4100,21400
29,11/07/2022,22700,22000,22500,22000,55200,20900
30,12/07/2022,23000,22650,23000,22700,5200,21500
31,13/07/2022,22700,22500,22550,22700,15100,21500
32,14/07/2022,22900,22650,22800,22900,6800,21700
33,15/07/2022,23250,23100,23250,23100,6100,21900
34,18/07/2022,23500,23100,23100,23150,13300,22000
35,19/07/2022,23400,23000,23200,23100,5900,21900
36,20/07/2022,23400,23000,23000,23300,2600,22100
37,21/07/2022,23800,23000,23000,23550,30400,22400
38,22/07/2022,23750,23000,23500,23500,22300,22300
39,25/07/2022,23750,23400,23750,23500,27600,22300
40,26/07/2022,23600,23400,23400,23600,800,22400
41,27/07/2022,23600,23350,23600,23550,5900,22400
42,28/07/2022,23800,23350,23800,23700,17300,22500
43,29/07/2022,23700,23100,23100,23500,24800,22300
44,01/08/2022,23650,23200,23650,23600,17400,22400
