,Date,High,Low,Open,Close,Volume,Adj Close
0,12/10/2020,48000.0,46300.0,46800.0,46500,42370,43100
1,13/10/2020,46600.0,45000.0,46300.0,45100,37760,41800
2,14/10/2020,46700.0,45100.0,45100.0,46500,42960,43100
3,15/10/2020,46500.0,45600.0,46500.0,46400,27890,43000
4,16/10/2020,46400.0,45600.0,46400.0,46000,21480,42600
5,19/10/2020,46000.0,45600.0,46000.0,45800,8530,42400
6,20/10/2020,47000.0,45700.0,45900.0,45950,3630,42600
7,21/10/2020,46450.0,44750.0,45800.0,45950,28160,42600
8,22/10/2020,45700.0,44750.0,44750.0,45100,31600,41800
9,23/10/2020,46500.0,44750.0,45100.0,46400,16180,43000
10,26/10/2020,46400.0,45000.0,46300.0,45250,5050,41900
11,27/10/2020,46000.0,45200.0,45200.0,45500,4410,42100
12,28/10/2020,46000.0,42600.0,45200.0,45200,14150,41900
13,29/10/2020,44900.0,43500.0,43500.0,43900,20620,40700
14,30/10/2020,46450.0,43600.0,43900.0,43850,15910,40600
15,02/11/2020,46000.0,44000.0,46000.0,45000,3010,41700
16,03/11/2020,45850.0,45000.0,45850.0,45850,9220,42500
17,04/11/2020,46500.0,45500.0,45850.0,46400,16730,43000
18,05/11/2020,46800.0,45800.0,46800.0,45800,10890,42400
19,06/11/2020,46000.0,45700.0,45800.0,45800,9070,42400
20,09/11/2020,46700.0,45750.0,45750.0,46200,5430,42800
21,10/11/2020,46250.0,45600.0,46200.0,45600,31970,42200
22,11/11/2020,46400.0,45700.0,46400.0,46000,2150,42600
23,12/11/2020,46400.0,45700.0,45700.0,46300,5400,42900
24,13/11/2020,47950.0,45500.0,46300.0,45800,40990,42400
25,16/11/2020,48000.0,45800.0,45800.0,47400,27930,43900
26,17/11/2020,48500.0,47500.0,48500.0,48000,23410,44500
27,18/11/2020,48300.0,47500.0,47800.0,47800,34890,44300
28,19/11/2020,47800.0,47200.0,47800.0,47400,13510,43900
29,20/11/2020,47600.0,47000.0,47600.0,47000,21820,43500
30,23/11/2020,47500.0,47000.0,47500.0,47300,32860,43800
31,24/11/2020,47300.0,47000.0,47000.0,47200,20930,43700
32,25/11/2020,47500.0,47000.0,47300.0,47200,21170,43700
33,26/11/2020,47200.0,46800.0,47200.0,47200,23110,43700
34,27/11/2020,47500.0,47000.0,47000.0,47300,15420,43800
35,30/11/2020,47600.0,47200.0,47300.0,47500,64120,44000
36,01/12/2020,47800.0,47200.0,47400.0,47800,31970,44300
37,02/12/2020,50700.0,49000.0,49500.0,50100,70050,46400
38,03/12/2020,51500.0,48850.0,50100.0,48850,66660,45200
39,04/12/2020,49000.0,48500.0,48800.0,48800,47540,45200
40,07/12/2020,48600.0,46500.0,48600.0,46650,244710,43200
41,08/12/2020,46650.0,45900.0,46600.0,46200,198490,42800
42,09/12/2020,47000.0,46500.0,46950.0,46900,14700,43400
43,10/12/2020,46900.0,46350.0,46550.0,46350,56580,42900
44,11/12/2020,46500.0,45800.0,46500.0,46150,122590,42700
45,14/12/2020,46200.0,45800.0,46200.0,45900,72210,42500
46,15/12/2020,45800.0,45400.0,45800.0,45400,75540,42100
47,16/12/2020,46100.0,45400.0,45400.0,46000,42580,42600
48,17/12/2020,46000.0,45600.0,46000.0,45700,30780,42300
49,18/12/2020,46000.0,45500.0,45700.0,45900,42850,42500
50,21/12/2020,46350.0,46000.0,46000.0,46250,35890,42800
51,22/12/2020,46350.0,45900.0,46250.0,46200,59300,42800
52,23/12/2020,46150.0,45650.0,46150.0,45750,71480,42400
53,24/12/2020,46100.0,45400.0,45900.0,46000,55380,42600
54,25/12/2020,46100.0,45800.0,46000.0,46100,24200,42700
55,28/12/2020,46500.0,45500.0,46500.0,45500,161130,42100
56,29/12/2020,46000.0,45500.0,45500.0,45750,34380,42400
57,30/12/2020,45900.0,45600.0,45900.0,45750,26510,42400
58,31/12/2020,46800.0,45700.0,45750.0,46800,36030,43300
59,04/01/2021,47300.0,46750.0,46900.0,46950,103900,43500
60,05/01/2021,47600.0,46400.0,47600.0,46500,49300,43100
61,06/01/2021,47000.0,45850.0,47000.0,46200,58200,42800
62,07/01/2021,46000.0,45750.0,46000.0,46000,86500,42600
63,08/01/2021,46500.0,45850.0,46000.0,46250,45600,42800
64,11/01/2021,47400.0,46500.0,46800.0,46900,254700,43400
65,12/01/2021,48900.0,47400.0,47700.0,48900,547300,45300
66,13/01/2021,51500.0,49100.0,49400.0,50200,174800,46500
67,14/01/2021,50500.0,49100.0,50200.0,50000,121800,46300
68,15/01/2021,50000.0,49350.0,50000.0,49450,171500,45800
69,18/01/2021,49350.0,48700.0,49350.0,48800,170000,45200
70,19/01/2021,49450.0,47400.0,49000.0,47400,124100,43900
71,20/01/2021,47900.0,46500.0,47400.0,47500,104800,44000
72,21/01/2021,49300.0,47700.0,48000.0,49300,48500,45700
73,22/01/2021,49300.0,48800.0,49300.0,48950,43800,45300
74,25/01/2021,48000.0,47350.0,48000.0,47450,39200,45300
75,26/01/2021,47500.0,45500.0,47400.0,45850,85200,43800
76,27/01/2021,45900.0,44900.0,45850.0,44900,86300,42900
77,28/01/2021,44000.0,41800.0,44000.0,41800,201800,39900
78,29/01/2021,44000.0,41500.0,41700.0,42900,88700,41000
79,01/02/2021,43300.0,42250.0,42900.0,42350,49700,40500
80,02/02/2021,43200.0,42250.0,42350.0,43200,28800,41300
81,03/02/2021,44000.0,42800.0,43200.0,43500,34700,41600
82,04/02/2021,43700.0,43100.0,43500.0,43200,22900,41300
83,05/02/2021,44000.0,43300.0,44000.0,43800,9200,41900
84,08/02/2021,44650.0,43400.0,44650.0,43500,24300,41600
85,09/02/2021,44350.0,43500.0,43800.0,44350,42700,42400
86,17/02/2021,45200.0,44100.0,44100.0,44700,41000,42700
87,18/02/2021,45800.0,44800.0,45400.0,45600,39900,43600
88,19/02/2021,45600.0,45250.0,45600.0,45350,42100,43300
89,22/02/2021,46000.0,45350.0,45900.0,45500,19700,43500
90,23/02/2021,46000.0,45600.0,45600.0,45800,35700,43800
91,24/02/2021,46050.0,45700.0,46050.0,45800,57200,43800
92,25/02/2021,46000.0,45650.0,45800.0,46000,35500,44000
93,26/02/2021,46000.0,45750.0,46000.0,45900,50000,43900
94,01/03/2021,47400.0,46000.0,46250.0,47400,54700,45300
95,02/03/2021,48000.0,47300.0,47900.0,47300,24200,45200
96,03/03/2021,48000.0,47300.0,47300.0,47550,25200,45400
97,04/03/2021,47950.0,45400.0,47500.0,45400,52900,43400
98,05/03/2021,47450.0,45700.0,47450.0,47000,16500,44900
99,08/03/2021,48000.0,47000.0,47500.0,47150,5100,45100
100,09/03/2021,47150.0,46500.0,47000.0,47000,13300,44900
101,10/03/2021,47200.0,46700.0,47000.0,47000,13800,44900
102,11/03/2021,47500.0,46850.0,47000.0,47000,18300,44900
103,12/03/2021,47300.0,46900.0,47300.0,46900,21600,44800
104,15/03/2021,47050.0,47000.0,47000.0,47000,25900,44900
105,16/03/2021,47000.0,46850.0,47000.0,46900,17600,44800
106,17/03/2021,47600.0,47000.0,47000.0,47400,62900,45300
107,18/03/2021,47900.0,47350.0,47900.0,47500,8100,45400
108,19/03/2021,47600.0,47300.0,47500.0,47300,21500,45200
109,22/03/2021,47300.0,46950.0,47300.0,46950,43100,44900
110,23/03/2021,47000.0,46700.0,46950.0,46700,21600,44600
111,24/03/2021,47250.0,46200.0,47250.0,46200,22200,44100
112,25/03/2021,46950.0,46200.0,46200.0,46400,20600,44300
113,26/03/2021,46450.0,45200.0,46400.0,45500,21100,43500
114,29/03/2021,46800.0,46100.0,46100.0,46800,10500,44700
115,30/03/2021,47400.0,46350.0,47400.0,47000,6500,44900
116,31/03/2021,47000.0,46250.0,46500.0,47000,24700,44900
117,01/04/2021,47000.0,46250.0,47000.0,47000,8400,44900
118,02/04/2021,47200.0,46500.0,46700.0,46500,8400,44400
119,05/04/2021,47000.0,46200.0,47000.0,46200,17500,44100
120,06/04/2021,46700.0,46000.0,46200.0,46300,34300,44200
121,07/04/2021,46700.0,46050.0,46300.0,46500,26800,44400
122,08/04/2021,47000.0,46400.0,46500.0,46500,27400,44400
123,09/04/2021,46700.0,46400.0,46500.0,46500,19700,44400
124,12/04/2021,48500.0,46500.0,47700.0,48500,81400,46300
125,13/04/2021,48500.0,47700.0,48500.0,48300,66600,46200
126,14/04/2021,48300.0,47500.0,48300.0,47500,32200,45400
127,15/04/2021,47700.0,47000.0,47500.0,47000,8400,44900
128,16/04/2021,47250.0,46200.0,47000.0,46350,25700,44300
129,19/04/2021,47500.0,46350.0,46350.0,47200,5400,45100
130,20/04/2021,47250.0,46750.0,46750.0,47000,11800,44900
131,22/04/2021,47050.0,46000.0,47050.0,46000,19000,44000
132,23/04/2021,46500.0,45600.0,45600.0,46500,11000,44400
133,26/04/2021,47200.0,45800.0,46500.0,46700,7400,44600
134,27/04/2021,46700.0,45800.0,45800.0,45900,7200,43900
135,28/04/2021,47000.0,45900.0,46800.0,46600,8200,44500
136,29/04/2021,46950.0,46100.0,46950.0,46800,7500,44700
137,04/05/2021,46800.0,45000.0,46100.0,45650,47100,43600
138,05/05/2021,46850.0,45700.0,45700.0,46600,5700,44500
139,06/05/2021,47100.0,46000.0,47100.0,46500,105200,44400
140,07/05/2021,46500.0,46000.0,46000.0,46200,18200,44100
141,10/05/2021,46150.0,45550.0,46000.0,46150,25900,44100
142,11/05/2021,46000.0,45450.0,45650.0,46000,66100,44000
143,12/05/2021,46000.0,45000.0,45000.0,45500,96400,43500
144,13/05/2021,46500.0,45500.0,45500.0,45900,30300,43900
145,14/05/2021,46350.0,45800.0,45900.0,46200,9800,44100
146,17/05/2021,46000.0,45800.0,46000.0,46000,11500,44000
147,18/05/2021,46000.0,45550.0,45800.0,45550,13200,43500
148,19/05/2021,46400.0,45550.0,45550.0,46300,15600,44200
149,20/05/2021,46400.0,46100.0,46400.0,46250,4800,44200
150,21/05/2021,46500.0,45800.0,46250.0,46300,9800,44200
151,24/05/2021,47500.0,46000.0,46200.0,46600,62100,44500
152,25/05/2021,47500.0,46500.0,47300.0,47200,18600,45100
153,26/05/2021,47200.0,46450.0,47200.0,46450,23700,44400
154,27/05/2021,47300.0,46200.0,46550.0,46500,52800,44400
155,28/05/2021,47050.0,46300.0,47050.0,46600,90200,44500
156,31/05/2021,47000.0,46750.0,46850.0,46850,40200,44800
157,01/06/2021,48200.0,46600.0,46800.0,48000,90700,45900
158,02/06/2021,48500.0,48200.0,48400.0,48250,66700,46100
159,03/06/2021,48500.0,48000.0,48350.0,48000,42900,45900
160,04/06/2021,48350.0,47950.0,48000.0,47950,22300,45800
161,07/06/2021,48400.0,45000.0,48300.0,48000,25000,45900
162,08/06/2021,48000.0,46800.0,47000.0,47500,47700,45400
163,09/06/2021,48200.0,47000.0,47300.0,47900,39600,45800
164,10/06/2021,48000.0,47450.0,47450.0,47550,12600,45400
165,11/06/2021,50800.0,48000.0,48400.0,50800,280200,48500
166,14/06/2021,54300.0,52900.0,54300.0,53000,130000,50600
167,15/06/2021,53000.0,52000.0,53000.0,52400,40500,50100
168,16/06/2021,52400.0,50400.0,52000.0,51700,121800,49400
169,17/06/2021,52300.0,50400.0,50400.0,51700,65500,49400
170,18/06/2021,53600.0,51400.0,51700.0,53000,72000,50600
171,21/06/2021,53000.0,52000.0,53000.0,52200,51400,49900
172,22/06/2021,53600.0,51600.0,52200.0,52100,37200,49800
173,23/06/2021,52000.0,50500.0,51500.0,51400,69900,49100
174,24/06/2021,51900.0,50000.0,51400.0,51300,29800,49000
175,25/06/2021,53000.0,50400.0,51300.0,51300,24700,49000
176,28/06/2021,51800.0,50600.0,50700.0,51300,46600,49000
177,29/06/2021,51500.0,50600.0,50800.0,50900,44800,48600
178,30/06/2021,51500.0,50800.0,50900.0,51400,42500,49100
179,01/07/2021,51400.0,50700.0,51400.0,50900,48300,48600
180,02/07/2021,52500.0,50600.0,51500.0,50700,57200,48400
181,05/07/2021,50700.0,49800.0,50700.0,50300,37800,48100
182,06/07/2021,50500.0,49000.0,50300.0,50100,43200,47900
183,07/07/2021,49900.0,48200.0,48900.0,48700,32600,46500
