Date,High,Low,Open,Close,Volume,Adj Close
03/10/2014,12600,12600,12600,12600,168870,11400
06/10/2014,13400,13400,13400,13400,2181110,12100
07/10/2014,14300,14300,14300,14300,1440150,12900
08/10/2014,15300,15300,15300,15300,195030,13800
09/10/2014,16300,16300,16300,16300,1874730,14700
10/10/2014,17400,17400,17400,17400,229320,15700
13/10/2014,18600,18500,18600,18600,617750,16800
14/10/2014,19900,19700,19900,19900,897770,17900
15/10/2014,21200,20000,20000,21200,701770,19100
16/10/2014,21000,20000,20000,20300,345150,18300
17/10/2014,21000,19000,19700,19000,241620,17100
20/10/2014,20300,17900,18000,18200,432130,16400
21/10/2014,19200,18000,18200,19200,1658500,17300
22/10/2014,20000,19000,19400,19900,958350,17900
23/10/2014,21000,19800,20000,19900,3626280,17900
24/10/2014,21200,20100,20100,21200,1635980,19100
27/10/2014,21200,20000,21100,20300,1115350,18300
28/10/2014,19600,18900,18900,19000,1994060,17100
29/10/2014,19600,18900,19000,19500,1009870,17600
30/10/2014,20200,19500,19800,20000,1756850,18000
31/10/2014,21400,20100,20200,20800,8143710,18800
03/11/2014,21500,20800,21000,21200,4317430,19100
04/11/2014,21000,20000,21000,20400,4219910,18400
05/11/2014,20500,19900,20000,20400,846830,18400
06/11/2014,20400,20000,20400,20000,806310,18000
07/11/2014,20400,19800,20000,19900,1729230,17900
10/11/2014,20500,19900,20000,20300,823310,18300
11/11/2014,21200,20200,20400,20800,1305980,18800
12/11/2014,21000,20500,20500,21000,709480,18900
13/11/2014,21300,20400,21000,21000,990990,18900
14/11/2014,21000,20500,21000,20800,457740,18800
17/11/2014,22200,21000,21400,22200,3521010,20000
18/11/2014,23700,23600,23700,23700,1896980,21400
19/11/2014,25100,23700,23700,24000,1487290,21600
20/11/2014,24500,23500,23700,24200,1441900,21800
21/11/2014,24500,22600,24500,22600,2300380,20400
24/11/2014,21100,21100,21100,21100,116960,19000
25/11/2014,19800,19700,19700,19700,1234160,17800
26/11/2014,18900,18400,18400,18400,2197660,16600
27/11/2014,18500,17200,17200,18500,2934160,16700
28/11/2014,19700,17700,17700,19700,1481810,17800
01/12/2014,19900,18700,19500,18800,942040,17000
02/12/2014,18200,17500,17900,18100,905120,16300
03/12/2014,18400,17800,17800,18300,535310,16500
04/12/2014,18600,17900,18300,18000,297740,16200
05/12/2014,18200,17600,17800,17700,653630,16000
08/12/2014,17900,16500,17600,16500,925840,14900
09/12/2014,16300,15400,15700,15400,2207700,13900
10/12/2014,15000,14400,14400,14700,4639510,13300
11/12/2014,15200,14000,14700,14900,1009600,13400
12/12/2014,15000,14600,14600,15000,308670,13500
15/12/2014,14700,14200,14700,14200,706920,12800
16/12/2014,13900,13300,13900,13300,997260,12000
17/12/2014,12600,12400,12400,12400,6452950,11200
18/12/2014,13200,12600,12700,13200,1045410,11900
19/12/2014,13800,12700,13400,12700,1263440,11500
22/12/2014,13300,12300,12300,13100,1947290,11800
23/12/2014,13100,12700,12900,12700,888870,11500
24/12/2014,13000,12600,12800,12800,294720,11500
25/12/2014,13200,12500,12600,12700,2474580,11500
26/12/2014,12800,12200,12600,12400,2167800,11200
29/12/2014,12700,11800,12600,12200,1430520,11000
30/12/2014,12900,11400,12200,12700,1904800,11500
31/12/2014,13200,12500,12500,12800,1247720,11500
05/01/2015,13600,12800,12800,13600,1678030,12300
06/01/2015,14500,13400,13400,14500,1886220,13100
07/01/2015,14800,14100,14400,14100,1378520,12700
08/01/2015,14600,13900,14000,14300,2595370,12900
09/01/2015,15100,14000,14300,14800,1632380,13300
12/01/2015,14800,14300,14600,14300,1544050,12900
13/01/2015,14800,14000,14000,14400,1860190,13000
14/01/2015,15000,13900,14300,15000,1976030,13500
15/01/2015,15900,14800,14800,15800,2097740,14300
16/01/2015,15900,15400,15600,15400,1478140,13900
19/01/2015,15400,15100,15200,15300,1586160,13800
20/01/2015,15400,14900,15000,15300,884440,13800
21/01/2015,15500,15000,15100,15200,710000,13700
22/01/2015,15200,14600,15000,14700,1218910,13300
23/01/2015,15600,14900,14900,15200,1855200,13700
26/01/2015,15600,15000,15200,15200,928980,13700
27/01/2015,15300,14500,15100,15000,1358840,13500
28/01/2015,15200,14500,14700,15200,1078030,13700
29/01/2015,16100,15100,15100,16100,3279410,14500
30/01/2015,16000,15600,15800,15900,2742760,14300
02/02/2015,15800,15200,15600,15400,669390,13900
03/02/2015,15300,14700,15200,14700,1503790,13300
04/02/2015,14700,14300,14500,14700,751100,13300
05/02/2015,14900,14500,14700,14800,491970,13300
06/02/2015,14800,14500,14600,14700,367790,13300
09/02/2015,14600,13800,14600,14100,608990,12700
10/02/2015,14800,13800,13900,14700,881390,13300
11/02/2015,15000,14500,14500,15000,1011100,13500
12/02/2015,15000,14700,14800,15000,577910,13500
13/02/2015,15400,14700,14700,15400,491480,13900
24/02/2015,16200,15200,15300,16200,781880,14600
