,Date,High,Low,Open,Close,Volume,Adj Close
0,12/10/2020,24250.0,23400.0,24250.0,24000,1123600,19200
1,13/10/2020,23950.0,23400.0,23800.0,23650,710170,18900
2,14/10/2020,23750.0,23250.0,23650.0,23350,1085190,18700
3,15/10/2020,23600.0,21750.0,23300.0,22100,1722140,17700
4,16/10/2020,22450.0,21600.0,22450.0,22000,1144260,17600
5,19/10/2020,22950.0,21850.0,21850.0,22800,759710,18300
6,20/10/2020,23400.0,22750.0,22800.0,22900,500990,18300
7,21/10/2020,23000.0,22300.0,23000.0,22300,1026650,17900
8,22/10/2020,22650.0,22100.0,22400.0,22400,377590,17900
9,23/10/2020,22800.0,22000.0,22000.0,22200,619560,17800
10,26/10/2020,22650.0,22000.0,22500.0,22000,670410,17600
11,27/10/2020,22400.0,21500.0,22000.0,21850,570880,17500
12,28/10/2020,22000.0,21400.0,21850.0,21500,818280,17200
13,29/10/2020,21600.0,21100.0,21100.0,21500,478020,17200
14,30/10/2020,23000.0,21650.0,21800.0,22650,1331260,18100
15,02/11/2020,23000.0,22650.0,22900.0,22700,378390,18200
16,03/11/2020,23750.0,22750.0,22750.0,23600,1171300,18900
17,04/11/2020,23650.0,21950.0,23650.0,23300,755370,18700
18,05/11/2020,23800.0,23050.0,23400.0,23450,505690,18800
19,06/11/2020,24250.0,23450.0,23500.0,23850,1280140,19100
20,09/11/2020,25000.0,23800.0,23850.0,25000,1320360,20000
21,10/11/2020,25500.0,24700.0,25500.0,24750,970500,19800
22,11/11/2020,24850.0,24200.0,24850.0,24600,735900,19700
23,12/11/2020,25150.0,24500.0,24850.0,25000,1039360,20000
24,13/11/2020,25250.0,24900.0,25000.0,25050,560950,20100
25,16/11/2020,25450.0,24750.0,24950.0,25000,881970,20000
26,17/11/2020,25950.0,25000.0,25050.0,25850,854840,20700
27,18/11/2020,26200.0,25500.0,25800.0,25850,547090,20700
28,19/11/2020,25850.0,25600.0,25850.0,25750,417720,20600
29,20/11/2020,26000.0,25550.0,25750.0,26000,636900,20800
30,23/11/2020,26900.0,26000.0,26300.0,26500,755830,21200
31,24/11/2020,26750.0,26100.0,26300.0,26550,840610,21300
32,25/11/2020,26700.0,26000.0,26600.0,26050,683950,20900
33,26/11/2020,26100.0,25400.0,26000.0,25500,1268800,20400
34,27/11/2020,26000.0,25550.0,25550.0,26000,741770,20800
35,30/11/2020,26500.0,26000.0,26200.0,26000,640420,20800
36,01/12/2020,26450.0,25450.0,25450.0,26200,675840,21000
37,02/12/2020,27550.0,26000.0,26300.0,27150,1492360,21700
38,03/12/2020,27700.0,27150.0,27200.0,27650,885380,22100
39,04/12/2020,28600.0,27650.0,27900.0,28450,1332280,22800
40,07/12/2020,30000.0,28300.0,28300.0,29700,1426280,23800
41,08/12/2020,31600.0,29500.0,29700.0,31100,1774090,24900
42,09/12/2020,31350.0,30600.0,31300.0,30700,1005850,24600
43,10/12/2020,31450.0,30500.0,30500.0,30700,767890,24600
44,11/12/2020,31900.0,30500.0,30600.0,31600,597950,25300
45,14/12/2020,33000.0,32000.0,32250.0,32200,574080,25800
46,15/12/2020,32300.0,31650.0,31900.0,31800,651500,25500
47,16/12/2020,33100.0,32000.0,32000.0,32800,344190,26300
48,17/12/2020,32750.0,31700.0,32300.0,32200,1971920,25800
49,18/12/2020,34450.0,32300.0,32300.0,34450,1540250,27600
50,21/12/2020,36850.0,35200.0,35200.0,36850,590140,29500
51,22/12/2020,38850.0,37250.0,38800.0,38450,901230,30800
52,23/12/2020,38650.0,37050.0,38100.0,37200,1133440,29800
53,24/12/2020,37250.0,34600.0,37200.0,36150,2778290,29000
54,25/12/2020,36950.0,35600.0,35800.0,36650,1207030,29400
55,28/12/2020,38500.0,36500.0,36600.0,37700,1192950,30200
56,29/12/2020,38600.0,37500.0,38200.0,37900,1044020,30400
57,30/12/2020,38500.0,36700.0,37700.0,37200,723090,29800
58,31/12/2020,37300.0,36000.0,37300.0,36950,1666440,29600
59,04/01/2021,38950.0,36800.0,36800.0,38000,1188900,30400
60,05/01/2021,40650.0,38000.0,38000.0,40350,1480600,32300
61,06/01/2021,41900.0,40050.0,41900.0,40200,934900,32200
62,07/01/2021,40250.0,39100.0,40150.0,40000,1116700,32000
63,08/01/2021,40250.0,39350.0,40000.0,39500,1117600,31600
64,11/01/2021,40000.0,37800.0,40000.0,38000,1677600,30400
65,12/01/2021,39400.0,37000.0,38000.0,39150,1297600,31400
66,13/01/2021,39500.0,38050.0,39200.0,38800,851000,31100
67,14/01/2021,39000.0,38050.0,38800.0,38700,613600,31000
68,15/01/2021,39500.0,38550.0,39000.0,38700,1078600,31000
69,18/01/2021,40500.0,38500.0,39100.0,39700,1624900,31800
70,19/01/2021,40000.0,36950.0,39700.0,37100,967500,29700
71,20/01/2021,37800.0,34550.0,37100.0,36900,1080200,29600
72,21/01/2021,39450.0,37000.0,37700.0,39450,1251900,31600
