,Date,High,Low,Open,Close,Volume,Adj Close
0,02/02/2010,103000,103000,103000.0,103000,5520,5700
1,03/02/2010,108000,108000,108000.0,108000,10140,6000
2,04/02/2010,113000,113000,113000.0,113000,11690,6200
3,05/02/2010,118000,115000,115000.0,118000,269750,6500
4,08/02/2010,117000,113000,115000.0,115000,74810,6300
5,09/02/2010,115000,110000,115000.0,110000,44920,6100
6,10/02/2010,110000,107000,108000.0,108000,162280,6000
7,11/02/2010,111000,105000,107000.0,108000,60500,6000
8,12/02/2010,113000,110000,110000.0,113000,52600,6200
9,22/02/2010,117000,113000,116000.0,116000,12690,6400
10,23/02/2010,115000,111000,112000.0,111000,61590,6100
11,24/02/2010,113000,110000,112000.0,112000,23840,6200
12,25/02/2010,116000,111000,114000.0,113000,28790,6200
13,26/02/2010,114000,112000,114000.0,113000,42360,6200
14,01/03/2010,115000,113000,115000.0,114000,31430,6300
15,02/03/2010,116000,114000,115000.0,114000,64440,6300
16,03/03/2010,117000,114000,115000.0,117000,100070,6500
17,04/03/2010,120000,118000,120000.0,118000,29400,6500
18,05/03/2010,123000,118000,119000.0,123000,125640,6800
19,08/03/2010,129000,123000,125000.0,128000,39760,7100
20,09/03/2010,128000,126000,128000.0,126000,40470,7000
21,10/03/2010,132000,126000,126000.0,131000,153290,7200
22,11/03/2010,137000,132000,133000.0,137000,86700,7600
23,12/03/2010,143000,137000,142000.0,143000,135890,7900
24,15/03/2010,150000,146000,146000.0,150000,100270,8300
25,16/03/2010,153000,144000,148000.0,149000,135810,8200
26,17/03/2010,153000,148000,153000.0,148000,90920,8200
27,18/03/2010,151000,145000,148000.0,151000,70030,8300
28,19/03/2010,152000,148000,152000.0,148000,66350,8200
29,22/03/2010,146000,141000,146000.0,142000,123570,7800
30,23/03/2010,142000,135000,142000.0,136000,191400,7500
31,24/03/2010,142000,137000,137000.0,142000,189240,7800
32,25/03/2010,145000,137000,139000.0,142000,80310,7800
33,26/03/2010,144000,141000,142000.0,144000,56800,7900
34,29/03/2010,148000,143000,144000.0,147000,57820,8100
35,30/03/2010,147000,140000,143000.0,140000,103050,7700
36,31/03/2010,144000,139000,140000.0,139000,126530,7700
37,01/04/2010,143000,139000,140000.0,143000,73340,7900
38,02/04/2010,150000,146000,146000.0,150000,259190,8300
39,05/04/2010,155000,149000,155000.0,155000,177200,8600
