,Date,High,Low,Open,Close,Volume,Adj Close
3740,04/12/2006,100000,100000,100000.0,100000,62050,16300
3739,05/12/2006,96000,95000,96000.0,95000,109420,15500
3738,06/12/2006,90500,90500,90500.0,90500,3250,14700
3737,07/12/2006,95000,86500,86500.0,95000,216560,15500
3736,08/12/2006,99000,99000,99000.0,99000,18700,16100
3735,11/12/2006,103000,103000,103000.0,103000,73020,16800
3734,12/12/2006,107000,103000,107000.0,103000,92600,16800
3733,13/12/2006,100000,98000,98000.0,100000,87350,16300
3732,14/12/2006,100000,100000,100000.0,100000,58750,16300
3731,15/12/2006,100000,99000,100000.0,99000,84120,16100
3730,18/12/2006,99000,98000,99000.0,98000,47200,16000
3729,19/12/2006,96000,96000,96000.0,96000,30160,15600
3728,20/12/2006,96500,96000,96000.0,96500,92190,15700
3727,21/12/2006,96500,95000,96500.0,95000,55170,15500
3726,22/12/2006,90500,90500,90500.0,90500,26950,14700
3725,25/12/2006,95000,88000,88000.0,95000,26850,15500
3724,26/12/2006,99500,98000,99500.0,98000,80250,16000
3723,27/12/2006,100000,100000,100000.0,100000,97420,16300
3722,28/12/2006,100000,100000,100000.0,100000,57710,16300
3721,29/12/2006,100000,99000,99000.0,100000,34500,16300
3720,02/01/2007,100000,100000,100000.0,100000,33390,16300
3719,03/01/2007,100000,98000,98000.0,100000,34780,16300
3718,04/01/2007,105000,105000,105000.0,105000,43650,17100
3717,05/01/2007,110000,108000,110000.0,108000,123610,17600
3716,08/01/2007,113000,110000,113000.0,110000,98860,17900
3715,09/01/2007,110000,110000,110000.0,110000,119530,17900
3714,10/01/2007,114000,112000,112000.0,114000,92650,18600
3713,11/01/2007,119000,117000,117000.0,119000,131220,19400
3712,12/01/2007,124000,124000,124000.0,124000,70430,20200
3711,15/01/2007,126000,126000,126000.0,126000,43810,20500
3710,16/01/2007,125000,122000,125000.0,122000,38020,19900
3709,17/01/2007,120000,116000,120000.0,116000,44580,18900
3708,18/01/2007,118000,111000,111000.0,118000,59940,19200
3707,19/01/2007,122000,120000,120000.0,122000,63440,19900
3706,22/01/2007,120000,116000,116000.0,120000,38260,19600
3705,23/01/2007,121000,120000,120000.0,121000,65400,19700
3704,24/01/2007,122000,120000,122000.0,120000,96830,19600
3703,25/01/2007,118000,118000,118000.0,118000,39090,19200
3702,26/01/2007,120000,120000,120000.0,120000,68980,19600
3701,29/01/2007,126000,126000,126000.0,126000,68730,20500
3700,30/01/2007,132000,132000,132000.0,132000,60270,21500
3699,31/01/2007,138000,138000,138000.0,138000,100630,22500
3698,01/02/2007,141000,138000,141000.0,138000,75240,22500
3697,02/02/2007,135000,135000,135000.0,135000,65700,22000
3696,05/02/2007,135000,130000,135000.0,130000,23530,21200
3695,06/02/2007,130000,128000,130000.0,128000,66210,20900
3694,07/02/2007,134000,134000,134000.0,134000,83850,21800
3693,08/02/2007,140000,140000,140000.0,140000,79680,22800
3692,09/02/2007,133000,133000,133000.0,133000,28970,21700
3691,12/02/2007,135000,135000,135000.0,135000,32160,22000
3690,13/02/2007,137000,137000,137000.0,137000,26550,22300
3689,14/02/2007,140000,136000,136000.0,140000,53510,22800
3688,15/02/2007,142000,140000,140000.0,142000,36370,23100
3687,26/02/2007,145000,145000,145000.0,145000,45490,23600
3686,27/02/2007,150000,148000,148000.0,150000,80190,24400
3685,28/02/2007,146000,143000,146000.0,143000,60760,23300
3684,01/03/2007,143000,143000,143000.0,143000,25870,23300
3683,02/03/2007,145000,143000,145000.0,143000,48820,23300
3682,05/03/2007,145000,143000,143000.0,145000,44210,23600
3681,06/03/2007,146000,143000,146000.0,143000,42730,23300
3680,07/03/2007,145000,145000,145000.0,145000,18980,23600
3679,08/03/2007,145000,145000,145000.0,145000,27390,23600
3678,09/03/2007,144000,143000,144000.0,143000,11540,23300
3677,12/03/2007,144000,144000,144000.0,144000,33720,23500
3676,13/03/2007,150000,145000,145000.0,150000,62280,24400
3675,14/03/2007,152000,148000,152000.0,148000,42340,24100
3674,15/03/2007,145000,141000,145000.0,141000,5670,23000
3673,16/03/2007,148000,141000,141000.0,148000,12010,24100
3672,19/03/2007,148000,145000,148000.0,145000,21240,23600
3671,20/03/2007,145000,143000,145000.0,143000,30030,23300
3670,21/03/2007,140000,140000,140000.0,140000,9590,22800
3669,22/03/2007,138000,135000,138000.0,135000,18690,22000
3668,23/03/2007,135000,130000,135000.0,130000,18230,21200
3667,26/03/2007,125000,124000,125000.0,124000,18780,20200
3666,27/03/2007,118000,118000,118000.0,118000,22630,19200
3665,28/03/2007,120000,113000,113000.0,120000,49710,19600
3664,29/03/2007,126000,126000,126000.0,126000,23540,20500
3663,30/03/2007,132000,132000,132000.0,132000,37520,21500
3662,02/04/2007,132000,132000,132000.0,132000,21160,21500
3661,03/04/2007,129000,127000,129000.0,127000,10000,20700
3660,04/04/2007,127000,122000,122000.0,127000,5920,20700
3659,05/04/2007,128000,127000,127000.0,128000,15590,20900
3658,06/04/2007,127000,124000,124000.0,127000,10340,20700
3657,09/04/2007,127000,127000,127000.0,127000,6250,20700
3656,10/04/2007,132000,130000,130000.0,132000,19410,21500
3655,11/04/2007,132000,130000,132000.0,130000,15010,21200
3654,12/04/2007,130000,129000,130000.0,129000,19880,21000
3653,13/04/2007,128000,123000,123000.0,128000,13870,20900
3652,16/04/2007,127000,124000,127000.0,124000,20470,20200
3651,17/04/2007,107000,107000,107000.0,107000,27440,19300
3650,18/04/2007,112000,107000,107000.0,112000,4130,20200
3649,19/04/2007,117000,115000,117000.0,115000,13440,20700
3648,20/04/2007,115000,115000,115000.0,115000,8270,20700
3647,23/04/2007,110000,110000,110000.0,110000,13020,19800
3646,24/04/2007,107000,105000,107000.0,105000,1300,18900
3645,25/04/2007,102000,100000,100000.0,102000,24650,18400
3644,02/05/2007,106000,102000,106000.0,102000,4100,18400
3643,03/05/2007,102000,101000,102000.0,101000,9820,18200
3642,04/05/2007,100000,98000,98000.0,100000,10030,18000
3641,07/05/2007,105000,99000,99000.0,105000,19280,18900
3640,08/05/2007,110000,110000,110000.0,110000,32580,19800
3639,09/05/2007,112000,112000,112000.0,112000,32130,20200
3638,10/05/2007,110000,110000,110000.0,110000,1440,19800
3637,11/05/2007,108000,105000,105000.0,108000,13680,19500
3636,14/05/2007,110000,108000,110000.0,108000,7800,19500
3635,15/05/2007,108000,108000,108000.0,108000,28550,19500
3634,16/05/2007,105000,105000,105000.0,105000,13140,18900
3633,17/05/2007,108000,105000,105000.0,108000,7810,19500
3632,18/05/2007,108000,107000,108000.0,107000,17090,19300
3631,21/05/2007,108000,107000,107000.0,108000,12960,19500
3630,22/05/2007,112000,108000,108000.0,112000,29360,20200
3629,23/05/2007,117000,115000,117000.0,115000,39790,20700
3628,24/05/2007,115000,112000,115000.0,112000,14510,20200
3627,25/05/2007,110000,108000,108000.0,110000,5790,19800
3626,28/05/2007,110000,109000,110000.0,109000,8460,19700
3625,29/05/2007,109000,109000,109000.0,109000,21240,19700
3624,30/05/2007,109000,109000,109000.0,109000,6850,19700
3623,31/05/2007,109000,109000,109000.0,109000,15180,19700
3622,01/06/2007,109000,107000,109000.0,107000,13700,19300
3621,04/06/2007,105000,105000,105000.0,105000,22980,18900
3620,05/06/2007,105000,104000,105000.0,104000,11600,18800
3619,06/06/2007,105000,104000,105000.0,104000,24450,18800
3618,07/06/2007,107000,107000,107000.0,107000,11450,19300
3617,08/06/2007,107000,105000,107000.0,105000,17360,18900
3616,11/06/2007,105000,105000,105000.0,105000,5650,18900
3615,12/06/2007,110000,110000,110000.0,110000,66600,19800
3614,13/06/2007,111000,106000,111000.0,106000,50700,19100
3613,14/06/2007,111000,111000,111000.0,111000,31330,20000
3612,15/06/2007,116000,116000,116000.0,116000,102640,20900
3611,18/06/2007,121000,121000,121000.0,121000,43590,21800
3610,19/06/2007,127000,127000,127000.0,127000,59250,22900
3609,20/06/2007,133000,124000,133000.0,124000,166010,22400
3608,21/06/2007,124000,118000,124000.0,118000,52800,21300
3607,22/06/2007,123000,120000,120000.0,123000,66420,22200
3606,25/06/2007,123000,123000,123000.0,123000,61730,22200
3605,26/06/2007,127000,125000,125000.0,127000,82660,22900
3604,27/06/2007,126000,122000,126000.0,122000,57870,22000
3603,28/06/2007,122000,119000,122000.0,119000,54400,21500
3602,29/06/2007,124000,120000,120000.0,124000,54150,22400
3601,02/07/2007,130000,130000,130000.0,130000,309270,23500
3600,03/07/2007,130000,130000,130000.0,130000,147680,23500
3599,04/07/2007,135000,133000,133000.0,135000,170140,24400
3598,05/07/2007,135000,133000,135000.0,133000,91490,24000
3597,06/07/2007,138000,131000,131000.0,138000,105860,24900
3596,09/07/2007,144000,140000,140000.0,144000,112970,26000
3595,10/07/2007,151000,151000,151000.0,151000,67950,27200
3594,11/07/2007,158000,158000,158000.0,158000,81210,28500
3593,12/07/2007,151000,151000,151000.0,151000,70960,27200
3592,13/07/2007,154000,152000,154000.0,152000,66000,27400
3591,16/07/2007,148000,145000,148000.0,145000,27760,26200
3590,17/07/2007,147000,145000,145000.0,147000,33880,26500
3589,18/07/2007,149000,144000,149000.0,144000,27130,26000
3588,19/07/2007,144000,138000,144000.0,138000,51470,24900
3587,20/07/2007,138000,136000,138000.0,136000,44490,24500
3586,23/07/2007,142000,142000,142000.0,142000,25430,25600
3585,24/07/2007,149000,149000,149000.0,149000,80430,26900
3584,25/07/2007,149000,148000,149000.0,148000,76800,26700
3583,26/07/2007,148000,141000,148000.0,141000,42130,25400
3582,27/07/2007,141000,139000,141000.0,139000,12940,25100
3581,30/07/2007,138000,136000,136000.0,136000,11790,24500
3580,31/07/2007,138000,136000,137000.0,136000,50810,24500
3579,01/08/2007,142000,138000,138000.0,142000,10800,25600
3578,02/08/2007,142000,138000,142000.0,138000,18200,24900
3577,03/08/2007,138000,138000,138000.0,138000,17140,24900
3576,06/08/2007,138000,137000,137000.0,138000,15490,24900
3575,07/08/2007,144000,136000,138000.0,144000,46030,26000
3574,08/08/2007,149000,144000,149000.0,144000,42340,26000
3573,09/08/2007,147000,142000,144000.0,147000,22980,26500
3572,10/08/2007,148000,145000,148000.0,145000,32860,26200
3571,13/08/2007,145000,141000,141000.0,141000,18760,25400
3570,14/08/2007,148000,143000,145000.0,148000,79650,26700
3569,15/08/2007,148000,145000,148000.0,147000,17400,26500
3568,16/08/2007,147000,145000,145000.0,145000,15960,26200
3567,17/08/2007,144000,143000,144000.0,144000,10090,26000
3566,20/08/2007,150000,143000,144000.0,150000,40820,27100
3565,21/08/2007,150000,148000,150000.0,148000,6880,26700
