,Date,High,Low,Open,Close,Volume,Adj Close
0,28/11/2018,54000,52000,52000,54000,365510,41000
1,29/11/2018,57700,56000,57700,56000,96040,42500
2,30/11/2018,56200,54800,56200,54900,141060,41700
3,03/12/2018,54700,51200,54700,52500,233640,39800
4,04/12/2018,53100,52400,53000,52600,135900,39900
5,05/12/2018,52700,48950,52600,50300,266020,38200
6,06/12/2018,50300,49000,50300,50000,107370,37900
7,07/12/2018,51000,50000,51000,50300,44440,38200
8,10/12/2018,50500,48900,50300,50200,94800,38100
9,11/12/2018,48500,44000,48500,45100,47340,37200
10,12/12/2018,46000,42000,44200,42800,134820,35300
11,13/12/2018,43000,41500,42800,42000,182210,34600
12,14/12/2018,42000,39200,41150,39800,97990,32800
13,17/12/2018,41300,39000,39800,40200,29230,33200
14,18/12/2018,42500,39200,39200,42450,33710,35000
15,19/12/2018,42500,41950,42500,42000,18460,34600
16,20/12/2018,41900,40300,40900,41450,53070,34200
17,21/12/2018,42000,39250,41650,41850,30740,34500
18,24/12/2018,42500,40600,40600,41500,19500,34200
19,25/12/2018,41000,39600,41000,40000,36630,33000
20,26/12/2018,41000,40000,40000,41000,18260,33800
21,27/12/2018,41500,40300,41500,41000,30790,33800
22,28/12/2018,41450,40100,41000,41000,26780,33800
23,02/01/2019,41350,40900,41000,41000,19350,33800
24,03/01/2019,41300,40000,41100,41000,46390,33800
25,04/01/2019,41350,40300,40300,41000,30470,33800
26,07/01/2019,41000,40500,41000,40800,10200,33600
27,08/01/2019,41350,41000,41350,41000,22560,33800
28,09/01/2019,41000,40700,41000,40850,42850,33700
29,10/01/2019,41000,40800,41000,40800,14810,33600
30,11/01/2019,40800,40500,40800,40700,18390,33600
31,14/01/2019,43400,40800,40850,43000,98700,35500
32,15/01/2019,46000,42100,42100,45800,117520,37800
33,16/01/2019,47500,45500,46000,46000,36510,37900
34,17/01/2019,46000,44800,46000,44800,33940,36900
35,18/01/2019,44600,43100,44600,44300,18750,36500
36,21/01/2019,45300,44200,44500,45300,16110,37400
37,22/01/2019,45850,44000,44000,45500,118490,37500
38,23/01/2019,45800,45000,45800,45450,48220,37500
39,24/01/2019,45500,44400,45450,45000,31970,37100
40,25/01/2019,45050,44700,45050,45000,38220,37100
41,28/01/2019,46950,44800,44800,46900,92430,38700
42,29/01/2019,49300,46100,46300,48100,75160,39700
43,30/01/2019,49000,47900,48000,48000,52900,39600
44,31/01/2019,48100,47500,48000,48000,26410,39600
45,01/02/2019,49500,48100,48100,48750,24390,40200
46,11/02/2019,49900,48200,49000,49500,20300,40800
47,12/02/2019,50600,49500,49500,50100,87140,41300
48,13/02/2019,52000,50100,50200,51600,47830,42600
49,14/02/2019,52300,51000,51400,51200,35200,42200
50,15/02/2019,51500,50800,51200,50800,74280,41900
