Date,High,Low,Open,Close,Volume,Adj Close
05/11/2009,38500,29000,36000.0,35600,152500,2700
06/11/2009,38000,35500,38000.0,37200,61700,2800
09/11/2009,39800,35100,39800.0,36500,43200,2800
10/11/2009,38500,34000,38500.0,36300,43700,2900
11/11/2009,36300,33800,36300.0,34200,30100,2600
12/11/2009,34200,31900,31900.0,32000,11200,2500
13/11/2009,32000,29800,29800.0,30200,57900,2500
16/11/2009,32300,31900,31900.0,32300,20100,2500
17/11/2009,34500,33000,33000.0,33900,21500,2600
18/11/2009,34200,31600,34200.0,32100,12000,2500
19/11/2009,31100,29900,30100.0,30100,27400,2300
20/11/2009,31000,28300,31000.0,29300,11600,2200
23/11/2009,31300,28600,31300.0,29100,2800,2200
24/11/2009,30000,28500,28500.0,29400,12000,2300
25/11/2009,31000,27400,30000.0,28300,24800,2100
26/11/2009,27000,26400,27000.0,26500,18400,2000
27/11/2009,27000,24700,24700.0,25600,19100,1900
30/11/2009,27300,25700,27000.0,27100,10700,2100
01/12/2009,28900,27500,27500.0,28700,26400,2200
02/12/2009,30000,28000,29000.0,29200,426200,2200
03/12/2009,27200,27200,27200.0,27200,9500,2100
04/12/2009,28500,27000,28500.0,27800,2100,2100
07/12/2009,28000,27800,28000.0,27900,3200,2200
08/12/2009,28500,26100,28500.0,26700,6400,2100
09/12/2009,25500,24900,25500.0,25000,24600,1900
10/12/2009,24800,23500,24800.0,23900,11400,1900
11/12/2009,23200,22300,23000.0,22700,25400,1700
14/12/2009,23800,23000,23800.0,23400,20900,1800
15/12/2009,23500,23300,23400.0,23500,6500,1800
16/12/2009,24100,23500,23500.0,23600,22000,1900
17/12/2009,23500,22600,23000.0,23000,7000,1800
18/12/2009,24600,24500,24500.0,24500,10800,1900
21/12/2009,26200,24500,24500.0,25900,6000,2000
22/12/2009,26200,26000,26200.0,26100,20200,2000
23/12/2009,26900,24900,24900.0,26000,4200,2000
24/12/2009,26600,26100,26100.0,26400,16900,2100
25/12/2009,27000,26400,26400.0,26800,12000,2100
28/12/2009,27300,27000,27000.0,27300,10500,2100
29/12/2009,27300,26800,27300.0,27200,20500,2100
30/12/2009,28800,27300,27300.0,27600,12900,2200
31/12/2009,28200,28000,28000.0,28000,10300,2200
04/01/2010,29900,28500,28500.0,29800,16300,2300
05/01/2010,31800,31700,31800.0,31800,16400,2500
06/01/2010,32000,31000,31000.0,31800,24500,2500
07/01/2010,31800,31500,31800.0,31600,19200,2400
08/01/2010,31700,29500,31700.0,31400,9300,2300
11/01/2010,31100,30100,31000.0,30900,15500,2400
12/01/2010,32000,30800,32000.0,31000,8000,2400
13/01/2010,30500,29500,30000.0,30200,15700,2400
14/01/2010,31000,30200,30500.0,30500,18200,2400
15/01/2010,30500,30000,30500.0,30400,3500,2400
18/01/2010,30000,28800,30000.0,29100,2500,2200
19/01/2010,29100,29100,29100.0,29100,6000,2300
20/01/2010,29000,29000,29000.0,29000,2600,2200
21/01/2010,29500,29000,29000.0,29000,2600,2300
22/01/2010,29500,28500,28500.0,29000,1900,2300
25/01/2010,29000,29000,29000.0,29000,-,2200
26/01/2010,29500,29000,29000.0,29200,1600,2300
27/01/2010,29200,29200,29200.0,29200,-,2300
28/01/2010,29200,29200,29200.0,29200,-,2300
29/01/2010,29000,28800,29000.0,29000,3900,2200
01/02/2010,29000,29000,29000.0,29000,5000,2200
02/02/2010,29000,29000,29000.0,29000,3500,2200
03/02/2010,29000,28800,29000.0,29000,5500,2200
04/02/2010,29000,28900,29000.0,29000,3000,2200
05/02/2010,29700,29600,29700.0,29600,800,2300
08/02/2010,28900,28900,28900.0,28900,300,2200
09/02/2010,28800,28500,28800.0,28600,600,2200
10/02/2010,27100,27100,27100.0,27100,-,2200
11/02/2010,27900,27900,27900.0,27900,100,2300
12/02/2010,29500,29500,29500.0,29500,100,2400
22/02/2010,30500,30000,30000.0,30200,1000,2500
23/02/2010,30000,28500,29000.0,28800,800,2500
24/02/2010,30000,30000,30000.0,30000,100,2500
25/02/2010,30000,30000,30000.0,30000,-,2500
26/02/2010,28000,28000,28000.0,28000,1100,2300
01/03/2010,29800,29800,29800.0,29800,1300,2400
02/03/2010,29500,27900,29500.0,28300,2700,2300
03/03/2010,29500,29500,29500.0,29500,500,2400
04/03/2010,29000,29000,29000.0,29000,200,2400
05/03/2010,29000,29000,29000.0,29000,-,2400
08/03/2010,30000,29000,29400.0,29600,2100,2400
09/03/2010,28500,28500,28500.0,28500,500,2300
10/03/2010,29400,28500,29000.0,28900,2900,2300
11/03/2010,29000,28000,28000.0,28500,32500,2400
12/03/2010,30000,28000,29000.0,28800,8900,2300
15/03/2010,29000,28000,29000.0,28400,11500,2300
16/03/2010,30300,28500,29500.0,29500,21000,2400
17/03/2010,31500,29500,30000.0,30600,8700,2400
18/03/2010,30600,29000,30000.0,29300,20200,2400
19/03/2010,30000,28500,30000.0,28800,10100,2400
22/03/2010,30800,29000,29500.0,30400,245500,2500
23/03/2010,32500,32500,32500.0,32500,68100,2700
24/03/2010,34700,34700,34700.0,34700,41000,2800
25/03/2010,37100,34000,37100.0,36000,177500,2800
26/03/2010,34800,33500,34100.0,33700,88900,2800
29/03/2010,36000,33000,35000.0,35700,118700,2900
30/03/2010,38000,33500,37500.0,35900,73300,2900
31/03/2010,36000,33500,34000.0,34200,94400,2700
01/04/2010,36000,31900,34000.0,34200,55500,2900
02/04/2010,35000,34000,35000.0,34300,55800,2800
05/04/2010,35000,33000,33000.0,34200,25600,2800
06/04/2010,35000,33300,34500.0,34300,69300,2800
07/04/2010,36700,34800,34800.0,36200,82200,3000
08/04/2010,38700,38600,38700.0,38700,119200,3200
09/04/2010,41400,38300,41400.0,40400,33900,3200
12/04/2010,39500,37600,39500.0,37900,42100,3100
13/04/2010,38000,35600,38000.0,36300,40200,2900
14/04/2010,38000,36000,38000.0,37400,111800,3000
15/04/2010,40000,38000,40000.0,39900,139600,3300
16/04/2010,42600,41500,42500.0,42600,331600,3500
19/04/2010,43500,39800,43500.0,40400,200700,3400
20/04/2010,43200,43000,43200.0,43200,93500,3500
21/04/2010,46200,46000,46200.0,46200,73000,3800
22/04/2010,49400,43000,49400.0,48800,301900,3800
26/04/2010,46000,45400,46000.0,45500,75400,3700
27/04/2010,44000,42400,42600.0,42700,228300,3600
