Date,High,Low,Open,Close,Volume,Adj Close
25/12/2006,35000,35000,35000.0,35000,10,4100
26/12/2006,36500,35000,35000.0,36500,24990,4300
27/12/2006,38300,38000,38000.0,38300,4500,4500
28/12/2006,40200,40200,40200.0,40200,35570,4700
29/12/2006,42200,42200,42200.0,42200,63700,4900
02/01/2007,44300,44300,44300.0,44300,70600,5200
03/01/2007,46500,46500,46500.0,46500,113900,5400
04/01/2007,48800,48800,48800.0,48800,93240,5700
05/01/2007,51000,49000,51000.0,49000,65890,5700
08/01/2007,49000,48500,49000.0,48500,30550,5700
09/01/2007,48000,47000,47000.0,48000,52470,5600
10/01/2007,49500,48000,49500.0,48000,121490,5600
11/01/2007,48000,48000,48000.0,48000,63220,5600
12/01/2007,48000,46000,48000.0,46000,54420,5400
15/01/2007,48000,47000,48000.0,47000,43150,5500
16/01/2007,47900,47000,47000.0,47900,59540,5600
17/01/2007,46000,45700,46000.0,45700,51230,5300
18/01/2007,45700,45000,45700.0,45000,21150,5200
19/01/2007,46000,43000,46000.0,43000,42730,5000
22/01/2007,44900,41500,41500.0,44900,49110,5200
23/01/2007,47100,46000,46000.0,47100,50370,5500
24/01/2007,49400,49400,49400.0,49400,144920,5800
25/01/2007,51500,49500,51500.0,49500,249000,5800
26/01/2007,47200,47100,47200.0,47100,26020,5500
29/01/2007,49400,49000,49000.0,49400,102020,5800
30/01/2007,51500,51500,51500.0,51500,188440,6000
31/01/2007,54000,54000,54000.0,54000,236870,6300
01/02/2007,56500,56500,56500.0,56500,175390,6600
02/02/2007,58000,58000,58000.0,58000,78040,6800
05/02/2007,56000,55500,56000.0,55500,101890,6500
06/02/2007,53500,53000,53000.0,53500,113470,6200
07/02/2007,56000,54000,54000.0,56000,95610,6500
08/02/2007,56000,53500,56000.0,53500,75720,6200
09/02/2007,53500,51000,51000.0,53500,45080,6200
12/02/2007,53500,53000,53500.0,53000,27000,6200
13/02/2007,54500,54500,54500.0,54500,47290,6300
14/02/2007,56000,56000,56000.0,56000,54210,6500
15/02/2007,56000,55500,56000.0,55500,26500,6500
26/02/2007,58000,58000,58000.0,58000,80610,6800
27/02/2007,60500,60500,60500.0,60500,57430,7000
28/02/2007,63500,63500,63500.0,63500,99610,7400
01/03/2007,66500,66500,66500.0,66500,115280,7700
02/03/2007,69500,69500,69500.0,69500,4920650,8100
05/03/2007,72500,72000,72000.0,72500,21640,8400
06/03/2007,76000,76000,76000.0,76000,148190,8900
07/03/2007,79000,72500,79000.0,72500,135220,8400
08/03/2007,71500,69500,69500.0,71500,113870,8300
09/03/2007,73500,73000,73000.0,73500,153260,8600
12/03/2007,72500,72000,72000.0,72500,82420,8400
13/03/2007,70500,70000,70500.0,70000,57960,8200
14/03/2007,70000,66500,70000.0,66500,50180,7700
15/03/2007,63500,63500,63500.0,63500,35450,7400
16/03/2007,66500,63500,63500.0,66500,78040,7700
19/03/2007,69500,69500,69500.0,69500,62900,8100
20/03/2007,69500,68000,69500.0,68000,55840,7900
21/03/2007,65000,65000,65000.0,65000,51210,7600
22/03/2007,62000,62000,62000.0,62000,44370,7200
23/03/2007,65000,62000,62000.0,65000,34810,7600
26/03/2007,62000,62000,62000.0,62000,39230,7200
27/03/2007,59000,59000,59000.0,59000,55080,6900
28/03/2007,59000,56500,56500.0,59000,63420,6900
29/03/2007,61500,61500,61500.0,61500,27660,7200
30/03/2007,64500,60000,64500.0,60000,78430,7000
02/04/2007,59000,57500,59000.0,57500,57610,6700
03/04/2007,57000,57000,57000.0,57000,16790,6600
04/04/2007,58500,56000,56000.0,58500,46360,6800
05/04/2007,58500,57500,58500.0,57500,22080,6700
06/04/2007,55500,55000,55000.0,55500,35370,6500
09/04/2007,55000,54000,54000.0,55000,24610,6400
10/04/2007,55000,55000,55000.0,55000,24170,6400
11/04/2007,55000,54000,55000.0,54000,33940,6300
12/04/2007,52000,51500,52000.0,51500,53000,6000
13/04/2007,49000,49000,49000.0,49000,63800,5700
16/04/2007,50000,49000,50000.0,49000,78920,5700
17/04/2007,50000,49000,49000.0,50000,57430,5800
18/04/2007,52500,51000,51000.0,52500,64450,6100
19/04/2007,53500,52500,53500.0,52500,73890,6100
20/04/2007,50000,50000,50000.0,50000,29650,5800
23/04/2007,48000,48000,48000.0,48000,45540,5600
24/04/2007,50000,48000,48000.0,50000,37350,5800
25/04/2007,52500,50000,50000.0,52500,74420,6100
02/05/2007,52500,51000,52500.0,51000,20500,5900
03/05/2007,51000,51000,51000.0,51000,28580,5900
04/05/2007,50000,50000,50000.0,50000,8250,5800
07/05/2007,52000,52000,52000.0,52000,71280,6100
08/05/2007,53000,53000,53000.0,53000,42090,6200
09/05/2007,53000,52000,53000.0,52000,32090,6100
10/05/2007,51000,50000,51000.0,50000,17580,5800
11/05/2007,52500,52500,52500.0,52500,16100,6100
14/05/2007,54500,54000,54000.0,54500,57200,6300
15/05/2007,56500,55500,56500.0,55500,93830,6500
16/05/2007,55500,55000,55500.0,55000,42150,6400
17/05/2007,55500,55000,55000.0,55500,56460,6500
18/05/2007,57500,57000,57000.0,57500,87900,6700
21/05/2007,59000,58000,58000.0,59000,41970,6900
22/05/2007,61500,60000,60000.0,61500,90920,7200
23/05/2007,64500,64500,64500.0,64500,117910,7500
24/05/2007,61500,61500,61500.0,61500,55680,7200
25/05/2007,64500,60000,60000.0,64500,104030,7500
28/05/2007,67000,65500,67000.0,65500,215070,7600
29/05/2007,66000,66000,66000.0,66000,199310,7700
30/05/2007,65000,65000,65000.0,65000,111310,7600
31/05/2007,65000,64500,65000.0,64500,98570,7500
01/06/2007,65500,64000,65500.0,64000,102360,7500
04/06/2007,62500,62000,62500.0,62000,73700,7200
05/06/2007,61000,60500,61000.0,60500,53480,7000
06/06/2007,61000,60000,60000.0,61000,75990,7100
07/06/2007,62500,59500,62500.0,59500,75700,6900
08/06/2007,62000,60000,60000.0,62000,130420,7200
11/06/2007,63000,62000,62000.0,63000,138220,7300
12/06/2007,50500,47500,50500.0,47500,51860,7200
13/06/2007,48000,47500,47500.0,48000,38110,7300
14/06/2007,49000,48500,49000.0,48500,40520,7400
15/06/2007,49000,48500,49000.0,48500,39740,7400
18/06/2007,48500,48500,48500.0,48500,32650,7400
19/06/2007,48500,48500,48500.0,48500,53850,7400
20/06/2007,48500,48000,48500.0,48000,32460,7300
21/06/2007,47000,46600,47000.0,46600,31990,7100
22/06/2007,47500,47500,47500.0,47500,30290,7200
25/06/2007,47500,47000,47500.0,47000,25800,7100
26/06/2007,46300,46000,46000.0,46300,11650,7000
27/06/2007,45500,45000,45500.0,45000,24900,6800
28/06/2007,45000,44000,45000.0,44000,9930,6700
29/06/2007,44000,43000,44000.0,43000,15330,6500
02/07/2007,42500,41000,42500.0,41000,16210,6200
03/07/2007,41000,40000,40000.0,41000,33540,6200
04/07/2007,43000,41000,41000.0,43000,10440,6500
05/07/2007,44000,44000,44000.0,44000,43390,6700
06/07/2007,45000,45000,45000.0,45000,54350,6800
09/07/2007,45000,45000,45000.0,45000,40660,6800
10/07/2007,45000,45000,45000.0,45000,39750,6800
11/07/2007,47200,46000,46000.0,47200,51330,7200
12/07/2007,48000,47200,48000.0,47200,74270,7200
13/07/2007,47400,47200,47200.0,47400,56550,7200
16/07/2007,48000,47400,47400.0,48000,86730,7300
17/07/2007,48000,47000,48000.0,47000,46210,7100
18/07/2007,46100,45000,46100.0,45000,26470,6800
19/07/2007,44300,44000,44300.0,44000,30780,6700
20/07/2007,45500,43900,43900.0,45500,16800,6900
23/07/2007,47000,44500,47000.0,44500,18510,6800
24/07/2007,45000,44500,45000.0,44500,22280,6800
25/07/2007,44800,44000,44000.0,44800,35720,6800
26/07/2007,44800,43600,44800.0,43600,17080,6600
27/07/2007,43200,43000,43000.0,43200,19790,6600
30/07/2007,43000,41700,43000.0,41700,15680,6300
31/07/2007,40600,39700,40500.0,39700,53030,6000
01/08/2007,41600,40800,40800.0,41600,24350,6300
02/08/2007,42500,41500,42500.0,41500,36870,6300
03/08/2007,41000,40500,41000.0,41000,17430,6200
06/08/2007,40600,40000,40000.0,40000,13760,6100
07/08/2007,41000,40000,40000.0,41000,29830,6200
08/08/2007,40600,40000,40100.0,40000,22850,6100
09/08/2007,41200,40500,41000.0,41000,39390,6200
10/08/2007,41100,40000,41000.0,40800,21150,6200
13/08/2007,40000,39500,40000.0,39500,22800,6000
14/08/2007,40500,40000,40000.0,40100,33960,6100
15/08/2007,40000,39700,40000.0,40000,20710,6100
16/08/2007,40000,39200,39200.0,39400,11370,6000
17/08/2007,39500,39200,39400.0,39200,7810,6000
20/08/2007,41000,39000,39200.0,41000,33500,6200
21/08/2007,41000,40500,41000.0,40500,29930,6200
