,Date,High,Low,Open,Close,Volume,Adj Close
1116,15/06/2017,49900,49000,49900.0,49900,144330,40200
1115,16/06/2017,53300,50000,52900.0,53300,98120,42900
1114,19/06/2017,54000,53300,54000.0,53400,66750,43000
1113,20/06/2017,53400,53000,53300.0,53300,77430,42900
1112,21/06/2017,53200,50000,50000.0,51800,37260,41700
1111,22/06/2017,51000,50000,50500.0,50200,8850,40400
1110,23/06/2017,49500,46700,49500.0,46700,34380,37600
1109,26/06/2017,48000,45000,48000.0,46200,14080,37200
1108,27/06/2017,47800,44700,47500.0,47800,12220,38500
1107,28/06/2017,47700,44600,45500.0,46000,17080,37100
1106,29/06/2017,49200,45000,49200.0,48200,140,38800
1105,30/06/2017,51000,44850,45000.0,49500,1340,39900
1104,03/07/2017,51900,46050,51900.0,47500,1140,38300
1103,04/07/2017,45200,44200,45000.0,44200,23210,35600
1102,05/07/2017,45000,41150,44100.0,41150,6850,33200
1101,06/07/2017,43000,39100,40000.0,40800,16430,32900
1100,07/07/2017,43650,41100,42900.0,43600,12500,35100
1099,10/07/2017,44900,43000,44900.0,44400,2530,35800
1098,11/07/2017,45900,41500,45900.0,42900,35550,34600
1097,12/07/2017,44900,42400,44900.0,44800,210,36100
1096,13/07/2017,44800,42000,44800.0,44700,10030,36000
1095,14/07/2017,44500,42000,43000.0,44500,4470,35800
1094,17/07/2017,43500,41400,43500.0,41400,13070,33400
1093,18/07/2017,42000,41000,42000.0,42000,5670,33800
1092,19/07/2017,44000,41300,41300.0,44000,470,35400
1091,20/07/2017,41000,40950,41000.0,40950,11780,33000
1090,21/07/2017,41000,41000,41000.0,41000,200,33000
1089,24/07/2017,43500,41000,43500.0,41000,20010,33000
1088,25/07/2017,42000,41000,42000.0,41000,2600,33000
1087,26/07/2017,41000,40100,41000.0,41000,920,33000
1086,27/07/2017,41000,40500,41000.0,41000,2160,33000
1085,28/07/2017,41000,40600,41000.0,40600,300710,32700
1084,31/07/2017,41000,39400,39400.0,40800,230,32900
1083,01/08/2017,41500,39000,41500.0,39000,4770,31400
1082,02/08/2017,41000,41000,41000.0,41000,10,33000
1081,03/08/2017,39000,39000,39000.0,39000,10,31400
1080,04/08/2017,40000,39400,40000.0,39400,550,31700
1079,07/08/2017,40400,40400,40400.0,40400,10,32500
1078,08/08/2017,40500,39000,39000.0,40500,1570,32600
1077,09/08/2017,40500,39900,40500.0,39900,1980,32100
1076,10/08/2017,39900,39900,39900.0,39900,21380,32100
1075,11/08/2017,39900,38800,39400.0,39900,8280,32100
1074,14/08/2017,40000,40000,40000.0,40000,10,32200
1073,15/08/2017,39000,38800,38800.0,38800,1500,31300
1072,16/08/2017,41500,40000,41500.0,40000,11010,32200
1071,17/08/2017,42500,39000,42500.0,40500,1660,32600
1070,18/08/2017,41000,40500,41000.0,40500,20,32600
1069,21/08/2017,40000,38800,38800.0,40000,1110,32200
1068,22/08/2017,42500,38800,42500.0,39000,640,31400
1067,23/08/2017,41700,38700,38700.0,41700,110,33600
1066,24/08/2017,41700,38800,41700.0,38800,2770,31300
1065,25/08/2017,39000,36500,39000.0,39000,7110,31400
1064,28/08/2017,41700,40000,41700.0,40000,530,32200
1063,29/08/2017,42000,39000,42000.0,39000,20,31400
1062,30/08/2017,39800,38600,39000.0,39800,1640,32100
1061,31/08/2017,40900,38600,38600.0,40900,72040,32900
1060,01/09/2017,40000,40000,40000.0,40000,10,32200
1059,05/09/2017,40000,40000,,40000,-,32200
1058,06/09/2017,40000,40000,,40000,-,32200
