Date,High,Low,Open,Close,Volume,Adj Close
30/05/2019,36000,36000,36000,36000,30,17400
31/05/2019,38500,38500,38500,38500,30,18600
03/06/2019,41150,41150,41150,41150,30,19900
04/06/2019,41150,41150,41150,41150,-,19900
05/06/2019,44000,44000,44000,44000,30,21200
06/06/2019,47050,47050,47050,47050,30,22700
07/06/2019,48000,48000,48000,48000,3000,23200
10/06/2019,51300,51300,51300,51300,40,24800
11/06/2019,54800,53000,54800,53000,470,25600
12/06/2019,56700,56700,56700,56700,380,27400
13/06/2019,60600,60600,60600,60600,430,29200
14/06/2019,64800,58000,64800,58000,1000,28000
17/06/2019,56000,54000,56000,54000,440,26100
18/06/2019,54500,50300,50300,54500,590,26300
19/06/2019,54500,50700,54500,54500,1030,26300
20/06/2019,50700,50700,50700,50700,1340,24500
21/06/2019,54200,47200,50700,54200,1120,26200
24/06/2019,55000,54000,54000,55000,1320,26500
25/06/2019,55000,54900,55000,55000,2030,26500
26/06/2019,56000,55500,55500,56000,330,27000
27/06/2019,56000,53500,56000,55500,570,26800
28/06/2019,55500,55400,55400,55500,680,26800
01/07/2019,59300,51700,52000,55000,1630,26500
02/07/2019,54000,51200,54000,54000,1410,26100
03/07/2019,53500,53500,53500,53500,1530,25800
04/07/2019,53000,50000,53000,50000,1310,24100
05/07/2019,53500,46500,53500,53000,810,25600
08/07/2019,55800,50100,52000,55800,1600,26900
09/07/2019,55800,53200,53200,55800,1100,26900
10/07/2019,56000,52800,55000,52800,920,25500
11/07/2019,54800,54000,54800,54800,1360,26400
12/07/2019,55100,55100,55100,55100,680,26600
15/07/2019,55100,52100,55100,55100,1930,26600
16/07/2019,55500,55100,55100,55500,1680,26800
17/07/2019,56000,55500,55500,56000,1010,27000
18/07/2019,55500,52100,55500,55500,1250,26800
19/07/2019,56000,55500,55500,56000,670,27000
22/07/2019,56500,56000,56000,56500,2000,27300
23/07/2019,56500,52700,52700,56500,1500,27300
24/07/2019,56500,52600,52600,56000,1130,27000
25/07/2019,57000,57000,57000,57000,750,27500
26/07/2019,57000,57000,57000,57000,1010,27500
29/07/2019,57100,57100,57100,57100,1280,27600
30/07/2019,58000,53400,53400,58000,1200,28000
31/07/2019,56500,54000,54000,56500,1350,27300
01/08/2019,56500,56500,56500,56500,1090,27300
02/08/2019,55500,54000,55000,55500,1730,26800
05/08/2019,57500,55900,55900,56000,3410,27000
06/08/2019,56000,56000,56000,56000,2330,27000
07/08/2019,58000,52100,56000,56000,1960,27000
08/08/2019,57000,55000,56000,57000,2220,27500
09/08/2019,57500,54500,57300,57500,4250,27700
12/08/2019,60000,53600,60000,57000,1220,27500
13/08/2019,56000,53400,53400,56000,2380,27000
14/08/2019,57000,56000,57000,56000,1150,27000
15/08/2019,59000,52300,52300,56000,2040,27000
16/08/2019,56500,52200,56000,56500,1320,27300
19/08/2019,56500,53000,53000,55000,2010,26500
20/08/2019,57500,55500,57500,55500,990,26800
21/08/2019,55500,54000,55500,54000,2300,26100
22/08/2019,57000,53100,53100,56500,2170,27300
23/08/2019,59000,56500,57000,56500,1500,27300
26/08/2019,56500,53000,53000,56500,2610,27300
27/08/2019,56500,56000,56000,56400,2830,27200
28/08/2019,56200,56200,56200,56200,2310,27100
29/08/2019,55300,55000,55000,55000,2010,26500
30/08/2019,54800,51600,51600,54500,1290,26300
03/09/2019,54000,51500,51500,54000,2100,26100
04/09/2019,54000,54000,51500,54000,2220,26100
05/09/2019,54000,53000,53500,53900,2260,26000
06/09/2019,53500,51000,53400,53500,2560,25800
09/09/2019,56000,56000,56000,56000,2200,27000
10/09/2019,56000,56000,56000,56000,1760,27000
11/09/2019,56500,55500,55500,55800,2280,26900
12/09/2019,58000,55500,55500,58000,2050,28000
13/09/2019,61000,58000,58000,61000,2060,29400
16/09/2019,60000,60000,60000,60000,1450,28900
17/09/2019,59100,59100,59100,59100,2580,28500
18/09/2019,59000,58900,59000,59000,2180,28500
19/09/2019,59000,55000,59000,59000,2040,28500
20/09/2019,63000,60000,63000,60000,2300,28900
23/09/2019,61000,61000,61000,61000,2310,29400
24/09/2019,60900,58300,60000,60900,1910,29400
25/09/2019,60900,60900,60900,60900,-,29400
26/09/2019,59900,55600,55600,56000,1550,27600
27/09/2019,59900,59900,59900,59900,1100,29500
30/09/2019,62900,62000,62000,62900,2590,31000
01/10/2019,63000,63000,63000,63000,1680,31000
02/10/2019,67400,67200,67400,67200,1040,33100
03/10/2019,66800,66800,66800,66800,1290,32900
04/10/2019,66800,66800,66800,66800,1600,32900
07/10/2019,65000,65000,65000,65000,1500,32000
08/10/2019,65000,65000,65000,65000,-,32000
09/10/2019,64500,63000,64500,64500,1600,31700
10/10/2019,62900,62900,62900,62900,1400,31000
11/10/2019,62900,62900,62900,62900,-,31000
14/10/2019,62800,62800,62800,62800,1050,30900
15/10/2019,62800,62800,62800,62800,-,30900
16/10/2019,66000,66000,66000,66000,2020,32500
17/10/2019,66000,66000,66000,66000,1670,32500
18/10/2019,66000,66000,66000,66000,-,32500
21/10/2019,65000,65000,65000,65000,1680,32000
22/10/2019,64000,60500,60500,64000,1650,31500
23/10/2019,64000,64000,64000,64000,-,31500
24/10/2019,63000,63000,63000,63000,1100,31000
25/10/2019,63000,63000,63000,63000,500,31000
28/10/2019,63000,63000,63000,63000,-,31000
29/10/2019,61900,60000,60000,61900,1000,30500
30/10/2019,63000,60000,60000,63000,1390,31000
31/10/2019,62000,62000,62000,62000,1500,30500
01/11/2019,62000,62000,62000,62000,-,30500
04/11/2019,64500,64500,64500,64500,2390,31700
05/11/2019,65500,65500,65500,65500,1600,32200
06/11/2019,66000,66000,66000,66000,1590,32500
07/11/2019,65500,65500,65500,65500,1560,32200
08/11/2019,63000,63000,63000,63000,1630,31000
11/11/2019,63600,63000,63000,63600,1630,31300
12/11/2019,64000,64000,64000,64000,900,31500
