,Date,High,Low,Open,Close,Volume,Adj Close
0,12/10/2020,10000.0,9900.0,9900.0,9900,7300,9200
1,13/10/2020,9800.0,9600.0,9800.0,9600,5900,8900
2,14/10/2020,9700.0,9700.0,9700.0,9700,3700,9000
3,15/10/2020,10100.0,9800.0,9800.0,10100,4100,9400
4,16/10/2020,9900.0,9900.0,9900.0,9900,-,9200
5,19/10/2020,9900.0,9900.0,9900.0,9900,20200,9200
6,20/10/2020,9900.0,9900.0,9900.0,9900,13230,9200
7,21/10/2020,9900.0,9900.0,9900.0,9900,23700,9200
8,22/10/2020,10000.0,9900.0,9900.0,9900,35200,9200
9,23/10/2020,10000.0,9900.0,9900.0,10000,417,9300
10,26/10/2020,10000.0,10000.0,10000.0,10000,12,9300
11,27/10/2020,9900.0,9400.0,9900.0,9700,15700,9000
12,28/10/2020,9700.0,9700.0,9700.0,9700,6000,9000
13,29/10/2020,9700.0,9700.0,9700.0,9700,1100,9000
14,30/10/2020,9800.0,9800.0,9800.0,9800,7800,9100
15,02/11/2020,9800.0,9800.0,9800.0,9800,-,9100
16,03/11/2020,10000.0,9900.0,9900.0,10000,2000,9300
17,04/11/2020,10000.0,10000.0,10000.0,10000,11635,9300
18,05/11/2020,9900.0,9900.0,9900.0,9900,500,9200
19,06/11/2020,9900.0,9900.0,9900.0,9900,1000,9200
20,09/11/2020,9900.0,9900.0,9900.0,9900,-,9200
21,10/11/2020,9900.0,9900.0,9900.0,9900,1500,9200
22,11/11/2020,9800.0,9800.0,9800.0,9800,7300,9100
23,12/11/2020,9800.0,9700.0,9700.0,9800,3860,9100
24,13/11/2020,10000.0,9700.0,9700.0,9900,15500,9200
25,16/11/2020,10100.0,10000.0,10000.0,10000,17405,9300
26,17/11/2020,10200.0,9900.0,10100.0,10200,22627,9500
27,18/11/2020,10900.0,10200.0,10200.0,10500,19500,9800
28,19/11/2020,10800.0,10600.0,10800.0,10600,2402,9900
29,20/11/2020,10500.0,10400.0,10500.0,10400,2600,9700
30,23/11/2020,10400.0,10200.0,10400.0,10200,6310,9500
31,24/11/2020,10200.0,10200.0,10200.0,10200,7300,9500
32,25/11/2020,10100.0,10100.0,10100.0,10100,600,9400
33,26/11/2020,10100.0,10100.0,10100.0,10100,800,9400
34,27/11/2020,10100.0,10000.0,10000.0,10100,3200,9400
35,30/11/2020,10300.0,10000.0,10000.0,10000,5800,9300
36,01/12/2020,10200.0,10000.0,10000.0,10200,13410,9500
37,02/12/2020,10100.0,10000.0,10100.0,10100,16200,9400
38,03/12/2020,10300.0,10100.0,10100.0,10300,1700,9600
39,04/12/2020,10400.0,10300.0,10300.0,10400,300,9700
40,07/12/2020,10500.0,10400.0,10400.0,10500,3000,9800
41,08/12/2020,10600.0,10500.0,10600.0,10600,2400,9900
42,09/12/2020,10600.0,10600.0,10600.0,10600,2000,9900
43,10/12/2020,10600.0,10500.0,10600.0,10500,4200,9800
44,11/12/2020,10600.0,10500.0,10600.0,10500,2100,9800
45,14/12/2020,11100.0,10700.0,10700.0,11000,35904,10300
46,15/12/2020,11000.0,10600.0,11000.0,10600,1530,9900
47,16/12/2020,10800.0,10800.0,10800.0,10800,6100,10100
48,17/12/2020,11100.0,10900.0,10900.0,11000,25125,10300
49,18/12/2020,11100.0,11000.0,11000.0,11000,10100,10300
50,21/12/2020,10900.0,10700.0,10900.0,10900,11500,10200
51,22/12/2020,11000.0,10900.0,11000.0,11000,10625,10300
52,23/12/2020,11000.0,10900.0,11000.0,10900,9400,10200
53,24/12/2020,10800.0,10700.0,10800.0,10700,2930,10000
54,25/12/2020,10900.0,10700.0,10700.0,10900,1729,10200
55,28/12/2020,10900.0,10800.0,10800.0,10900,1600,10200
56,29/12/2020,10900.0,10800.0,10800.0,10900,13700,10200
57,30/12/2020,10900.0,10900.0,10900.0,10900,4001,10200
58,31/12/2020,10900.0,10900.0,10900.0,10900,800,10200
59,04/01/2021,10900.0,10900.0,10900.0,10900,6200,10200
60,05/01/2021,11000.0,10800.0,10800.0,11000,12600,10300
61,06/01/2021,12400.0,10900.0,10900.0,12200,188700,11400
62,07/01/2021,13000.0,12200.0,12600.0,12500,98000,11600
63,08/01/2021,13000.0,12300.0,12800.0,12800,97300,11900
64,11/01/2021,12800.0,12200.0,12800.0,12400,186600,11600
65,12/01/2021,13200.0,12500.0,12500.0,13000,141600,12100
66,13/01/2021,14100.0,13300.0,13300.0,14100,124200,13100
67,14/01/2021,14500.0,14100.0,14200.0,14400,116039,13400
68,15/01/2021,14400.0,13600.0,14400.0,14000,123107,13000
69,18/01/2021,14400.0,13900.0,14100.0,14000,48600,13000
70,19/01/2021,14000.0,12500.0,14000.0,13300,101700,12400
71,20/01/2021,13500.0,12100.0,13200.0,13000,74500,12100
72,21/01/2021,14600.0,13300.0,13500.0,14000,111470,13000
73,22/01/2021,14400.0,13900.0,14300.0,13900,51600,13000
74,25/01/2021,14000.0,13700.0,13900.0,13700,51900,12800
75,26/01/2021,14000.0,13000.0,14000.0,13400,121700,12500
76,27/01/2021,13400.0,12600.0,13400.0,12800,68300,11900
77,28/01/2021,12900.0,11200.0,12600.0,11400,77200,10600
78,29/01/2021,13000.0,11900.0,11900.0,12700,28300,11800
79,01/02/2021,13000.0,12700.0,12900.0,12800,20500,11900
80,02/02/2021,12900.0,12500.0,12500.0,12800,11800,11900
81,03/02/2021,13200.0,12700.0,12800.0,13200,26700,12300
82,04/02/2021,13200.0,12900.0,13200.0,13000,1400,12100
83,05/02/2021,13100.0,12900.0,13000.0,13000,6300,12100
84,08/02/2021,13000.0,12200.0,13000.0,12700,27400,11800
85,09/02/2021,12900.0,12400.0,12800.0,12900,6800,12000
86,17/02/2021,13500.0,12900.0,13000.0,13500,13500,12600
87,18/02/2021,13500.0,13200.0,13500.0,13200,14600,12300
88,19/02/2021,13300.0,13100.0,13300.0,13200,16400,12300
89,22/02/2021,13600.0,13300.0,13400.0,13500,25500,12600
90,10/03/2021,15700.0,15700.0,15700.0,15700,145000,14600
91,11/03/2021,16750.0,16750.0,16750.0,16750,89700,15600
92,12/03/2021,17900.0,17900.0,17900.0,17900,89200,16700
93,15/03/2021,19100.0,16800.0,19100.0,17450,274800,16300
94,16/03/2021,17500.0,16700.0,17300.0,16700,126700,15600
95,17/03/2021,16800.0,16600.0,16700.0,16750,46200,15600
96,18/03/2021,16600.0,15600.0,15600.0,15600,145900,14500
97,19/03/2021,15600.0,14650.0,15600.0,15350,35400,14300
98,22/03/2021,15700.0,15350.0,15350.0,15650,14100,14600
99,23/03/2021,15650.0,15400.0,15550.0,15400,15700,14400
100,24/03/2021,15350.0,14900.0,15150.0,15050,38900,14000
101,25/03/2021,15500.0,14700.0,15050.0,14950,13200,13900
102,26/03/2021,14900.0,14200.0,14900.0,14500,39900,13500
103,29/03/2021,14900.0,14500.0,14500.0,14900,11500,13900
104,30/03/2021,14900.0,14450.0,14900.0,14600,21300,13600
105,31/03/2021,14950.0,14600.0,14800.0,14800,29500,13800
106,01/04/2021,15300.0,14800.0,14800.0,15250,23000,14200
107,02/04/2021,15450.0,15300.0,15300.0,15300,35900,14300
108,05/04/2021,15300.0,15000.0,15300.0,15000,8600,14000
109,06/04/2021,15000.0,14500.0,15000.0,14600,20900,13600
110,07/04/2021,14700.0,14100.0,14550.0,14700,15100,13700
111,08/04/2021,15000.0,14650.0,15000.0,14800,15200,13800
112,09/04/2021,14800.0,14300.0,14800.0,14700,9600,13700
113,12/04/2021,15000.0,14600.0,14700.0,15000,48600,14000
114,13/04/2021,16000.0,15000.0,15000.0,15800,170300,14700
115,14/04/2021,15900.0,15400.0,15800.0,15900,27300,14800
116,15/04/2021,16800.0,15900.0,16000.0,16650,176900,15500
117,16/04/2021,17500.0,16700.0,16900.0,16900,242800,15800
118,19/04/2021,17700.0,17000.0,17000.0,17650,144700,16400
119,20/04/2021,17800.0,16450.0,17800.0,16450,83300,15300
120,22/04/2021,16300.0,15300.0,16000.0,15300,75000,14300
121,23/04/2021,15600.0,14400.0,14500.0,15600,59200,14500
122,26/04/2021,15750.0,14600.0,15000.0,14600,54800,13600
123,27/04/2021,14600.0,14200.0,14600.0,14500,24900,13500
124,28/04/2021,15000.0,14500.0,14500.0,14500,36400,13500
125,29/04/2021,15500.0,14500.0,14550.0,15400,62000,14400
126,04/05/2021,15350.0,14500.0,14500.0,15050,39200,14000
127,05/05/2021,15100.0,14700.0,15000.0,15000,26000,14000
128,06/05/2021,15000.0,14550.0,15000.0,14800,53600,13800
129,07/05/2021,15300.0,14550.0,14800.0,15100,78300,14100
130,10/05/2021,16100.0,15100.0,15100.0,16100,163800,15000
131,11/05/2021,16450.0,15700.0,16450.0,15700,94600,14600
132,12/05/2021,15600.0,15050.0,15500.0,15500,58800,14400
133,13/05/2021,15400.0,14800.0,15400.0,15000,110100,14000
134,14/05/2021,15100.0,14700.0,14900.0,15100,90100,14100
135,17/05/2021,15000.0,14500.0,14800.0,14700,48800,13700
136,18/05/2021,15400.0,14800.0,14800.0,15200,30700,14200
137,19/05/2021,15200.0,14900.0,15200.0,15000,53300,14000
138,20/05/2021,14900.0,14600.0,14650.0,14700,39800,13700
139,21/05/2021,14700.0,14300.0,14700.0,14500,43400,13500
140,24/05/2021,15000.0,14500.0,14500.0,14700,17900,13700
141,25/05/2021,15000.0,14700.0,14700.0,14950,25100,13900
142,26/05/2021,15000.0,14650.0,14950.0,14850,26800,13800
143,27/05/2021,14700.0,14600.0,14700.0,14700,26600,13700
144,28/05/2021,14650.0,13700.0,13700.0,14300,124900,13300
145,31/05/2021,14900.0,14350.0,14900.0,14400,19400,13400
146,01/06/2021,14800.0,14400.0,14400.0,14600,30200,13600
147,02/06/2021,14750.0,14600.0,14750.0,14650,44800,13700
148,03/06/2021,14700.0,14600.0,14650.0,14700,41800,13700
149,04/06/2021,14750.0,14650.0,14700.0,14700,56400,13700
150,07/06/2021,14350.0,14050.0,14050.0,14150,20900,14200
151,08/06/2021,14150.0,13800.0,14150.0,13800,33900,13800
152,09/06/2021,13800.0,13400.0,13800.0,13800,16800,13800
153,10/06/2021,13800.0,13400.0,13500.0,13500,15700,13500
154,11/06/2021,13800.0,13500.0,13700.0,13600,18800,13600
155,14/06/2021,13700.0,13500.0,13700.0,13600,9800,13600
156,15/06/2021,13700.0,13600.0,13650.0,13650,27000,13700
157,16/06/2021,13600.0,13350.0,13600.0,13500,8000,13500
158,17/06/2021,13550.0,13450.0,13550.0,13500,19400,13500
159,18/06/2021,13800.0,13450.0,13500.0,13700,31200,13700
160,21/06/2021,13950.0,13700.0,13700.0,13750,29900,13800
161,22/06/2021,13950.0,13650.0,13950.0,13650,11000,13700
162,23/06/2021,13850.0,13550.0,13650.0,13600,22500,13600
163,24/06/2021,13600.0,13550.0,13600.0,13550,6300,13600
164,25/06/2021,13700.0,13500.0,13550.0,13700,23700,13700
165,28/06/2021,13750.0,13500.0,13650.0,13700,15900,13700
166,29/06/2021,13700.0,13500.0,13700.0,13600,20200,13600
167,30/06/2021,13600.0,13000.0,13500.0,13450,19800,13500
168,01/07/2021,13450.0,13300.0,13450.0,13300,23800,13300
169,02/07/2021,13450.0,13300.0,13350.0,13400,34400,13400
170,05/07/2021,13400.0,13300.0,13300.0,13400,48700,13400
171,06/07/2021,13400.0,13150.0,13400.0,13200,30600,13200
172,07/07/2021,13100.0,12600.0,13100.0,12900,12200,12900
173,08/07/2021,13300.0,12900.0,13000.0,12900,7200,12900
174,09/07/2021,13000.0,12650.0,13000.0,12900,22400,12900
175,12/07/2021,12600.0,12100.0,12350.0,12150,15900,12200
176,13/07/2021,12300.0,12000.0,12300.0,12150,43100,12200
177,14/07/2021,12500.0,12150.0,12300.0,12150,11900,12200
178,15/07/2021,13000.0,12200.0,12200.0,13000,19700,13000
179,16/07/2021,13900.0,13650.0,13750.0,13850,39000,13900
180,19/07/2021,14500.0,13700.0,14500.0,13850,78800,13900
181,20/07/2021,14000.0,13350.0,14000.0,13800,22600,13800
182,21/07/2021,13850.0,13500.0,13800.0,13500,11100,13500
183,22/07/2021,13700.0,13200.0,13250.0,13500,11500,13500
184,23/07/2021,13500.0,13350.0,13500.0,13350,21300,13400
185,26/07/2021,13450.0,13250.0,13350.0,13350,9700,13400
186,27/07/2021,13650.0,13350.0,13350.0,13500,10600,13500
187,28/07/2021,13550.0,13500.0,13500.0,13500,1400,13500
188,29/07/2021,13700.0,13450.0,13700.0,13450,8700,13500
189,30/07/2021,13650.0,13500.0,13650.0,13500,9000,13500
190,02/08/2021,13550.0,13400.0,13500.0,13450,14600,13500
191,03/08/2021,13550.0,13450.0,13450.0,13500,26100,13500
192,04/08/2021,13650.0,13500.0,13500.0,13650,10100,13700
193,05/08/2021,13800.0,13300.0,13300.0,13750,15200,13800
194,06/08/2021,13850.0,13600.0,13850.0,13700,10800,13700
195,09/08/2021,13800.0,13550.0,13700.0,13700,28400,13700
196,10/08/2021,13900.0,13700.0,13800.0,13900,19000,13900
197,11/08/2021,14850.0,14000.0,14000.0,14850,133600,14900
198,12/08/2021,15500.0,14800.0,15000.0,14900,72900,14900
199,13/08/2021,15000.0,14600.0,15000.0,14600,27800,14600
200,16/08/2021,15100.0,14400.0,14500.0,14950,53600,15000
201,17/08/2021,15000.0,14700.0,15000.0,14950,48400,15000
202,18/08/2021,14950.0,14700.0,14950.0,14900,23000,14900
203,19/08/2021,15000.0,14600.0,14750.0,15000,97800,15000
204,20/08/2021,15750.0,15000.0,15000.0,15150,169800,15200
205,23/08/2021,15550.0,15000.0,15500.0,15400,48500,15400
206,24/08/2021,15400.0,14700.0,15400.0,14950,31100,15000
207,25/08/2021,15350.0,14500.0,14800.0,14800,60800,14800
208,26/08/2021,15200.0,14800.0,15200.0,15000,29500,15000
209,27/08/2021,15200.0,14750.0,14800.0,15150,32100,15200
210,30/08/2021,15650.0,14800.0,15300.0,15600,140400,15600
