,Date,High,Low,Open,Close,Volume,Adj Close
0,27/09/2021,35600,35600,35600,35600,-,31600
1,28/09/2021,35600,35600,35600,35600,-,31600
2,29/09/2021,35600,35600,35600,35600,-,31600
3,30/09/2021,35600,35600,35600,35600,-,31600
4,01/10/2021,35600,35600,35600,35600,-,31600
5,04/10/2021,35600,35600,35600,35600,-,31600
6,05/10/2021,35600,35600,35600,35600,-,31600
7,06/10/2021,37000,37000,37000,37000,501,32900
8,07/10/2021,37000,37000,37000,37000,520,32900
9,08/10/2021,37000,37000,37000,37000,-,32900
10,11/10/2021,32100,32000,32100,32000,501,28400
11,12/10/2021,32000,32000,32000,32000,-,28400
12,13/10/2021,32000,32000,32000,32000,-,28400
13,14/10/2021,32000,32000,32000,32000,-,28400
14,15/10/2021,32000,32000,32000,32000,-,28400
15,18/10/2021,32000,32000,32000,32000,-,28400
16,19/10/2021,32000,32000,32000,32000,-,28400
17,20/10/2021,32000,32000,32000,32000,-,28400
18,21/10/2021,32000,32000,32000,32000,-,28400
19,22/10/2021,32000,32000,32000,32000,-,28400
20,25/10/2021,32000,32000,32000,32000,-,28400
21,26/10/2021,35900,35900,35900,35900,300,31900
22,27/10/2021,35900,35900,35900,35900,-,31900
23,28/10/2021,35900,35900,35900,35900,1000,31900
24,29/10/2021,35900,35900,35900,35900,-,31900
25,01/11/2021,35900,35900,35900,35900,-,31900
26,02/11/2021,35900,35900,35900,35900,8,31900
27,03/11/2021,36000,35900,35900,36000,300,32000
28,04/11/2021,35900,35900,35900,36000,12,31900
29,05/11/2021,35900,35900,35900,35900,-,31900
30,08/11/2021,36400,32000,32000,36000,900,32000
31,09/11/2021,34700,34700,34700,34700,-,30800
32,10/11/2021,34700,34700,34700,34700,-,30800
33,11/11/2021,34700,34700,34700,34700,-,30800
34,12/11/2021,33500,32000,33500,32000,1511,28400
35,15/11/2021,38000,38000,38000,38000,100,33800
36,16/11/2021,32300,32300,32300,32300,800,28700
37,17/11/2021,32300,32300,32300,32300,-,28700
38,18/11/2021,32300,32300,32300,32300,2007,28700
39,19/11/2021,32300,32300,32300,32300,-,28700
40,22/11/2021,32300,32300,32300,32300,-,28700
41,23/11/2021,32300,32300,32300,32300,-,28700
42,24/11/2021,32300,32300,32300,32300,-,28700
43,25/11/2021,32000,32000,32000,32000,100,28400
44,26/11/2021,32000,32000,32000,32000,201,28400
45,29/11/2021,32000,32000,32000,32000,-,28400
46,30/11/2021,32000,32000,32000,32000,-,28400
47,01/12/2021,32000,32000,32000,32000,-,28400
48,02/12/2021,32000,32000,32000,32000,-,28400
49,03/12/2021,32000,32000,32000,32000,1,28400
50,06/12/2021,32000,32000,32000,32000,200,28400
51,07/12/2021,32000,32000,32000,32000,-,28400
52,08/12/2021,32000,32000,32000,32000,1,28400
53,09/12/2021,32000,32000,32000,32000,2800,28400
54,10/12/2021,32000,32000,32000,32000,-,28400
55,13/12/2021,33900,33900,33900,33900,1600,30100
56,14/12/2021,33900,33900,33900,33900,-,30100
57,15/12/2021,33900,33900,33900,33900,-,30100
58,16/12/2021,32900,32900,32900,32900,-,30100
59,17/12/2021,34000,34000,34000,34000,700,31100
60,20/12/2021,34000,34000,34000,34000,-,31100
61,21/12/2021,34000,34000,34000,34000,1200,31100
62,22/12/2021,35000,35000,35000,35000,100,32000
63,23/12/2021,35000,35000,35000,35000,3,32000
64,24/12/2021,30500,30500,30500,30500,1000,27900
65,27/12/2021,30500,30500,30500,30500,-,27900
66,28/12/2021,34000,28500,30000,34000,1700,31100
67,29/12/2021,28900,28900,28900,28900,-,26500
68,30/12/2021,32000,30000,30000,32000,4203,29300
69,31/12/2021,31800,30000,30000,31800,6000,29100
70,04/01/2022,30300,30300,30300,30300,-,27700
71,05/01/2022,30400,30400,30400,30400,100,27800
72,06/01/2022,31900,31000,31000,31900,2101,29200
73,07/01/2022,32000,31400,31900,32000,4100,29300
74,10/01/2022,31600,31600,31600,31600,100,28900
75,11/01/2022,31500,31500,31500,31500,2000,28800
76,12/01/2022,31500,30600,30600,31000,4500,28400
77,13/01/2022,31000,31000,31000,31000,2000,28400
78,14/01/2022,32000,30500,31500,30500,4100,27900
79,17/01/2022,31000,30500,31000,30500,3000,27900
80,18/01/2022,31300,30000,30000,31300,2200,28700
81,19/01/2022,30900,30900,30900,30900,-,28300
82,20/01/2022,31500,31500,31500,31500,300,28800
83,21/01/2022,30100,29600,29600,30100,2500,27600
84,24/01/2022,29900,29900,29900,29900,-,27400
85,25/01/2022,30000,30000,30000,30000,200,27500
86,26/01/2022,30000,30000,30000,30000,-,27500
87,27/01/2022,31400,31400,31400,31400,500,28800
88,28/01/2022,31400,31400,31400,31400,-,28800
89,07/02/2022,32000,32000,32000,32000,200,29300
90,08/02/2022,32900,30100,32000,30100,1000,27600
91,09/02/2022,31800,31700,31800,31700,1000,29000
92,10/02/2022,33000,32400,33000,32400,400,29700
93,11/02/2022,32600,32600,32600,32600,200,29800
94,14/02/2022,31700,31700,31700,31700,2500,29000
95,15/02/2022,31800,31800,31800,31800,300,29100
96,16/02/2022,31800,31200,31200,31800,700,29100
97,17/02/2022,31600,31600,31600,31600,-,28900
98,18/02/2022,31600,31600,31600,31600,-,28900
99,21/02/2022,31600,30500,31600,30500,7600,27900
100,22/02/2022,32600,32000,32000,32600,8700,29800
101,23/02/2022,32400,32400,32400,32400,-,29700
102,24/02/2022,32400,32400,32400,32400,-,29700
103,25/02/2022,32400,32400,32400,32400,900,29700
104,28/02/2022,34000,31000,31100,34000,1100,31100
105,01/03/2022,30500,30500,30500,30500,400,27900
106,02/03/2022,30500,30500,30500,30500,-,27900
107,03/03/2022,31000,30500,31000,30500,600,27900
108,04/03/2022,30600,30600,30600,30600,-,28000
109,07/03/2022,30600,30600,30600,30600,-,28000
110,08/03/2022,32000,32000,32000,32000,100,29300
111,09/03/2022,32000,32000,32000,32000,100,29300
112,10/03/2022,33400,32000,33400,32000,800,29300
113,11/03/2022,33200,33200,33200,33200,-,30400
114,14/03/2022,36100,34000,34000,36100,10000,33100
115,15/03/2022,35900,35900,35900,35900,-,32900
116,16/03/2022,34900,34900,34900,34900,1700,32000
117,17/03/2022,32200,32200,32200,32200,100,29500
118,18/03/2022,32200,32200,32200,32200,-,29500
119,21/03/2022,35900,33500,35900,33500,2900,30700
120,22/03/2022,35500,35500,35500,35500,-,32500
121,23/03/2022,35500,35400,35500,35400,1300,32400
122,24/03/2022,35300,32000,35000,35000,2100,32000
123,25/03/2022,34000,33000,33100,33900,3800,31000
124,28/03/2022,34500,34500,34500,34500,5000,31600
125,29/03/2022,34400,32300,34400,32300,300,29600
126,30/03/2022,34200,32000,32000,34000,1600,31100
127,31/03/2022,32300,31100,32300,31400,5000,28800
128,01/04/2022,31400,31400,31400,31400,-,28800
129,04/04/2022,34500,31700,32100,34200,1700,31300
130,05/04/2022,33100,33000,33100,33000,1200,30200
131,06/04/2022,32900,32900,32900,32900,1000,30100
132,07/04/2022,32900,32900,32900,32900,100,30100
133,08/04/2022,34000,30600,31400,34000,300,31100
134,12/04/2022,32000,32000,32000,34000,1,29300
135,13/04/2022,34000,34000,34000,34000,200,31100
136,14/04/2022,34000,34000,34000,34000,-,31100
137,15/04/2022,34000,34000,34000,34000,-,31100
138,18/04/2022,33800,33800,33800,33800,100,30900
139,19/04/2022,33800,33800,33800,33800,-,30900
