,Date,High,Low,Open,Close,Volume,Adj Close
0,20/06/2023,16200,15800,16100,16200,556560,9200
1,21/06/2023,16700,16000,16000,16600,1317784,9400
2,22/06/2023,16700,16300,16400,16300,1132810,9300
3,23/06/2023,16400,15900,16400,16100,1416145,9100
4,26/06/2023,16400,15700,16100,16100,2028925,9100
5,27/06/2023,11900,11000,11900,11900,2706196,10400
6,28/06/2023,12800,11800,11800,12200,1947597,10600
7,29/06/2023,12200,11400,12200,11700,1027200,10200
8,30/06/2023,12000,11100,11700,11200,1155500,9800
9,03/07/2023,11800,11000,11800,11100,503110,9700
10,04/07/2023,11500,11000,11100,11500,661582,10000
11,05/07/2023,11600,11100,11300,11200,721063,9800
12,06/07/2023,11400,10700,11300,11100,2914163,9700
13,07/07/2023,11300,10600,10900,11200,550256,9800
14,10/07/2023,11400,10900,10900,11200,674975,9800
15,11/07/2023,11400,11100,11200,11200,705439,9800
16,12/07/2023,11600,11000,11200,11300,1639382,9900
17,13/07/2023,12900,10700,12900,11100,3791862,9700
18,14/07/2023,11300,10900,11300,11200,925489,9800
19,17/07/2023,11400,11100,11400,11300,1071794,9900
20,18/07/2023,11600,11300,11300,11500,1807770,10000
21,19/07/2023,11600,11100,11500,11300,1096276,9900
22,20/07/2023,11300,11100,11300,11300,638452,9900
23,21/07/2023,11400,10600,11200,10800,5186831,9400
24,24/07/2023,11100,10800,11000,10900,1463866,9500
25,25/07/2023,11100,10700,11000,10900,1236870,9500
26,26/07/2023,11000,10700,11000,10700,1047750,9300
27,27/07/2023,11000,10600,11000,10800,1203426,9400
28,28/07/2023,10900,10700,10800,10800,1279483,9400
29,31/07/2023,11000,10700,10900,10800,1610837,9400
30,01/08/2023,10900,10700,10800,10800,1147730,9400
31,02/08/2023,10800,10600,10800,10800,811800,9400
32,03/08/2023,10800,10600,10800,10600,806451,9300
33,04/08/2023,10800,10600,10600,10800,1154177,9400
34,07/08/2023,11500,10700,10800,11400,3579451,9900
35,08/08/2023,12000,11300,11500,11800,3844177,10300
36,09/08/2023,11900,11500,11800,11700,1453174,10200
37,10/08/2023,11800,11000,11600,11100,3775293,9700
38,11/08/2023,11300,10800,11100,11300,1567241,9900
39,14/08/2023,11700,11200,11300,11500,2233901,10000
40,15/08/2023,11600,11200,11500,11200,1416481,9800
41,16/08/2023,11300,11100,11300,11100,900210,9700
42,17/08/2023,11700,11200,11300,11500,3572516,10000
43,18/08/2023,11500,10400,11500,10600,9998601,9300
44,21/08/2023,10800,10400,10700,10600,1555883,9300
45,22/08/2023,10900,10200,10600,10800,1662742,9400
46,23/08/2023,11100,10700,10800,10700,4650909,9300
47,24/08/2023,11200,10700,10800,11100,1546245,9700
48,25/08/2023,11200,10900,11100,11000,1132341,9600
49,28/08/2023,11100,10800,11000,11000,917054,9600
50,29/08/2023,11200,10200,10900,10600,10819692,9300
51,30/08/2023,11200,10600,10600,11100,2000102,9700
52,31/08/2023,11500,11100,11200,11300,3663316,9900
53,05/09/2023,11700,11300,11300,11600,3387255,10100
54,06/09/2023,12900,11400,11500,12500,6889716,10900
55,07/09/2023,12700,12100,12500,12300,2651979,10700
56,08/09/2023,13000,12200,12300,12800,4026494,11200
57,11/09/2023,12900,12200,12900,12300,3142690,10700
58,12/09/2023,13200,12200,12500,13100,4419606,11400
59,13/09/2023,13400,12800,13200,13100,3863362,11400
60,14/09/2023,13200,12500,13100,12800,3924290,11200
61,15/09/2023,12900,12400,12900,12500,1770854,10900
62,18/09/2023,12800,12200,12800,12400,1929300,10800
63,19/09/2023,12500,11500,12400,12000,6543993,10500
64,20/09/2023,12400,11700,11800,12400,1882386,10800
65,21/09/2023,12400,11500,12300,11600,6736637,10100
66,22/09/2023,11700,10600,11700,11000,4861372,9600
67,25/09/2023,11000,10000,11000,10200,3282143,8900
68,26/09/2023,10600,9600,10200,10000,4285708,8700
69,27/09/2023,10300,9600,10000,10300,7395436,9000
70,28/09/2023,10400,9900,10400,10200,1952773,8900
71,29/09/2023,10300,10000,10200,10000,1557061,8700
72,02/10/2023,10200,10000,10100,10100,8504517,8800
73,03/10/2023,10100,9300,10100,9400,3514233,8200
74,04/10/2023,9800,9000,9400,9700,1907508,8500
75,05/10/2023,9600,9200,9600,9400,1459818,8200
76,06/10/2023,9500,9100,9500,9500,2341716,8300
77,09/10/2023,9600,9200,9500,9500,1289559,8300
78,10/10/2023,9700,9400,9700,9600,1377579,8400
79,11/10/2023,9800,9400,9700,9700,1643069,8500
80,12/10/2023,10300,9800,9800,10000,3036124,8700
81,13/10/2023,10100,9700,10000,10000,1922953,8700
82,16/10/2023,10100,9600,10100,9700,1033756,8500
83,17/10/2023,10000,9500,9700,9600,2770170,8400
84,18/10/2023,9800,9000,9600,9400,3123773,8200
85,19/10/2023,9400,8900,9400,9100,1663381,7900
86,20/10/2023,9300,8700,9000,9300,1651728,8100
87,23/10/2023,9300,8900,9300,9000,1035234,7900
88,24/10/2023,9200,8900,9200,9100,580668,7900
89,25/10/2023,9200,8900,9200,9100,764911,7900
90,26/10/2023,9100,7900,9100,8100,2561158,7100
91,27/10/2023,8300,7900,8200,8300,967851,7200
92,30/10/2023,8300,7800,8300,7900,878111,6900
93,31/10/2023,8000,7400,7900,7600,1291985,6600
94,01/11/2023,8100,7400,7600,8000,7087555,7000
95,02/11/2023,8800,8000,8100,8600,2324330,7500
96,03/11/2023,8900,8500,8700,8600,1567822,7500
97,06/11/2023,9000,8700,8900,9000,1357390,7900
98,07/11/2023,9200,8800,9200,8900,1329203,7800
99,08/11/2023,9600,8800,8800,9500,2435684,8300
100,09/11/2023,9800,9300,9600,9500,2127375,8300
101,10/11/2023,9600,9200,9500,9400,1915348,8200
102,13/11/2023,9600,9300,9500,9500,1771213,8300
103,14/11/2023,9000,8400,8500,8600,1838187,8600
104,15/11/2023,9100,8600,8600,8700,1682291,8700
105,16/11/2023,8800,8500,8700,8800,940071,8800
106,17/11/2023,8800,8200,8700,8400,2332451,8400
107,20/11/2023,8600,8000,8400,8500,1455537,8500
108,21/11/2023,8700,8400,8500,8600,889911,8600
109,22/11/2023,8600,8300,8500,8500,1587177,8500
110,23/11/2023,8700,8200,8600,8300,1657818,8300
111,24/11/2023,8400,8000,8300,8400,1917351,8400
112,27/11/2023,8500,8200,8400,8200,718282,8200
113,28/11/2023,8300,8100,8200,8300,745415,8300
114,29/11/2023,8400,8200,8300,8400,498298,8400
115,30/11/2023,8500,8300,8400,8300,1153514,8300
116,01/12/2023,8500,8300,8400,8500,1627994,8500
117,04/12/2023,9000,8500,8500,8900,4039081,8900
118,05/12/2023,9100,8800,8900,8900,1848479,8900
119,06/12/2023,9100,8800,8800,9100,1652103,9100
120,07/12/2023,9100,8600,9000,8800,3131864,8800
121,08/12/2023,8900,8600,8800,8700,970032,8700
122,11/12/2023,8700,8500,8700,8600,962968,8600
123,12/12/2023,8700,8600,8600,8700,710077,8700
124,13/12/2023,8800,8400,8600,8600,825577,8600
125,14/12/2023,8800,8400,8500,8500,959103,8500
126,15/12/2023,8500,8300,8500,8400,982212,8400
127,18/12/2023,8400,8200,8400,8200,640186,8200
128,19/12/2023,8400,8200,8200,8400,443747,8400
129,20/12/2023,8600,8300,8400,8500,1012942,8500
130,21/12/2023,8600,8400,8500,8500,785871,8500
131,22/12/2023,8600,8400,8500,8400,2614167,8400
132,25/12/2023,8600,8400,8500,8600,2039444,8600
133,26/12/2023,8600,8400,8500,8400,1048638,8400
134,27/12/2023,8600,8400,8500,8500,739105,8500
135,28/12/2023,8600,8400,8500,8600,1405782,8600
136,29/12/2023,8600,8400,8600,8500,1114354,8500
137,02/01/2024,8600,8400,8500,8500,555373,8500
138,03/01/2024,8600,8400,8500,8600,1326624,8600
139,04/01/2024,8700,8500,8600,8600,2169470,8600
140,05/01/2024,8700,8500,8600,8700,1023163,8700
141,08/01/2024,8800,8600,8600,8700,1210891,8700
142,09/01/2024,8800,8600,8700,8700,4521015,8700
143,10/01/2024,8700,8400,8600,8600,1182452,8600
144,11/01/2024,8700,8500,8600,8600,803297,8600
145,12/01/2024,8600,7400,8500,8400,817151,8400
146,15/01/2024,8500,8300,8400,8300,518500,8300
147,16/01/2024,8500,8300,8400,8500,706647,8500
148,17/01/2024,8700,8400,8400,8500,1246836,8500
149,18/01/2024,8600,8400,8600,8500,327793,8500
150,19/01/2024,8600,8400,8500,8500,439911,8500
151,22/01/2024,8500,8300,8500,8500,1052571,8500
152,23/01/2024,8500,8300,8500,8400,410714,8400
153,24/01/2024,8500,8300,8400,8300,908338,8300
154,25/01/2024,8400,8300,8400,8300,575621,8300
155,26/01/2024,8400,8200,8300,8300,608627,8300
156,29/01/2024,8300,8100,8200,8300,749474,8300
157,30/01/2024,8300,8200,8300,8300,324849,8300
158,31/01/2024,8400,8200,8300,8300,563680,8300
159,01/02/2024,8300,8100,8300,8200,559345,8200
160,02/02/2024,8300,8100,8200,8200,741303,8200
161,05/02/2024,8200,8100,8200,8100,630326,8100
162,06/02/2024,8300,8100,8200,8300,456609,8300
163,07/02/2024,8300,8200,8300,8300,492275,8300
164,15/02/2024,8400,8200,8300,8400,640483,8400
165,16/02/2024,8400,8200,8300,8400,752808,8400
166,19/02/2024,8400,8200,8400,8400,535099,8400
167,20/02/2024,8700,8300,8300,8600,2719128,8600
168,21/02/2024,8700,8400,8600,8600,897978,8600
169,22/02/2024,8700,8400,8600,8500,1000801,8500
170,23/02/2024,8600,8400,8500,8500,1596685,8500
171,26/02/2024,8600,8300,8400,8600,1286885,8600
172,27/02/2024,8700,8500,8600,8700,1767498,8700
173,28/02/2024,8700,8500,8600,8600,1009040,8600
174,29/02/2024,8800,8500,8600,8600,1743133,8600
175,01/03/2024,9000,8600,8600,9000,8929833,9000
176,04/03/2024,9300,8900,9000,9200,1924112,9200
177,05/03/2024,9200,8900,9200,9100,1750144,9100
178,06/03/2024,9200,8800,9100,8900,2036725,8900
179,07/03/2024,9500,8900,8900,9400,4441692,9400
180,08/03/2024,9600,9200,9300,9300,2646859,9300
181,11/03/2024,9300,8900,9300,9000,2176085,9000
182,12/03/2024,9000,8800,9000,9000,1114062,9000
183,13/03/2024,9300,8900,8900,9300,1414086,9300
184,14/03/2024,9300,9000,9300,9100,1983324,9100
185,15/03/2024,9300,8900,9100,9200,1767194,9200
