,Date,High,Low,Open,Close,Volume,Adj Close
0,27/06/2023,8900,8700,8900,8900,1497317,8900
1,28/06/2023,8900,8700,8800,8800,1909479,8800
2,29/06/2023,8900,8700,8700,8800,1984839,8800
3,30/06/2023,8800,8700,8800,8800,750165,8800
4,03/07/2023,8800,8700,8800,8800,905216,8800
5,04/07/2023,8900,8700,8800,8900,1319312,8900
6,05/07/2023,8900,8800,8900,8900,1682927,8900
7,06/07/2023,8900,8700,8900,8800,1046583,8800
8,07/07/2023,8800,8600,8700,8700,959030,8700
9,10/07/2023,8800,8700,8700,8800,1293076,8800
10,11/07/2023,9100,8800,8800,9000,4893172,9000
11,12/07/2023,9100,8900,9000,9000,1509894,9000
12,13/07/2023,9100,8800,9000,9000,1997691,9000
13,14/07/2023,9000,8800,9000,8800,1773997,8800
14,17/07/2023,9000,8800,8800,8900,1841807,8900
15,18/07/2023,9000,8800,8900,9000,1635542,9000
16,19/07/2023,9100,8800,8900,9000,4356285,9000
17,20/07/2023,9000,8800,8900,9000,1229073,9000
18,21/07/2023,9000,8700,8900,8900,3193516,8900
19,24/07/2023,8900,8800,8800,8800,1866175,8800
20,25/07/2023,9000,8800,8800,8800,2878736,8800
21,26/07/2023,8900,8700,8800,8800,2404007,8800
22,27/07/2023,8900,8600,8800,8700,3000755,8700
23,28/07/2023,8800,8600,8700,8700,2475779,8700
24,31/07/2023,8900,8700,8700,8800,3029338,8800
25,01/08/2023,9300,8800,8800,9000,8729316,9000
26,02/08/2023,9100,8900,8900,9100,2070253,9100
27,03/08/2023,9200,8900,9100,9000,3118570,9000
28,04/08/2023,9100,8900,9100,9000,2620985,9000
29,07/08/2023,9300,9000,9000,9200,6346257,9200
30,08/08/2023,9700,9100,9200,9500,6025271,9500
31,09/08/2023,9600,9200,9500,9400,3904754,9400
32,10/08/2023,9400,9000,9300,9200,4315380,9200
33,11/08/2023,9300,8900,9200,9100,3169598,9100
34,14/08/2023,9200,9000,9100,9100,2431957,9100
35,15/08/2023,9200,9000,9100,9100,1747390,9100
36,16/08/2023,9200,9000,9100,9100,2684135,9100
37,17/08/2023,9200,9000,9100,9000,1670067,9000
38,18/08/2023,9000,8300,9000,8600,5456444,8600
39,21/08/2023,8700,8400,8600,8600,2369323,8600
40,22/08/2023,8600,8300,8600,8500,1980614,8500
41,23/08/2023,8700,8500,8500,8500,1103883,8500
42,24/08/2023,8600,8400,8500,8600,714537,8600
43,25/08/2023,8700,8500,8600,8600,1100696,8600
44,28/08/2023,8700,8500,8600,8600,669881,8600
45,29/08/2023,8700,8600,8600,8700,804990,8700
46,30/08/2023,8700,8600,8700,8700,955780,8700
47,31/08/2023,8800,8600,8600,8700,1320123,8700
48,05/09/2023,9000,8700,8700,8900,2096124,8900
49,06/09/2023,10000,8800,8900,9400,5067898,9400
50,07/09/2023,10000,9200,9500,9500,5545034,9500
51,08/09/2023,9600,9200,9600,9400,3795485,9400
52,11/09/2023,10200,9100,10200,9200,4143271,9200
53,12/09/2023,9300,9100,9300,9300,1779730,9300
54,13/09/2023,9300,9000,9200,9200,2825660,9200
55,14/09/2023,9200,9000,9100,9100,1666783,9100
56,15/09/2023,9300,9000,9100,9100,1270003,9100
57,18/09/2023,9100,8900,9100,8900,1406622,8900
58,19/09/2023,9100,8800,9000,9000,1230397,9000
59,20/09/2023,9100,8900,8900,9100,646846,9100
60,21/09/2023,9100,8900,9100,9000,835865,9000
61,22/09/2023,9000,8600,9000,8800,2562132,8800
62,25/09/2023,8800,8400,8800,8500,2452879,8500
63,26/09/2023,8600,8400,8500,8500,1653421,8500
64,27/09/2023,8600,8400,8500,8600,1315497,8600
65,28/09/2023,8600,8400,8600,8600,635165,8600
66,29/09/2023,8600,8500,8500,8600,399233,8600
67,02/10/2023,8600,8500,8600,8600,480327,8600
68,03/10/2023,8600,8200,8600,8300,1650106,8300
69,04/10/2023,8400,8200,8300,8300,1696760,8300
70,05/10/2023,8400,8000,8300,8100,1254972,8100
71,06/10/2023,8300,8000,8100,8300,1206390,8300
72,09/10/2023,8200,8100,8200,8200,782750,8200
73,10/10/2023,8300,8100,8200,8200,1084217,8200
74,11/10/2023,8300,8100,8200,8200,672638,8200
75,12/10/2023,8300,8200,8200,8300,826621,8300
76,13/10/2023,8300,8100,8300,8200,464848,8200
77,16/10/2023,8300,8100,8100,8200,554875,8200
78,17/10/2023,8200,8000,8100,8100,748907,8100
79,18/10/2023,8100,7800,8100,8100,1069131,8100
80,19/10/2023,8100,7800,8000,7900,493617,7900
81,20/10/2023,8100,7800,7900,8100,755953,8100
82,23/10/2023,8100,7900,8000,8000,530124,8000
83,24/10/2023,8000,7900,7900,8000,523435,8000
84,25/10/2023,8100,7900,8000,8000,778859,8000
85,26/10/2023,8000,7500,8000,7700,2132155,7700
86,27/10/2023,7800,7600,7600,7800,615136,7800
87,30/10/2023,7800,7600,7800,7600,422667,7600
88,31/10/2023,7700,7400,7600,7600,832697,7600
89,01/11/2023,7600,7500,7500,7600,595421,7600
90,02/11/2023,7800,7500,7600,7800,1219581,7800
91,03/11/2023,7800,7700,7800,7700,558441,7700
92,06/11/2023,7800,7700,7800,7800,541713,7800
93,07/11/2023,7800,7600,7700,7700,1326681,7700
94,08/11/2023,8000,7600,7700,7900,1404594,7900
95,09/11/2023,8100,7800,8000,7900,1202719,7900
96,10/11/2023,8000,7800,8000,7900,613110,7900
97,13/11/2023,8000,7800,7900,7900,575077,7900
98,14/11/2023,8200,7900,7900,8000,2087407,8000
99,15/11/2023,8300,8000,8100,8100,797830,8100
100,16/11/2023,8100,7900,8100,8100,634039,8100
101,17/11/2023,8100,7800,7900,7800,1029851,7800
102,20/11/2023,7900,7700,7800,7900,413061,7900
103,21/11/2023,8000,7800,7800,8000,451065,8000
104,22/11/2023,8000,7800,8000,7900,517738,7900
105,23/11/2023,8000,7700,7900,7800,938797,7800
106,24/11/2023,7800,7600,7800,7800,1158993,7800
107,27/11/2023,7800,7700,7700,7700,322785,7700
108,28/11/2023,7800,7600,7700,7800,373891,7800
109,29/11/2023,7800,7700,7700,7700,382079,7700
110,30/11/2023,7800,7600,7800,7700,307350,7700
111,01/12/2023,7800,7600,7600,7700,662158,7700
112,04/12/2023,7900,7700,7700,7800,749333,7800
113,05/12/2023,7900,7700,7800,7800,349452,7800
114,06/12/2023,7900,7700,7800,7900,536923,7900
115,07/12/2023,7900,7800,7900,7900,734312,7900
116,08/12/2023,7900,7800,7900,7900,325602,7900
117,11/12/2023,7900,7700,7900,7800,635047,7800
118,12/12/2023,7900,7700,7800,7700,723597,7700
119,13/12/2023,7900,7700,7800,7800,518136,7800
120,14/12/2023,7900,7700,7700,7800,607028,7800
121,15/12/2023,7900,7700,7700,7700,523464,7700
122,18/12/2023,7900,7700,7800,7700,564466,7700
123,19/12/2023,8000,7600,7800,8000,2759931,8000
124,20/12/2023,8000,7900,8000,8000,420890,8000
125,21/12/2023,8000,7900,7900,8000,480339,8000
126,22/12/2023,8000,7800,8000,7900,402789,7900
127,25/12/2023,8000,7800,7900,8000,775091,8000
128,26/12/2023,8000,7900,8000,8000,537196,8000
129,27/12/2023,8000,7900,8000,7900,263946,7900
130,28/12/2023,8000,7800,7900,7900,776098,7900
131,29/12/2023,8000,7900,7900,8000,623931,8000
132,02/01/2024,8600,7900,8000,8200,5601666,8200
133,03/01/2024,8300,8100,8200,8300,1637046,8300
134,04/01/2024,8500,8200,8300,8300,4633006,8300
135,05/01/2024,8300,8100,8300,8200,1200962,8200
136,08/01/2024,8300,8100,8300,8200,962879,8200
137,09/01/2024,8300,8100,8300,8100,1668752,8100
138,10/01/2024,8400,8100,8100,8300,2748710,8300
139,11/01/2024,8800,8200,8300,8500,6136154,8500
140,12/01/2024,8600,8300,8500,8500,3054970,8500
141,15/01/2024,8500,8200,8500,8300,2271431,8300
142,16/01/2024,8400,8200,8300,8400,1152701,8400
143,17/01/2024,8400,8200,8400,8300,1826651,8300
144,18/01/2024,8300,8100,8200,8300,1447788,8300
145,19/01/2024,8300,8100,8300,8300,2654475,8300
146,22/01/2024,8400,8200,8300,8300,1716804,8300
147,23/01/2024,8300,8200,8300,8200,2264829,8200
148,24/01/2024,8300,8200,8200,8300,1580648,8300
149,25/01/2024,8300,8100,8300,8100,499665,8100
150,26/01/2024,8300,8100,8200,8300,841775,8300
151,29/01/2024,8300,8100,8200,8100,550855,8100
152,30/01/2024,8200,8100,8100,8200,1724142,8200
153,31/01/2024,8200,8000,8100,8100,1194754,8100
154,01/02/2024,8200,8000,8000,8100,910463,8100
155,02/02/2024,8200,8000,8100,8100,496082,8100
156,05/02/2024,8300,8000,8100,8200,1377688,8200
157,06/02/2024,8300,8100,8200,8200,512015,8200
158,07/02/2024,8300,8100,8200,8300,853468,8300
159,15/02/2024,8600,8200,8300,8500,3671430,8500
160,16/02/2024,8500,8300,8500,8500,1345596,8500
161,19/02/2024,8500,8300,8400,8400,1456385,8400
162,20/02/2024,8400,8300,8400,8400,862573,8400
163,21/02/2024,8500,8300,8400,8400,1458861,8400
164,22/02/2024,8500,8300,8400,8400,1876089,8400
165,23/02/2024,8600,8300,8400,8400,4788089,8400
166,26/02/2024,8500,8300,8400,8400,683508,8400
167,27/02/2024,8400,8200,8400,8300,1621447,8300
168,28/02/2024,8400,8300,8400,8400,1048821,8400
169,29/02/2024,8400,8300,8400,8300,577321,8300
170,01/03/2024,8600,8300,8300,8400,3380881,8400
171,04/03/2024,8500,8300,8400,8400,1023717,8400
172,05/03/2024,8400,8200,8400,8400,2399183,8400
173,06/03/2024,8400,8200,8400,8300,2880439,8300
174,07/03/2024,8300,8100,8200,8300,1630431,8300
175,08/03/2024,8300,8100,8300,8200,1116536,8200
176,11/03/2024,8200,8000,8200,8100,1231759,8100
177,12/03/2024,8200,8000,8100,8100,554564,8100
178,13/03/2024,8200,8000,8100,8200,1277562,8200
179,14/03/2024,8200,8000,8100,8200,929536,8200
180,15/03/2024,8200,8000,8100,8200,1116857,8200
181,18/03/2024,8200,7900,8200,7900,1931497,7900
182,19/03/2024,8100,7900,8000,7900,515732,7900
183,20/03/2024,8100,7900,8000,8000,396002,8000
184,21/03/2024,8100,8000,8000,8000,1114370,8000
185,22/03/2024,8200,8000,8000,8100,1526277,8100
186,25/03/2024,8100,7900,8100,8100,1164813,8100
187,26/03/2024,8100,7900,8000,8100,1074368,8100
188,27/03/2024,8100,7900,8000,8000,955763,8000
189,28/03/2024,8100,7900,8000,8100,2444673,8100
190,29/03/2024,8100,7900,8100,8100,1077938,8100
191,01/04/2024,8100,7900,8000,8000,997861,8000
192,02/04/2024,8000,7800,8000,8000,1317390,8000
193,03/04/2024,8000,7900,7900,8000,1327146,8000
194,04/04/2024,8000,7800,8000,8000,1112154,8000
195,05/04/2024,8000,7800,8000,7900,974311,7900
196,08/04/2024,7900,7800,7900,7900,817717,7900
197,09/04/2024,7900,7700,7800,7900,1300250,7900
198,10/04/2024,8200,7800,7900,8100,4682103,8100
199,11/04/2024,8200,8000,8000,8200,2687623,8200
200,12/04/2024,8200,7900,8200,8200,2499514,8200
201,15/04/2024,8100,7800,8100,8000,4056223,8000
202,16/04/2024,8000,7700,8000,7900,2450456,7900
203,17/04/2024,7900,7700,7800,7800,1708191,7800
204,19/04/2024,7800,7500,7800,7500,1419991,7500
205,22/04/2024,7700,7500,7600,7600,1071222,7600
206,23/04/2024,7700,7500,7700,7600,676628,7600
207,24/04/2024,7700,7500,7600,7600,754524,7600
208,25/04/2024,7800,7600,7700,7800,1053983,7800
209,26/04/2024,7800,7600,7800,7700,856832,7700
210,02/05/2024,7800,7600,7700,7700,316222,7700
211,03/05/2024,7800,7600,7600,7700,750944,7700
212,06/05/2024,7800,7600,7700,7800,727443,7800
213,07/05/2024,7800,7700,7800,7700,254033,7700
214,08/05/2024,7800,7700,7700,7800,1374915,7800
215,09/05/2024,8000,7700,7700,7900,2527280,7900
216,10/05/2024,8000,7800,8000,7900,1001991,7900
217,13/05/2024,7900,7700,7800,7700,708253,7700
218,14/05/2024,7800,7700,7700,7800,668025,7800
219,15/05/2024,7800,7700,7800,7800,1126339,7800
220,16/05/2024,7900,7700,7800,7700,2043183,7700
221,17/05/2024,7900,7700,7800,7800,965251,7800
222,20/05/2024,8300,7800,7800,8200,11447105,8200
223,21/05/2024,9300,8100,8100,9100,68718379,9100
224,22/05/2024,9300,8500,9100,8500,100645597,8500
225,23/05/2024,8700,8300,8600,8500,8082882,8500
226,24/05/2024,9000,8400,8600,8600,5527617,8600
227,27/05/2024,8700,8400,8700,8600,2417079,8600
228,28/05/2024,8600,8300,8500,8500,3561446,8500
229,29/05/2024,9100,8400,8500,8800,7692986,8800
230,30/05/2024,8800,8500,8800,8700,2564341,8700
231,31/05/2024,8700,8500,8600,8600,1913127,8600
232,03/06/2024,8800,8500,8600,8800,2865689,8800
233,04/06/2024,8800,8600,8600,8700,2184025,8700
234,05/06/2024,8800,8500,8700,8600,2174616,8600
235,06/06/2024,8700,8400,8600,8600,2363845,8600
236,07/06/2024,8700,8500,8600,8700,2185267,8700
237,10/06/2024,8800,8600,8700,8700,2468147,8700
238,11/06/2024,8800,8500,8600,8600,1809540,8600
239,12/06/2024,8700,8500,8600,8700,1970944,8700
240,13/06/2024,8800,8500,8700,8700,1743768,8700
241,14/06/2024,8700,8400,8700,8500,3159498,8500
242,17/06/2024,8500,8300,8500,8400,1570280,8400
243,18/06/2024,8500,8400,8400,8400,1063813,8400
244,19/06/2024,8500,8300,8400,8400,927578,8400
245,20/06/2024,8500,8300,8500,8400,1234770,8400
246,21/06/2024,8500,8200,8300,8300,1068435,8300
247,24/06/2024,8400,8100,8400,8200,1766192,8200
248,25/06/2024,8300,8100,8200,8200,915849,8200
249,26/06/2024,8200,8000,8200,8200,1247241,8200
250,27/06/2024,8200,8000,8100,8200,795494,8200
