,Date,High,Low,Open,Close,Volume,Adj Close
0,08/07/2021,11900,11600,11600,11800,12000,11800
1,09/07/2021,11600,11200,11600,11600,14900,11600
2,12/07/2021,11300,10600,11300,10800,34528,10800
3,13/07/2021,11200,11000,11000,11200,5900,11200
4,14/07/2021,11500,11200,11200,11500,8941,11500
5,15/07/2021,11700,11000,11200,11700,13400,11700
6,16/07/2021,12000,11300,11800,11900,6231,11900
7,19/07/2021,11800,11500,11600,11500,13500,11500
8,20/07/2021,11800,11500,11500,11500,9901,11500
9,21/07/2021,11800,11500,11500,11800,7500,11800
10,22/07/2021,11900,11500,11900,11600,35413,11600
11,23/07/2021,11800,11500,11800,11800,4001,11800
12,26/07/2021,11800,11600,11700,11600,8429,11600
13,27/07/2021,11800,11700,11800,11700,1100,11700
14,28/07/2021,12000,11800,11800,11800,8610,11800
15,29/07/2021,11900,11400,11400,11800,8700,11800
16,30/07/2021,11800,11600,11600,11600,15420,11600
17,02/08/2021,11600,11400,11400,11600,11403,11600
18,03/08/2021,11800,11500,11800,11600,6910,11600
19,04/08/2021,11700,11600,11600,11700,11900,11700
20,05/08/2021,11900,11600,11800,11800,6201,11800
21,06/08/2021,11900,11800,11800,11800,13203,11800
22,09/08/2021,12000,11700,11800,12000,45610,12000
23,10/08/2021,13000,11800,12000,12500,102004,12500
24,11/08/2021,12800,12500,12500,12600,29214,12600
25,12/08/2021,13400,12600,12700,12900,19400,12900
26,13/08/2021,12900,12600,12900,12900,24410,12900
27,16/08/2021,13100,12800,12900,12900,27220,12900
28,17/08/2021,12900,12500,12900,12500,32055,12500
29,18/08/2021,12600,12500,12500,12600,8100,12600
30,19/08/2021,13300,12600,12600,13000,44600,13000
31,20/08/2021,13000,12800,13000,13000,46413,13000
32,23/08/2021,12900,12600,12800,12900,27961,12900
33,24/08/2021,14700,12900,12900,13200,41810,13200
34,25/08/2021,13200,12900,13200,13200,8000,13200
35,26/08/2021,13200,12500,13100,13000,36629,13000
36,27/08/2021,13100,12800,13100,13000,4300,13000
37,30/08/2021,12900,12600,12600,12800,6809,12800
