,Date,High,Low,Open,Close,Volume,Adj Close
0,20/12/2023,25700,25000,25600,25600,20707,23600
1,21/12/2023,25900,25200,25500,25900,113043,23900
2,22/12/2023,26900,25300,25600,25800,179261,23800
3,25/12/2023,26200,25200,25900,25800,8195,23800
4,26/12/2023,26300,25500,26000,25700,192810,23700
5,27/12/2023,26100,25500,26000,26000,45240,24000
6,28/12/2023,25900,24300,25900,25900,23994,23900
7,29/12/2023,26300,25400,25700,26300,116046,24300
8,02/01/2024,25900,25500,25500,25700,62493,23700
9,03/01/2024,25800,25500,25800,25700,79020,23700
10,04/01/2024,25800,25500,25700,25600,28265,23600
11,05/01/2024,25600,25200,25500,25500,115032,23500
12,08/01/2024,25600,24800,25500,24800,111854,22900
13,09/01/2024,25500,24900,24900,25500,37656,23500
14,10/01/2024,25500,25000,25500,25300,18067,23400
15,11/01/2024,25800,25100,25100,25800,41178,23800
16,12/01/2024,26800,25500,25800,26200,66718,24200
17,15/01/2024,26200,25400,26200,25500,16111,23500
18,16/01/2024,25500,25100,25500,25300,54440,23400
19,17/01/2024,25400,25100,25300,25200,53972,23300
20,18/01/2024,25400,24900,25300,25300,57011,23400
21,19/01/2024,25400,25100,25300,25200,29336,23300
22,22/01/2024,25300,24800,25200,25100,26852,23200
23,23/01/2024,25300,24900,25100,25000,72934,23100
24,24/01/2024,25800,25200,25200,25700,258460,23700
25,25/01/2024,26300,25600,25700,25900,60196,23900
26,26/01/2024,26600,25700,26000,26100,67391,24100
27,29/01/2024,26500,25500,26200,25800,26201,23800
28,30/01/2024,25900,25500,25900,25700,26429,23700
29,31/01/2024,29500,25700,25700,26300,200151,24300
30,01/02/2024,26400,25700,25700,25900,56995,23900
31,02/02/2024,26300,25500,26300,25600,51863,23600
32,05/02/2024,25800,25200,25500,25800,80647,23800
33,06/02/2024,26200,25200,25800,25600,17482,23600
34,07/02/2024,26100,25500,25900,25900,42171,23900
35,15/02/2024,26500,25400,26000,25700,80722,23700
36,16/02/2024,26200,25500,25500,26000,42446,24000
37,19/02/2024,26000,25500,26000,25800,51855,23800
38,20/02/2024,25800,25400,25600,25700,98865,23700
39,21/02/2024,25900,25400,25700,25600,99682,23600
40,22/02/2024,25900,25600,25700,25900,71353,23900
41,23/02/2024,26000,25400,25800,25500,103820,23500
42,26/02/2024,25900,25400,25400,25900,17182,23900
43,27/02/2024,25900,25500,25900,25700,22067,23700
44,28/02/2024,25900,25600,25800,25800,10115,23800
45,29/02/2024,26000,25300,25900,25600,86999,23600
46,01/03/2024,25700,25400,25600,25700,90896,23700
47,04/03/2024,25700,25400,25700,25500,83840,23500
48,05/03/2024,25700,25400,25500,25500,37657,23500
49,06/03/2024,25500,25300,25500,25400,40047,23500
50,07/03/2024,25500,25300,25400,25400,30543,23500
51,08/03/2024,25500,25200,25400,25400,18471,23500
52,11/03/2024,25500,25300,25400,25400,20620,23500
53,12/03/2024,25400,25000,25300,25100,69838,23200
54,13/03/2024,25400,25200,25400,25400,48839,23500
55,14/03/2024,25500,25000,25400,25300,150122,23400
56,15/03/2024,25600,25100,25100,25400,45313,23500
57,18/03/2024,25500,24900,25200,25200,63862,23300
58,19/03/2024,25400,25100,25300,25200,19881,23300
59,20/03/2024,25300,25000,25200,25300,53921,23400
60,21/03/2024,25400,25100,25300,25100,30607,23200
61,22/03/2024,25400,25000,25300,25300,181742,23400
62,25/03/2024,25400,25200,25400,25300,21911,23400
63,26/03/2024,25500,25200,25200,25300,37525,23400
64,27/03/2024,25400,25200,25300,25400,9108,23500
65,28/03/2024,25400,25200,25200,25400,8424,23500
66,29/03/2024,25600,25000,25300,25200,221896,23300
67,01/04/2024,25200,25000,25200,25000,64103,23100
68,02/04/2024,25200,24800,25000,24900,81834,23000
69,03/04/2024,25000,24800,24800,24900,38801,23000
70,04/04/2024,25200,24700,25000,24700,23834,22800
71,05/04/2024,25100,24600,24700,25000,31278,23100
72,08/04/2024,24900,24700,24800,24700,4002,22800
73,09/04/2024,24900,24100,24700,24600,39898,22700
74,10/04/2024,24800,24400,24700,24500,15744,22600
75,11/04/2024,24700,24300,24500,24600,27847,22700
76,12/04/2024,24700,24500,24700,24500,19311,22600
77,15/04/2024,24700,24000,24300,24000,53501,22200
78,16/04/2024,24200,23000,23900,23500,85745,21700
79,17/04/2024,23700,23100,23700,23400,31673,21600
80,19/04/2024,23100,21000,23100,22700,81606,21000
81,22/04/2024,23300,22800,22900,23300,15118,21500
82,23/04/2024,23700,23000,23300,23400,4520,21600
83,24/04/2024,23900,23200,23500,23800,46358,22000
84,25/04/2024,24100,23200,23200,23900,3509,22100
85,26/04/2024,24400,23700,24100,24400,15929,22500
86,02/05/2024,24400,23800,24400,24000,14051,22200
87,03/05/2024,24200,23900,23900,24100,10948,22300
88,06/05/2024,24400,23900,24200,24000,79573,22200
89,07/05/2024,24200,23400,23400,24000,20484,22200
90,08/05/2024,24400,23900,24300,24000,28505,22200
91,09/05/2024,24000,23900,24000,24000,8874,22200
92,10/05/2024,24000,23600,24000,23800,19340,22000
93,13/05/2024,23900,23400,23800,23900,24400,22100
94,14/05/2024,23900,23500,23800,23600,12701,21800
95,15/05/2024,23700,23000,23700,23400,62510,21600
96,16/05/2024,23500,23100,23400,23400,49240,21600
97,17/05/2024,23700,23300,23300,23600,11443,21800
98,20/05/2024,24500,23500,23600,24200,219405,22300
99,21/05/2024,24900,24000,24200,24600,129549,22700
100,22/05/2024,25100,24300,24600,24500,169977,22600
101,23/05/2024,25700,24500,24500,25400,127970,23500
102,24/05/2024,26100,25100,25300,25400,148494,23500
103,27/05/2024,26400,25700,25700,26100,217284,24100
104,28/05/2024,26800,26000,26000,26300,60209,24300
105,29/05/2024,27000,25800,26200,26400,164479,24400
106,30/05/2024,26300,25500,26300,25800,44500,23800
107,31/05/2024,26500,25700,25700,26000,46696,24000
108,03/06/2024,26000,25100,26000,25600,99962,23600
109,04/06/2024,25800,25300,25300,25800,16887,23800
110,05/06/2024,26800,25500,25500,26200,240291,24200
111,06/06/2024,27400,26000,26000,26500,155058,24500
112,07/06/2024,26600,26000,26600,26500,81855,24500
113,10/06/2024,26900,26100,26200,26400,76838,24400
114,11/06/2024,26500,26100,26400,26400,76999,24400
115,12/06/2024,27100,26300,26400,27100,284759,25000
116,13/06/2024,27500,27100,27100,27300,113047,25200
117,14/06/2024,27300,26300,27100,26700,97416,24700
118,17/06/2024,26700,25000,26300,26500,89486,24500
119,18/06/2024,26600,26200,26500,26400,31633,24400
120,19/06/2024,26800,26200,26500,26500,34537,24500
121,20/06/2024,27100,26300,26500,26800,168810,24700
122,21/06/2024,28200,26900,26900,27900,241674,25800
123,24/06/2024,29200,28000,28100,28700,567839,26500
124,25/06/2024,28700,27500,28600,28100,119103,25900
125,26/06/2024,27900,27000,27900,27800,156832,25700
126,27/06/2024,28700,27700,27800,28200,165806,26000
127,28/06/2024,28900,27000,28200,28200,168660,26000
128,01/07/2024,27700,27000,27700,27000,86296,24900
129,02/07/2024,27500,26800,26900,27300,67684,25200
130,03/07/2024,27400,27000,27400,27200,122564,25100
131,04/07/2024,27600,26700,27100,27200,166800,25100
132,05/07/2024,27900,26900,27300,27300,59302,25200
133,08/07/2024,27600,27000,27200,27300,47672,25200
134,09/07/2024,28100,27200,27200,27700,131876,25600
135,10/07/2024,27900,27500,27900,27700,75504,25600
136,11/07/2024,27800,27300,27700,27300,62500,25200
137,12/07/2024,27700,27300,27300,27500,131217,25400
138,15/07/2024,27600,27200,27200,27500,56638,25400
139,16/07/2024,27500,27100,27500,27300,159301,25200
140,17/07/2024,27800,27000,27700,27300,104034,25200
141,18/07/2024,27700,27100,27500,27500,48994,25400
142,19/07/2024,27700,27000,27600,27300,88368,25200
143,22/07/2024,27300,26500,27000,27100,105821,25000
144,23/07/2024,26100,25400,26000,25800,80177,24800
145,24/07/2024,26000,25000,25400,26000,60037,25000
146,25/07/2024,26000,25400,25400,25700,20426,24700
147,26/07/2024,26000,25600,26000,25900,43601,24900
148,29/07/2024,25800,25600,25700,25800,21386,24800
149,30/07/2024,26300,25400,26000,25800,27862,24800
150,31/07/2024,26300,25800,26000,26000,18814,25000
151,01/08/2024,25900,24100,25900,25400,72079,24400
152,02/08/2024,25900,24800,25400,25600,125159,24600
153,05/08/2024,25300,24100,25300,24100,61601,23100
154,06/08/2024,25300,23200,23800,24900,38257,23900
155,07/08/2024,24900,24000,24600,24400,37981,23400
156,08/08/2024,24500,23900,24000,24500,24935,23500
157,09/08/2024,24700,24100,24300,24700,18404,23700
158,12/08/2024,25500,24500,24800,25300,148971,24300
159,13/08/2024,25500,25200,25200,25400,22657,24400
160,14/08/2024,25700,25200,25600,25400,73089,24400
161,15/08/2024,25600,25200,25500,25400,10983,24400
162,16/08/2024,25800,25300,25400,25500,39935,24500
163,19/08/2024,25600,25300,25400,25600,83636,24600
164,20/08/2024,26000,25500,25500,25900,42991,24900
165,21/08/2024,26000,25700,25900,26000,58396,25000
166,22/08/2024,26200,25900,26000,25900,67182,24900
167,23/08/2024,25900,25700,25900,25900,38580,24900
168,26/08/2024,26000,25700,25900,25900,21110,24900
169,27/08/2024,26100,25800,26000,25900,52442,24900
170,28/08/2024,26100,25800,25900,26000,14518,25000
171,29/08/2024,26000,25600,25900,26000,20024,25000
172,30/08/2024,26000,25500,26000,26000,17463,25000
173,04/09/2024,26000,26000,26000,26000,141,25000
174,05/09/2024,25900,25500,25800,25800,51968,24800
175,06/09/2024,26000,25600,25800,26000,12220,25000
176,09/09/2024,25600,25300,25600,25500,18081,24500
177,10/09/2024,25800,25300,25700,25300,3615,24300
178,11/09/2024,25700,23000,25600,24600,178050,23600
179,12/09/2024,24800,22000,23500,24200,81404,23200
180,13/09/2024,24800,24000,24200,24300,28702,23300
181,16/09/2024,24300,23900,24100,23900,43319,23000
182,17/09/2024,24100,23600,23900,23800,46207,22900
183,18/09/2024,23900,23500,23700,23800,32131,22900
184,19/09/2024,23800,23600,23800,23600,20300,22700
185,20/09/2024,24000,23600,23700,24000,48126,23100
186,23/09/2024,23900,23700,23800,23700,25271,22800
187,24/09/2024,23800,23600,23700,23800,10380,22900
188,25/09/2024,23900,23700,23700,23900,16902,23000
189,26/09/2024,23900,23700,23900,23900,21405,23000
190,27/09/2024,24100,23800,23900,24100,117352,23100
191,30/09/2024,24500,24100,24100,24400,50944,23400
192,01/10/2024,24400,24200,24300,24300,16623,23300
193,02/10/2024,24500,24200,24300,24400,24063,23400
194,03/10/2024,24500,24100,24300,24400,33230,23400
195,04/10/2024,24500,24300,24300,24500,25065,23500
196,07/10/2024,24600,24300,24500,24400,150725,23400
