,Date,High,Low,Open,Close,Volume,Adj Close
0,13/11/2023,38500,33500,33600,35400,5200,32100
1,14/11/2023,36300,34500,36000,36200,7004,32800
2,15/11/2023,36100,36100,36100,36100,-,32700
3,16/11/2023,36600,33600,36600,36200,5913,32800
4,17/11/2023,36600,33900,34100,36000,11340,32700
5,20/11/2023,36200,35700,36000,36200,10200,32800
6,21/11/2023,36600,34200,34700,36000,25100,32700
7,22/11/2023,36200,35000,36000,36000,8402,32700
8,23/11/2023,36200,34200,36100,35700,26800,32400
9,24/11/2023,36000,35100,35700,35900,4902,32600
10,27/11/2023,36300,35100,36100,36000,20100,32700
11,28/11/2023,36600,35600,36000,36300,4711,32900
12,29/11/2023,36200,35900,36000,36000,7018,32700
13,30/11/2023,36000,34800,34800,36000,17701,32700
14,01/12/2023,36600,36100,36100,36600,1500,33200
15,04/12/2023,36000,36000,36000,36000,2400,32700
16,05/12/2023,36900,36300,36900,36300,300,32900
17,06/12/2023,36600,36000,36300,36500,15903,33100
18,07/12/2023,36600,35000,35400,36200,24701,32800
19,08/12/2023,36300,36300,36300,36300,300,32900
20,11/12/2023,36300,36000,36300,36200,5114,32800
21,12/12/2023,36200,36200,36200,36200,-,32800
22,13/12/2023,36300,36200,36200,36300,200,32900
23,14/12/2023,36300,36300,36300,36300,-,32900
24,15/12/2023,36400,34800,35000,36400,12000,33000
25,18/12/2023,36400,34500,34800,36300,25711,32900
26,19/12/2023,36300,34500,34700,34500,15310,31300
27,20/12/2023,36600,34500,34600,36600,23800,33200
28,21/12/2023,36600,36300,36300,36600,1200,33200
29,22/12/2023,36600,35000,35100,36600,15000,33200
30,25/12/2023,36600,35100,35400,36400,12900,33000
31,26/12/2023,36900,35300,36000,36900,14400,33500
32,27/12/2023,36600,35700,35700,36600,9975,33200
33,28/12/2023,37200,35400,35400,37200,9100,33700
34,29/12/2023,37400,35100,35400,36400,29800,33000
35,02/01/2024,37400,35400,35400,36600,44814,33200
