,Date,High,Low,Open,Close,Volume,Adj Close
0,08/02/2023,700,700,700,700,-,700
1,09/02/2023,700,700,700,700,-,700
2,10/02/2023,800,700,700,700,347765,700
3,13/02/2023,700,700,700,700,-,700
4,14/02/2023,700,700,700,700,-,700
5,15/02/2023,700,700,700,700,-,700
6,16/02/2023,700,700,700,700,-,700
7,17/02/2023,800,600,700,700,749334,700
8,20/02/2023,700,700,700,700,-,700
9,21/02/2023,700,700,700,700,-,700
10,22/02/2023,700,700,700,700,-,700
11,23/02/2023,700,700,700,700,-,700
12,24/02/2023,800,700,700,700,1191753,700
13,27/02/2023,700,700,700,700,-,700
14,28/02/2023,700,700,700,700,-,700
15,01/03/2023,700,700,700,700,-,700
16,02/03/2023,700,700,700,700,-,700
17,03/03/2023,800,600,700,600,961103,600
18,06/03/2023,700,700,700,700,-,700
19,07/03/2023,700,700,700,700,-,700
20,08/03/2023,700,700,700,700,-,700
21,09/03/2023,700,700,700,700,-,700
22,10/03/2023,700,600,700,700,770000,700
23,13/03/2023,600,600,600,600,-,600
24,14/03/2023,600,600,600,600,-,600
25,15/03/2023,600,600,600,600,-,600
26,16/03/2023,600,600,600,600,-,600
27,17/03/2023,700,600,600,600,385391,600
28,20/03/2023,700,700,700,700,-,700
29,21/03/2023,700,700,700,700,-,700
30,22/03/2023,700,700,700,700,-,700
31,23/03/2023,700,700,700,700,-,700
32,24/03/2023,700,600,700,600,619856,600
33,27/03/2023,600,600,600,600,-,600
34,28/03/2023,600,600,600,600,-,600
35,29/03/2023,600,600,600,600,-,600
36,30/03/2023,600,600,600,600,-,600
37,31/03/2023,700,500,700,600,1194970,600
38,03/04/2023,500,500,500,500,-,500
39,04/04/2023,500,500,500,500,-,500
40,05/04/2023,500,500,500,500,-,500
41,06/04/2023,500,500,500,500,-,500
42,07/04/2023,600,500,500,600,1256667,600
43,10/04/2023,600,600,600,600,-,600
44,11/04/2023,600,600,600,600,-,600
45,12/04/2023,600,600,600,600,-,600
46,13/04/2023,600,600,600,600,-,600
47,14/04/2023,700,600,600,700,1414663,700
48,17/04/2023,700,700,700,700,-,700
49,18/04/2023,700,700,700,700,-,700
50,19/04/2023,700,700,700,700,-,700
51,20/04/2023,700,700,700,700,-,700
52,21/04/2023,800,600,700,700,968431,700
53,24/04/2023,700,700,700,700,-,700
54,25/04/2023,700,700,700,700,-,700
55,26/04/2023,700,700,700,700,-,700
56,27/04/2023,700,700,700,700,-,700
57,28/04/2023,700,600,700,700,697384,700
58,04/05/2023,700,700,700,700,-,700
59,05/05/2023,700,600,700,700,318023,700
60,08/05/2023,700,700,700,700,-,700
61,09/05/2023,700,700,700,700,-,700
62,10/05/2023,700,700,700,700,-,700
63,11/05/2023,700,700,700,700,-,700
64,12/05/2023,800,600,700,800,1512431,800
65,15/05/2023,700,700,700,700,-,700
66,16/05/2023,700,700,700,700,-,700
67,17/05/2023,700,700,700,700,-,700
68,18/05/2023,700,700,700,700,-,700
69,19/05/2023,800,600,700,700,342956,700
70,22/05/2023,700,700,700,700,-,700
71,23/05/2023,700,700,700,700,-,700
72,24/05/2023,700,700,700,700,-,700
73,25/05/2023,700,700,700,700,-,700
74,26/05/2023,700,600,700,700,349125,700
75,29/05/2023,700,700,700,700,-,700
76,30/05/2023,700,700,700,700,-,700
77,31/05/2023,700,700,700,700,-,700
78,01/06/2023,700,700,700,700,-,700
79,02/06/2023,800,700,800,800,2477568,800
80,05/06/2023,800,800,800,800,-,800
81,06/06/2023,800,800,800,800,-,800
82,07/06/2023,800,800,800,800,-,800
83,08/06/2023,800,800,800,800,-,800
84,09/06/2023,900,700,900,900,2013731,900
85,12/06/2023,800,800,800,800,-,800
86,13/06/2023,800,800,800,800,-,800
