,Date,High,Low,Open,Close,Volume,Adj Close
0,10/05/2021,72000,70000,70000,72000,223030,72000
1,11/05/2021,72000,70000,71200,71300,591662,71300
2,12/05/2021,72000,70900,71300,71000,88303,71000
3,13/05/2021,71100,70300,71100,70600,169414,70600
4,14/05/2021,70800,68400,70600,69000,500003,69000
5,17/05/2021,70000,68900,69000,69700,218000,69700
6,18/05/2021,69900,69300,69700,69800,255715,69800
7,19/05/2021,70000,68500,69300,69000,85170,69000
8,20/05/2021,69500,68800,68800,69300,161408,69300
9,21/05/2021,69900,69200,69200,69900,369560,69900
10,24/05/2021,69900,69100,69700,69900,202900,69900
11,25/05/2021,70200,69500,70000,70000,428180,70000
12,26/05/2021,70100,69700,69700,69900,352042,69900
13,27/05/2021,70000,68500,70000,69400,163345,69400
14,28/05/2021,69400,68400,69300,68500,119480,68500
15,31/05/2021,68800,66000,68800,66800,213605,66800
16,01/06/2021,68200,66700,66700,67500,648350,67500
17,02/06/2021,67600,66800,67400,67400,200657,67400
18,03/06/2021,69300,67400,67400,68600,105255,68600
19,04/06/2021,69000,67000,68600,67000,357543,67000
20,07/06/2021,69500,67500,67600,69500,259030,69500
21,08/06/2021,72500,68900,69500,69600,1160735,69600
22,09/06/2021,71300,69600,70200,71100,238623,71100
23,10/06/2021,71200,69800,71100,69800,145455,69800
24,11/06/2021,72000,70200,70500,72000,360605,72000
25,14/06/2021,73100,72000,72000,72700,343894,72700
26,15/06/2021,73400,72100,73000,72100,138040,72100
27,16/06/2021,73000,71000,73000,72000,105888,72000
28,17/06/2021,71500,70500,71500,71400,166172,71400
29,18/06/2021,72000,71000,71000,71500,50939,71500
30,21/06/2021,72400,71000,71500,71600,215495,71600
31,22/06/2021,74100,72300,72500,73500,565963,73500
32,23/06/2021,74100,73200,73400,73900,84530,73900
33,24/06/2021,74000,72000,73900,73600,121638,73600
34,25/06/2021,76200,73800,73800,75600,464623,75600
35,28/06/2021,77200,75600,76000,77100,280387,77100
36,29/06/2021,77000,74700,77000,75000,342669,75000
37,30/06/2021,76000,74600,75300,75300,349444,75300
38,01/07/2021,78500,75000,75400,78400,588001,78400
39,02/07/2021,78700,77600,77600,78300,266073,78300
40,05/07/2021,78300,76800,78000,77000,110202,77000
41,06/07/2021,77000,74400,77000,75000,179512,75000
42,07/07/2021,76000,74900,75000,75700,141882,75700
43,08/07/2021,77700,75500,75700,77300,460499,77300
44,09/07/2021,77300,74900,77300,75000,177517,75000
45,12/07/2021,75300,72000,75000,72200,200027,72200
46,13/07/2021,75000,71400,72800,74900,121074,74900
47,14/07/2021,75000,74000,74000,75000,91649,75000
48,15/07/2021,76600,74500,74700,76300,65228,76300
49,16/07/2021,76800,75300,76700,76000,105817,76000
50,19/07/2021,75800,72800,75800,73000,137999,73000
51,20/07/2021,73700,72100,73500,73400,62910,73400
52,21/07/2021,73400,72800,73200,73000,69454,73000
53,22/07/2021,73100,73100,73100,73100,-,73100
54,23/07/2021,73100,73100,73100,73100,-,73100
55,26/07/2021,73100,73100,73100,73100,-,73100
56,27/07/2021,73100,73100,73100,73100,-,73100
57,28/07/2021,73100,73100,73100,73100,-,73100
58,29/07/2021,73100,73100,73100,73100,-,73100
59,30/07/2021,76000,73100,73100,75800,197077,75800
60,02/08/2021,75400,74500,74500,74900,88848,74900
61,03/08/2021,77000,74100,74100,76600,404419,76600
62,04/08/2021,77200,76200,76200,76600,54451,76600
63,05/08/2021,76600,75200,76200,76600,296186,76600
64,06/08/2021,77000,76200,76600,76700,113655,76700
65,09/08/2021,76700,75600,76700,76000,167646,76000
66,10/08/2021,76900,75900,76100,76300,109501,76300
67,11/08/2021,77500,75900,76900,77000,115760,77000
68,12/08/2021,79500,76200,77000,79000,460608,79000
69,13/08/2021,80000,78000,79000,78800,161562,78800
70,16/08/2021,80500,78800,79000,79900,181838,79900
71,17/08/2021,80800,78100,80800,78400,175094,78400
72,18/08/2021,79500,77000,79500,77400,145340,77400
73,19/08/2021,78600,75600,77000,78600,147318,78600
74,20/08/2021,79600,76400,78300,77800,180486,77800
75,23/08/2021,77000,75600,76100,76000,123042,76000
76,24/08/2021,76000,74500,76000,76000,219888,76000
77,25/08/2021,76800,74800,75600,75500,65635,75500
78,26/08/2021,77400,75500,75500,77100,163597,77100
79,27/08/2021,77200,76500,76500,77200,163810,77200
80,30/08/2021,79100,76800,77200,79100,167513,79100
81,31/08/2021,79200,77100,79200,77500,55565,77500
82,01/09/2021,78200,77000,77500,77500,282006,77500
83,06/09/2021,77800,76500,77800,77000,106823,77000
84,07/09/2021,78800,76200,76200,78200,122952,78200
85,08/09/2021,80000,77800,78000,78700,226880,78700
86,09/09/2021,84800,79500,79500,83000,693955,83000
87,10/09/2021,85500,82300,83000,83500,366840,83500
88,13/09/2021,84600,82700,84400,83700,213578,83700
89,14/09/2021,83700,82000,83700,83000,223050,83000
90,15/09/2021,83500,81500,82900,83000,143567,83000
91,16/09/2021,84200,82900,84000,84100,193865,84100
92,17/09/2021,84000,82200,83300,84000,275355,84000
93,20/09/2021,84000,82400,84000,82400,53984,82400
94,21/09/2021,82000,80600,82000,81400,94913,81400
95,22/09/2021,85000,80600,81100,83700,133877,83700
96,23/09/2021,85300,83100,84000,85000,232354,85000
97,24/09/2021,85000,80000,80000,84900,70568,84900
98,27/09/2021,85500,83000,84900,84300,93905,84300
99,28/09/2021,84000,82600,83500,83000,38450,83000
100,29/09/2021,84500,82200,83000,83600,50081,83600
101,30/09/2021,84500,83000,84500,83100,37381,83100
102,01/10/2021,84000,82800,83700,83000,60660,83000
103,04/10/2021,85300,83000,84300,85000,105497,85000
104,05/10/2021,86200,85000,85200,85500,218432,85500
105,06/10/2021,86400,85500,85700,85600,33142,85600
106,07/10/2021,86300,85000,86200,86000,48551,86000
107,08/10/2021,86300,85000,86300,85000,87492,85000
108,11/10/2021,86200,85000,85000,86200,54014,86200
109,12/10/2021,87700,86200,86500,87700,122502,87700
110,13/10/2021,88000,85500,87400,86800,69912,86800
111,14/10/2021,87000,85600,86800,86600,99211,86600
112,15/10/2021,87000,86000,86100,86200,47800,86200
113,18/10/2021,86200,85000,86200,85300,74113,85300
114,19/10/2021,85400,84700,85400,85000,65421,85000
115,20/10/2021,86500,85100,85100,86400,18609,86400
116,21/10/2021,86600,85500,85500,86200,51710,86200
117,22/10/2021,86500,85700,86200,86500,18911,86500
118,25/10/2021,86100,85100,86100,85500,38261,85500
119,26/10/2021,85400,84800,85400,85200,34628,85200
120,27/10/2021,85900,85100,85200,85100,549803,85100
121,28/10/2021,86300,84400,85500,86300,115849,86300
122,29/10/2021,87100,85900,86300,87100,155890,87100
123,01/11/2021,87100,86000,87000,86000,58303,86000
124,02/11/2021,86000,84500,85100,85800,74778,85800
125,03/11/2021,85800,84800,85500,85800,164089,85800
126,04/11/2021,86800,85100,85100,86600,61824,86600
127,05/11/2021,87400,85600,85600,87000,96754,87000
128,08/11/2021,88100,85600,85600,87800,91326,87800
129,09/11/2021,87500,86100,87300,87300,89284,87300
130,10/11/2021,86200,85600,86000,85600,41350,85600
131,11/11/2021,86200,85300,85600,85300,37693,85300
132,12/11/2021,86400,85200,85200,86400,17506,86400
133,15/11/2021,86000,85300,85800,85500,29051,85500
134,16/11/2021,86400,85400,85600,86000,56344,86000
135,17/11/2021,87800,85900,85900,86800,227967,86800
136,18/11/2021,88000,86500,87000,87000,40069,87000
137,19/11/2021,87700,86000,87100,86500,80451,86500
138,22/11/2021,86600,85300,86500,85400,75958,85400
139,23/11/2021,85700,84800,85000,85000,98568,85000
140,24/11/2021,85400,84100,85100,84500,200700,84500
141,25/11/2021,85000,84200,85000,84500,21995,84500
142,26/11/2021,84500,83500,84500,84100,121358,84100
143,29/11/2021,83000,81000,83000,81900,155648,81900
144,30/11/2021,84000,81100,81500,81100,53282,81100
145,01/12/2021,81200,80300,81200,80600,52867,80600
146,02/12/2021,80600,80000,80600,80300,51467,80300
147,03/12/2021,81200,80000,81000,80000,19747,80000
148,06/12/2021,80000,78200,80000,78500,46310,78500
149,07/12/2021,80800,78800,78800,80000,133946,80000
150,08/12/2021,81100,80000,80000,81100,113944,81100
151,09/12/2021,82500,81100,81100,82100,165047,82100
152,10/12/2021,83200,82000,82600,82000,12980,82000
