,Date,High,Low,Open,Close,Volume,Adj Close
0,04/04/2022,25000,25000,25000,25000,100,23100
1,05/04/2022,25000,25000,25000,25000,2533,23100
2,06/04/2022,25000,25000,25000,25000,12400,23100
3,07/04/2022,25000,25000,25000,25000,200,23100
4,08/04/2022,25900,25700,25700,25800,4100,23800
5,12/04/2022,26500,25700,26500,25700,400,23700
6,13/04/2022,26100,26100,26100,25700,509014,24100
7,14/04/2022,26100,26100,26100,25700,1,24100
8,15/04/2022,25500,25000,25100,25000,12000,23100
9,18/04/2022,25100,25100,25100,25100,3000,23200
10,19/04/2022,26000,25500,25500,26000,15000,24000
11,20/04/2022,25400,25200,25200,25300,2415,23400
12,21/04/2022,25500,25300,25300,25500,32601,23600
13,22/04/2022,25400,25400,25400,25400,2310,23500
14,25/04/2022,25400,25400,25400,25400,5079,23500
15,26/04/2022,25400,25400,25400,25400,3800,23500
16,27/04/2022,25400,25400,25400,25400,100,23500
17,28/04/2022,25900,25900,25900,25900,1800,23900
18,29/04/2022,25900,25900,25900,25900,-,23900
19,04/05/2022,25900,25000,25900,25000,4400,23100
20,05/05/2022,25300,24500,25300,24500,2400,22600
21,06/05/2022,24600,24600,24600,24600,100,22700
22,09/05/2022,24500,24000,24500,24000,2300,22200
23,10/05/2022,24500,24100,24100,24500,2000,22600
24,11/05/2022,24000,24000,24000,24000,1900,22200
25,12/05/2022,23700,22100,23700,22100,2010,20400
26,13/05/2022,22000,22000,22000,22000,120,20300
27,16/05/2022,22000,22000,22000,22000,361600,20300
28,17/05/2022,23000,23000,23000,23000,1000,21300
29,18/05/2022,22000,22000,22000,22000,1300,20300
30,19/05/2022,22000,22000,22000,22000,16,20300
31,20/05/2022,22000,22000,22000,22000,1400,20300
32,23/05/2022,23900,20000,20000,20500,810,18900
33,24/05/2022,20700,20700,20700,20700,-,19100
34,25/05/2022,20700,20700,20700,20700,-,19100
35,26/05/2022,22900,22500,22900,22500,2600,20800
36,27/05/2022,22500,22500,22500,22500,5,20800
37,30/05/2022,23500,23500,23500,23500,3100,21700
38,31/05/2022,24000,23600,23600,24000,1010,22200
39,01/06/2022,24000,23600,23600,24000,1300,22200
40,02/06/2022,23600,23600,23600,23600,600,21800
41,03/06/2022,23600,23600,23600,23600,100,21800
42,06/06/2022,24000,24000,24000,24000,200,22200
43,07/06/2022,24000,23600,23600,24000,1200,22200
44,08/06/2022,24000,24000,24000,24000,100,22200
45,09/06/2022,24000,24000,24000,24000,-,22200
46,10/06/2022,24500,21000,24000,24500,1600,22600
47,13/06/2022,23700,23700,23700,23700,100,21900
48,14/06/2022,23500,23500,23500,23500,1205,21700
49,15/06/2022,23500,23500,23500,23500,1000,21700
50,16/06/2022,24100,24100,24100,24100,600,22300
51,17/06/2022,24000,23400,24000,23400,2313,21600
