,Date,High,Low,Open,Close,Volume,Adj Close
0,29/09/2021,14800,13800,14000,14600,256900,14300
1,30/09/2021,15500,14300,14500,14500,153418,14200
2,01/10/2021,14700,14300,14400,14300,81300,14000
3,04/10/2021,14300,13600,14300,14000,445800,13700
4,05/10/2021,14300,13800,13800,14100,72318,13800
5,06/10/2021,14300,14000,14200,14100,183600,13800
6,07/10/2021,14200,13900,14100,14000,105400,13700
7,08/10/2021,14000,13800,14000,13900,123300,13600
8,11/10/2021,14000,13800,13900,13800,148000,13500
9,12/10/2021,13900,13700,13800,13800,148001,13500
10,13/10/2021,13900,13700,13800,13800,100323,13500
11,14/10/2021,14700,13700,13700,14600,295511,14300
12,15/10/2021,14600,14200,14500,14300,116000,14000
13,18/10/2021,14400,14000,14400,14100,84502,13800
14,19/10/2021,14900,14000,14100,14400,153400,14100
15,20/10/2021,14400,14100,14400,14300,106700,14000
16,21/10/2021,14400,14000,14200,14300,107910,14000
17,22/10/2021,15300,14300,14300,15100,419600,14800
18,25/10/2021,15400,14900,15400,15000,210200,14700
19,26/10/2021,15100,14600,15100,14800,124728,14500
20,27/10/2021,15600,14600,14800,15500,480923,15200
21,28/10/2021,15600,15100,15400,15100,204130,14800
22,29/10/2021,15400,14900,15400,15200,168302,14900
23,01/11/2021,15300,14800,15300,15100,386767,14800
24,02/11/2021,16500,14900,15000,16000,504100,15700
25,03/11/2021,16400,15200,16100,15600,310869,15300
26,04/11/2021,15600,15200,15600,15400,211747,15100
27,05/11/2021,16100,15300,15300,15800,278722,15500
28,08/11/2021,16800,15800,15900,16100,249345,15800
29,09/11/2021,16200,15700,16000,16000,154100,15700
30,10/11/2021,16000,15600,15900,15700,222300,15400
31,11/11/2021,15900,15300,15800,15700,270327,15400
32,12/11/2021,16600,15500,15600,16500,705075,16200
33,15/11/2021,16900,16200,16600,16400,321625,16100
34,16/11/2021,16400,15800,16400,16000,198137,15700
35,17/11/2021,16200,15500,16000,16000,252600,15700
36,18/11/2021,16200,15700,16000,16200,309822,15900
37,19/11/2021,16500,15400,16300,15800,478416,15500
38,22/11/2021,15800,14800,15800,15100,298518,14800
39,23/11/2021,15200,14700,15100,15000,228300,14700
40,24/11/2021,15100,14600,15000,14900,227900,14600
41,25/11/2021,15000,14600,14900,15000,168111,14700
42,26/11/2021,15400,14700,15000,14900,96025,14600
43,29/11/2021,14800,14000,14800,14700,113821,14400
44,30/11/2021,15100,14400,14700,14700,222803,14400
45,01/12/2021,14700,14500,14600,14500,150500,14200
46,02/12/2021,15000,14500,14500,14600,97300,14300
47,03/12/2021,14900,14200,14900,14400,210405,14100
48,06/12/2021,14400,13600,14200,13900,237900,13600
49,07/12/2021,14700,14000,14000,14500,134579,14200
50,08/12/2021,14600,14300,14500,14400,155800,14100
51,09/12/2021,14600,14300,14400,14500,46705,14200
52,10/12/2021,14600,14400,14400,14400,57121,14100
53,13/12/2021,14600,14300,14400,14600,92700,14300
54,14/12/2021,14700,14500,14600,14600,103521,14300
55,15/12/2021,14600,14500,14600,14600,126400,14300
56,16/12/2021,15700,14600,14600,15300,230620,15000
57,17/12/2021,15400,14900,15300,15100,104136,14800
58,20/12/2021,15400,15000,15400,15300,133404,15000
59,21/12/2021,15500,15000,15300,15500,190718,15200
60,22/12/2021,16200,15400,15400,16000,328446,15700
61,23/12/2021,16500,16000,16200,16500,398330,16200
62,24/12/2021,16400,16000,16300,16100,125711,15800
63,27/12/2021,16100,15600,16100,15800,147700,15500
64,28/12/2021,15900,15100,15800,15900,225001,15600
65,29/12/2021,16500,15800,16000,16500,300400,16200
66,30/12/2021,18300,16500,16500,16800,358692,16500
67,31/12/2021,18200,15900,16400,18200,977852,17800
68,04/01/2022,17700,16000,17600,16000,384908,15700
69,05/01/2022,16100,15600,16100,15700,175600,15400
70,06/01/2022,16900,15500,16500,16000,54564,15700
71,07/01/2022,16000,15600,16000,15700,104300,15400
72,10/01/2022,15700,15000,15700,15300,172133,15000
73,11/01/2022,15300,15100,15100,15100,32000,14800
74,12/01/2022,15400,14600,15200,14800,70758,14500
75,13/01/2022,15700,14800,14800,15200,67146,14900
76,14/01/2022,15400,14900,15200,15100,40474,14800
77,17/01/2022,15000,14200,15000,14600,129100,14300
78,18/01/2022,14500,14000,14000,14400,66400,14100
79,19/01/2022,14700,14100,14100,14500,15200,14200
80,20/01/2022,15000,14500,14500,15000,31400,14700
81,21/01/2022,15400,15000,15000,15200,29500,14900
82,24/01/2022,15100,14500,15100,14500,20302,14200
83,25/01/2022,14900,14500,14800,14900,12200,14600
84,26/01/2022,14900,14600,14900,14600,9230,14300
85,27/01/2022,14700,14300,14700,14300,23100,14000
86,28/01/2022,15200,14000,14700,14000,32400,13700
87,07/02/2022,14900,14400,14400,14800,8115,14500
88,08/02/2022,14900,14800,14800,14800,9700,14500
89,09/02/2022,15100,14700,14700,14800,26900,14500
90,10/02/2022,14900,14800,14800,14900,23030,14600
91,11/02/2022,14900,14600,14900,14800,13107,14500
92,14/02/2022,14800,14600,14800,14600,23100,14300
93,15/02/2022,14800,14600,14600,14700,14400,14400
94,16/02/2022,15000,14700,14800,15000,68700,14700
95,17/02/2022,15100,14900,15000,15000,40601,14700
96,18/02/2022,15000,14900,15000,15000,20223,14700
97,21/02/2022,15100,14800,15000,15100,60410,14800
98,22/02/2022,15100,14700,15100,14800,49400,14500
99,23/02/2022,15200,15000,15000,15200,120900,14900
100,24/02/2022,15300,14800,15300,15000,50920,14700
101,25/02/2022,15800,15000,15000,15700,227400,15400
102,28/02/2022,16200,15700,15700,16200,235130,16100
103,01/03/2022,16500,15900,16500,15900,104310,15800
104,02/03/2022,16300,15300,15900,15900,262765,15800
105,03/03/2022,16200,15700,16000,16100,174566,16000
106,04/03/2022,16100,15800,16100,15800,76516,15700
107,07/03/2022,16500,15800,15800,16200,477230,16100
108,08/03/2022,17000,15900,17000,15900,155800,15800
109,09/03/2022,16500,15800,15800,15800,107300,15700
110,10/03/2022,15800,15400,15700,15600,190800,15500
111,11/03/2022,16100,15500,15500,15600,201500,15500
112,14/03/2022,15800,15200,15800,15300,173900,15200
113,15/03/2022,15400,14900,15300,15100,124206,15000
114,16/03/2022,15200,15000,15100,15200,49800,15100
115,17/03/2022,15400,15000,15200,15100,66200,15000
116,18/03/2022,15200,15000,15100,15000,100000,14900
117,21/03/2022,17000,15100,15100,16800,908699,16700
118,22/03/2022,17200,16500,16900,16600,256200,16500
119,23/03/2022,17100,16500,16800,17000,386742,16900
120,24/03/2022,17400,16800,17000,16900,251355,16800
121,25/03/2022,17500,16800,17000,17200,175528,17100
122,28/03/2022,17500,16900,17200,17100,180612,17000
123,29/03/2022,17300,16900,17100,17000,191900,16900
124,30/03/2022,17000,16600,16900,17000,389600,16900
125,31/03/2022,17000,16700,16700,16700,83300,16600
126,01/04/2022,17000,16500,16700,17000,242901,16900
127,04/04/2022,17000,16800,17000,16900,261700,16800
128,05/04/2022,17000,16800,16900,16800,52300,16700
129,06/04/2022,16900,16700,16800,16800,48000,16700
130,07/04/2022,18100,16700,16800,17500,192606,17400
131,08/04/2022,18300,16900,16900,18000,327628,17900
132,12/04/2022,18100,17300,18000,17500,160740,17400
133,13/04/2022,17900,17500,17600,17800,103140,17700
134,14/04/2022,18000,17600,17800,17600,907431,17500
135,15/04/2022,17900,17600,17800,17800,383705,17700
136,18/04/2022,17700,17200,17700,17300,146957,17200
137,19/04/2022,17900,17200,17300,17400,5099800,17300
138,20/04/2022,17500,17200,17500,17500,71410,17400
139,21/04/2022,17400,16500,17200,17200,3360300,17100
140,22/04/2022,17500,17000,17100,17300,386604,17200
141,25/04/2022,17600,16400,17200,16900,3108900,16800
142,26/04/2022,17200,16400,16400,17000,862921,16900
143,27/04/2022,17500,16800,17000,17000,3069600,16900
144,28/04/2022,17200,16900,17200,17000,20300,16900
145,29/04/2022,17100,16900,17000,17100,3919400,17000
146,04/05/2022,17100,16800,17100,16900,35502,16800
147,05/05/2022,17000,16700,16900,16700,151164,16600
148,06/05/2022,16800,16500,16700,16700,36400,16600
149,09/05/2022,16600,15900,16500,16200,79300,16100
150,10/05/2022,16200,15600,16200,16200,61364,16100
151,11/05/2022,16000,15700,15900,15900,12200,15800
152,12/05/2022,15800,15400,15700,15600,24100,15500
153,13/05/2022,17000,14700,17000,15000,62600,14900
154,16/05/2022,15400,15000,15000,15200,8100,15100
155,17/05/2022,15000,14900,15000,15000,63900,14900
156,18/05/2022,16000,14800,16000,15000,27500,14900
157,19/05/2022,14900,14000,14800,14400,21501,14300
158,20/05/2022,14500,14000,14500,14400,80204,14300
159,23/05/2022,14700,14400,14400,14400,24400,14300
160,24/05/2022,14600,14400,14600,14500,6400,14400
161,25/05/2022,14700,14200,14700,14500,30500,14400
162,26/05/2022,14700,14500,14500,14700,49701,14600
163,27/05/2022,15200,13000,14700,14600,808300,14500
164,30/05/2022,15200,14400,15200,14400,4700,14300
165,31/05/2022,15000,14600,15000,14800,18706,14700
166,01/06/2022,14500,14200,14500,14300,289400,14200
167,02/06/2022,14800,14200,14300,14600,38300,14500
168,03/06/2022,15800,14600,14600,15000,1298700,14900
169,06/06/2022,15000,14600,15000,14600,13605,14500
170,07/06/2022,15200,14800,14800,15200,31200,15100
171,08/06/2022,15400,15000,15200,15000,26200,14900
172,09/06/2022,15300,14600,15300,14600,16400,14500
173,10/06/2022,14900,14800,14800,14800,12400,14700
174,13/06/2022,14800,14300,14800,14300,51301,14200
175,14/06/2022,14700,14500,14500,14700,33100,14600
176,15/06/2022,15200,14500,15100,14600,44600,14500
177,16/06/2022,15300,14800,15100,14900,27301,14800
178,17/06/2022,14800,14500,14800,14800,1267900,14700
179,20/06/2022,14900,14400,14700,14500,1239600,14400
180,21/06/2022,14600,14100,14500,14600,11701,14500
181,22/06/2022,14500,14200,14500,14300,8900,14200
182,23/06/2022,15200,14300,14300,15000,53700,14900
183,24/06/2022,15000,14800,15000,14800,10400,14700
184,27/06/2022,15000,14600,15000,14800,23800,14700
185,28/06/2022,14900,14900,14900,14900,7100,14800
186,29/06/2022,15000,14800,15000,14900,8100,14800
187,30/06/2022,14900,14500,14900,14700,1229300,14600
188,01/07/2022,14900,14500,14800,14900,661400,14800
189,04/07/2022,15000,14700,14700,14900,2900,14800
190,05/07/2022,14900,14800,14800,14800,8500,14700
191,06/07/2022,14600,14600,14600,14600,36700,14500
192,07/07/2022,14800,14500,14800,14700,38100,14600
193,08/07/2022,14800,14400,14600,14800,17400,14700
194,11/07/2022,14600,14500,14500,14500,16200,14400
195,12/07/2022,14600,14500,14500,14500,7400,14400
196,13/07/2022,14800,14700,14700,14800,12600,14700
197,14/07/2022,15000,14900,15000,15000,16300,14900
198,15/07/2022,14900,14600,14900,14700,2891300,14600
199,18/07/2022,15200,14800,14800,15000,2791100,14900
200,19/07/2022,15000,14500,15000,14600,51600,14500
201,20/07/2022,14800,14600,14600,14700,1263100,14600
202,21/07/2022,15100,14700,14700,15000,1550300,14900
203,22/07/2022,15000,14600,14900,15000,62802,14900
204,25/07/2022,15000,14700,15000,14800,1053100,14700
205,26/07/2022,14800,13100,14500,14700,14000,14600
206,27/07/2022,15000,14300,14600,15000,1741100,14900
207,28/07/2022,15100,14700,15000,14900,1319000,14800
208,29/07/2022,15000,14800,15000,14900,19100,14800
209,01/08/2022,15200,14700,15200,14900,5700,14800
210,02/08/2022,15100,14600,15100,14700,789200,14600
211,03/08/2022,14900,14400,14900,14800,32200,14700
212,04/08/2022,14800,14500,14800,14700,46800,14600
213,05/08/2022,14700,14500,14600,14600,7600,14500
214,08/08/2022,14900,14600,14900,14800,42200,14700
215,09/08/2022,14800,14500,14800,14700,14000,14600
216,10/08/2022,14700,14500,14700,14500,19300,14400
217,11/08/2022,14800,14300,14800,14700,20200,14600
218,12/08/2022,14600,14400,14500,14500,17500,14400
219,15/08/2022,14500,14300,14300,14500,18100,14400
220,16/08/2022,14400,14300,14400,14300,34002,14200
221,17/08/2022,14400,14100,14400,14200,19700,14100
222,18/08/2022,14300,14000,14200,14100,53600,14000
223,19/08/2022,14100,13800,14100,14000,33100,13900
224,22/08/2022,14000,13500,14000,13500,26700,13400
225,23/08/2022,13600,13300,13500,13500,59200,13400
226,24/08/2022,14000,13400,13400,13900,42500,13800
227,25/08/2022,14300,13900,14100,14100,29200,14100
228,26/08/2022,14100,13800,14100,14000,18700,14000
229,29/08/2022,13800,13300,13600,13700,29900,13700
230,30/08/2022,13900,13500,13600,13800,45900,13800
231,31/08/2022,13900,13500,13500,13900,808300,13900
232,05/09/2022,13800,13600,13800,13700,4500,13700
233,06/09/2022,13900,13500,13600,13800,20100,13800
234,07/09/2022,13800,13300,13500,13800,15100,13800
235,08/09/2022,13500,13400,13500,13500,6600,13500
236,09/09/2022,13700,13100,13700,13500,19045,13500
237,12/09/2022,13500,13300,13300,13500,1300,13500
238,13/09/2022,13600,13500,13500,13600,1622920,13600
239,14/09/2022,13600,13500,13600,13600,15547,13600
240,15/09/2022,13700,13500,13700,13600,96115,13600
241,16/09/2022,13600,13400,13600,13600,537410,13600
242,19/09/2022,13500,13300,13400,13500,35100,13500
243,20/09/2022,13500,12900,13500,13400,30600,13400
244,21/09/2022,13400,12800,13400,13300,11700,13300
245,22/09/2022,13300,12800,13000,13300,1020800,13300
246,23/09/2022,13300,12900,13300,13200,7500,13200
247,26/09/2022,13300,12800,13300,13100,13100,13100
248,27/09/2022,13300,12800,13300,13200,18435,13200
249,28/09/2022,13000,12800,13000,13000,7000,13000
250,29/09/2022,13200,12800,13000,13000,9515,13000
