,Date,High,Low,Open,Close,Volume,Adj Close
0,02/02/2023,4700,4600,4600,4700,900,4700
1,03/02/2023,4800,4800,4800,4800,700,4800
2,06/02/2023,4800,4800,4800,4800,-,4800
3,07/02/2023,4800,4800,4800,4800,400,4800
4,08/02/2023,4900,4800,4800,4900,2700,4900
5,09/02/2023,4900,4900,4900,4900,1000,4900
6,10/02/2023,5000,4700,4900,5000,2400,5000
7,13/02/2023,5000,4700,5000,4800,1100,4800
8,14/02/2023,4800,4800,4800,4800,400,4800
9,15/02/2023,4800,4800,4800,4800,-,4800
10,16/02/2023,5100,5000,5000,5100,300,5100
11,17/02/2023,4800,4300,4300,4800,200,4800
12,20/02/2023,4800,4800,4800,4800,300,4800
13,21/02/2023,5100,5000,5000,5000,500,5000
14,22/02/2023,5300,5300,5300,5300,100,5300
15,23/02/2023,5300,5300,5300,5300,-,5300
16,24/02/2023,5000,5000,5000,5000,500,5000
17,27/02/2023,5000,5000,5000,5000,-,5000
18,28/02/2023,5000,5000,5000,5000,-,5000
19,01/03/2023,5000,5000,5000,5000,-,5000
20,02/03/2023,5000,5000,5000,5000,500,5000
21,03/03/2023,5700,5000,5000,5700,4500,5700
22,06/03/2023,6100,5600,5600,6100,1600,6100
23,07/03/2023,5700,5700,5700,5700,200,5700
24,08/03/2023,5700,5700,5700,5700,300,5700
25,09/03/2023,6200,5700,5700,6200,200,6200
26,10/03/2023,6000,6000,6000,6000,-,6000
27,13/03/2023,6700,6100,6200,6300,700,6300
28,14/03/2023,6200,6200,6200,6200,100,6200
29,15/03/2023,6300,6000,6000,6300,6000,6300
30,16/03/2023,6300,6300,6300,6300,-,6300
31,17/03/2023,6300,6300,6300,6300,-,6300
32,20/03/2023,6300,6300,6300,6300,100,6300
33,21/03/2023,6300,6000,6300,6000,400,6000
34,22/03/2023,6100,6100,6100,6100,-,6100
35,23/03/2023,6100,6100,6100,6100,-,6100
36,24/03/2023,6100,6100,6100,6100,-,6100
37,27/03/2023,6000,6000,6000,6000,100,6000
38,28/03/2023,5200,5100,5200,5100,500,5100
39,29/03/2023,5500,5500,5500,5500,100,5500
40,30/03/2023,5500,5500,5500,5500,1000,5500
41,31/03/2023,5500,5500,5500,5500,-,5500
42,03/04/2023,5400,5400,5400,5400,1000,5400
43,04/04/2023,5400,5400,5400,5400,-,5400
44,05/04/2023,5600,5400,5400,5600,1600,5600
45,06/04/2023,5500,5500,5500,5500,-,5500
46,07/04/2023,5500,5500,5500,5500,-,5500
47,10/04/2023,5400,5400,5400,5400,600,5400
48,11/04/2023,5400,5200,5200,5400,600,5400
49,12/04/2023,5900,5400,5900,5900,1600,5900
50,13/04/2023,6700,5900,6200,6700,3300,6700
51,14/04/2023,6700,6700,6700,6700,100,6700
52,17/04/2023,6700,5700,5700,6600,500,6600
53,18/04/2023,6500,6500,6500,6500,-,6500
54,19/04/2023,6400,6400,6400,6400,100,6400
55,20/04/2023,6400,6400,6400,6400,-,6400
56,21/04/2023,6400,6400,6400,6400,-,6400
57,24/04/2023,6400,6400,6400,6400,600,6400
58,25/04/2023,6400,6400,6400,6400,300,6400
59,26/04/2023,6400,6400,6400,6400,400,6400
60,27/04/2023,6400,6400,6400,6400,-,6400
61,28/04/2023,6200,6200,6200,6200,100,6200
62,04/05/2023,6500,5300,6100,6500,801,6500
63,05/05/2023,6200,4800,5600,6200,202900,6200
64,08/05/2023,5500,5500,5500,5500,100,5500
65,09/05/2023,6200,6200,6200,6200,100,6200
66,10/05/2023,6200,6200,6200,6200,-,6200
67,11/05/2023,6500,6100,6100,6500,500,6500
68,12/05/2023,6500,6200,6200,6500,2100,6500
69,15/05/2023,7000,7000,7000,7000,900,7000
70,16/05/2023,7000,7000,7000,7000,-,7000
71,17/05/2023,7000,7000,7000,7000,-,7000
72,18/05/2023,7000,7000,7000,7000,-,7000
73,19/05/2023,7000,7000,7000,7000,-,7000
74,22/05/2023,7000,7000,7000,7000,-,7000
75,23/05/2023,7000,7000,7000,7000,-,7000
76,24/05/2023,7000,7000,7000,7000,6100,7000
77,25/05/2023,7000,7000,7000,7000,-,7000
78,26/05/2023,7000,7000,7000,7000,-,7000
79,29/05/2023,7900,6900,7900,7000,12200,7000
80,30/05/2023,7300,7000,7000,7000,700,7000
81,31/05/2023,7000,7000,7000,7000,-,7000
82,01/06/2023,7000,7000,7000,7000,-,7000
83,02/06/2023,7700,7500,7500,7700,200,7700
84,05/06/2023,7600,7600,7600,7600,-,7600
85,06/06/2023,8400,8400,8400,8400,100,8400
86,07/06/2023,7200,7200,7200,7200,100,7200
87,08/06/2023,7200,7200,7200,7200,1301,7200
88,09/06/2023,7200,7200,7200,7200,101,7200
89,12/06/2023,7200,7200,7200,7200,-,7200
90,13/06/2023,7200,7100,7200,7200,2800,7200
91,14/06/2023,7200,7200,7200,7200,200,7200
92,15/06/2023,7200,7000,7000,7200,5200,7200
93,16/06/2023,7500,7100,7100,7500,1400,7500
94,19/06/2023,7100,7100,7100,7100,-,7100
95,20/06/2023,7100,7100,7100,7100,200,7100
96,21/06/2023,7100,7100,7100,7100,-,7100
97,22/06/2023,7100,7100,7100,7100,400,7100
98,23/06/2023,7100,7100,7100,7100,-,7100
99,26/06/2023,8000,7800,8000,7800,200,7800
100,27/06/2023,7900,7900,7900,7900,-,7900
101,28/06/2023,7200,7200,7200,7200,100,7200
102,29/06/2023,7200,7200,7200,7200,-,7200
103,30/06/2023,7400,7400,7400,7400,200,7400
104,03/07/2023,7400,7400,7400,7400,-,7400
105,04/07/2023,7400,7400,7400,7400,-,7400
106,05/07/2023,7400,7400,7400,7400,-,7400
107,06/07/2023,7500,7500,7500,7500,100,7500
108,07/07/2023,7400,7400,7400,7400,500,7400
109,10/07/2023,7400,7200,7200,7400,3100,7400
110,11/07/2023,7300,7000,7000,7300,3100,7300
111,12/07/2023,7200,7200,7200,7200,100,7200
112,13/07/2023,7200,7000,7200,7000,1800,7000
113,14/07/2023,7000,7000,7000,7000,-,7000
114,17/07/2023,7400,6000,6000,7400,2300,7400
115,18/07/2023,7400,7400,7400,7400,100,7400
116,19/07/2023,8500,7000,8500,7000,400,7000
117,20/07/2023,7200,7200,7200,7200,100,7200
118,21/07/2023,7200,7200,7200,7200,-,7200
119,24/07/2023,7200,7200,7200,7200,7500,7200
120,25/07/2023,7200,7200,7200,7200,9000,7200
121,26/07/2023,7200,7200,7200,7200,12900,7200
122,27/07/2023,7200,7200,7200,7200,-,7200
123,28/07/2023,7200,7200,7200,7200,6900,7200
124,31/07/2023,7200,7200,7200,7200,-,7200
125,01/08/2023,8200,6200,8200,7200,20500,7200
126,02/08/2023,7200,7000,7000,7200,1400,7200
127,03/08/2023,7200,7200,7200,7200,1800,7200
128,04/08/2023,7200,6900,7200,7200,6400,7200
129,07/08/2023,7200,6400,7100,7200,25700,7200
130,08/08/2023,7300,7200,7200,7300,300,7300
131,09/08/2023,7200,7100,7100,7200,1900,7200
132,10/08/2023,7200,7200,7200,7200,100,7200
133,11/08/2023,7200,7100,7100,7200,1100,7200
134,14/08/2023,7400,7300,7300,7400,1600,7400
135,15/08/2023,7300,7300,7300,7300,1200,7300
136,16/08/2023,7300,7300,7300,7300,-,7300
137,17/08/2023,7400,7400,7400,7400,2000,7400
138,18/08/2023,7400,7400,7400,7400,-,7400
139,21/08/2023,7400,7400,7400,7400,-,7400
140,22/08/2023,7300,7300,7300,7300,2400,7300
141,23/08/2023,7300,7300,7300,7300,-,7300
142,24/08/2023,7300,7300,7300,7300,-,7300
143,25/08/2023,7300,7300,7300,7300,-,7300
144,28/08/2023,7500,7300,7300,7500,2002,7500
145,29/08/2023,7500,7400,7400,7500,2000,7500
146,30/08/2023,7500,7500,7500,7500,1,7500
147,31/08/2023,7400,7000,7000,7400,201,7400
148,05/09/2023,7000,7000,7000,7000,2000,7000
149,06/09/2023,7100,7000,7000,7000,18602,7000
150,07/09/2023,7000,7000,7000,7000,10,7000
151,08/09/2023,7000,7000,7000,7000,100,7000
