,Date,High,Low,Open,Close,Volume,Adj Close
0,11/04/2023,2500,2500,2500,2500,-,2500
1,12/04/2023,2500,2500,2500,2500,-,2500
2,13/04/2023,2500,2500,2500,2500,-,2500
3,14/04/2023,2800,2500,2700,2800,26160,2800
4,17/04/2023,2600,2600,2600,2600,-,2600
5,18/04/2023,2600,2600,2600,2600,-,2600
6,19/04/2023,2600,2600,2600,2600,-,2600
7,20/04/2023,2600,2600,2600,2600,-,2600
8,21/04/2023,2900,2600,2600,2600,12898,2600
9,24/04/2023,2700,2700,2700,2700,-,2700
10,25/04/2023,2700,2700,2700,2700,-,2700
11,26/04/2023,2700,2700,2700,2700,-,2700
12,27/04/2023,2700,2700,2700,2700,-,2700
13,28/04/2023,2600,2300,2600,2500,34510,2500
14,04/05/2023,2300,2300,2300,2300,-,2300
15,05/05/2023,2300,2000,2300,2000,14108,2000
16,08/05/2023,2100,2100,2100,2100,-,2100
17,09/05/2023,2100,2100,2100,2100,-,2100
18,10/05/2023,2100,2100,2100,2100,-,2100
19,11/05/2023,2100,2100,2100,2100,-,2100
20,12/05/2023,2200,2100,2100,2100,10119,2100
21,15/05/2023,2100,2100,2100,2100,-,2100
22,16/05/2023,2100,2100,2100,2100,-,2100
23,17/05/2023,2100,2100,2100,2100,-,2100
24,18/05/2023,2100,2100,2100,2100,-,2100
25,19/05/2023,2300,2100,2300,2200,34130,2200
26,22/05/2023,2200,2200,2200,2200,-,2200
27,23/05/2023,2200,2200,2200,2200,-,2200
28,24/05/2023,2200,2200,2200,2200,-,2200
29,25/05/2023,2200,2200,2200,2200,-,2200
30,26/05/2023,2500,1900,2000,2400,59198,2400
31,29/05/2023,2200,2200,2200,2200,-,2200
32,30/05/2023,2200,2200,2200,2200,-,2200
33,31/05/2023,2200,2200,2200,2200,-,2200
34,01/06/2023,2200,2200,2200,2200,-,2200
35,02/06/2023,2500,2200,2200,2500,13157,2500
36,05/06/2023,2400,2400,2400,2400,-,2400
37,06/06/2023,2400,2400,2400,2400,-,2400
38,07/06/2023,2400,2400,2400,2400,-,2400
39,08/06/2023,2400,2400,2400,2400,-,2400
40,09/06/2023,2700,2100,2100,2700,8377,2700
41,12/06/2023,2700,2700,2700,2700,-,2700
42,13/06/2023,2700,2700,2700,2700,-,2700
43,14/06/2023,2700,2700,2700,2700,-,2700
44,15/06/2023,2700,2700,2700,2700,-,2700
45,16/06/2023,2800,2600,2700,2800,12308,2800
46,19/06/2023,2700,2700,2700,2700,-,2700
47,20/06/2023,2700,2700,2700,2700,-,2700
48,21/06/2023,2700,2700,2700,2700,-,2700
49,22/06/2023,2700,2700,2700,2700,-,2700
50,23/06/2023,2600,2400,2500,2600,1126,2600
51,26/06/2023,2400,2400,2400,2400,-,2400
52,27/06/2023,2400,2400,2400,2400,-,2400
53,28/06/2023,2400,2400,2400,2400,-,2400
54,29/06/2023,2400,2400,2400,2400,-,2400
55,30/06/2023,2500,2400,2400,2500,3726,2500
56,03/07/2023,2400,2400,2400,2400,-,2400
57,04/07/2023,2400,2400,2400,2400,-,2400
58,05/07/2023,2400,2400,2400,2400,-,2400
59,06/07/2023,2400,2400,2400,2400,-,2400
60,07/07/2023,2500,2400,2400,2500,1209,2500
61,10/07/2023,2400,2400,2400,2400,-,2400
62,11/07/2023,2400,2400,2400,2400,-,2400
63,12/07/2023,2400,2400,2400,2400,-,2400
64,13/07/2023,2400,2400,2400,2400,-,2400
65,14/07/2023,2500,2400,2400,2500,13909,2500
66,17/07/2023,2500,2500,2500,2500,-,2500
67,18/07/2023,2500,2500,2500,2500,-,2500
68,19/07/2023,2500,2500,2500,2500,-,2500
69,20/07/2023,2500,2500,2500,2500,-,2500
70,21/07/2023,2600,2400,2500,2400,7971,2400
71,24/07/2023,2500,2500,2500,2500,-,2500
