,Date,High,Low,Open,Close,Volume,Adj Close
0,29/08/2023,25400,24800,25400,24800,1700,22100
1,30/08/2023,25400,25200,25400,25200,1000,22500
2,31/08/2023,25200,25200,25200,25200,600,22500
3,05/09/2023,25200,24800,25000,24800,2166,22100
4,06/09/2023,24900,24700,24900,24700,1200,22000
5,07/09/2023,25400,25300,25400,25300,200,22600
6,08/09/2023,25400,25300,25400,25300,501,22600
7,11/09/2023,25400,25300,25400,25300,600,22600
8,12/09/2023,25000,25000,25000,25000,500,22300
9,13/09/2023,25000,24700,25000,25000,800,22300
10,14/09/2023,25400,25000,25400,25000,500,22300
11,15/09/2023,25200,25100,25200,25100,200,22400
12,18/09/2023,28000,25000,25300,25000,1261,22300
13,19/09/2023,25300,25000,25300,25000,601,22300
14,20/09/2023,25200,25200,25200,25000,1,22500
15,21/09/2023,25300,25300,25300,25300,150,22600
16,22/09/2023,25300,25200,25300,25200,704,22500
17,25/09/2023,25200,25200,25200,25200,407,22500
18,26/09/2023,25200,25000,25200,25000,1300,22300
19,27/09/2023,24900,24900,24900,24900,211,22200
20,28/09/2023,25000,25000,25000,25000,102,22300
21,29/09/2023,25200,25200,25200,25200,800,22500
22,02/10/2023,25200,25000,25200,25000,1500,22300
23,03/10/2023,25000,25000,25000,25000,1000,22300
24,04/10/2023,25000,25000,25000,25000,625,22300
25,05/10/2023,24800,24800,24800,24800,300,22100
26,06/10/2023,24800,24800,24800,24800,1200,22100
27,09/10/2023,24800,24800,24800,24800,33569,22100
28,10/10/2023,25000,24900,25000,24900,33406,22200
29,11/10/2023,25000,25000,25000,25000,301,22300
30,12/10/2023,25000,25000,25000,25000,21230,22300
31,13/10/2023,25000,25000,25000,25000,100,22300
32,16/10/2023,24700,24700,24700,24700,400,22000
33,17/10/2023,25300,24800,25000,24800,20200,22100
34,18/10/2023,24700,24700,24700,24700,1778,22000
35,19/10/2023,24700,24700,24700,24700,44100,22000
36,20/10/2023,24700,24500,24700,24500,700,21900
37,23/10/2023,24800,24600,24800,24600,700,21900
38,24/10/2023,24500,24500,24500,24500,42194,21900
39,25/10/2023,24500,24500,24500,24500,3800,21900
40,26/10/2023,24600,24500,24500,24500,25600,21900
41,27/10/2023,24600,24600,24600,24500,26,21900
42,30/10/2023,24600,24600,24600,24600,-,21900
43,31/10/2023,24600,24600,24600,24600,-,21900
44,01/11/2023,24700,24500,24700,24500,650,21900
45,02/11/2023,24600,24500,24600,24500,500,21900
46,03/11/2023,24500,24500,24500,24500,600,21900
47,06/11/2023,24500,24500,24500,24500,200,21900
48,07/11/2023,24500,24500,24500,24500,300,21900
49,08/11/2023,24300,24000,24300,24000,1100,21400
50,09/11/2023,24500,24000,24000,24300,9642,21700
51,10/11/2023,24700,24000,24000,24500,300,21900
52,13/11/2023,24500,24200,24500,24400,540,21800
53,14/11/2023,25000,25000,25000,25000,510,22300
54,15/11/2023,24800,24000,24800,24000,2030,21400
55,16/11/2023,24800,24700,24800,24700,500,22000
56,17/11/2023,24800,24700,24700,24700,1052,22000
57,20/11/2023,24700,24100,24700,24100,600,21500
58,21/11/2023,25000,24500,24500,25000,500,22300
59,22/11/2023,25000,24100,24700,24100,2800,21500
60,23/11/2023,24700,24700,24700,24700,100,22000
61,24/11/2023,24700,24300,24700,24300,331,21700
62,27/11/2023,24800,24400,24800,24400,500,21800
63,28/11/2023,24500,24500,24500,24500,350,21900
64,29/11/2023,24600,24500,24500,24600,1000,21900
65,30/11/2023,24500,24400,24500,24400,1038,21800
66,01/12/2023,24900,24500,24500,24700,544,22000
67,04/12/2023,24700,24100,24700,24600,1200,21900
68,05/12/2023,24600,24300,24600,24300,636,21700
69,06/12/2023,25000,24500,24700,25000,5301,22300
70,07/12/2023,25000,24500,25000,24500,708,21900
71,08/12/2023,25000,24800,24800,25000,2900,22300
72,11/12/2023,24900,24900,24900,24900,3300,22200
73,12/12/2023,25000,25000,25000,25000,130,22300
74,13/12/2023,25000,25000,25000,25000,1,22300
75,14/12/2023,25800,25800,25800,25800,101,23000
76,15/12/2023,25600,25600,25600,25600,100,22800
77,18/12/2023,25800,25800,25800,25800,100,23000
78,19/12/2023,25700,25500,25500,25700,201,22900
79,20/12/2023,25100,25000,25000,25100,1602,22400
80,21/12/2023,25000,25000,25000,25000,1100,22300
81,22/12/2023,25000,25000,25000,25000,2034,22300
82,25/12/2023,27000,25100,25100,27000,200,24100
83,26/12/2023,26100,26000,26000,26100,2500,23300
84,27/12/2023,26000,25900,25900,26000,328,23200
85,28/12/2023,26000,26000,26000,26000,-,23200
86,29/12/2023,26000,26000,26000,26000,720,23200
87,02/01/2024,26000,26000,26000,26000,2700,23200
88,03/01/2024,26000,26000,26000,26000,5,23200
89,04/01/2024,26000,26000,26000,26000,72,23200
90,05/01/2024,26000,26000,26000,26000,-,23200
91,08/01/2024,26000,26000,26000,26000,-,23200
92,09/01/2024,26000,26000,26000,26000,-,23200
93,10/01/2024,25800,25800,25800,25800,1000,23000
94,11/01/2024,26000,26000,26000,26000,230,23200
95,12/01/2024,25900,25900,25900,25900,703,23100
96,15/01/2024,25900,25900,25900,25900,4,23100
97,16/01/2024,26000,25800,25800,26000,11400,23200
98,17/01/2024,25900,25900,25900,25900,100,23100
99,18/01/2024,26000,26000,26000,26000,4800,23200
100,19/01/2024,26000,26000,26000,26000,80,23200
101,22/01/2024,26000,26000,26000,26000,6000,23200
102,23/01/2024,26000,26000,26000,26000,3201,23200
103,24/01/2024,26000,26000,26000,26000,33,23200
104,25/01/2024,26900,26900,26900,26900,122,24000
105,26/01/2024,26000,26000,26000,26000,12000,23200
106,29/01/2024,26000,26000,26000,26000,800,23200
107,30/01/2024,26500,26000,26000,26500,5009,23600
108,31/01/2024,26500,26500,26500,26500,4200,23600
109,01/02/2024,27000,27000,27000,27000,6122,24100
110,02/02/2024,27000,26500,26500,27000,5015,24100
