,Date,High,Low,Open,Close,Volume,Adj Close
0,26/09/2023,40600,40600,40600,40600,-,39300
1,27/09/2023,40600,40600,40600,40600,-,39300
2,28/09/2023,40600,40600,40600,40600,-,39300
3,29/09/2023,40600,40600,40600,40600,-,39300
4,02/10/2023,40600,40600,40600,40600,50,39300
5,03/10/2023,40600,40600,40600,40600,-,39300
6,04/10/2023,38000,38000,38000,38000,100,36800
7,05/10/2023,38000,38000,38000,38000,-,36800
8,06/10/2023,38000,38000,38000,38000,1,36800
9,09/10/2023,38000,38000,38000,38000,900,36800
10,10/10/2023,38000,38000,38000,38000,45,36800
11,11/10/2023,38000,38000,38000,38000,-,36800
12,12/10/2023,38000,38000,38000,38000,30,36800
13,13/10/2023,38000,38000,38000,38000,-,36800
14,16/10/2023,38000,38000,38000,38000,-,36800
15,17/10/2023,37800,37800,37800,37800,700,36600
16,18/10/2023,37800,37800,37800,37800,-,36600
17,19/10/2023,37800,37800,37800,37800,-,36600
18,20/10/2023,37800,37800,37800,37800,1,36600
19,23/10/2023,37800,37800,37800,37800,1,36600
20,24/10/2023,37800,37800,37800,37800,1700,36600
21,25/10/2023,37000,37000,37000,37000,300,35900
22,26/10/2023,37000,37000,37000,37000,1,35900
23,27/10/2023,31700,31700,31700,31700,2300,30700
24,30/10/2023,31700,31700,31700,31700,-,30700
25,31/10/2023,31700,31700,31700,31700,-,30700
26,01/11/2023,36300,36300,36300,36300,100,35200
27,02/11/2023,36300,36300,36300,36300,-,35200
28,03/11/2023,36300,36300,36300,36300,-,35200
29,06/11/2023,36400,36400,36400,36400,100,35300
30,07/11/2023,41400,41400,41400,41400,100,40100
31,08/11/2023,41400,41400,41400,41400,16,40100
32,09/11/2023,36000,36000,36000,36000,600,34900
33,10/11/2023,36000,36000,36000,36000,-,34900
34,13/11/2023,41400,41400,41400,41400,100,40100
35,14/11/2023,41400,41400,41400,41400,-,40100
36,15/11/2023,41400,41400,41400,41400,-,40100
37,16/11/2023,41400,41400,41400,41400,-,40100
38,17/11/2023,36000,36000,36000,36000,1000,34900
39,20/11/2023,36000,36000,36000,36000,-,34900
40,21/11/2023,36000,36000,36000,36000,-,34900
41,22/11/2023,36000,36000,36000,36000,-,34900
42,23/11/2023,36000,36000,36000,36000,-,34900
43,24/11/2023,36000,36000,36000,36000,-,34900
44,27/11/2023,36000,36000,36000,36000,-,34900
45,28/11/2023,36000,36000,36000,36000,-,34900
46,29/11/2023,36000,36000,36000,36000,-,34900
47,30/11/2023,36000,36000,36000,36000,100,34900
48,01/12/2023,36000,35000,36000,35000,1600,33900
49,04/12/2023,37900,30100,30100,37900,300,36700
50,05/12/2023,35300,35300,35300,35300,-,34200
51,06/12/2023,35300,35300,35300,35300,-,34200
52,07/12/2023,35300,35300,35300,35300,-,34200
53,08/12/2023,35300,35300,35300,35300,-,34200
54,11/12/2023,35300,35300,35300,35300,-,34200
55,12/12/2023,35000,35000,35000,35000,100,33900
56,13/12/2023,35000,35000,35000,35000,-,33900
57,14/12/2023,35000,35000,35000,35000,-,33900
58,15/12/2023,35000,35000,35000,35000,-,33900
59,18/12/2023,35000,35000,35000,35000,-,33900
60,19/12/2023,35000,35000,35000,35000,-,33900
61,20/12/2023,35000,35000,35000,35000,300,33900
62,21/12/2023,35000,35000,35000,35000,1600,33900
63,22/12/2023,35000,35000,35000,35000,-,33900
64,25/12/2023,35000,35000,35000,35000,-,33900
65,26/12/2023,35000,35000,35000,35000,2600,33900
66,27/12/2023,37700,35000,37700,35000,3600,33900
67,28/12/2023,35900,35000,35000,35900,7578,34800
