,Date,High,Low,Open,Close,Volume,Adj Close
0,07/02/2022,14400,13900,14100,14400,5382,14400
1,08/02/2022,14600,14200,14500,14600,14100,14600
2,09/02/2022,15000,14000,14400,14800,11130,14800
3,10/02/2022,14900,14400,14400,14900,1402,14900
4,11/02/2022,14800,14100,14800,14100,3360,14100
5,14/02/2022,14300,14000,14300,14200,6000,14200
6,15/02/2022,14500,14200,14500,14200,6700,14200
7,16/02/2022,14300,14200,14300,14200,5503,14200
8,17/02/2022,14600,14200,14200,14400,8900,14400
9,18/02/2022,14700,14400,14400,14700,4330,14700
10,21/02/2022,14600,14500,14500,14600,9370,14600
11,22/02/2022,14600,14000,14600,14200,6901,14200
12,23/02/2022,14300,14000,14300,14000,9451,14000
13,24/02/2022,14100,14000,14100,14100,9750,14100
14,25/02/2022,14800,14100,14100,14200,13000,14200
15,28/02/2022,15000,14300,14300,14600,27188,14600
16,01/03/2022,14600,14400,14500,14500,10040,14500
17,02/03/2022,14500,14100,14500,14100,4400,14100
18,03/03/2022,14600,14100,14100,14500,12595,14500
19,04/03/2022,14400,14100,14200,14400,3820,14400
20,07/03/2022,14500,14300,14500,14500,8500,14500
21,08/03/2022,14500,14200,14500,14200,8240,14200
22,09/03/2022,14300,14200,14200,14300,5236,14300
23,10/03/2022,14500,14200,14500,14300,6158,14300
24,11/03/2022,14500,14300,14300,14300,5836,14300
25,14/03/2022,14400,14100,14400,14100,10685,14100
26,15/03/2022,14200,13700,14100,13900,7287,13900
27,16/03/2022,14200,13900,13900,14000,4023,14000
28,17/03/2022,14200,13900,14200,13900,9230,13900
29,18/03/2022,14600,14100,14100,14500,13231,14500
30,21/03/2022,15500,14100,14300,15000,58440,15000
31,22/03/2022,15300,14900,15000,15100,21301,15100
32,23/03/2022,15700,15100,15100,15600,42712,15600
33,24/03/2022,15500,15200,15400,15300,23415,15300
34,25/03/2022,15300,15200,15300,15300,15293,15300
35,28/03/2022,15300,14500,15300,14600,20063,14600
36,29/03/2022,15200,14800,15200,14800,18815,14800
37,30/03/2022,14600,14500,14500,14500,7200,14500
38,31/03/2022,14800,14500,14500,14600,4428,14600
39,01/04/2022,15100,14200,15000,15000,19103,15000
40,04/04/2022,15000,14500,15000,15000,8995,15000
41,05/04/2022,15700,14800,15000,14800,7400,14800
42,06/04/2022,14900,14600,14800,14600,10692,14600
43,07/04/2022,14500,14300,14500,14300,11606,14300
44,08/04/2022,14900,14300,14300,14400,5030,14400
45,12/04/2022,14400,14000,14400,14300,6900,14300
46,13/04/2022,14300,14000,14300,14000,2800,14000
47,14/04/2022,14100,13900,14000,13900,10967,13900
48,15/04/2022,14000,13800,14000,14000,9635,14000
49,18/04/2022,14500,13800,13800,14500,15501,14500
50,19/04/2022,14700,14000,14400,14000,13025,14000
51,20/04/2022,13900,13800,13800,13900,11300,13900
52,21/04/2022,13800,12900,13500,13100,7400,13100
53,22/04/2022,13600,13000,13000,13000,6000,13000
54,25/04/2022,13600,11900,13200,13200,19665,13200
55,26/04/2022,13000,12500,12500,13000,835,13000
56,27/04/2022,13200,13000,13000,13200,4801,13200
57,28/04/2022,13000,13000,13000,13000,1900,13000
58,29/04/2022,13100,12500,12600,13100,5294,13100
59,04/05/2022,13100,12600,13100,12600,10800,12600
60,05/05/2022,13000,12600,12600,13000,11600,13000
61,06/05/2022,13000,12700,12700,12800,15807,12800
62,09/05/2022,12900,12100,12900,12200,20470,12200
63,10/05/2022,12300,12000,12300,12000,17316,12000
64,11/05/2022,12400,12000,12000,12400,3100,12400
65,12/05/2022,12200,11600,12100,11600,15808,11600
66,13/05/2022,11800,11000,11700,11700,7600,11700
67,16/05/2022,11500,11400,11400,11400,19251,11400
68,17/05/2022,11600,10700,11000,11400,15800,11400
69,18/05/2022,11500,10900,11500,11100,20520,11100
70,19/05/2022,11100,10800,11000,10900,18203,10900
71,20/05/2022,11000,10800,11000,11000,26343,11000
72,23/05/2022,10900,10300,10900,10400,10700,10400
73,24/05/2022,10500,9800,10500,10000,20500,10000
74,25/05/2022,10400,10000,10000,10400,9800,10400
75,26/05/2022,10400,9900,10400,9900,15527,9900
76,27/05/2022,10800,10200,10200,10700,12600,10700
77,30/05/2022,10700,10000,10700,10300,9600,10300
78,31/05/2022,10900,10300,10300,10900,18601,10900
79,01/06/2022,12000,10900,10900,11400,17866,11400
80,02/06/2022,12000,11300,11400,11700,23077,11700
81,03/06/2022,12000,11500,11500,11800,17801,11800
82,06/06/2022,11700,10600,11700,10600,13458,10600
83,07/06/2022,11400,10800,11400,10900,5600,10900
84,08/06/2022,11800,11100,11800,11300,6600,11300
85,09/06/2022,11400,11000,11000,11400,3005,11400
86,10/06/2022,11000,10700,10700,10800,9302,10800
87,13/06/2022,10800,10100,10800,10300,2506,10300
88,14/06/2022,10400,10200,10200,10300,3803,10300
89,15/06/2022,10200,10100,10200,10100,10101,10100
90,16/06/2022,10100,10100,10100,10100,1300,10100
91,17/06/2022,10900,9800,10100,10900,6203,10900
92,20/06/2022,11100,10300,11000,10300,8847,10300
93,21/06/2022,10400,10300,10300,10400,7720,10400
94,22/06/2022,11000,10300,10300,10400,5201,10400
95,23/06/2022,10400,10300,10400,10400,11800,10400
96,24/06/2022,10400,10400,10400,10400,8000,10400
97,27/06/2022,10900,10900,10900,10900,105,10900
98,28/06/2022,11000,10800,10900,11000,4400,11000
99,29/06/2022,11000,10700,10700,10900,12100,10900
100,30/06/2022,12000,11000,11000,12000,8225,12000
101,01/07/2022,11500,11000,11400,11000,3700,11000
102,04/07/2022,11000,11000,11000,11000,500,11000
103,05/07/2022,11000,11000,11000,11000,300,11000
104,06/07/2022,10500,10400,10500,10400,300,10400
105,07/07/2022,10400,10200,10400,10300,9010,10300
106,08/07/2022,10300,10300,10300,10300,-,10300
107,11/07/2022,10500,10500,10500,10500,2200,10500
108,12/07/2022,10700,10700,10700,10700,729,10700
109,13/07/2022,10600,10300,10500,10300,5310,10300
110,14/07/2022,10400,10300,10300,10400,1507,10400
111,15/07/2022,10500,10300,10500,10400,3600,10400
112,18/07/2022,10500,10400,10500,10400,404,10400
113,19/07/2022,10800,10400,10400,10800,1400,10800
114,20/07/2022,10900,10900,10900,10900,803,10900
115,21/07/2022,10900,10700,10900,10700,2509,10700
116,22/07/2022,10900,10300,10700,10300,9183,10300
117,25/07/2022,10400,10400,10400,10400,600,10400
118,26/07/2022,10500,10500,10500,10500,3202,10500
119,27/07/2022,10900,10800,10900,10900,5532,10900
120,28/07/2022,10900,10900,10900,10900,600,10900
121,29/07/2022,10900,10700,10900,10700,2800,10700
122,01/08/2022,10900,10300,10500,10600,3315,10600
123,02/08/2022,10600,10500,10500,10600,306,10600
124,03/08/2022,10700,10500,10600,10700,6295,10700
125,04/08/2022,11200,11100,11200,11100,300,11100
126,05/08/2022,10700,10600,10600,10700,330,10700
127,08/08/2022,10800,10600,10700,10800,6900,10800
128,09/08/2022,11000,10500,10500,11000,3201,11000
129,10/08/2022,10900,10700,10900,10700,1420,10700
130,11/08/2022,11400,10800,11300,10800,4394,10800
131,12/08/2022,11100,10700,10700,11100,6800,11100
132,15/08/2022,11100,11000,11100,11100,2562,11100
133,16/08/2022,11100,10900,11100,10900,4700,10900
134,17/08/2022,11000,10900,11000,10900,1900,10900
135,18/08/2022,11200,10700,11000,11200,3715,11200
136,19/08/2022,11000,11000,11000,11000,1000,11000
137,22/08/2022,11000,10800,11000,10800,10700,10800
138,23/08/2022,10700,10700,10700,10700,400,10700
139,24/08/2022,11000,10800,10800,10800,6300,10800
140,25/08/2022,11200,11100,11100,11200,1000,11200
141,26/08/2022,11300,11000,11100,11000,1700,11000
142,29/08/2022,11200,11100,11100,11200,2001,11200
143,30/08/2022,11100,10800,11100,10800,6600,10800
144,31/08/2022,10900,10900,10900,10900,500,10900
145,05/09/2022,11000,10700,11000,10700,3940,10700
146,06/09/2022,10800,10800,10800,10800,-,10800
147,07/09/2022,10700,10700,10700,10700,1106,10700
148,08/09/2022,10700,10700,10700,10700,-,10700
149,09/09/2022,10600,10500,10500,10600,2200,10600
150,12/09/2022,10500,10500,10500,10500,1170,10500
151,13/09/2022,10900,10900,10900,10900,600,10900
152,14/09/2022,10900,10900,10900,10900,89,10900
153,15/09/2022,10900,10900,10900,10900,-,10900
154,16/09/2022,10800,10500,10800,10800,1313,10800
155,19/09/2022,11300,11300,11300,11300,187,11300
156,20/09/2022,11300,11300,11300,11300,17,11300
157,21/09/2022,10700,10600,10700,10600,1303,10600
158,22/09/2022,10700,10600,10700,10700,2118,10700
159,23/09/2022,11400,10900,10900,11100,12717,11100
160,26/09/2022,11100,11100,11100,11100,100,11100
161,27/09/2022,10500,10500,10500,10500,7191,10500
162,28/09/2022,10300,10000,10300,10200,2805,10200
163,29/09/2022,10500,9100,10000,9100,5600,9100
164,30/09/2022,10500,10000,10300,10000,900,10000
165,03/10/2022,10000,9700,10000,9700,6423,9700
166,04/10/2022,9500,9000,9100,9500,1670,9500
167,05/10/2022,10100,10000,10000,10100,601,10100
168,06/10/2022,10000,9500,10000,9500,2600,9500
169,07/10/2022,9100,9000,9000,9000,27570,9000
170,10/10/2022,9000,9000,9000,9000,3000,9000
171,11/10/2022,10100,8700,8700,9300,1390,9300
172,12/10/2022,9400,9300,9400,9400,2978,9400
173,13/10/2022,9500,9400,9500,9500,5600,9500
174,14/10/2022,9800,9400,9400,9800,2540,9800
175,17/10/2022,10000,9500,9500,10000,9019,10000
176,18/10/2022,10500,10400,10400,10500,8300,10500
177,19/10/2022,10500,10500,10500,10500,212,10500
178,20/10/2022,10500,10500,10500,10500,-,10500
179,21/10/2022,10000,9900,10000,10000,2400,10000
180,24/10/2022,9600,9500,9500,9600,2500,9600
181,25/10/2022,9500,9500,9500,9500,-,9500
182,26/10/2022,9500,9300,9500,9300,1600,9300
183,27/10/2022,10800,10400,10800,10400,5100,10400
184,28/10/2022,10600,10600,10600,10600,100,10600
185,31/10/2022,10700,10400,10700,10600,3122,10600
186,01/11/2022,10500,10300,10500,10300,300,10300
187,02/11/2022,9900,9900,9900,9900,100,9900
188,03/11/2022,9900,9800,9900,9800,400,9800
189,04/11/2022,9900,9900,9900,9900,-,9900
190,07/11/2022,9900,9000,9900,9000,2300,9000
191,08/11/2022,9200,8800,9200,9200,5200,9200
192,09/11/2022,9200,9200,9200,9200,-,9200
193,10/11/2022,9200,9200,9200,9200,-,9200
194,11/11/2022,10400,9000,9200,9000,700,9000
195,14/11/2022,9300,9300,9300,9300,-,9300
196,15/11/2022,8200,8200,8200,8200,220,8200
197,16/11/2022,8800,8200,8200,8300,2000,8300
198,17/11/2022,8800,8500,8800,8500,2700,8500
199,18/11/2022,8300,8000,8000,8200,2200,8200
200,21/11/2022,8500,8500,8500,8500,100,8500
201,22/11/2022,8400,8400,8400,8400,200,8400
202,23/11/2022,8400,7200,8400,7300,23400,7300
203,24/11/2022,7300,7300,7300,7300,1700,7300
204,25/11/2022,7500,7300,7500,7300,4200,7300
205,28/11/2022,8300,7500,8300,7600,7520,7600
206,29/11/2022,7600,7400,7600,7500,6900,7500
207,30/11/2022,7900,7500,7600,7900,1405,7900
208,01/12/2022,8600,8000,8100,8100,4408,8100
209,02/12/2022,8300,8300,8300,8300,500,8300
210,05/12/2022,8300,8300,8300,8300,3,8300
211,06/12/2022,8100,7900,8100,7900,1301,7900
212,07/12/2022,7800,7400,7800,7800,1100,7800
213,08/12/2022,8200,7700,7800,8000,5300,8000
214,09/12/2022,8300,8000,8300,8000,2500,8000
215,12/12/2022,8800,8200,8200,8600,5760,8600
216,13/12/2022,8600,8000,8300,8600,5000,8600
217,14/12/2022,8100,7800,8100,7900,3300,7900
218,15/12/2022,8800,7900,8800,7900,700,7900
219,16/12/2022,8600,8600,8600,8600,-,8600
220,19/12/2022,8600,8600,8600,8600,-,8600
221,20/12/2022,8600,7600,7900,8600,9300,8600
222,21/12/2022,8100,8100,8100,8100,600,8100
223,22/12/2022,8100,8100,8100,8100,-,8100
224,23/12/2022,8300,8100,8100,8300,6024,8300
225,26/12/2022,8500,7900,8000,8500,3300,8500
226,27/12/2022,8500,8000,8500,8000,900,8000
227,28/12/2022,8400,8400,8400,8400,-,8400
228,29/12/2022,8400,8400,8400,8000,11,8400
229,30/12/2022,8400,8400,8400,8400,-,8400
230,03/01/2023,8700,8700,8700,8700,100,8700
231,04/01/2023,8700,8700,8700,8700,100,8700
232,05/01/2023,8700,8700,8700,8700,3100,8700
233,06/01/2023,9800,9400,9800,9400,6500,9400
234,09/01/2023,9400,8000,9400,9400,19430,9400
235,10/01/2023,9700,8600,9700,8700,2900,8700
236,11/01/2023,8800,8500,8800,8500,1324,8500
237,12/01/2023,9500,9500,9500,9500,100,9500
238,13/01/2023,9500,9500,9500,9500,10,9500
239,16/01/2023,9500,9400,9400,9500,5709,9500
240,17/01/2023,9700,9600,9700,9600,600,9600
241,18/01/2023,9600,9600,9600,9600,2802,9600
242,19/01/2023,9600,9600,9600,9600,10,9600
243,27/01/2023,9900,9600,9600,9900,3100,9900
244,30/01/2023,9700,9700,9700,9700,5604,9700
245,31/01/2023,9900,9700,9900,9800,4500,9800
246,01/02/2023,9800,9800,9800,9800,2700,9800
247,02/02/2023,10300,9000,10300,9900,2800,9900
248,03/02/2023,10200,9700,9700,9900,2503,9900
249,06/02/2023,10200,10000,10000,10200,2308,10200
250,07/02/2023,10600,10200,10200,10600,13209,10600
